Exit stations,Entry stations->,,TOTAL,,,Apr 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	419 ," 	1,491 "," 	1,342 ", 	797 ," 	5,446 "," 	1,127 "," 	1,786 "," 	1,346 "," 	1,531 ", 	491 ," 	1,250 ", 	954 , 	467 , 	275 , 	523 , 	255 , 	205 , 	189 , 	366 , 	190 , 	292 , 	163 , 	102 , 	263 , 	354 ," 	4,433 "," 	3,228 "," 	5,808 "," 	3,333 "," 	2,755 "," 	2,562 ", 	691 , 	717 , 	901 , 	258 , 	66 , 	92 , 	55 , 	160 , 	192 , 	302 , 	738 , 	254 , 	77 , 	188 , 	334 , 	142 , 	241 , 	180 , 	194 ," 	49,525 ",,,,,,,,,,,,,
CL, 	971 ," 	1,270 ", 	558 , 	524 ," 	1,955 "," 	1,028 "," 	1,890 "," 	1,769 "," 	2,086 "," 	2,287 "," 	3,441 ", 	504 ," 	2,256 "," 	2,026 "," 	2,165 ", 	979 , 	945 , 	896 , 	588 , 	532 , 	453 , 	255 , 	174 , 	468 ," 	1,326 "," 	4,669 "," 	2,960 "," 	4,998 "," 	3,840 "," 	1,660 "," 	1,603 ", 	589 , 	807 , 	972 , 	131 , 	869 ," 	2,286 ", 	162 , 	414 , 	171 , 	198 , 	373 , 	191 , 	748 , 	614 , 	879 , 	513 , 	910 , 	181 , 	572 ," 	62,656 ",,,,,,,,,,,,,
SL, 	483 , 	718 , 	428 , 	447 ," 	1,919 ", 	539 ," 	1,499 "," 	1,504 "," 	2,571 "," 	3,299 "," 	3,270 "," 	2,198 ", 	332 ," 	1,799 "," 	2,025 "," 	1,210 ", 	824 ," 	1,021 ", 	315 , 	211 , 	282 , 	64 , 	74 , 	225 , 	653 ," 	6,825 "," 	6,215 "," 	6,956 "," 	4,649 "," 	1,822 "," 	1,410 ", 	503 , 	768 ," 	1,120 ", 	134 , 	661 ," 	1,334 ", 	83 , 	198 , 	135 , 	156 , 	507 , 	104 , 	695 , 	182 , 	747 , 	397 , 	641 , 	89 , 	325 ," 	64,566 ",,,,,,,,,,,,,
BF, 	319 , 	536 , 	150 , 	178 ," 	1,177 ", 	318 , 	992 ," 	1,317 "," 	2,104 "," 	2,474 "," 	3,174 "," 	2,241 "," 	1,905 ", 	333 ," 	1,435 "," 	1,146 ", 	971 ," 	1,143 ", 	272 , 	132 , 	169 , 	35 , 	75 , 	168 , 	421 ," 	5,396 "," 	4,701 "," 	6,440 "," 	4,083 "," 	1,602 ", 	898 , 	363 , 	577 , 	845 , 	159 , 	649 ," 	1,361 ", 	22 , 	190 , 	126 , 	165 , 	352 , 	82 , 	869 , 	157 , 	828 , 	484 , 	513 , 	81 , 	107 ," 	54,235 ",,,,,,,,,,,,,
HY, 	462 , 	735 , 	274 , 	258 ," 	1,435 ", 	365 ," 	1,023 "," 	1,227 "," 	1,923 "," 	1,472 "," 	2,655 "," 	2,185 "," 	2,104 "," 	1,435 ", 	339 ," 	1,183 "," 	2,133 "," 	2,323 ", 	326 , 	150 , 	216 , 	44 , 	54 , 	164 , 	485 ," 	3,690 "," 	2,432 "," 	3,010 "," 	2,335 ", 	950 , 	697 , 	316 , 	428 , 	601 , 	115 , 	259 , 	794 , 	65 , 	261 , 	103 , 	172 , 	236 , 	117 , 	361 , 	182 ," 	1,256 ", 	800 ," 	1,145 ", 	111 , 	339 ," 	45,745 ",,,,,,,,,,,,,
SH, 	271 , 	275 , 	160 , 	115 ," 	1,049 ", 	210 , 	522 , 	779 , 	982 ," 	1,045 "," 	1,396 ", 	904 ," 	1,171 "," 	1,107 "," 	1,223 ", 	211 , 	857 ," 	1,178 ", 	154 , 	82 , 	142 , 	17 , 	28 , 	52 , 	208 ," 	3,009 "," 	2,222 "," 	2,464 "," 	1,915 ", 	638 , 	653 , 	257 , 	215 , 	421 , 	80 , 	248 , 	324 , 	40 , 	152 , 	73 , 	57 , 	229 , 	71 , 	251 , 	132 ," 	1,074 ", 	454 , 	803 , 	46 , 	102 ," 	30,068 ",,,,,,,,,,,,,
UC, 	207 , 	386 , 	197 , 	141 ," 	1,488 ", 	340 , 	550 , 	801 ," 	1,296 "," 	1,024 "," 	1,188 ", 	979 , 	892 , 	969 ," 	2,153 ", 	713 , 	321 ," 	1,198 ", 	203 , 	100 , 	190 , 	39 , 	20 , 	108 , 	263 ," 	3,887 "," 	2,651 "," 	2,444 "," 	1,831 ", 	768 , 	379 , 	169 , 	195 , 	492 , 	106 , 	227 , 	579 , 	13 , 	68 , 	52 , 	40 , 	250 , 	29 , 	266 , 	200 ," 	1,113 "," 	1,010 "," 	1,298 ", 	65 , 	124 ," 	34,022 ",,,,,,,,,,,,,
FM, 	179 , 	426 , 	176 , 	248 ," 	1,517 ", 	323 , 	701 , 	916 ," 	1,035 ", 	894 ," 	1,402 ", 	899 ," 	1,167 "," 	1,215 "," 	2,289 "," 	1,226 "," 	1,288 ", 	496 , 	187 , 	92 , 	78 , 	34 , 	48 , 	118 , 	174 ," 	4,547 "," 	2,941 "," 	2,349 "," 	1,988 ", 	646 , 	431 , 	184 , 	217 , 	480 , 	70 , 	207 , 	480 , 	5 , 	122 , 	14 , 	45 , 	357 , 	26 , 	177 , 	264 ," 	1,079 "," 	1,317 "," 	1,643 ", 	30 , 	180 ," 	36,927 ",,,,,,,,,,,,,
CN, 	365 , 	336 , 	304 , 	168 , 	910 , 	150 ," 	1,251 "," 	1,292 "," 	1,616 ", 	268 , 	404 , 	506 , 	328 , 	255 , 	389 , 	157 , 	197 , 	176 , 	560 ," 	1,144 "," 	3,223 "," 	1,148 ", 	484 ," 	1,009 ", 	307 ," 	6,406 "," 	4,620 "," 	5,080 "," 	4,160 "," 	1,404 "," 	1,134 ", 	529 , 	492 , 	806 , 	184 , 	44 , 	111 , 	505 ," 	2,145 ", 	206 , 	281 ," 	1,607 ", 	192 , 	37 , 	419 , 	103 , 	109 , 	220 ," 	1,487 "," 	1,501 "," 	50,729 ",,,,,,,,,,,,,
PH, 	253 , 	203 , 	104 , 	183 , 	898 , 	241 ," 	1,008 "," 	1,527 "," 	1,641 ", 	168 , 	272 , 	499 , 	195 , 	146 , 	136 , 	73 , 	83 , 	101 ," 	1,090 ", 	401 ," 	1,422 ", 	633 , 	308 ," 	1,127 ", 	199 ," 	8,291 "," 	7,040 "," 	4,475 "," 	3,591 "," 	1,221 ", 	738 , 	521 , 	362 , 	591 , 	104 , 	10 , 	81 , 	323 , 	858 , 	145 , 	200 ," 	1,961 ", 	144 , 	22 , 	511 , 	93 , 	61 , 	123 , 	390 , 	681 ," 	45,448 ",,,,,,,,,,,,,
WC, 	307 , 	359 , 	287 , 	200 ," 	1,125 ", 	228 ," 	1,253 "," 	1,715 "," 	1,817 ", 	261 , 	450 , 	373 , 	265 , 	198 , 	183 , 	147 , 	198 , 	82 ," 	3,434 "," 	1,429 ", 	304 , 	781 , 	469 ," 	1,455 ", 	256 ," 	8,502 "," 	5,779 "," 	4,037 "," 	3,527 "," 	1,090 ", 	818 , 	394 , 	250 , 	597 , 	164 , 	28 , 	68 , 	606 ," 	1,339 ", 	174 , 	225 ," 	2,085 ", 	155 , 	17 , 	540 , 	64 , 	89 , 	157 , 	766 ," 	1,190 "," 	50,237 ",,,,,,,,,,,,,
