Exit stations,Entry stations->,,TOTAL,,,Apr 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	419 ," 	1,491 "," 	1,342 ", 	797 ," 	5,446 "," 	1,127 "," 	1,786 "," 	1,346 "," 	1,531 ", 	491 ," 	1,250 ", 	954 , 	467 , 	275 , 	523 , 	255 , 	205 , 	189 , 	366 , 	190 , 	292 , 	163 , 	102 , 	263 , 	354 ," 	4,433 "," 	3,228 "," 	5,808 "," 	3,333 "," 	2,755 "," 	2,562 ", 	691 , 	717 , 	901 , 	258 , 	66 , 	92 , 	55 , 	160 , 	192 , 	302 , 	738 , 	254 , 	77 , 	188 , 	334 , 	142 , 	241 , 	180 , 	194 ," 	49,525 ",,,,,,,,,,,,,
NC, 	52 , 	66 , 	31 , 	58 , 	244 , 	41 , 	273 , 	312 , 	397 , 	125 , 	93 , 	162 , 	85 , 	17 , 	57 , 	36 , 	19 , 	7 , 	391 , 	335 , 	447 , 	78 , 	52 , 	260 , 	28 ," 	1,904 "," 	1,393 "," 	1,532 "," 	1,252 ", 	404 , 	416 , 	120 , 	159 , 	201 , 	52 , 	12 , 	16 , 	111 , 	323 , 	117 , 	53 , 	616 , 	48 , 	6 , 	172 , 	15 , 	18 , 	20 , 	284 , 	346 ," 	13,256 ",,,,,,,,,,,,,
WP, 	164 , 	241 , 	93 , 	81 , 	585 , 	115 ," 	1,069 ", 	936 ," 	1,160 ", 	192 , 	282 , 	342 , 	152 , 	178 , 	237 , 	99 , 	80 , 	129 ," 	2,171 ", 	905 ," 	1,357 ", 	383 , 	196 , 	558 , 	217 ," 	4,358 "," 	3,431 "," 	5,422 "," 	3,872 "," 	1,536 "," 	1,236 ", 	479 , 	551 , 	723 , 	270 , 	37 , 	29 , 	313 , 	407 , 	243 , 	322 ," 	1,474 ", 	129 , 	13 , 	281 , 	159 , 	49 , 	83 , 	279 , 	403 ," 	38,021 ",,,,,,,,,,,,,
SS, 	224 , 	261 , 	113 , 	53 , 	356 , 	93 , 	227 , 	336 , 	551 , 	169 , 	160 , 	152 , 	170 , 	97 , 	94 , 	41 , 	30 , 	19 , 	193 , 	171 , 	197 , 	32 , 	43 , 	100 , 	188 ," 	3,433 "," 	3,354 "," 	4,264 "," 	3,150 "," 	1,780 "," 	1,591 ", 	600 , 	997 ," 	1,156 ", 	299 , 	53 , 	85 , 	106 , 	291 , 	192 , 	480 ," 	1,311 ", 	621 , 	28 , 	36 , 	17 , 	21 , 	21 , 	68 , 	278 ," 	28,302 ",,,,,,,,,,,,,
SB, 	321 , 	350 , 	114 , 	62 , 	424 , 	161 , 	162 , 	404 , 	554 , 	169 , 	264 , 	255 , 	165 , 	182 , 	177 , 	76 , 	43 , 	48 , 	298 , 	198 , 	197 , 	112 , 	25 , 	191 , 	284 ," 	2,804 "," 	2,804 "," 	4,031 "," 	3,226 "," 	2,025 "," 	1,832 ", 	902 ," 	1,626 "," 	1,830 ", 	608 , 	54 , 	75 , 	78 , 	287 , 	486 , 	305 ," 	1,108 ", 	442 , 	74 , 	44 , 	4 , 	22 , 	12 , 	100 , 	320 ," 	30,335 ",,,,,,,,,,,,,
SO, 	715 ," 	1,306 ", 	849 ," 	1,221 "," 	2,220 ", 	812 ," 	1,317 "," 	1,138 "," 	1,332 ", 	427 , 	680 , 	278 , 	482 , 	309 , 	176 , 	234 , 	173 , 	246 ," 	1,536 "," 	1,835 "," 	2,097 "," 	1,379 ", 	969 ," 	1,741 "," 	1,454 "," 	4,367 "," 	3,581 "," 	12,294 "," 	4,424 "," 	3,227 "," 	1,967 "," 	1,281 "," 	1,575 "," 	2,859 "," 	2,182 ", 	153 ," 	1,239 ", 	535 ," 	1,500 ", 	924 , 	760 ," 	1,236 "," 	4,384 ", 	319 , 	378 , 	103 , 	90 , 	72 , 	208 ," 	1,471 "," 	76,055 ",,,,,,,,,,,,,
MB, 	222 , 	556 , 	231 , 	213 ," 	1,502 ", 	220 , 	428 , 	526 , 	731 , 	123 , 	211 , 	224 , 	106 , 	102 , 	81 , 	49 , 	42 , 	28 , 	187 , 	153 , 	137 , 	76 , 	53 , 	126 , 	332 ," 	3,733 "," 	3,729 "," 	3,955 "," 	3,284 "," 	2,034 "," 	1,775 ", 	958 ," 	1,408 "," 	2,262 ", 	767 , 	17 , 	128 , 	44 , 	119 , 	517 , 	342 ," 	5,417 ", 	753 , 	41 , 	67 , 	17 , 	13 , 	5 , 	74 , 	186 ," 	38,304 ",,,,,,,,,,,,,
WD, 	74 , 	120 , 	100 , 	23 , 	304 , 	68 , 	200 , 	288 , 	342 , 	893 , 	923 , 	787 , 	742 , 	834 , 	439 , 	277 , 	226 , 	219 , 	39 , 	49 , 	18 , 	8 , 	1 , 	36 , 	147 ," 	4,341 "," 	2,670 "," 	1,950 "," 	1,701 ", 	648 , 	358 , 	194 , 	188 , 	362 , 	18 , 	953 , 	497 , 	11 , 	10 , 	33 , 	75 , 	442 , 	34 , 	239 , 	388 , 	89 , 	155 , 	242 , 	7 , 	29 ," 	22,791 ",,,,,,,,,,,,,
OA, 	117 , 	412 , 	327 , 	394 ," 	1,193 ", 	294 , 	331 , 	328 , 	443 , 	283 , 	131 , 	383 , 	108 , 	86 , 	117 , 	107 , 	148 , 	199 , 	350 , 	448 , 	384 , 	240 , 	129 , 	156 , 	107 ," 	1,420 ", 	880 ," 	1,398 ", 	694 , 	312 , 	263 , 	198 , 	117 , 	137 , 	15 , 	50 , 	701 , 	92 , 	256 , 	23 , 	47 , 	420 , 	47 , 	265 , 	158 , 	71 , 	141 , 	153 , 	40 , 	283 ," 	15,396 ",,,,,,,,,,,,,
WS, 	322 , 	383 , 	151 , 	107 , 	800 , 	121 , 	222 , 	489 , 	526 , 	550 , 	772 , 	827 , 	662 , 	733 , 	891 , 	996 , 	891 , 	956 , 	95 , 	106 , 	55 , 	6 , 	8 , 	42 , 	157 ," 	1,504 "," 	1,102 ", 	967 , 	751 , 	269 , 	131 , 	115 , 	108 , 	254 , 	36 , 	138 , 	256 , 	17 , 	182 , 	37 , 	10 , 	127 , 	11 , 	57 , 	92 , 	320 ," 	1,076 "," 	1,353 ", 	39 , 	82 ," 	19,902 ",,,,,,,,,,,,,
ML, 	173 , 	261 , 	137 , 	125 ," 	1,299 ", 	257 , 	302 , 	476 , 	488 , 	469 , 	463 , 	484 , 	346 , 	477 , 	843 , 	449 ," 	1,054 "," 	1,313 ", 	108 , 	55 , 	93 , 	30 , 	42 , 	79 , 	56 ," 	1,932 "," 	1,387 "," 	1,327 ", 	994 , 	325 , 	204 , 	77 , 	107 , 	248 , 	32 , 	72 , 	323 , 	17 , 	50 , 	19 , 	21 , 	127 , 	5 , 	146 , 	153 ," 	1,159 ", 	356 , 	392 , 	21 , 	81 ," 	19,454 ",,,,,,,,,,,,,
BE, 	242 , 	457 , 	204 , 	230 ," 	2,161 ", 	360 , 	534 , 	672 , 	685 , 	568 , 	747 , 	877 , 	646 , 	573 ," 	1,134 ", 	865 ," 	1,384 "," 	1,659 ", 	199 , 	128 , 	156 , 	46 , 	42 , 	117 , 	174 ," 	2,134 "," 	1,587 "," 	1,704 "," 	1,189 ", 	442 , 	331 , 	100 , 	182 , 	359 , 	13 , 	134 , 	417 , 	26 , 	88 , 	18 , 	8 , 	115 , 	7 , 	241 , 	218 ," 	1,632 ", 	431 , 	418 , 	49 , 	114 ," 	26,817 ",,,,,,,,,,,,,
PC, 	181 , 	138 , 	53 , 	30 , 	284 , 	31 , 	527 , 	311 , 	401 , 	92 , 	167 , 	206 , 	97 , 	43 , 	85 , 	26 , 	37 , 	15 ," 	1,321 ", 	399 , 	626 , 	171 , 	120 , 	203 , 	154 , 	901 , 	800 ," 	1,326 ", 	934 , 	487 , 	352 , 	185 , 	170 , 	321 , 	90 , 	9 , 	38 , 	310 , 	262 , 	84 , 	78 , 	237 , 	45 , 	4 , 	62 , 	33 , 	25 , 	63 , 	55 , 	519 ," 	13,108 ",,,,,,,,,,,,,
AN, 	246 , 	216 , 	75 , 	90 , 	562 , 	161 ," 	1,297 "," 	1,016 "," 	1,582 ", 	305 , 	504 , 	616 , 	339 , 	178 , 	358 , 	113 , 	163 , 	169 ," 	1,598 ", 	614 ," 	1,323 ", 	313 , 	154 , 	565 , 	289 ," 	4,874 "," 	4,119 "," 	4,410 "," 	3,639 "," 	1,455 "," 	1,128 ", 	606 , 	672 , 	985 , 	248 , 	54 , 	64 , 	340 , 	525 , 	262 , 	292 ," 	1,518 ", 	159 , 	37 , 	412 , 	141 , 	100 , 	125 , 	524 , 	377 ," 	39,912 ",,,,,,,,,,,,,
Entries," 	50,625 "," 	74,765 "," 	42,225 "," 	35,505 "," 	119,019 "," 	41,051 "," 	77,537 "," 	86,040 "," 	94,119 "," 	60,955 "," 	84,649 "," 	61,029 "," 	63,243 "," 	52,778 "," 	45,399 "," 	30,404 "," 	33,530 "," 	36,276 "," 	50,641 "," 	46,122 "," 	49,825 "," 	26,939 "," 	21,222 "," 	45,432 "," 	72,980 "," 	284,567 "," 	218,924 "," 	281,390 "," 	199,676 "," 	125,283 "," 	119,373 "," 	62,917 "," 	90,250 "," 	86,513 "," 	33,252 "," 	23,408 "," 	54,637 "," 	13,687 "," 	37,446 "," 	27,038 "," 	28,752 "," 	88,445 "," 	38,567 "," 	21,760 "," 	18,968 "," 	21,617 "," 	19,523 "," 	25,557 "," 	13,498 "," 	38,091 "," 	3,375,449 ",,,,,,,,,,,,,
