Exit stations,Entry stations->,,SATURDAY,,,Apr 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	12 , 	34 , 	31 , 	18 , 	129 , 	26 , 	36 , 	27 , 	34 , 	8 , 	26 , 	23 , 	8 , 	7 , 	12 , 	7 , 	2 , 	4 , 	8 , 	6 , 	7 , 	4 , 	4 , 	6 , 	8 , 	96 , 	53 , 	147 , 	47 , 	61 , 	63 , 	13 , 	16 , 	15 , 	5 , 	2 , 	3 , 	0 , 	4 , 	5 , 	6 , 	15 , 	7 , 	1 , 	3 , 	6 , 	4 , 	8 , 	3 , 	4 ," 	1,073 ",,,,,,,,,,
EN, 	45 , 	20 , 	26 , 	21 , 	202 , 	41 , 	44 , 	42 , 	57 , 	15 , 	43 , 	38 , 	14 , 	15 , 	12 , 	9 , 	7 , 	8 , 	8 , 	5 , 	12 , 	4 , 	3 , 	7 , 	10 , 	145 , 	95 , 	250 , 	93 , 	66 , 	62 , 	17 , 	22 , 	20 , 	12 , 	2 , 	5 , 	0 , 	6 , 	4 , 	10 , 	39 , 	7 , 	1 , 	14 , 	8 , 	13 , 	15 , 	3 , 	4 ," 	1,620 ",,,,,,,,,,
EP, 	36 , 	25 , 	10 , 	20 , 	168 , 	26 , 	30 , 	31 , 	41 , 	14 , 	15 , 	15 , 	5 , 	4 , 	3 , 	5 , 	3 , 	4 , 	7 , 	2 , 	7 , 	4 , 	1 , 	10 , 	4 , 	92 , 	55 , 	113 , 	59 , 	38 , 	25 , 	9 , 	5 , 	7 , 	3 , 	1 , 	4 , 	0 , 	3 , 	1 , 	2 , 	23 , 	5 , 	3 , 	11 , 	1 , 	6 , 	6 , 	1 , 	3 , 	965 ,,,,,,,,,,
NB, 	20 , 	24 , 	19 , 	12 , 	47 , 	16 , 	21 , 	38 , 	25 , 	12 , 	23 , 	16 , 	12 , 	5 , 	5 , 	4 , 	3 , 	10 , 	3 , 	5 , 	7 , 	1 , 	1 , 	6 , 	6 , 	104 , 	62 , 	103 , 	84 , 	50 , 	37 , 	11 , 	8 , 	9 , 	3 , 	1 , 	3 , 	1 , 	3 , 	1 , 	2 , 	36 , 	5 , 	1 , 	10 , 	2 , 	3 , 	5 , 	0 , 	2 , 	884 ,,,,,,,,,,
BK, 	132 , 	186 , 	179 , 	45 , 	56 , 	73 , 	86 , 	110 , 	116 , 	46 , 	77 , 	44 , 	35 , 	31 , 	37 , 	30 , 	23 , 	31 , 	12 , 	17 , 	30 , 	10 , 	7 , 	8 , 	25 , 	353 , 	206 , 	402 , 	216 , 	144 , 	101 , 	51 , 	33 , 	38 , 	7 , 	11 , 	24 , 	5 , 	11 , 	7 , 	12 , 	73 , 	49 , 	11 , 	44 , 	21 , 	38 , 	62 , 	4 , 	6 ," 	3,374 ",,,,,,,,,,
AS, 	31 , 	40 , 	23 , 	15 , 	58 , 	10 , 	22 , 	46 , 	38 , 	13 , 	23 , 	17 , 	12 , 	7 , 	9 , 	5 , 	5 , 	5 , 	3 , 	5 , 	5 , 	3 , 	2 , 	4 , 	15 , 	87 , 	57 , 	107 , 	82 , 	62 , 	37 , 	11 , 	7 , 	6 , 	2 , 	2 , 	7 , 	0 , 	1 , 	0 , 	2 , 	21 , 	7 , 	1 , 	11 , 	1 , 	5 , 	11 , 	1 , 	2 , 	946 ,,,,,,,,,,
MA, 	35 , 	42 , 	34 , 	27 , 	81 , 	27 , 	21 , 	40 , 	50 , 	17 , 	45 , 	42 , 	27 , 	19 , 	20 , 	9 , 	5 , 	9 , 	24 , 	20 , 	28 , 	8 , 	11 , 	25 , 	24 , 	192 , 	104 , 	219 , 	146 , 	141 , 	78 , 	24 , 	19 , 	13 , 	5 , 	2 , 	8 , 	6 , 	18 , 	2 , 	4 , 	32 , 	12 , 	4 , 	6 , 	5 , 	6 , 	14 , 	6 , 	16 ," 	1,771 ",,,,,,,,,,
19, 	26 , 	45 , 	36 , 	34 , 	132 , 	51 , 	42 , 	21 , 	9 , 	6 , 	31 , 	37 , 	27 , 	22 , 	25 , 	12 , 	7 , 	12 , 	24 , 	23 , 	28 , 	16 , 	17 , 	43 , 	22 , 	210 , 	133 , 	276 , 	177 , 	146 , 	96 , 	25 , 	20 , 	28 , 	7 , 	3 , 	7 , 	6 , 	9 , 	6 , 	7 , 	34 , 	11 , 	1 , 	8 , 	7 , 	7 , 	16 , 	8 , 	9 ," 	2,005 ",,,,,,,,,,
12, 	36 , 	50 , 	34 , 	27 , 	123 , 	31 , 	48 , 	4 , 	21 , 	6 , 	26 , 	29 , 	29 , 	26 , 	22 , 	9 , 	8 , 	10 , 	21 , 	19 , 	29 , 	9 , 	12 , 	33 , 	28 , 	222 , 	141 , 	281 , 	162 , 	126 , 	76 , 	21 , 	31 , 	27 , 	12 , 	2 , 	5 , 	6 , 	9 , 	7 , 	13 , 	41 , 	20 , 	2 , 	8 , 	5 , 	8 , 	11 , 	2 , 	15 ," 	1,946 ",,,,,,,,,,
LM, 	8 , 	15 , 	15 , 	12 , 	45 , 	14 , 	17 , 	7 , 	6 , 	11 , 	56 , 	86 , 	62 , 	63 , 	31 , 	18 , 	8 , 	14 , 	5 , 	4 , 	4 , 	1 , 	2 , 	10 , 	14 , 	126 , 	93 , 	186 , 	100 , 	85 , 	53 , 	16 , 	15 , 	17 , 	3 , 	31 , 	44 , 	1 , 	3 , 	1 , 	4 , 	9 , 	3 , 	17 , 	9 , 	9 , 	14 , 	23 , 	1 , 	4 ," 	1,393 ",,,,,,,,,,
FV, 	32 , 	42 , 	18 , 	20 , 	68 , 	27 , 	44 , 	31 , 	30 , 	36 , 	24 , 	87 , 	65 , 	91 , 	57 , 	27 , 	15 , 	31 , 	11 , 	6 , 	8 , 	9 , 	7 , 	17 , 	40 , 	147 , 	85 , 	251 , 	161 , 	87 , 	76 , 	19 , 	22 , 	17 , 	3 , 	15 , 	36 , 	2 , 	8 , 	3 , 	7 , 	18 , 	6 , 	30 , 	4 , 	20 , 	12 , 	22 , 	1 , 	9 ," 	1,903 ",,,,,,,,,,
CL, 	24 , 	36 , 	20 , 	14 , 	40 , 	20 , 	42 , 	41 , 	37 , 	61 , 	82 , 	11 , 	69 , 	53 , 	46 , 	30 , 	16 , 	22 , 	18 , 	17 , 	18 , 	11 , 	6 , 	13 , 	29 , 	90 , 	52 , 	137 , 	75 , 	40 , 	43 , 	11 , 	15 , 	20 , 	3 , 	26 , 	79 , 	3 , 	11 , 	5 , 	4 , 	9 , 	3 , 	32 , 	15 , 	19 , 	15 , 	20 , 	6 , 	13 ," 	1,519 ",,,,,,,,,,
SL, 	10 , 	18 , 	7 , 	10 , 	41 , 	10 , 	32 , 	28 , 	39 , 	57 , 	71 , 	77 , 	11 , 	55 , 	37 , 	22 , 	8 , 	20 , 	6 , 	3 , 	6 , 	1 , 	1 , 	6 , 	14 , 	112 , 	80 , 	198 , 	79 , 	36 , 	29 , 	9 , 	20 , 	15 , 	3 , 	18 , 	26 , 	2 , 	4 , 	1 , 	3 , 	16 , 	3 , 	20 , 	3 , 	12 , 	9 , 	17 , 	3 , 	5 ," 	1,314 ",,,,,,,,,,
BF, 	9 , 	13 , 	3 , 	4 , 	33 , 	8 , 	23 , 	26 , 	39 , 	56 , 	91 , 	62 , 	53 , 	11 , 	46 , 	27 , 	13 , 	22 , 	6 , 	6 , 	5 , 	1 , 	2 , 	5 , 	13 , 	110 , 	74 , 	196 , 	69 , 	34 , 	27 , 	9 , 	13 , 	10 , 	4 , 	16 , 	35 , 	1 , 	4 , 	2 , 	4 , 	8 , 	2 , 	23 , 	4 , 	10 , 	11 , 	12 , 	2 , 	3 ," 	1,260 ",,,,,,,,,,
HY, 	11 , 	16 , 	5 , 	5 , 	39 , 	7 , 	22 , 	26 , 	29 , 	24 , 	49 , 	48 , 	41 , 	51 , 	20 , 	31 , 	21 , 	31 , 	6 , 	3 , 	3 , 	2 , 	2 , 	4 , 	10 , 	64 , 	29 , 	67 , 	36 , 	21 , 	22 , 	7 , 	10 , 	9 , 	3 , 	8 , 	13 , 	2 , 	6 , 	2 , 	2 , 	7 , 	2 , 	11 , 	5 , 	17 , 	17 , 	22 , 	1 , 	6 , 	893 ,,,,,,,,,,
SH, 	8 , 	7 , 	7 , 	3 , 	43 , 	7 , 	10 , 	13 , 	16 , 	19 , 	33 , 	25 , 	23 , 	25 , 	34 , 	12 , 	8 , 	18 , 	5 , 	3 , 	3 , 	1 , 	1 , 	2 , 	4 , 	74 , 	38 , 	78 , 	32 , 	16 , 	17 , 	5 , 	4 , 	10 , 	1 , 	5 , 	8 , 	1 , 	4 , 	1 , 	2 , 	8 , 	1 , 	7 , 	3 , 	11 , 	9 , 	16 , 	1 , 	2 , 	684 ,,,,,,,,,,
UC, 	3 , 	9 , 	3 , 	2 , 	30 , 	4 , 	5 , 	9 , 	11 , 	9 , 	19 , 	14 , 	12 , 	11 , 	25 , 	7 , 	9 , 	26 , 	1 , 	2 , 	2 , 	1 , 	1 , 	1 , 	3 , 	57 , 	25 , 	55 , 	23 , 	13 , 	10 , 	3 , 	3 , 	6 , 	1 , 	3 , 	11 , 	0 , 	1 , 	1 , 	2 , 	6 , 	1 , 	4 , 	4 , 	21 , 	25 , 	35 , 	1 , 	2 , 	530 ,,,,,,,,,,
FM, 	2 , 	8 , 	2 , 	5 , 	37 , 	5 , 	12 , 	10 , 	10 , 	14 , 	31 , 	20 , 	19 , 	18 , 	31 , 	17 , 	26 , 	22 , 	3 , 	1 , 	2 , 	1 , 	-   , 	4 , 	3 , 	77 , 	32 , 	69 , 	36 , 	17 , 	11 , 	5 , 	3 , 	6 , 	1 , 	5 , 	9 , 	-   , 	3 , 	0 , 	0 , 	9 , 	1 , 	4 , 	5 , 	19 , 	42 , 	35 , 	0 , 	3 , 	696 ,,,,,,,,,,
CN, 	9 , 	12 , 	8 , 	5 , 	19 , 	3 , 	24 , 	19 , 	22 , 	4 , 	11 , 	13 , 	6 , 	5 , 	6 , 	4 , 	1 , 	3 , 	12 , 	30 , 	85 , 	32 , 	11 , 	32 , 	6 , 	123 , 	54 , 	120 , 	60 , 	27 , 	23 , 	10 , 	9 , 	14 , 	6 , 	1 , 	3 , 	7 , 	49 , 	6 , 	7 , 	48 , 	5 , 	-   , 	8 , 	1 , 	3 , 	7 , 	31 , 	31 ," 	1,034 ",,,,,,,,,,
PH, 	6 , 	2 , 	3 , 	5 , 	18 , 	7 , 	19 , 	20 , 	19 , 	3 , 	7 , 	16 , 	4 , 	4 , 	3 , 	2 , 	2 , 	2 , 	33 , 	8 , 	40 , 	16 , 	4 , 	33 , 	4 , 	121 , 	70 , 	117 , 	54 , 	23 , 	15 , 	11 , 	7 , 	11 , 	3 , 	1 , 	1 , 	5 , 	18 , 	2 , 	4 , 	56 , 	4 , 	0 , 	13 , 	1 , 	1 , 	6 , 	7 , 	14 , 	845 ,,,,,,,,,,
WC, 	8 , 	10 , 	10 , 	6 , 	33 , 	7 , 	30 , 	29 , 	28 , 	6 , 	8 , 	13 , 	7 , 	6 , 	4 , 	4 , 	1 , 	3 , 	105 , 	41 , 	8 , 	20 , 	11 , 	43 , 	6 , 	176 , 	81 , 	132 , 	73 , 	38 , 	23 , 	10 , 	8 , 	12 , 	4 , 	1 , 	0 , 	13 , 	36 , 	3 , 	7 , 	55 , 	4 , 	0 , 	13 , 	2 , 	3 , 	5 , 	16 , 	27 ," 	1,191 ",,,,,,,,,,
