Exit stations,Entry stations->,,SATURDAY,,,Dec 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
FV, 	54 , 	53 , 	35 , 	30 , 	126 , 	54 , 	67 , 	85 , 	71 , 	61 , 	18 , 	107 , 	95 , 	131 , 	78 , 	44 , 	33 , 	47 , 	23 , 	9 , 	15 , 	8 , 	7 , 	36 , 	49 , 	294 , 	245 , 	677 , 	294 , 	153 , 	133 , 	38 , 	41 , 	36 , 	8 , 	25 , 	63 , 	1 , 	12 , 	9 , 	13 , 	45 , 	9 , 	46 , 	14 , 	53 , 	-   , 	-   , 	6 , 	13 ," 	3,559 ",,,,,,,,,,
CL, 	33 , 	38 , 	14 , 	9 , 	57 , 	20 , 	49 , 	63 , 	74 , 	80 , 	101 , 	14 , 	49 , 	80 , 	48 , 	32 , 	25 , 	19 , 	13 , 	9 , 	9 , 	3 , 	2 , 	9 , 	34 , 	169 , 	91 , 	261 , 	111 , 	67 , 	51 , 	16 , 	32 , 	28 , 	5 , 	20 , 	35 , 	1 , 	14 , 	4 , 	11 , 	29 , 	4 , 	20 , 	19 , 	33 , 	-   , 	-   , 	6 , 	13 ," 	1,918 ",,,,,,,,,,
SL, 	22 , 	28 , 	14 , 	14 , 	71 , 	17 , 	33 , 	73 , 	83 , 	121 , 	102 , 	50 , 	13 , 	80 , 	49 , 	24 , 	29 , 	25 , 	8 , 	5 , 	11 , 	1 , 	4 , 	9 , 	20 , 	178 , 	177 , 	470 , 	155 , 	68 , 	44 , 	25 , 	23 , 	27 , 	6 , 	20 , 	30 , 	4 , 	9 , 	5 , 	7 , 	34 , 	6 , 	35 , 	7 , 	26 , 	-   , 	-   , 	3 , 	8 ," 	2,267 ",,,,,,,,,,
BF, 	16 , 	26 , 	11 , 	13 , 	56 , 	16 , 	35 , 	47 , 	74 , 	117 , 	143 , 	80 , 	83 , 	17 , 	60 , 	45 , 	42 , 	42 , 	10 , 	4 , 	4 , 	2 , 	2 , 	9 , 	20 , 	181 , 	160 , 	431 , 	132 , 	60 , 	32 , 	19 , 	27 , 	23 , 	6 , 	31 , 	60 , 	3 , 	6 , 	3 , 	6 , 	23 , 	7 , 	66 , 	5 , 	36 , 	-   , 	-   , 	1 , 	4 ," 	2,289 ",,,,,,,,,,
HY, 	13 , 	27 , 	9 , 	10 , 	42 , 	17 , 	32 , 	45 , 	46 , 	33 , 	78 , 	50 , 	50 , 	61 , 	13 , 	51 , 	55 , 	65 , 	8 , 	4 , 	5 , 	1 , 	1 , 	7 , 	14 , 	109 , 	64 , 	221 , 	58 , 	34 , 	31 , 	11 , 	14 , 	16 , 	4 , 	11 , 	17 , 	2 , 	4 , 	2 , 	3 , 	16 , 	2 , 	19 , 	6 , 	42 , 	-   , 	-   , 	1 , 	6 ," 	1,423 ",,,,,,,,,,
SH, 	8 , 	14 , 	5 , 	7 , 	19 , 	8 , 	11 , 	21 , 	26 , 	17 , 	41 , 	23 , 	28 , 	42 , 	39 , 	8 , 	20 , 	27 , 	6 , 	2 , 	3 , 	0 , 	1 , 	3 , 	6 , 	80 , 	53 , 	163 , 	51 , 	20 , 	19 , 	7 , 	10 , 	13 , 	3 , 	11 , 	14 , 	0 , 	5 , 	3 , 	6 , 	14 , 	4 , 	15 , 	6 , 	37 , 	-   , 	-   , 	2 , 	3 , 	918 ,,,,,,,,,,
UC, 	9 , 	17 , 	7 , 	7 , 	47 , 	12 , 	18 , 	22 , 	31 , 	37 , 	36 , 	35 , 	26 , 	41 , 	59 , 	23 , 	7 , 	37 , 	6 , 	4 , 	6 , 	1 , 	1 , 	5 , 	5 , 	149 , 	105 , 	263 , 	77 , 	35 , 	16 , 	10 , 	12 , 	17 , 	4 , 	7 , 	18 , 	1 , 	3 , 	2 , 	3 , 	15 , 	2 , 	10 , 	9 , 	40 , 	-   , 	-   , 	2 , 	3 ," 	1,298 ",,,,,,,,,,
FM, 	11 , 	13 , 	10 , 	11 , 	66 , 	12 , 	24 , 	31 , 	43 , 	45 , 	52 , 	22 , 	26 , 	52 , 	71 , 	29 , 	32 , 	23 , 	6 , 	5 , 	5 , 	1 , 	3 , 	7 , 	7 , 	168 , 	116 , 	317 , 	97 , 	38 , 	25 , 	8 , 	11 , 	15 , 	2 , 	10 , 	29 , 	1 , 	4 , 	2 , 	5 , 	27 , 	2 , 	11 , 	11 , 	48 , 	-   , 	-   , 	2 , 	6 ," 	1,558 ",,,,,,,,,,
CN, 	12 , 	16 , 	12 , 	9 , 	31 , 	10 , 	35 , 	45 , 	47 , 	10 , 	21 , 	14 , 	10 , 	12 , 	13 , 	5 , 	8 , 	4 , 	17 , 	43 , 	120 , 	32 , 	17 , 	32 , 	10 , 	145 , 	106 , 	284 , 	116 , 	53 , 	31 , 	24 , 	19 , 	24 , 	7 , 	1 , 	5 , 	21 , 	84 , 	6 , 	11 , 	86 , 	13 , 	4 , 	17 , 	9 , 	-   , 	-   , 	40 , 	44 ," 	1,728 ",,,,,,,,,,
PH, 	7 , 	7 , 	8 , 	9 , 	33 , 	9 , 	27 , 	40 , 	38 , 	5 , 	8 , 	9 , 	8 , 	4 , 	6 , 	3 , 	3 , 	7 , 	44 , 	14 , 	66 , 	22 , 	8 , 	42 , 	11 , 	235 , 	147 , 	379 , 	150 , 	60 , 	31 , 	24 , 	9 , 	21 , 	6 , 	1 , 	2 , 	7 , 	30 , 	5 , 	6 , 	112 , 	8 , 	2 , 	29 , 	10 , 	-   , 	-   , 	12 , 	24 ," 	1,743 ",,,,,,,,,,
WC, 	11 , 	13 , 	14 , 	13 , 	52 , 	11 , 	45 , 	52 , 	41 , 	8 , 	16 , 	9 , 	12 , 	6 , 	4 , 	4 , 	5 , 	5 , 	152 , 	71 , 	24 , 	28 , 	19 , 	67 , 	8 , 	313 , 	210 , 	432 , 	204 , 	68 , 	35 , 	22 , 	20 , 	27 , 	5 , 	2 , 	3 , 	18 , 	53 , 	5 , 	12 , 	140 , 	12 , 	2 , 	23 , 	9 , 	-   , 	-   , 	23 , 	40 ," 	2,361 ",,,,,,,,,,
LF, 	6 , 	4 , 	8 , 	9 , 	33 , 	5 , 	16 , 	24 , 	16 , 	3 , 	9 , 	3 , 	1 , 	1 , 	1 , 	1 , 	1 , 	2 , 	49 , 	19 , 	20 , 	10 , 	7 , 	30 , 	3 , 	198 , 	115 , 	282 , 	127 , 	45 , 	28 , 	13 , 	6 , 	8 , 	1 , 	1 , 	0 , 	5 , 	18 , 	3 , 	4 , 	79 , 	7 , 	-   , 	15 , 	3 , 	-   , 	-   , 	8 , 	5 ," 	1,246 ",,,,,,,,,,
OR, 	6 , 	4 , 	5 , 	3 , 	27 , 	3 , 	13 , 	22 , 	27 , 	3 , 	7 , 	4 , 	3 , 	2 , 	2 , 	1 , 	1 , 	3 , 	13 , 	12 , 	20 , 	7 , 	8 , 	26 , 	2 , 	189 , 	109 , 	259 , 	112 , 	41 , 	27 , 	11 , 	4 , 	9 , 	3 , 	2 , 	2 , 	2 , 	5 , 	5 , 	3 , 	55 , 	4 , 	1 , 	7 , 	4 , 	-   , 	-   , 	3 , 	4 ," 	1,079 ",,,,,,,,,,
RR, 	17 , 	24 , 	20 , 	9 , 	31 , 	8 , 	36 , 	72 , 	60 , 	14 , 	36 , 	10 , 	11 , 	8 , 	8 , 	3 , 	7 , 	5 , 	29 , 	43 , 	70 , 	31 , 	21 , 	22 , 	16 , 	328 , 	246 , 	490 , 	274 , 	137 , 	88 , 	41 , 	17 , 	24 , 	4 , 	1 , 	5 , 	8 , 	12 , 	3 , 	8 , 	100 , 	16 , 	3 , 	10 , 	7 , 	-   , 	-   , 	5 , 	12 ," 	2,445 ",,,,,,,,,,
OW, 	9 , 	14 , 	9 , 	9 , 	42 , 	14 , 	26 , 	37 , 	50 , 	11 , 	50 , 	30 , 	17 , 	20 , 	10 , 	5 , 	7 , 	8 , 	9 , 	8 , 	11 , 	3 , 	3 , 	15 , 	18 , 	584 , 	456 ," 	1,017 ", 	452 , 	274 , 	182 , 	52 , 	37 , 	36 , 	8 , 	6 , 	15 , 	2 , 	7 , 	5 , 	14 , 	81 , 	15 , 	9 , 	6 , 	12 , 	-   , 	-   , 	3 , 	5 ," 	3,708 ",,,,,,,,,,
EM, 	173 , 	337 , 	254 , 	263 , 	427 , 	231 , 	409 , 	419 , 	391 , 	300 , 	364 , 	210 , 	250 , 	229 , 	143 , 	87 , 	174 , 	219 , 	175 , 	294 , 	367 , 	270 , 	252 , 	431 , 	827 , 	98 , 	49 , 	314 , 	150 , 	345 , 	455 , 	290 , 	391 , 	334 , 	105 , 	160 , 	517 , 	75 , 	123 , 	71 , 	107 , 	301 , 	217 , 	180 , 	75 , 	176 , 	-   , 	-   , 	28 , 	90 ," 	12,139 ",,,,,,,,,,
MT, 	155 , 	246 , 	162 , 	169 , 	342 , 	166 , 	317 , 	351 , 	301 , 	252 , 	270 , 	120 , 	220 , 	207 , 	87 , 	69 , 	116 , 	137 , 	143 , 	183 , 	239 , 	148 , 	121 , 	297 , 	610 , 	33 , 	50 , 	62 , 	107 , 	382 , 	457 , 	307 , 	753 , 	342 , 	116 , 	104 , 	257 , 	37 , 	102 , 	87 , 	85 , 	289 , 	180 , 	108 , 	51 , 	108 , 	-   , 	-   , 	18 , 	52 ," 	9,509 ",,,,,,,,,,
PL, 	318 , 	578 , 	312 , 	285 , 	545 , 	258 , 	505 , 	518 , 	488 , 	428 , 	602 , 	251 , 	436 , 	382 , 	203 , 	162 , 	265 , 	290 , 	264 , 	388 , 	447 , 	304 , 	290 , 	478 ," 	1,103 ", 	354 , 	71 , 	149 , 	266 ," 	1,283 "," 	1,487 ", 	966 ," 	1,517 "," 	1,280 ", 	362 , 	256 , 	788 , 	113 , 	196 , 	275 , 	289 ," 	1,191 ", 	615 , 	246 , 	87 , 	246 , 	-   , 	-   , 	48 , 	155 ," 	22,337 ",,,,,,,,,,
CC, 	112 , 	196 , 	141 , 	187 , 	253 , 	151 , 	293 , 	310 , 	229 , 	192 , 	288 , 	115 , 	139 , 	121 , 	71 , 	53 , 	73 , 	94 , 	101 , 	140 , 	191 , 	132 , 	136 , 	281 , 	516 , 	117 , 	89 , 	230 , 	63 , 	374 , 	467 , 	278 , 	351 , 	335 , 	104 , 	78 , 	218 , 	42 , 	57 , 	83 , 	123 , 	401 , 	262 , 	102 , 	32 , 	90 , 	-   , 	-   , 	13 , 	49 ," 	8,467 ",,,,,,,,,,
16, 	82 , 	100 , 	64 , 	98 , 	157 , 	116 , 	219 , 	240 , 	141 , 	121 , 	153 , 	63 , 	68 , 	57 , 	31 , 	20 , 	39 , 	40 , 	47 , 	49 , 	68 , 	48 , 	48 , 	151 , 	300 , 	327 , 	344 ," 	1,261 ", 	432 , 	32 , 	195 , 	199 , 	319 , 	216 , 	75 , 	35 , 	76 , 	14 , 	36 , 	61 , 	91 , 	170 , 	137 , 	36 , 	14 , 	33 , 	-   , 	-   , 	8 , 	26 ," 	6,646 ",,,,,,,,,,
24, 	91 , 	107 , 	44 , 	65 , 	121 , 	82 , 	149 , 	170 , 	104 , 	88 , 	136 , 	56 , 	46 , 	37 , 	29 , 	21 , 	17 , 	24 , 	34 , 	32 , 	43 , 	29 , 	25 , 	93 , 	209 , 	375 , 	389 ," 	1,626 ", 	542 , 	172 , 	42 , 	186 , 	299 , 	223 , 	81 , 	19 , 	48 , 	13 , 	38 , 	52 , 	90 , 	140 , 	108 , 	21 , 	18 , 	16 , 	-   , 	-   , 	7 , 	14 ," 	6,366 ",,,,,,,,,,
GP, 	22 , 	38 , 	19 , 	31 , 	66 , 	27 , 	51 , 	62 , 	49 , 	27 , 	33 , 	18 , 	21 , 	22 , 	11 , 	5 , 	9 , 	9 , 	18 , 	27 , 	21 , 	15 , 	8 , 	44 , 	54 , 	247 , 	238 ," 	1,026 ", 	266 , 	171 , 	182 , 	23 , 	45 , 	42 , 	27 , 	13 , 	37 , 	8 , 	13 , 	14 , 	41 , 	95 , 	52 , 	14 , 	10 , 	10 , 	-   , 	-   , 	3 , 	7 ," 	3,286 ",,,,,,,,,,
BP, 	27 , 	30 , 	14 , 	14 , 	36 , 	17 , 	26 , 	39 , 	48 , 	25 , 	42 , 	31 , 	23 , 	18 , 	10 , 	7 , 	7 , 	9 , 	17 , 	11 , 	14 , 	3 , 	4 , 	17 , 	43 , 	306 , 	365 ," 	1,764 ", 	338 , 	265 , 	243 , 	41 , 	34 , 	39 , 	41 , 	9 , 	24 , 	4 , 	14 , 	21 , 	78 , 	117 , 	52 , 	7 , 	7 , 	10 , 	-   , 	-   , 	4 , 	12 ," 	4,321 ",,,,,,,,,,
DC, 	30 , 	40 , 	17 , 	12 , 	63 , 	15 , 	27 , 	38 , 	42 , 	33 , 	36 , 	29 , 	26 , 	21 , 	17 , 	10 , 	15 , 	14 , 	19 , 	15 , 	21 , 	11 , 	8 , 	18 , 	43 , 	291 , 	281 ," 	1,437 ", 	346 , 	244 , 	212 , 	45 , 	46 , 	24 , 	19 , 	13 , 	33 , 	6 , 	16 , 	24 , 	72 , 	193 , 	66 , 	15 , 	8 , 	16 , 	-   , 	-   , 	4 , 	12 ," 	4,036 ",,,,,,,,,,
CM, 	5 , 	17 , 	3 , 	5 , 	9 , 	4 , 	9 , 	8 , 	13 , 	2 , 	8 , 	5 , 	3 , 	6 , 	4 , 	3 , 	3 , 	1 , 	7 , 	5 , 	7 , 	2 , 	3 , 	4 , 	8 , 	76 , 	91 , 	366 , 	95 , 	70 , 	67 , 	23 , 	41 , 	18 , 	9 , 	1 , 	4 , 	4 , 	12 , 	8 , 	32 , 	134 , 	24 , 	2 , 	1 , 	1 , 	-   , 	-   , 	4 , 	6 ," 	1,227 ",,,,,,,,,,
CV, 	3 , 	6 , 	5 , 	4 , 	15 , 	6 , 	6 , 	7 , 	11 , 	57 , 	29 , 	22 , 	23 , 	32 , 	12 , 	9 , 	7 , 	8 , 	2 , 	1 , 	1 , 	-   , 	2 , 	1 , 	8 , 	132 , 	85 , 	253 , 	89 , 	32 , 	12 , 	12 , 	10 , 	12 , 	1 , 	11 , 	45 , 	1 , 	1 , 	3 , 	3 , 	13 , 	4 , 	55 , 	3 , 	8 , 	-   , 	-   , 	-   , 	1 ," 	1,057 ",,,,,,,,,,
ED, 	6 , 	15 , 	8 , 	8 , 	59 , 	10 , 	16 , 	19 , 	16 , 	58 , 	67 , 	36 , 	29 , 	54 , 	17 , 	16 , 	25 , 	26 , 	5 , 	2 , 	3 , 	0 , 	2 , 	5 , 	16 , 	434 , 	228 , 	788 , 	215 , 	80 , 	48 , 	33 , 	26 , 	35 , 	4 , 	41 , 	18 , 	1 , 	3 , 	6 , 	6 , 	94 , 	8 , 	29 , 	35 , 	21 , 	-   , 	-   , 	1 , 	2 ," 	2,670 ",,,,,,,,,,
NC, 	1 , 	2 , 	0 , 	2 , 	9 , 	3 , 	9 , 	11 , 	8 , 	1 , 	4 , 	2 , 	4 , 	2 , 	2 , 	1 , 	1 , 	2 , 	19 , 	6 , 	18 , 	4 , 	2 , 	7 , 	3 , 	58 , 	38 , 	106 , 	41 , 	11 , 	16 , 	6 , 	6 , 	9 , 	3 , 	2 , 	0 , 	4 , 	9 , 	1 , 	3 , 	35 , 	4 , 	-   , 	7 , 	3 , 	-   , 	-   , 	4 , 	4 , 	488 ,,,,,,,,,,
