Exit stations,Entry stations->,,SUNDAY,,,Dec 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	17 , 	34 , 	41 , 	22 , 	113 , 	33 , 	40 , 	33 , 	31 , 	14 , 	38 , 	49 , 	12 , 	11 , 	11 , 	6 , 	6 , 	9 , 	7 , 	4 , 	7 , 	3 , 	2 , 	12 , 	9 , 	86 , 	68 , 	220 , 	75 , 	50 , 	57 , 	19 , 	19 , 	20 , 	4 , 	1 , 	2 , 	2 , 	5 , 	6 , 	9 , 	42 , 	8 , 	3 , 	13 , 	9 , 	-   , 	-   , 	3 , 	6 ," 	1,291 ",,,,,,,,,,,
EN, 	41 , 	14 , 	34 , 	25 , 	191 , 	48 , 	49 , 	52 , 	57 , 	23 , 	43 , 	164 , 	12 , 	16 , 	15 , 	7 , 	7 , 	11 , 	9 , 	8 , 	12 , 	2 , 	3 , 	9 , 	14 , 	146 , 	110 , 	381 , 	115 , 	54 , 	55 , 	24 , 	22 , 	27 , 	14 , 	4 , 	12 , 	1 , 	7 , 	9 , 	14 , 	89 , 	9 , 	3 , 	28 , 	20 , 	-   , 	-   , 	1 , 	4 ," 	2,017 ",,,,,,,,,,,
EP, 	40 , 	33 , 	15 , 	28 , 	206 , 	31 , 	35 , 	53 , 	49 , 	17 , 	20 , 	74 , 	10 , 	7 , 	7 , 	2 , 	5 , 	7 , 	6 , 	5 , 	10 , 	2 , 	4 , 	12 , 	7 , 	95 , 	68 , 	228 , 	85 , 	37 , 	28 , 	19 , 	8 , 	11 , 	5 , 	1 , 	6 , 	2 , 	2 , 	3 , 	4 , 	61 , 	8 , 	1 , 	30 , 	13 , 	-   , 	-   , 	2 , 	2 ," 	1,405 ",,,,,,,,,,,
NB, 	25 , 	24 , 	29 , 	16 , 	63 , 	19 , 	29 , 	51 , 	37 , 	15 , 	20 , 	51 , 	12 , 	6 , 	5 , 	4 , 	6 , 	9 , 	3 , 	6 , 	12 , 	3 , 	3 , 	5 , 	6 , 	108 , 	86 , 	174 , 	100 , 	51 , 	48 , 	18 , 	8 , 	11 , 	4 , 	2 , 	4 , 	-   , 	1 , 	2 , 	5 , 	80 , 	9 , 	2 , 	33 , 	13 , 	-   , 	-   , 	1 , 	2 ," 	1,221 ",,,,,,,,,,,
BK, 	137 , 	188 , 	192 , 	64 , 	41 , 	95 , 	102 , 	121 , 	117 , 	45 , 	92 , 	73 , 	42 , 	32 , 	33 , 	12 , 	34 , 	50 , 	17 , 	19 , 	29 , 	16 , 	10 , 	15 , 	26 , 	190 , 	159 , 	373 , 	170 , 	93 , 	74 , 	37 , 	29 , 	31 , 	6 , 	10 , 	34 , 	4 , 	8 , 	7 , 	17 , 	193 , 	33 , 	11 , 	126 , 	119 , 	-   , 	-   , 	3 , 	10 ," 	3,337 ",,,,,,,,,,,
AS, 	37 , 	40 , 	33 , 	20 , 	90 , 	12 , 	35 , 	53 , 	38 , 	19 , 	32 , 	42 , 	10 , 	9 , 	10 , 	4 , 	7 , 	9 , 	4 , 	5 , 	7 , 	2 , 	1 , 	5 , 	10 , 	76 , 	71 , 	151 , 	91 , 	61 , 	57 , 	12 , 	9 , 	8 , 	1 , 	4 , 	4 , 	0 , 	3 , 	2 , 	4 , 	52 , 	8 , 	3 , 	26 , 	22 , 	-   , 	-   , 	1 , 	3 ," 	1,202 ",,,,,,,,,,,
MA, 	46 , 	52 , 	31 , 	31 , 	102 , 	41 , 	27 , 	51 , 	46 , 	23 , 	59 , 	142 , 	32 , 	25 , 	21 , 	9 , 	12 , 	17 , 	27 , 	17 , 	28 , 	11 , 	10 , 	29 , 	19 , 	188 , 	149 , 	334 , 	194 , 	138 , 	108 , 	31 , 	22 , 	24 , 	11 , 	6 , 	23 , 	7 , 	18 , 	5 , 	8 , 	118 , 	12 , 	8 , 	42 , 	25 , 	-   , 	-   , 	7 , 	20 ," 	2,405 ",,,,,,,,,,,
19, 	28 , 	49 , 	50 , 	49 , 	105 , 	52 , 	51 , 	16 , 	12 , 	10 , 	62 , 	111 , 	41 , 	32 , 	29 , 	13 , 	16 , 	19 , 	20 , 	21 , 	29 , 	19 , 	17 , 	43 , 	26 , 	190 , 	146 , 	351 , 	202 , 	139 , 	106 , 	35 , 	25 , 	27 , 	5 , 	15 , 	19 , 	6 , 	15 , 	7 , 	9 , 	109 , 	10 , 	8 , 	33 , 	31 , 	-   , 	-   , 	5 , 	8 ," 	2,421 ",,,,,,,,,,,
12, 	26 , 	55 , 	47 , 	28 , 	100 , 	36 , 	41 , 	11 , 	20 , 	14 , 	50 , 	208 , 	44 , 	49 , 	24 , 	16 , 	26 , 	27 , 	19 , 	28 , 	26 , 	10 , 	10 , 	30 , 	33 , 	243 , 	205 , 	493 , 	223 , 	121 , 	92 , 	36 , 	45 , 	40 , 	15 , 	12 , 	21 , 	5 , 	14 , 	8 , 	14 , 	125 , 	17 , 	10 , 	37 , 	29 , 	-   , 	-   , 	3 , 	9 ," 	2,792 ",,,,,,,,,,,
LM, 	15 , 	22 , 	15 , 	18 , 	45 , 	23 , 	22 , 	11 , 	11 , 	15 , 	56 , 	175 , 	59 , 	71 , 	24 , 	11 , 	25 , 	26 , 	7 , 	5 , 	6 , 	3 , 	4 , 	5 , 	6 , 	46 , 	45 , 	132 , 	48 , 	32 , 	22 , 	10 , 	9 , 	8 , 	4 , 	31 , 	36 , 	1 , 	4 , 	2 , 	5 , 	17 , 	2 , 	22 , 	35 , 	36 , 	-   , 	-   , 	1 , 	3 ," 	1,230 ",,,,,,,,,,,
