Exit stations,Entry stations->,,SUNDAY,,,May 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	12 , 	16 , 	18 , 	7 , 	38 , 	11 , 	18 , 	15 , 	15 , 	13 , 	21 , 	16 , 	10 , 	5 , 	7 , 	3 , 	2 , 	2 , 	4 , 	2 , 	4 , 	1 , 	0 , 	3 , 	3 , 	35 , 	28 , 	75 , 	30 , 	31 , 	36 , 	7 , 	12 , 	5 , 	2 , 	1 , 	2 , 	1 , 	3 , 	2 , 	3 , 	10 , 	3 , 	-   , 	4 , 	3 , 	1 , 	4 , 	2 , 	3 , 	548 ,,,,,,,,,,,
EN, 	18 , 	9 , 	10 , 	11 , 	48 , 	18 , 	21 , 	16 , 	23 , 	13 , 	24 , 	27 , 	9 , 	6 , 	8 , 	4 , 	4 , 	5 , 	3 , 	3 , 	5 , 	1 , 	1 , 	4 , 	5 , 	59 , 	34 , 	79 , 	37 , 	28 , 	25 , 	7 , 	10 , 	8 , 	7 , 	1 , 	4 , 	0 , 	3 , 	2 , 	2 , 	19 , 	3 , 	2 , 	10 , 	2 , 	3 , 	9 , 	1 , 	3 , 	655 ,,,,,,,,,,,
EP, 	16 , 	12 , 	7 , 	6 , 	44 , 	13 , 	14 , 	12 , 	14 , 	9 , 	9 , 	11 , 	3 , 	3 , 	2 , 	4 , 	1 , 	1 , 	3 , 	3 , 	2 , 	3 , 	2 , 	3 , 	1 , 	24 , 	18 , 	38 , 	17 , 	11 , 	7 , 	4 , 	1 , 	2 , 	1 , 	0 , 	2 , 	-   , 	3 , 	0 , 	1 , 	11 , 	2 , 	1 , 	8 , 	1 , 	2 , 	4 , 	-   , 	1 , 	357 ,,,,,,,,,,,
NB, 	10 , 	9 , 	10 , 	7 , 	7 , 	7 , 	14 , 	10 , 	8 , 	5 , 	10 , 	12 , 	4 , 	3 , 	3 , 	1 , 	1 , 	2 , 	1 , 	1 , 	3 , 	0 , 	1 , 	1 , 	2 , 	28 , 	14 , 	24 , 	21 , 	17 , 	12 , 	4 , 	3 , 	2 , 	1 , 	2 , 	0 , 	0 , 	1 , 	0 , 	1 , 	9 , 	2 , 	-   , 	6 , 	1 , 	2 , 	2 , 	1 , 	0 , 	284 ,,,,,,,,,,,
BK, 	38 , 	50 , 	48 , 	11 , 	20 , 	19 , 	25 , 	34 , 	27 , 	19 , 	28 , 	30 , 	13 , 	10 , 	10 , 	5 , 	3 , 	9 , 	5 , 	2 , 	5 , 	2 , 	1 , 	3 , 	11 , 	65 , 	37 , 	69 , 	41 , 	32 , 	21 , 	8 , 	8 , 	7 , 	2 , 	3 , 	6 , 	2 , 	2 , 	2 , 	4 , 	19 , 	5 , 	2 , 	17 , 	6 , 	11 , 	13 , 	0 , 	0 , 	809 ,,,,,,,,,,,
AS, 	13 , 	19 , 	16 , 	7 , 	12 , 	7 , 	10 , 	15 , 	13 , 	9 , 	17 , 	14 , 	7 , 	6 , 	4 , 	2 , 	2 , 	1 , 	1 , 	1 , 	2 , 	1 , 	0 , 	0 , 	6 , 	21 , 	17 , 	36 , 	26 , 	24 , 	11 , 	3 , 	3 , 	2 , 	1 , 	-   , 	1 , 	0 , 	0 , 	1 , 	0 , 	11 , 	2 , 	0 , 	8 , 	1 , 	2 , 	6 , 	0 , 	0 , 	364 ,,,,,,,,,,,
MA, 	18 , 	16 , 	17 , 	12 , 	20 , 	14 , 	9 , 	12 , 	17 , 	10 , 	26 , 	31 , 	9 , 	6 , 	11 , 	5 , 	2 , 	5 , 	13 , 	8 , 	10 , 	3 , 	4 , 	8 , 	9 , 	56 , 	41 , 	66 , 	51 , 	51 , 	34 , 	9 , 	9 , 	4 , 	5 , 	1 , 	4 , 	2 , 	11 , 	1 , 	2 , 	22 , 	3 , 	3 , 	10 , 	1 , 	4 , 	7 , 	4 , 	9 , 	708 ,,,,,,,,,,,
19, 	14 , 	13 , 	9 , 	10 , 	28 , 	18 , 	10 , 	13 , 	4 , 	3 , 	13 , 	31 , 	7 , 	13 , 	8 , 	3 , 	2 , 	3 , 	8 , 	7 , 	9 , 	2 , 	4 , 	14 , 	11 , 	55 , 	38 , 	92 , 	62 , 	56 , 	31 , 	12 , 	7 , 	9 , 	2 , 	0 , 	3 , 	5 , 	6 , 	2 , 	2 , 	20 , 	3 , 	2 , 	14 , 	1 , 	2 , 	7 , 	4 , 	6 , 	701 ,,,,,,,,,,,
12, 	16 , 	20 , 	15 , 	6 , 	23 , 	16 , 	12 , 	3 , 	12 , 	4 , 	13 , 	26 , 	13 , 	18 , 	15 , 	8 , 	4 , 	5 , 	10 , 	8 , 	6 , 	5 , 	4 , 	8 , 	9 , 	65 , 	51 , 	113 , 	70 , 	55 , 	34 , 	14 , 	14 , 	13 , 	6 , 	1 , 	2 , 	1 , 	6 , 	2 , 	5 , 	23 , 	5 , 	1 , 	5 , 	2 , 	4 , 	4 , 	2 , 	4 , 	780 ,,,,,,,,,,,
LM, 	11 , 	14 , 	9 , 	8 , 	21 , 	17 , 	11 , 	6 , 	3 , 	13 , 	50 , 	70 , 	30 , 	32 , 	16 , 	9 , 	8 , 	6 , 	4 , 	1 , 	3 , 	1 , 	0 , 	2 , 	9 , 	57 , 	52 , 	88 , 	58 , 	55 , 	36 , 	9 , 	12 , 	7 , 	1 , 	11 , 	21 , 	-   , 	3 , 	2 , 	1 , 	6 , 	1 , 	9 , 	12 , 	3 , 	7 , 	10 , 	1 , 	1 , 	818 ,,,,,,,,,,,
FV, 	23 , 	21 , 	9 , 	9 , 	30 , 	22 , 	25 , 	13 , 	9 , 	42 , 	14 , 	60 , 	42 , 	61 , 	37 , 	19 , 	8 , 	14 , 	12 , 	2 , 	6 , 	3 , 	2 , 	10 , 	21 , 	55 , 	48 , 	135 , 	72 , 	43 , 	45 , 	8 , 	12 , 	14 , 	1 , 	11 , 	25 , 	-   , 	5 , 	2 , 	3 , 	10 , 	2 , 	17 , 	9 , 	5 , 	7 , 	15 , 	1 , 	3 ," 	1,061 ",,,,,,,,,,,
