Exit stations,Entry stations->,,SATURDAY,,,May 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	9 , 	17 , 	21 , 	14 , 	58 , 	20 , 	26 , 	19 , 	20 , 	8 , 	27 , 	22 , 	10 , 	6 , 	5 , 	3 , 	1 , 	4 , 	4 , 	3 , 	2 , 	1 , 	2 , 	3 , 	7 , 	47 , 	35 , 	103 , 	44 , 	45 , 	51 , 	13 , 	17 , 	9 , 	3 , 	0 , 	5 , 	1 , 	3 , 	2 , 	5 , 	11 , 	5 , 	1 , 	3 , 	2 , 	2 , 	2 , 	1 , 	2 , 	727 ,,,,,,,,,,
CL, 	22 , 	32 , 	16 , 	14 , 	32 , 	21 , 	33 , 	38 , 	30 , 	58 , 	58 , 	15 , 	59 , 	53 , 	36 , 	22 , 	17 , 	23 , 	11 , 	19 , 	19 , 	11 , 	8 , 	14 , 	19 , 	49 , 	40 , 	94 , 	49 , 	31 , 	38 , 	15 , 	13 , 	16 , 	2 , 	29 , 	93 , 	9 , 	10 , 	1 , 	4 , 	5 , 	2 , 	31 , 	14 , 	17 , 	14 , 	27 , 	3 , 	12 ," 	1,300 ",,,,,,,,,,
SL, 	7 , 	10 , 	7 , 	5 , 	14 , 	12 , 	17 , 	18 , 	21 , 	34 , 	57 , 	69 , 	8 , 	36 , 	33 , 	14 , 	10 , 	11 , 	5 , 	2 , 	3 , 	1 , 	1 , 	7 , 	9 , 	62 , 	48 , 	104 , 	35 , 	26 , 	22 , 	8 , 	10 , 	10 , 	2 , 	11 , 	18 , 	1 , 	2 , 	1 , 	4 , 	10 , 	1 , 	12 , 	4 , 	5 , 	4 , 	11 , 	1 , 	4 , 	827 ,,,,,,,,,,
BF, 	5 , 	11 , 	6 , 	3 , 	12 , 	8 , 	14 , 	15 , 	21 , 	33 , 	83 , 	55 , 	45 , 	12 , 	30 , 	16 , 	10 , 	17 , 	5 , 	0 , 	2 , 	1 , 	1 , 	4 , 	13 , 	43 , 	43 , 	113 , 	42 , 	23 , 	17 , 	8 , 	10 , 	9 , 	3 , 	13 , 	28 , 	0 , 	2 , 	1 , 	3 , 	4 , 	1 , 	17 , 	2 , 	7 , 	6 , 	12 , 	1 , 	1 , 	831 ,,,,,,,,,,
HY, 	4 , 	12 , 	3 , 	3 , 	12 , 	6 , 	13 , 	11 , 	17 , 	16 , 	45 , 	29 , 	32 , 	28 , 	10 , 	25 , 	14 , 	25 , 	4 , 	3 , 	3 , 	1 , 	1 , 	4 , 	7 , 	25 , 	13 , 	36 , 	14 , 	12 , 	6 , 	4 , 	6 , 	5 , 	2 , 	7 , 	12 , 	0 , 	3 , 	2 , 	3 , 	3 , 	2 , 	8 , 	3 , 	7 , 	8 , 	14 , 	1 , 	3 , 	526 ,,,,,,,,,,
SH, 	5 , 	9 , 	3 , 	1 , 	13 , 	4 , 	8 , 	7 , 	12 , 	12 , 	28 , 	23 , 	17 , 	18 , 	31 , 	10 , 	5 , 	9 , 	4 , 	2 , 	2 , 	1 , 	0 , 	2 , 	3 , 	26 , 	11 , 	36 , 	15 , 	11 , 	10 , 	2 , 	4 , 	4 , 	2 , 	3 , 	8 , 	2 , 	3 , 	1 , 	1 , 	5 , 	1 , 	5 , 	4 , 	5 , 	6 , 	8 , 	1 , 	3 , 	406 ,,,,,,,,,,
UC, 	2 , 	5 , 	2 , 	3 , 	8 , 	4 , 	6 , 	6 , 	8 , 	9 , 	12 , 	17 , 	9 , 	6 , 	14 , 	4 , 	6 , 	22 , 	1 , 	2 , 	1 , 	0 , 	0 , 	2 , 	2 , 	12 , 	8 , 	24 , 	10 , 	9 , 	5 , 	2 , 	2 , 	2 , 	0 , 	2 , 	4 , 	0 , 	0 , 	0 , 	1 , 	3 , 	0 , 	2 , 	3 , 	10 , 	13 , 	12 , 	0 , 	1 , 	272 ,,,,,,,,,,
FM, 	3 , 	4 , 	1 , 	1 , 	9 , 	2 , 	7 , 	5 , 	7 , 	7 , 	15 , 	21 , 	10 , 	13 , 	22 , 	11 , 	21 , 	8 , 	1 , 	3 , 	1 , 	1 , 	1 , 	1 , 	2 , 	18 , 	13 , 	23 , 	13 , 	7 , 	3 , 	1 , 	3 , 	3 , 	1 , 	2 , 	5 , 	0 , 	1 , 	0 , 	0 , 	2 , 	0 , 	3 , 	2 , 	10 , 	16 , 	21 , 	0 , 	1 , 	328 ,,,,,,,,,,
CN, 	4 , 	6 , 	3 , 	3 , 	8 , 	3 , 	17 , 	13 , 	13 , 	2 , 	8 , 	13 , 	3 , 	4 , 	5 , 	3 , 	1 , 	2 , 	8 , 	19 , 	50 , 	27 , 	5 , 	17 , 	6 , 	52 , 	29 , 	68 , 	26 , 	23 , 	20 , 	5 , 	9 , 	8 , 	2 , 	1 , 	1 , 	5 , 	36 , 	2 , 	2 , 	25 , 	5 , 	1 , 	7 , 	0 , 	2 , 	5 , 	22 , 	20 , 	619 ,,,,,,,,,,
PH, 	4 , 	4 , 	4 , 	2 , 	4 , 	1 , 	10 , 	7 , 	11 , 	1 , 	5 , 	16 , 	4 , 	2 , 	3 , 	1 , 	1 , 	2 , 	22 , 	7 , 	20 , 	10 , 	4 , 	18 , 	2 , 	60 , 	35 , 	63 , 	28 , 	19 , 	9 , 	7 , 	5 , 	5 , 	2 , 	1 , 	1 , 	3 , 	11 , 	1 , 	6 , 	22 , 	3 , 	0 , 	9 , 	0 , 	1 , 	2 , 	8 , 	9 , 	474 ,,,,,,,,,,
WC, 	4 , 	5 , 	3 , 	4 , 	9 , 	2 , 	13 , 	17 , 	14 , 	3 , 	7 , 	19 , 	4 , 	2 , 	2 , 	2 , 	1 , 	2 , 	70 , 	27 , 	8 , 	12 , 	8 , 	21 , 	6 , 	73 , 	45 , 	55 , 	31 , 	20 , 	19 , 	6 , 	9 , 	8 , 	1 , 	0 , 	1 , 	4 , 	31 , 	2 , 	6 , 	22 , 	3 , 	-   , 	6 , 	0 , 	1 , 	3 , 	12 , 	16 , 	641 ,,,,,,,,,,
LF, 	1 , 	2 , 	2 , 	1 , 	6 , 	1 , 	7 , 	6 , 	8 , 	1 , 	4 , 	11 , 	0 , 	0 , 	1 , 	1 , 	1 , 	2 , 	32 , 	12 , 	13 , 	4 , 	4 , 	11 , 	1 , 	35 , 	21 , 	23 , 	18 , 	10 , 	7 , 	2 , 	1 , 	1 , 	0 , 	-   , 	0 , 	4 , 	7 , 	-   , 	0 , 	12 , 	1 , 	-   , 	3 , 	1 , 	0 , 	1 , 	5 , 	3 , 	290 ,,,,,,,,,,
OR, 	2 , 	1 , 	0 , 	1 , 	3 , 	1 , 	7 , 	7 , 	5 , 	1 , 	6 , 	7 , 	1 , 	1 , 	0 , 	-   , 	-   , 	0 , 	8 , 	4 , 	10 , 	4 , 	3 , 	10 , 	1 , 	28 , 	14 , 	22 , 	16 , 	11 , 	4 , 	4 , 	3 , 	4 , 	1 , 	-   , 	0 , 	1 , 	4 , 	1 , 	-   , 	10 , 	1 , 	0 , 	2 , 	-   , 	1 , 	1 , 	4 , 	1 , 	217 ,,,,,,,,,,
RR, 	2 , 	6 , 	5 , 	2 , 	2 , 	1 , 	10 , 	14 , 	16 , 	3 , 	14 , 	12 , 	6 , 	3 , 	3 , 	2 , 	1 , 	1 , 	16 , 	16 , 	21 , 	14 , 	10 , 	8 , 	6 , 	68 , 	43 , 	67 , 	53 , 	59 , 	26 , 	9 , 	7 , 	3 , 	3 , 	2 , 	1 , 	3 , 	5 , 	2 , 	2 , 	16 , 	2 , 	0 , 	3 , 	1 , 	1 , 	2 , 	2 , 	7 , 	581 ,,,,,,,,,,
OW, 	6 , 	5 , 	2 , 	2 , 	8 , 	6 , 	11 , 	7 , 	12 , 	9 , 	27 , 	20 , 	6 , 	11 , 	5 , 	2 , 	0 , 	2 , 	4 , 	1 , 	6 , 	1 , 	1 , 	6 , 	14 , 	168 , 	96 , 	217 , 	100 , 	96 , 	74 , 	10 , 	17 , 	15 , 	3 , 	2 , 	5 , 	-   , 	2 , 	3 , 	7 , 	19 , 	2 , 	3 , 	1 , 	1 , 	2 , 	1 , 	2 , 	4 ," 	1,023 ",,,,,,,,,,
EM, 	52 , 	85 , 	42 , 	58 , 	106 , 	41 , 	115 , 	100 , 	96 , 	63 , 	90 , 	61 , 	72 , 	48 , 	30 , 	25 , 	18 , 	32 , 	57 , 	70 , 	75 , 	38 , 	36 , 	84 , 	201 , 	49 , 	5 , 	46 , 	44 , 	103 , 	109 , 	55 , 	98 , 	72 , 	21 , 	37 , 	152 , 	22 , 	38 , 	15 , 	21 , 	68 , 	29 , 	38 , 	17 , 	12 , 	17 , 	17 , 	9 , 	36 ," 	2,822 ",,,,,,,,,,
MT, 	49 , 	63 , 	33 , 	25 , 	58 , 	44 , 	80 , 	80 , 	84 , 	74 , 	67 , 	44 , 	55 , 	61 , 	19 , 	17 , 	8 , 	13 , 	41 , 	44 , 	48 , 	25 , 	15 , 	50 , 	126 , 	10 , 	29 , 	9 , 	12 , 	74 , 	91 , 	58 , 	137 , 	70 , 	30 , 	22 , 	42 , 	9 , 	33 , 	13 , 	25 , 	70 , 	17 , 	16 , 	14 , 	5 , 	10 , 	16 , 	9 , 	25 ," 	2,071 ",,,,,,,,,,
PL, 	77 , 	106 , 	44 , 	34 , 	93 , 	48 , 	89 , 	105 , 	106 , 	87 , 	140 , 	83 , 	77 , 	76 , 	32 , 	23 , 	17 , 	17 , 	48 , 	51 , 	44 , 	18 , 	18 , 	44 , 	194 , 	38 , 	10 , 	75 , 	19 , 	203 , 	245 , 	134 , 	269 , 	204 , 	67 , 	32 , 	68 , 	14 , 	49 , 	41 , 	47 , 	159 , 	36 , 	25 , 	24 , 	9 , 	12 , 	18 , 	14 , 	30 ," 	3,513 ",,,,,,,,,,
CC, 	37 , 	51 , 	22 , 	25 , 	51 , 	32 , 	75 , 	71 , 	67 , 	62 , 	110 , 	50 , 	34 , 	31 , 	18 , 	13 , 	8 , 	12 , 	22 , 	28 , 	26 , 	16 , 	18 , 	41 , 	96 , 	32 , 	12 , 	19 , 	43 , 	71 , 	70 , 	41 , 	89 , 	79 , 	34 , 	11 , 	35 , 	5 , 	15 , 	21 , 	31 , 	67 , 	24 , 	12 , 	7 , 	5 , 	5 , 	9 , 	4 , 	11 ," 	1,770 ",,,,,,,,,,
16, 	36 , 	43 , 	18 , 	40 , 	70 , 	55 , 	102 , 	86 , 	65 , 	55 , 	76 , 	28 , 	26 , 	18 , 	15 , 	11 , 	10 , 	11 , 	22 , 	16 , 	19 , 	10 , 	13 , 	55 , 	124 , 	76 , 	62 , 	226 , 	78 , 	42 , 	29 , 	52 , 	83 , 	90 , 	32 , 	11 , 	28 , 	6 , 	12 , 	23 , 	40 , 	52 , 	41 , 	10 , 	6 , 	3 , 	8 , 	12 , 	4 , 	12 ," 	2,060 ",,,,,,,,,,
24, 	48 , 	38 , 	13 , 	16 , 	30 , 	19 , 	39 , 	46 , 	36 , 	33 , 	54 , 	33 , 	21 , 	19 , 	10 , 	7 , 	2 , 	5 , 	19 , 	9 , 	15 , 	7 , 	2 , 	23 , 	67 , 	81 , 	70 , 	287 , 	97 , 	29 , 	41 , 	42 , 	67 , 	69 , 	38 , 	5 , 	18 , 	2 , 	17 , 	29 , 	43 , 	27 , 	21 , 	5 , 	3 , 	2 , 	3 , 	7 , 	4 , 	10 ," 	1,629 ",,,,,,,,,,
GP, 	7 , 	15 , 	5 , 	6 , 	11 , 	6 , 	15 , 	15 , 	15 , 	7 , 	11 , 	12 , 	7 , 	5 , 	2 , 	2 , 	-   , 	1 , 	5 , 	7 , 	8 , 	3 , 	4 , 	9 , 	17 , 	46 , 	42 , 	146 , 	49 , 	46 , 	42 , 	15 , 	12 , 	9 , 	9 , 	2 , 	7 , 	1 , 	5 , 	6 , 	18 , 	15 , 	13 , 	2 , 	3 , 	1 , 	1 , 	2 , 	2 , 	3 , 	691 ,,,,,,,,,,
BP, 	13 , 	10 , 	3 , 	4 , 	9 , 	3 , 	10 , 	15 , 	12 , 	14 , 	17 , 	10 , 	10 , 	11 , 	3 , 	3 , 	3 , 	2 , 	6 , 	4 , 	6 , 	2 , 	1 , 	9 , 	14 , 	68 , 	71 , 	326 , 	92 , 	73 , 	75 , 	11 , 	24 , 	14 , 	16 , 	4 , 	8 , 	1 , 	6 , 	13 , 	33 , 	26 , 	12 , 	3 , 	3 , 	2 , 	2 , 	2 , 	2 , 	6 ," 	1,089 ",,,,,,,,,,
DC, 	5 , 	13 , 	4 , 	5 , 	12 , 	3 , 	11 , 	12 , 	6 , 	7 , 	16 , 	13 , 	8 , 	5 , 	8 , 	4 , 	1 , 	3 , 	10 , 	4 , 	6 , 	1 , 	4 , 	5 , 	13 , 	64 , 	53 , 	253 , 	92 , 	86 , 	77 , 	12 , 	17 , 	19 , 	9 , 	3 , 	8 , 	1 , 	3 , 	9 , 	30 , 	49 , 	18 , 	2 , 	3 , 	1 , 	2 , 	5 , 	3 , 	5 ," 	1,000 ",,,,,,,,,,
CM, 	4 , 	6 , 	1 , 	3 , 	2 , 	1 , 	6 , 	4 , 	4 , 	2 , 	4 , 	2 , 	3 , 	2 , 	2 , 	0 , 	1 , 	1 , 	2 , 	1 , 	2 , 	1 , 	1 , 	2 , 	2 , 	14 , 	24 , 	80 , 	40 , 	31 , 	39 , 	13 , 	23 , 	8 , 	7 , 	-   , 	1 , 	2 , 	5 , 	3 , 	10 , 	34 , 	5 , 	-   , 	0 , 	-   , 	2 , 	0 , 	1 , 	1 , 	402 ,,,,,,,,,,
