Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Dec 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
SL, 	17 , 	31 , 	9 , 	11 , 	38 , 	15 , 	24 , 	23 , 	56 , 	59 , 	96 , 	231 , 	7 , 	82 , 	54 , 	29 , 	24 , 	34 , 	10 , 	3 , 	8 , 	2 , 	4 , 	11 , 	12 , 	81 , 	71 , 	282 , 	73 , 	20 , 	38 , 	13 , 	15 , 	11 , 	14 , 	17 , 	34 , 	1 , 	11 ," 	1,566 ",,,WP line," 	4,323 ", 	578 , 	918 , 	416 ," 	1,908 "," 	1,020 "," 	9,162 "
BF, 	15 , 	19 , 	9 , 	7 , 	37 , 	27 , 	36 , 	38 , 	80 , 	66 , 	196 , 	281 , 	97 , 	7 , 	82 , 	63 , 	50 , 	82 , 	8 , 	4 , 	5 , 	2 , 	1 , 	5 , 	26 , 	58 , 	60 , 	243 , 	63 , 	22 , 	25 , 	9 , 	18 , 	17 , 	14 , 	30 , 	81 , 	2 , 	10 ," 	1,897 ",,,FT/ED line," 	5,992 "," 	1,781 "," 	1,383 "," 	1,869 "," 	1,013 "," 	6,805 "," 	18,843 "
HY, 	19 , 	20 , 	8 , 	13 , 	36 , 	16 , 	25 , 	23 , 	47 , 	24 , 	106 , 	150 , 	59 , 	97 , 	8 , 	59 , 	64 , 	102 , 	7 , 	4 , 	6 , 	2 , 	0 , 	2 , 	9 , 	41 , 	32 , 	117 , 	36 , 	16 , 	24 , 	3 , 	11 , 	11 , 	10 , 	8 , 	31 , 	3 , 	15 ," 	1,263 ",,,Entries," 	29,551 "," 	8,935 "," 	18,029 "," 	10,497 "," 	9,006 "," 	19,721 "," 	95,738 "
SH, 	8 , 	12 , 	4 , 	5 , 	17 , 	6 , 	7 , 	14 , 	19 , 	14 , 	30 , 	97 , 	29 , 	65 , 	56 , 	4 , 	31 , 	52 , 	7 , 	2 , 	3 , 	1 , 	1 , 	3 , 	5 , 	29 , 	22 , 	81 , 	21 , 	7 , 	15 , 	5 , 	3 , 	8 , 	7 , 	7 , 	14 , 	2 , 	9 , 	721 ,,,,,,,,,,
UC, 	5 , 	14 , 	6 , 	6 , 	32 , 	14 , 	12 , 	17 , 	41 , 	31 , 	38 , 	135 , 	29 , 	55 , 	67 , 	35 , 	11 , 	67 , 	8 , 	3 , 	6 , 	1 , 	0 , 	3 , 	7 , 	52 , 	44 , 	209 , 	41 , 	10 , 	14 , 	6 , 	10 , 	11 , 	9 , 	5 , 	18 , 	2 , 	12 ," 	1,085 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
FM, 	18 , 	32 , 	20 , 	13 , 	75 , 	19 , 	27 , 	27 , 	70 , 	36 , 	49 , 	105 , 	31 , 	91 , 	102 , 	43 , 	57 , 	18 , 	12 , 	10 , 	12 , 	4 , 	4 , 	8 , 	7 , 	108 , 	87 , 	398 , 	79 , 	20 , 	20 , 	12 , 	19 , 	21 , 	19 , 	10 , 	26 , 	6 , 	21 ," 	1,735 ",,,Dtwn SF," 	1,288 ",,,,,,
CN, 	15 , 	14 , 	6 , 	5 , 	18 , 	5 , 	27 , 	18 , 	44 , 	4 , 	21 , 	76 , 	10 , 	6 , 	7 , 	10 , 	9 , 	13 , 	10 , 	56 , 	213 , 	40 , 	21 , 	22 , 	5 , 	96 , 	60 , 	189 , 	70 , 	24 , 	33 , 	15 , 	24 , 	19 , 	30 , 	2 , 	5 , 	14 , 	121 ," 	1,378 ",,,OAK," 	7,752 ", 	418 ,,,,,
PH, 	6 , 	4 , 	4 , 	7 , 	21 , 	4 , 	10 , 	13 , 	28 , 	3 , 	9 , 	102 , 	2 , 	5 , 	2 , 	3 , 	2 , 	12 , 	54 , 	5 , 	43 , 	14 , 	7 , 	29 , 	2 , 	129 , 	101 , 	296 , 	73 , 	12 , 	15 , 	10 , 	21 , 	23 , 	33 , 	1 , 	3 , 	10 , 	25 ," 	1,143 ",,,CM line," 	21,012 "," 	1,741 "," 	3,485 ",,,,
WC, 	7 , 	12 , 	9 , 	9 , 	37 , 	10 , 	24 , 	21 , 	41 , 	5 , 	10 , 	98 , 	8 , 	6 , 	5 , 	2 , 	5 , 	10 , 	262 , 	43 , 	5 , 	36 , 	12 , 	50 , 	5 , 	164 , 	125 , 	379 , 	124 , 	14 , 	19 , 	15 , 	13 , 	22 , 	27 , 	2 , 	2 , 	20 , 	55 ," 	1,713 ",,,RM line," 	7,053 "," 	2,583 "," 	1,978 "," 	2,444 ",,,
LF, 	4 , 	2 , 	4 , 	2 , 	24 , 	4 , 	10 , 	10 , 	21 , 	1 , 	7 , 	77 , 	2 , 	1 , 	1 , 	1 , 	0 , 	2 , 	51 , 	13 , 	34 , 	3 , 	9 , 	28 , 	-   , 	90 , 	78 , 	253 , 	71 , 	11 , 	9 , 	9 , 	10 , 	8 , 	14 , 	1 , 	2 , 	5 , 	7 , 	882 ,,,WP line," 	8,701 "," 	1,059 "," 	1,766 ", 	793 ," 	1,908 ",,
