Fast Pass Adjusted OD,,,,,,Dec 02,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,55,42,149,117,437,770,671,994,"3,235"
MT,40,51,100,114,669,"1,116","1,043","2,038","5,171"
PL,194,118,82,110,637,997,671,"1,625","4,434"
CC,102,102,124,81,393,612,462,"1,197","3,073"
16,346,493,776,412,25,165,161,438,"2,816"
24,614,818,"1,162",644,168,39,156,439,"4,041"
GP,613,792,893,422,167,154,28,104,"3,173"
BP,870,"1,185","2,406","1,167",442,483,106,40,"6,698"
Entries,"2,833","3,601","5,692","3,067","2,939","4,335","3,298","6,876","32,641"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,8,40,20,164,185,92,190,719
MT,7,20,33,22,273,302,242,753,"1,651"
PL,32,19,82,45,569,834,485,"1,028","3,093"
CC,20,18,48,42,239,315,162,423,"1,266"
16,127,180,643,268,39,124,81,216,"1,677"
24,135,209,877,328,112,47,97,223,"2,028"
GP,71,137,613,128,87,82,33,52,"1,203"
BP,142,266,"1,610",369,224,233,52,40,"2,936"
Entries,554,857,"3,946","1,222","1,708","2,120","1,244","2,924","14,573"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,13,4,25,13,95,117,51,102,419
MT,5,18,20,16,151,173,186,563,"1,132"
PL,19,11,90,33,320,617,314,687,"2,090"
CC,13,12,39,41,194,253,94,266,913
16,80,100,427,215,30,82,46,121,"1,101"
24,95,118,652,274,66,32,58,141,"1,436"
GP,51,72,455,99,48,52,17,23,816
BP,92,149,"1,254",242,114,155,24,33,"2,063"
Entries,368,485,"2,961",932,"1,017","1,480",791,"1,935","9,969"
