Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Dec 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
FV, 	91 , 	121 , 	48 , 	62 , 	246 , 	89 , 	131 , 	127 , 	241 , 	122 , 	12 , 	245 , 	238 , 	255 , 	245 , 	103 , 	97 , 	136 , 	44 , 	30 , 	39 , 	19 , 	31 , 	57 , 	95 , 	502 , 	612 , 	703 , 	466 , 	141 , 	169 , 	54 , 	68 , 	99 , 	39 , 	46 , 	153 , 	8 , 	39 ," 	6,024 ",,,CM line," 	30,157 "," 	3,056 "," 	7,881 "," 	2,384 "," 	2,072 "," 	2,742 "," 	48,291 ",
CL, 	212 , 	159 , 	89 , 	77 , 	368 , 	117 , 	187 , 	185 , 	403 , 	160 , 	262 , 	11 , 	164 , 	217 , 	199 , 	111 , 	122 , 	154 , 	67 , 	80 , 	76 , 	39 , 	33 , 	66 , 	84 , 	500 , 	487 , 	558 , 	401 , 	108 , 	128 , 	73 , 	71 , 	111 , 	58 , 	69 , 	217 , 	26 , 	87 ," 	6,534 ",,,RM line," 	10,667 "," 	5,003 "," 	2,477 "," 	6,297 "," 	1,232 "," 	3,314 "," 	28,989 ",
SL, 	109 , 	86 , 	20 , 	20 , 	145 , 	49 , 	87 , 	184 , 	269 , 	167 , 	236 , 	168 , 	11 , 	128 , 	169 , 	88 , 	67 , 	100 , 	30 , 	20 , 	23 , 	6 , 	8 , 	14 , 	28 , 	509 , 	540 , 	448 , 	335 , 	50 , 	71 , 	28 , 	46 , 	49 , 	30 , 	33 , 	78 , 	8 , 	30 ," 	4,486 ",,,WP line," 	17,312 "," 	3,873 "," 	2,113 "," 	1,273 "," 	5,760 "," 	1,492 "," 	31,823 ",
BF, 	33 , 	36 , 	15 , 	12 , 	123 , 	40 , 	77 , 	187 , 	357 , 	185 , 	249 , 	221 , 	128 , 	9 , 	156 , 	120 , 	129 , 	223 , 	27 , 	15 , 	18 , 	5 , 	4 , 	13 , 	37 , 	440 , 	484 , 	390 , 	265 , 	53 , 	48 , 	22 , 	24 , 	54 , 	24 , 	53 , 	225 , 	4 , 	14 ," 	4,520 ",,,FT/ED line," 	17,574 "," 	6,835 "," 	2,762 "," 	3,853 "," 	1,506 "," 	12,074 "," 	44,604 ",
HY, 	96 , 	73 , 	26 , 	26 , 	116 , 	42 , 	86 , 	181 , 	248 , 	101 , 	258 , 	216 , 	176 , 	170 , 	9 , 	133 , 	211 , 	337 , 	26 , 	22 , 	14 , 	4 , 	3 , 	10 , 	35 , 	346 , 	286 , 	274 , 	217 , 	39 , 	45 , 	24 , 	28 , 	29 , 	23 , 	18 , 	84 , 	8 , 	28 ," 	4,069 ",,,Entries," 	93,215 "," 	32,983 "," 	49,070 "," 	29,175 "," 	31,269 "," 	46,910 "," 	282,622 ",
SH, 	25 , 	25 , 	8 , 	9 , 	81 , 	22 , 	47 , 	147 , 	195 , 	89 , 	88 , 	111 , 	98 , 	121 , 	126 , 	6 , 	88 , 	159 , 	18 , 	12 , 	17 , 	2 , 	3 , 	6 , 	24 , 	251 , 	252 , 	225 , 	170 , 	34 , 	32 , 	11 , 	17 , 	31 , 	15 , 	15 , 	49 , 	4 , 	16 ," 	2,650 ",,,,,,,,,,,
UC, 	15 , 	35 , 	11 , 	13 , 	124 , 	27 , 	51 , 	148 , 	244 , 	119 , 	102 , 	120 , 	78 , 	132 , 	224 , 	96 , 	11 , 	173 , 	22 , 	23 , 	15 , 	5 , 	5 , 	10 , 	20 , 	462 , 	411 , 	333 , 	214 , 	27 , 	27 , 	18 , 	23 , 	41 , 	17 , 	11 , 	42 , 	5 , 	17 ," 	3,472 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,,
FM, 	32 , 	65 , 	39 , 	32 , 	230 , 	53 , 	93 , 	293 , 	400 , 	140 , 	142 , 	161 , 	107 , 	230 , 	351 , 	163 , 	164 , 	26 , 	22 , 	24 , 	19 , 	7 , 	11 , 	22 , 	16 , 	705 , 	659 , 	536 , 	286 , 	34 , 	37 , 	20 , 	23 , 	62 , 	19 , 	21 , 	72 , 	5 , 	34 ," 	5,356 ",,,Dtwn SF," 	4,404 ",,,,,,,
CN, 	33 , 	46 , 	25 , 	15 , 	88 , 	21 , 	93 , 	213 , 	300 , 	24 , 	47 , 	71 , 	32 , 	29 , 	29 , 	17 , 	23 , 	20 , 	16 , 	143 , 	468 , 	108 , 	56 , 	94 , 	13 , 	625 , 	669 , 	425 , 	340 , 	58 , 	80 , 	41 , 	41 , 	81 , 	58 , 	5 , 	12 , 	63 , 	442 ," 	4,963 ",,,OAK," 	25,954 "," 	1,363 ",,,,,,
PH, 	22 , 	31 , 	19 , 	18 , 	130 , 	18 , 	86 , 	269 , 	380 , 	21 , 	28 , 	81 , 	19 , 	17 , 	21 , 	13 , 	22 , 	22 , 	148 , 	11 , 	137 , 	56 , 	35 , 	99 , 	11 ," 	1,261 "," 	1,209 ", 	592 , 	423 , 	51 , 	61 , 	52 , 	43 , 	105 , 	82 , 	3 , 	7 , 	36 , 	159 ," 	5,798 ",,,CM line," 	60,870 "," 	6,180 "," 	7,881 ",,,,,
