Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Dec 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	10 , 	107 , 	84 , 	37 , 	221 , 	77 , 	73 , 	50 , 	74 , 	23 , 	82 , 	63 , 	23 , 	19 , 	18 , 	10 , 	9 , 	21 , 	21 , 	8 , 	10 , 	5 , 	7 , 	12 , 	15 , 	54 , 	76 , 	233 , 	69 , 	86 , 	121 , 	19 , 	24 , 	24 , 	24 , 	5 , 	8 , 	4 , 	19 ," 	1,844 ",,,Eastbay," 	34,895 ",,SF CBD," 	77,768 ",60.6%,,
EN, 	109 , 	27 , 	52 , 	54 , 	338 , 	95 , 	92 , 	76 , 	151 , 	23 , 	87 , 	81 , 	34 , 	35 , 	28 , 	15 , 	18 , 	33 , 	19 , 	10 , 	18 , 	4 , 	5 , 	14 , 	17 , 	110 , 	160 , 	584 , 	137 , 	60 , 	102 , 	27 , 	48 , 	41 , 	43 , 	3 , 	13 , 	3 , 	16 ," 	2,781 ",,,Westbay," 	35,040 ",,non-CBD," 	50,623 ",39.4%,,
EP, 	83 , 	50 , 	14 , 	26 , 	261 , 	50 , 	45 , 	54 , 	72 , 	19 , 	38 , 	53 , 	10 , 	9 , 	12 , 	8 , 	6 , 	19 , 	7 , 	5 , 	10 , 	6 , 	4 , 	12 , 	5 , 	91 , 	117 , 	356 , 	83 , 	24 , 	31 , 	10 , 	8 , 	18 , 	13 , 	3 , 	6 , 	3 , 	7 ," 	1,643 ",,,Transbay," 	58,456 ",,,,,,
NB, 	46 , 	48 , 	28 , 	11 , 	113 , 	30 , 	40 , 	33 , 	71 , 	20 , 	33 , 	66 , 	10 , 	16 , 	17 , 	3 , 	8 , 	16 , 	8 , 	9 , 	15 , 	4 , 	3 , 	12 , 	9 , 	118 , 	148 , 	430 , 	123 , 	44 , 	55 , 	22 , 	13 , 	20 , 	15 , 	3 , 	9 , 	3 , 	7 ," 	1,679 ",,,,,,,,,,
BK, 	195 , 	328 , 	277 , 	113 , 	17 , 	185 , 	176 , 	182 , 	278 , 	71 , 	133 , 	138 , 	61 , 	50 , 	38 , 	21 , 	45 , 	85 , 	29 , 	35 , 	37 , 	24 , 	21 , 	25 , 	57 , 	191 , 	191 , 	787 , 	246 , 	95 , 	87 , 	43 , 	27 , 	46 , 	44 , 	15 , 	30 , 	7 , 	30 ," 	4,462 ",,,Extensions," 	16,803 ",,,,,,
AS, 	74 , 	80 , 	42 , 	29 , 	163 , 	8 , 	43 , 	69 , 	86 , 	25 , 	64 , 	70 , 	25 , 	26 , 	19 , 	6 , 	9 , 	19 , 	8 , 	3 , 	9 , 	5 , 	6 , 	7 , 	28 , 	77 , 	109 , 	296 , 	114 , 	61 , 	57 , 	12 , 	14 , 	14 , 	14 , 	3 , 	11 , 	2 , 	6 ," 	1,711 ",,,,,,,,,,
MA, 	55 , 	68 , 	35 , 	26 , 	117 , 	43 , 	16 , 	37 , 	56 , 	13 , 	88 , 	115 , 	35 , 	61 , 	86 , 	33 , 	13 , 	46 , 	25 , 	16 , 	24 , 	9 , 	6 , 	16 , 	27 , 	182 , 	220 , 	597 , 	204 , 	110 , 	88 , 	24 , 	22 , 	25 , 	19 , 	2 , 	12 , 	6 , 	29 ," 	2,607 ",,,,,,,,,,
19, 	41 , 	78 , 	48 , 	53 , 	174 , 	66 , 	43 , 	19 , 	40 , 	11 , 	76 , 	68 , 	48 , 	60 , 	43 , 	28 , 	45 , 	50 , 	41 , 	21 , 	31 , 	21 , 	15 , 	41 , 	31 , 	89 , 	120 , 	317 , 	128 , 	55 , 	55 , 	19 , 	25 , 	24 , 	22 , 	18 , 	24 , 	10 , 	35 ," 	2,131 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	63 , 	140 , 	70 , 	74 , 	224 , 	84 , 	82 , 	32 , 	16 , 	20 , 	112 , 	136 , 	119 , 	130 , 	79 , 	42 , 	95 , 	96 , 	68 , 	42 , 	60 , 	25 , 	32 , 	62 , 	72 , 	163 , 	214 , 	642 , 	213 , 	74 , 	73 , 	44 , 	48 , 	54 , 	51 , 	11 , 	42 , 	11 , 	47 ," 	3,661 ",,,Dtwn SF," 	1,716 "," 	5,138 "," 	14,329 "," 	5,094 "," 	5,853 "," 	8,181 "," 	40,312 "
LM, 	25 , 	22 , 	15 , 	21 , 	71 , 	23 , 	20 , 	13 , 	25 , 	8 , 	53 , 	91 , 	81 , 	98 , 	32 , 	25 , 	41 , 	45 , 	5 , 	7 , 	8 , 	4 , 	4 , 	9 , 	13 , 	106 , 	128 , 	464 , 	114 , 	48 , 	43 , 	25 , 	25 , 	19 , 	14 , 	32 , 	44 , 	3 , 	6 ," 	1,832 ",,,OAK," 	5,109 ", 	733 ," 	1,170 "," 	1,779 ", 	774 ," 	2,555 "," 	12,119 "
