Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,May 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	62 , 	198 , 	102 , 	101 , 	190 , 	119 , 	139 , 	75 , 	129 , 	116 , 	229 , 	12 , 	138 , 	185 , 	139 , 	82 , 	112 , 	353 , 	96 , 	125 , 	132 , 	80 , 	65 , 	88 , 	53 , 	360 , 	212 , 	612 , 	291 , 	139 , 	137 , 	67 , 	42 , 	66 , 	17 , 	113 , 	697 , 	51 , 	141 , 	15 , 	18 , 	49 , 	52 ," 	6,195 ",,,CM line," 	13,907 "," 	1,813 "," 	6,067 "," 	1,719 "," 	1,264 "," 	2,367 "," 	2,145 "," 	29,280 "
SL, 	16 , 	24 , 	12 , 	11 , 	51 , 	21 , 	39 , 	35 , 	65 , 	66 , 	178 , 	150 , 	8 , 	78 , 	68 , 	22 , 	22 , 	38 , 	11 , 	6 , 	12 , 	2 , 	3 , 	7 , 	17 , 	132 , 	69 , 	294 , 	103 , 	50 , 	69 , 	14 , 	17 , 	22 , 	4 , 	21 , 	36 , 	2 , 	20 , 	7 , 	5 , 	23 , 	9 ," 	1,852 ",,,RM line," 	5,142 "," 	1,606 "," 	1,728 "," 	2,818 ", 	593 ," 	2,390 ", 	581 ," 	14,857 "
BF, 	21 , 	32 , 	13 , 	14 , 	53 , 	29 , 	51 , 	39 , 	66 , 	85 , 	237 , 	183 , 	82 , 	5 , 	116 , 	69 , 	52 , 	100 , 	16 , 	4 , 	8 , 	1 , 	2 , 	10 , 	18 , 	145 , 	92 , 	280 , 	104 , 	48 , 	61 , 	18 , 	16 , 	23 , 	8 , 	48 , 	118 , 	3 , 	29 , 	6 , 	7 , 	20 , 	6 ," 	2,337 ",,,WP line," 	5,729 ", 	749 ," 	1,280 ", 	650 ," 	2,350 "," 	1,486 ", 	714 ," 	12,957 "
HY, 	23 , 	38 , 	14 , 	9 , 	67 , 	32 , 	45 , 	42 , 	56 , 	48 , 	191 , 	146 , 	74 , 	140 , 	9 , 	54 , 	50 , 	95 , 	12 , 	7 , 	10 , 	3 , 	4 , 	10 , 	21 , 	130 , 	60 , 	225 , 	84 , 	52 , 	40 , 	7 , 	16 , 	20 , 	7 , 	11 , 	53 , 	5 , 	29 , 	6 , 	7 , 	25 , 	5 ," 	1,978 ",,,FT/ED line," 	8,026 "," 	2,151 "," 	2,249 "," 	2,324 "," 	1,441 "," 	9,034 ", 	656 ," 	25,881 "
SH, 	7 , 	11 , 	4 , 	3 , 	17 , 	7 , 	20 , 	10 , 	22 , 	17 , 	98 , 	78 , 	28 , 	71 , 	50 , 	5 , 	31 , 	61 , 	8 , 	4 , 	3 , 	1 , 	1 , 	3 , 	5 , 	42 , 	27 , 	98 , 	28 , 	31 , 	22 , 	8 , 	8 , 	12 , 	3 , 	6 , 	16 , 	1 , 	11 , 	2 , 	3 , 	11 , 	3 , 	893 ,,,SFIA," 	4,330 ", 	249 ," 	1,736 ", 	436 , 	536 , 	489 , 	815 ," 	8,590 "
UC, 	7 , 	16 , 	7 , 	5 , 	28 , 	14 , 	16 , 	13 , 	30 , 	28 , 	64 , 	122 , 	28 , 	56 , 	52 , 	34 , 	3 , 	60 , 	11 , 	3 , 	5 , 	3 , 	0 , 	6 , 	10 , 	82 , 	50 , 	160 , 	56 , 	26 , 	24 , 	5 , 	9 , 	11 , 	8 , 	7 , 	22 , 	1 , 	14 , 	2 , 	3 , 	17 , 	3 ," 	1,118 ",,,Entries," 	44,066 "," 	12,334 "," 	29,318 "," 	14,594 "," 	12,484 "," 	25,594 "," 	9,436 "," 	147,826 "
FM, 	12 , 	36 , 	21 , 	16 , 	120 , 	21 , 	37 , 	25 , 	52 , 	48 , 	73 , 	371 , 	34 , 	110 , 	99 , 	70 , 	67 , 	24 , 	21 , 	13 , 	11 , 	6 , 	6 , 	18 , 	10 , 	196 , 	110 , 	377 , 	147 , 	78 , 	49 , 	13 , 	20 , 	27 , 	7 , 	14 , 	44 , 	3 , 	28 , 	4 , 	4 , 	43 , 	5 ," 	2,487 ",,,,,,,,,,,
CN, 	15 , 	12 , 	9 , 	9 , 	31 , 	15 , 	31 , 	23 , 	40 , 	12 , 	35 , 	104 , 	13 , 	13 , 	12 , 	7 , 	9 , 	21 , 	9 , 	43 , 	173 , 	58 , 	17 , 	46 , 	9 , 	160 , 	87 , 	211 , 	110 , 	41 , 	56 , 	16 , 	27 , 	31 , 	8 , 	6 , 	10 , 	23 , 	167 , 	7 , 	15 , 	61 , 	10 ," 	1,807 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	5 , 	7 , 	6 , 	9 , 	36 , 	11 , 	18 , 	21 , 	35 , 	7 , 	14 , 	149 , 	4 , 	4 , 	6 , 	1 , 	6 , 	11 , 	45 , 	6 , 	59 , 	17 , 	15 , 	46 , 	3 , 	251 , 	118 , 	286 , 	152 , 	40 , 	36 , 	17 , 	11 , 	25 , 	9 , 	1 , 	6 , 	5 , 	39 , 	4 , 	5 , 	100 , 	16 ," 	1,658 ",,,Dtwn SF," 	1,894 ",,,,,,,
WC, 	8 , 	17 , 	14 , 	13 , 	64 , 	11 , 	36 , 	28 , 	47 , 	8 , 	20 , 	138 , 	8 , 	8 , 	11 , 	4 , 	3 , 	11 , 	213 , 	66 , 	8 , 	38 , 	22 , 	77 , 	8 , 	327 , 	157 , 	395 , 	207 , 	62 , 	38 , 	22 , 	14 , 	29 , 	5 , 	3 , 	4 , 	17 , 	66 , 	9 , 	9 , 	118 , 	14 ," 	2,372 ",,,OAK," 	10,238 ", 	569 ,,,,,,
