Exit stations,Entry stations->,,SUNDAY,,,Jul 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	8 , 	44 , 	51 , 	37 , 	139 , 	60 , 	60 , 	29 , 	46 , 	25 , 	63 , 	71 , 	13 , 	18 , 	16 , 	14 , 	10 , 	18 , 	20 , 	6 , 	10 , 	5 , 	3 , 	9 , 	16 , 	100 , 	53 , 	184 , 	74 , 	53 , 	51 , 	17 , 	22 , 	23 , 	7 , 	3 , 	11 , 	2 , 	23 , 	6 , 	8 , 	22 , 	8 , 	4 ," 	1,462 ",,,Eastbay," 	34,222 ",,SF CBD," 	81,291 ",58.0%,,,
EN, 	51 , 	14 , 	52 , 	35 , 	213 , 	85 , 	80 , 	48 , 	86 , 	35 , 	86 , 	175 , 	27 , 	28 , 	28 , 	11 , 	14 , 	34 , 	17 , 	13 , 	20 , 	5 , 	6 , 	18 , 	22 , 	213 , 	139 , 	401 , 	137 , 	59 , 	56 , 	27 , 	42 , 	28 , 	14 , 	6 , 	14 , 	4 , 	24 , 	6 , 	10 , 	56 , 	15 , 	3 ," 	2,454 ",,,Westbay," 	42,962 ",,non-CBD," 	52,911 ",37.7%,,,
EP, 	52 , 	48 , 	9 , 	33 , 	235 , 	59 , 	48 , 	48 , 	52 , 	21 , 	39 , 	105 , 	10 , 	16 , 	13 , 	4 , 	9 , 	25 , 	11 , 	5 , 	14 , 	5 , 	5 , 	21 , 	10 , 	139 , 	88 , 	216 , 	112 , 	39 , 	33 , 	15 , 	11 , 	10 , 	3 , 	6 , 	7 , 	1 , 	8 , 	3 , 	3 , 	44 , 	10 , 	3 ," 	1,650 ",,,Transbay," 	65,272 ",,,,,,,
NB, 	41 , 	35 , 	33 , 	11 , 	67 , 	42 , 	49 , 	46 , 	57 , 	28 , 	36 , 	115 , 	16 , 	10 , 	9 , 	5 , 	8 , 	22 , 	8 , 	12 , 	13 , 	7 , 	5 , 	11 , 	11 , 	194 , 	121 , 	257 , 	166 , 	86 , 	60 , 	18 , 	11 , 	9 , 	3 , 	3 , 	13 , 	1 , 	10 , 	3 , 	5 , 	78 , 	16 , 	2 ," 	1,754 ",,,,,,,,,,,
BK, 	158 , 	207 , 	233 , 	62 , 	30 , 	156 , 	173 , 	187 , 	192 , 	93 , 	122 , 	244 , 	46 , 	45 , 	46 , 	30 , 	49 , 	235 , 	38 , 	39 , 	67 , 	31 , 	22 , 	27 , 	43 , 	556 , 	295 , 	950 , 	408 , 	213 , 	152 , 	57 , 	49 , 	60 , 	11 , 	19 , 	58 , 	14 , 	21 , 	10 , 	11 , 	283 , 	102 , 	21 ," 	5,866 ",,,,,,,,,,,
AS, 	68 , 	80 , 	54 , 	40 , 	122 , 	13 , 	66 , 	87 , 	82 , 	39 , 	71 , 	96 , 	25 , 	30 , 	19 , 	8 , 	14 , 	26 , 	16 , 	8 , 	12 , 	5 , 	5 , 	9 , 	33 , 	172 , 	111 , 	268 , 	175 , 	129 , 	85 , 	19 , 	16 , 	16 , 	4 , 	5 , 	14 , 	3 , 	20 , 	4 , 	3 , 	57 , 	15 , 	7 ," 	2,152 ",,,,,,,,,,,
MA, 	65 , 	75 , 	56 , 	46 , 	171 , 	76 , 	12 , 	67 , 	74 , 	37 , 	89 , 	168 , 	37 , 	51 , 	34 , 	19 , 	17 , 	39 , 	39 , 	28 , 	45 , 	18 , 	15 , 	44 , 	41 , 	303 , 	177 , 	477 , 	321 , 	211 , 	135 , 	35 , 	36 , 	22 , 	6 , 	9 , 	17 , 	10 , 	56 , 	5 , 	9 , 	107 , 	21 , 	6 ," 	3,328 ",,,,,,,,,,,
19, 	40 , 	43 , 	48 , 	46 , 	156 , 	92 , 	57 , 	11 , 	12 , 	20 , 	49 , 	111 , 	36 , 	47 , 	31 , 	15 , 	17 , 	36 , 	32 , 	24 , 	37 , 	24 , 	17 , 	54 , 	25 , 	160 , 	137 , 	333 , 	233 , 	143 , 	82 , 	24 , 	21 , 	21 , 	3 , 	7 , 	11 , 	8 , 	39 , 	3 , 	10 , 	63 , 	18 , 	5 ," 	2,402 ",,,,,,,,,,,
12, 	53 , 	71 , 	51 , 	42 , 	165 , 	75 , 	68 , 	15 , 	14 , 	13 , 	61 , 	168 , 	52 , 	70 , 	52 , 	26 , 	30 , 	47 , 	37 , 	29 , 	41 , 	19 , 	17 , 	50 , 	40 , 	259 , 	182 , 	486 , 	229 , 	106 , 	78 , 	36 , 	44 , 	27 , 	12 , 	8 , 	11 , 	9 , 	40 , 	7 , 	13 , 	108 , 	29 , 	3 ," 	2,992 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	32 , 	34 , 	25 , 	29 , 	97 , 	41 , 	37 , 	16 , 	18 , 	13 , 	109 , 	145 , 	84 , 	96 , 	45 , 	29 , 	35 , 	58 , 	9 , 	8 , 	10 , 	4 , 	9 , 	19 , 	26 , 	189 , 	144 , 	420 , 	225 , 	125 , 	106 , 	36 , 	38 , 	28 , 	4 , 	42 , 	54 , 	2 , 	14 , 	7 , 	6 , 	23 , 	9 , 	20 ," 	2,520 ",,,Dtwn SF," 	1,561 "," 	5,645 "," 	11,313 "," 	5,303 "," 	5,234 "," 	7,264 "," 	4,662 "," 	40,983 "
