Muni Fast Pass Adult/Clipper OD,,,,,,Jul 12,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,47,23,87,122,422,725,631,929,"2,986"
MT,28,43,51,100,493,911,882,"1,664","4,172"
PL,131,80,44,64,408,599,492,"1,247","3,065"
CC,91,86,68,30,234,387,331,747,"1,973"
16,359,381,502,257,15,139,154,337,"2,144"
24,568,675,728,387,151,21,114,315,"2,959"
GP,547,663,619,318,153,128,16,69,"2,513"
BP,780,942,"1,693",672,333,326,68,36,"4,851"
Entries,"2,552","2,892","3,792","1,949","2,209","3,236","2,688","5,345","24,664"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,5,40,26,164,202,123,255,836
MT,6,13,15,15,167,233,216,743,"1,408"
PL,45,15,48,30,393,493,395,"1,034","2,452"
CC,18,11,37,25,159,233,138,287,906
16,131,95,422,177,18,133,124,236,"1,335"
24,172,140,552,227,123,22,99,221,"1,555"
GP,103,111,497,122,101,94,16,44,"1,088"
BP,221,279,"1,332",242,212,199,40,35,"2,558"
Entries,716,668,"2,941",864,"1,336","1,608","1,151","2,854","12,137"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,25,4,18,17,88,111,72,156,492
MT,4,14,11,7,89,132,119,437,813
PL,26,7,53,20,243,332,243,651,"1,575"
CC,12,7,25,28,120,159,94,208,654
16,84,52,288,122,16,88,70,147,867
24,115,85,405,166,89,20,65,144,"1,088"
GP,80,67,359,100,76,71,16,26,795
BP,155,164,995,176,144,149,26,29,"1,837"
Entries,500,400,"2,155",636,866,"1,062",705,"1,798","8,122"
