Exit stations,Entry stations->,,SATURDAY,,,Sep 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
CL, 	21 , 	53 , 	22 , 	30 , 	102 , 	48 , 	71 , 	65 , 	80 , 	83 , 	75 , 	41 , 	86 , 	65 , 	52 , 	36 , 	44 , 	46 , 	25 , 	32 , 	23 , 	27 , 	13 , 	22 , 	44 , 	155 , 	92 , 	233 , 	131 , 	84 , 	66 , 	35 , 	30 , 	70 , 	7 , 	35 , 	120 , 	10 , 	16 , 	12 , 	23 , 	12 , 	12 , 	50 , 	33 , 	24 , 	53 , 	65 , 	6 , 	15 ," 	2,589 ",,,,,,,,,,
SL, 	12 , 	15 , 	9 , 	4 , 	40 , 	11 , 	26 , 	31 , 	38 , 	56 , 	66 , 	96 , 	11 , 	50 , 	41 , 	21 , 	18 , 	15 , 	6 , 	5 , 	7 , 	2 , 	-   , 	9 , 	15 , 	88 , 	77 , 	165 , 	70 , 	31 , 	26 , 	11 , 	15 , 	12 , 	1 , 	18 , 	26 , 	1 , 	3 , 	1 , 	3 , 	13 , 	2 , 	23 , 	6 , 	12 , 	8 , 	17 , 	2 , 	5 ," 	1,236 ",,,,,,,,,,
BF, 	10 , 	10 , 	6 , 	4 , 	34 , 	9 , 	16 , 	21 , 	29 , 	45 , 	80 , 	75 , 	51 , 	11 , 	34 , 	26 , 	21 , 	23 , 	8 , 	2 , 	2 , 	2 , 	2 , 	3 , 	18 , 	86 , 	61 , 	144 , 	55 , 	27 , 	23 , 	11 , 	8 , 	9 , 	4 , 	15 , 	33 , 	2 , 	4 , 	1 , 	4 , 	11 , 	1 , 	17 , 	2 , 	13 , 	8 , 	13 , 	1 , 	3 ," 	1,089 ",,,,,,,,,,
HY, 	9 , 	13 , 	6 , 	5 , 	37 , 	9 , 	14 , 	24 , 	25 , 	25 , 	50 , 	62 , 	48 , 	34 , 	14 , 	26 , 	32 , 	32 , 	8 , 	4 , 	2 , 	2 , 	1 , 	2 , 	7 , 	40 , 	31 , 	69 , 	24 , 	13 , 	14 , 	6 , 	11 , 	10 , 	3 , 	5 , 	16 , 	1 , 	3 , 	1 , 	3 , 	5 , 	1 , 	8 , 	6 , 	21 , 	19 , 	26 , 	2 , 	5 , 	829 ,,,,,,,,,,
SH, 	6 , 	6 , 	5 , 	2 , 	20 , 	6 , 	4 , 	10 , 	12 , 	9 , 	30 , 	28 , 	20 , 	18 , 	27 , 	7 , 	11 , 	24 , 	3 , 	3 , 	3 , 	-   , 	0 , 	2 , 	5 , 	32 , 	20 , 	39 , 	20 , 	12 , 	13 , 	3 , 	5 , 	5 , 	4 , 	4 , 	8 , 	1 , 	2 , 	1 , 	3 , 	5 , 	2 , 	7 , 	3 , 	10 , 	11 , 	11 , 	0 , 	3 , 	477 ,,,,,,,,,,
UC, 	8 , 	9 , 	3 , 	3 , 	49 , 	7 , 	9 , 	13 , 	12 , 	16 , 	18 , 	46 , 	19 , 	18 , 	35 , 	10 , 	12 , 	26 , 	6 , 	2 , 	1 , 	1 , 	1 , 	4 , 	4 , 	54 , 	25 , 	59 , 	30 , 	15 , 	8 , 	5 , 	4 , 	6 , 	2 , 	3 , 	10 , 	0 , 	2 , 	1 , 	2 , 	6 , 	2 , 	6 , 	7 , 	17 , 	22 , 	21 , 	1 , 	3 , 	636 ,,,,,,,,,,
FM, 	3 , 	5 , 	5 , 	6 , 	46 , 	7 , 	14 , 	18 , 	15 , 	13 , 	32 , 	46 , 	15 , 	22 , 	32 , 	19 , 	24 , 	22 , 	4 , 	2 , 	2 , 	1 , 	1 , 	2 , 	2 , 	76 , 	39 , 	63 , 	33 , 	14 , 	11 , 	3 , 	7 , 	5 , 	1 , 	4 , 	9 , 	0 , 	1 , 	2 , 	2 , 	10 , 	0 , 	3 , 	10 , 	18 , 	32 , 	34 , 	1 , 	3 , 	736 ,,,,,,,,,,
CN, 	7 , 	8 , 	6 , 	3 , 	20 , 	6 , 	27 , 	22 , 	28 , 	5 , 	14 , 	21 , 	5 , 	11 , 	7 , 	4 , 	4 , 	3 , 	22 , 	29 , 	76 , 	33 , 	6 , 	25 , 	8 , 	99 , 	52 , 	116 , 	45 , 	24 , 	26 , 	10 , 	11 , 	19 , 	7 , 	0 , 	5 , 	9 , 	49 , 	7 , 	8 , 	44 , 	9 , 	2 , 	10 , 	1 , 	4 , 	7 , 	34 , 	38 ," 	1,028 ",,,,,,,,,,
PH, 	4 , 	5 , 	3 , 	4 , 	22 , 	3 , 	11 , 	21 , 	19 , 	4 , 	7 , 	27 , 	2 , 	3 , 	2 , 	1 , 	3 , 	3 , 	33 , 	9 , 	35 , 	16 , 	6 , 	28 , 	3 , 	112 , 	51 , 	97 , 	49 , 	14 , 	13 , 	9 , 	6 , 	9 , 	2 , 	1 , 	2 , 	5 , 	15 , 	3 , 	3 , 	46 , 	4 , 	-   , 	18 , 	1 , 	1 , 	3 , 	8 , 	8 , 	750 ,,,,,,,,,,
WC, 	7 , 	6 , 	3 , 	7 , 	43 , 	5 , 	22 , 	32 , 	18 , 	2 , 	10 , 	19 , 	7 , 	4 , 	3 , 	3 , 	2 , 	2 , 	97 , 	36 , 	11 , 	17 , 	14 , 	41 , 	8 , 	133 , 	69 , 	112 , 	66 , 	27 , 	19 , 	9 , 	9 , 	10 , 	5 , 	2 , 	2 , 	10 , 	33 , 	3 , 	5 , 	46 , 	3 , 	0 , 	11 , 	1 , 	2 , 	4 , 	12 , 	23 ," 	1,028 ",,,,,,,,,,
