Exit stations,Entry stations->,,TOTAL,,,Sep 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	425 ," 	1,678 "," 	1,200 ", 	806 ," 	4,832 "," 	1,135 "," 	1,617 "," 	1,117 "," 	1,348 ", 	383 ," 	1,271 ", 	891 , 	452 , 	332 , 	476 , 	215 , 	185 , 	173 , 	318 , 	97 , 	337 , 	140 , 	97 , 	292 , 	318 ," 	3,569 "," 	3,052 "," 	5,468 "," 	3,236 "," 	2,568 "," 	2,679 ", 	612 , 	780 , 	753 , 	257 , 	85 , 	119 , 	56 , 	143 , 	152 , 	245 , 	613 , 	204 , 	56 , 	233 , 	177 , 	101 , 	170 , 	135 , 	174 ," 	45,772 ",,,,,,,,,,,,,
EN," 	1,669 ", 	470 ," 	1,237 ", 	845 ," 	7,739 "," 	1,134 "," 	2,293 "," 	2,405 "," 	2,955 ", 	773 ," 	1,436 "," 	1,363 ", 	659 , 	494 , 	668 , 	221 , 	311 , 	351 , 	275 , 	125 , 	332 , 	90 , 	195 , 	274 , 	486 ," 	7,023 "," 	5,729 "," 	8,246 "," 	5,679 "," 	2,629 "," 	2,460 ", 	776 ," 	1,094 "," 	1,259 ", 	319 , 	59 , 	206 , 	112 , 	192 , 	262 , 	375 ," 	1,395 ", 	501 , 	85 , 	576 , 	286 , 	186 , 	308 , 	199 , 	167 ," 	68,923 ",,,,,,,,,,,,,
EP," 	1,317 "," 	1,126 ", 	244 , 	769 ," 	6,669 ", 	795 ," 	1,122 "," 	1,277 "," 	1,707 ", 	496 , 	777 , 	579 , 	391 , 	195 , 	295 , 	154 , 	132 , 	232 , 	211 , 	109 , 	169 , 	121 , 	49 , 	334 , 	137 ," 	3,259 "," 	2,687 "," 	2,816 "," 	2,748 ", 	984 , 	783 , 	389 , 	260 , 	441 , 	33 , 	56 , 	95 , 	38 , 	150 , 	97 , 	67 , 	697 , 	230 , 	51 , 	285 , 	82 , 	91 , 	180 , 	41 , 	59 ," 	36,026 ",,,,,,,,,,,,,
NB, 	836 , 	844 , 	805 , 	258 ," 	2,012 ", 	557 , 	767 ," 	1,288 "," 	1,002 ", 	414 , 	993 , 	741 , 	253 , 	157 , 	300 , 	81 , 	119 , 	201 , 	157 , 	175 , 	164 , 	145 , 	97 , 	178 , 	185 ," 	3,087 "," 	2,516 "," 	2,240 "," 	2,897 "," 	1,252 ", 	948 , 	317 , 	351 , 	355 , 	69 , 	92 , 	106 , 	33 , 	126 , 	68 , 	73 , 	926 , 	155 , 	26 , 	352 , 	116 , 	91 , 	166 , 	25 , 	75 ," 	29,191 ",,,,,,,,,,,,,
BK," 	5,123 "," 	8,293 "," 	7,028 "," 	2,207 "," 	1,432 "," 	3,089 "," 	3,313 "," 	4,197 "," 	4,110 "," 	1,535 "," 	2,806 "," 	2,437 "," 	1,746 "," 	1,229 "," 	1,239 ", 	878 ," 	1,563 "," 	1,432 ", 	829 , 	973 , 	955 , 	517 , 	418 , 	258 ," 	1,039 "," 	6,833 "," 	4,902 "," 	6,954 "," 	5,984 "," 	3,465 "," 	2,924 "," 	1,281 "," 	1,183 "," 	1,292 ", 	295 , 	349 ," 	1,102 ", 	205 , 	603 , 	275 , 	383 ," 	1,473 "," 	1,151 ", 	328 ," 	1,198 ", 	650 ," 	1,165 "," 	1,559 ", 	281 , 	526 ," 	105,007 ",,,,,,,,,,,,,
AS," 	1,169 "," 	1,252 ", 	800 , 	566 ," 	2,565 ", 	297 , 	827 ," 	1,461 "," 	1,256 ", 	554 ," 	1,078 ", 	890 , 	462 , 	308 , 	315 , 	155 , 	269 , 	248 , 	224 , 	164 , 	143 , 	62 , 	14 , 	99 , 	277 ," 	3,029 "," 	2,390 "," 	2,714 "," 	3,027 "," 	1,736 "," 	1,028 ", 	258 , 	349 , 	296 , 	80 , 	57 , 	154 , 	33 , 	70 , 	71 , 	142 , 	583 , 	203 , 	43 , 	357 , 	124 , 	239 , 	274 , 	41 , 	130 ," 	32,883 ",,,,,,,,,,,,,
MA," 	1,707 "," 	2,220 "," 	1,209 ", 	798 ," 	3,334 ", 	986 , 	620 ," 	1,201 "," 	1,520 ", 	552 ," 	2,308 "," 	2,331 "," 	1,276 ", 	809 , 	708 , 	462 , 	539 , 	549 , 	946 , 	894 ," 	1,034 ", 	363 , 	301 , 	587 , 	673 ," 	5,947 "," 	4,870 "," 	5,719 "," 	5,752 "," 	3,559 "," 	2,414 ", 	706 , 	886 , 	628 , 	187 , 	116 , 	382 , 	189 , 	782 , 	182 , 	169 ," 	1,374 ", 	371 , 	128 , 	450 , 	235 , 	262 , 	400 , 	547 ," 	1,117 "," 	65,299 ",,,,,,,,,,,,,
19," 	1,216 "," 	2,291 "," 	1,194 "," 	1,304 "," 	4,018 "," 	1,426 "," 	1,196 ", 	652 , 	311 , 	245 ," 	1,272 "," 	1,596 "," 	1,199 ", 	971 , 	983 , 	622 , 	619 , 	503 ," 	1,127 "," 	1,038 "," 	1,222 ", 	677 , 	415 ," 	1,073 ", 	614 ," 	6,604 "," 	5,572 "," 	6,542 "," 	5,985 "," 	3,521 "," 	2,397 ", 	814 , 	897 , 	839 , 	270 , 	229 , 	454 , 	246 , 	844 , 	249 , 	246 ," 	1,198 ", 	354 , 	216 , 	513 , 	308 , 	374 , 	516 , 	263 , 	994 ," 	68,229 ",,,,,,,,,,,,,
12," 	1,362 "," 	2,898 "," 	1,740 ", 	976 ," 	3,612 "," 	1,109 "," 	1,476 ", 	276 , 	592 , 	205 ," 	1,322 "," 	2,079 "," 	1,989 "," 	1,375 "," 	1,413 ", 	711 , 	913 , 	776 ," 	1,391 "," 	1,348 "," 	1,352 ", 	547 , 	490 , 	930 , 	785 ," 	6,421 "," 	4,794 "," 	7,239 "," 	5,439 "," 	2,747 "," 	2,063 ", 	970 ," 	1,195 "," 	1,317 ", 	472 , 	240 , 	442 , 	305 ," 	1,007 ", 	453 , 	373 ," 	1,310 ", 	613 , 	183 , 	483 , 	379 , 	307 , 	501 , 	358 ," 	1,203 "," 	72,481 ",,,,,,,,,,,,,
LM, 	386 , 	779 , 	494 , 	425 ," 	2,523 ", 	553 , 	608 , 	244 , 	213 , 	373 ," 	1,799 "," 	2,732 "," 	2,632 "," 	2,068 "," 	1,410 ", 	919 , 	901 , 	881 , 	270 , 	193 , 	172 , 	65 , 	90 , 	207 , 	339 ," 	5,028 "," 	4,234 "," 	5,625 "," 	4,607 "," 	2,365 "," 	1,595 ", 	725 , 	786 , 	629 , 	69 ," 	1,151 "," 	1,693 ", 	88 , 	164 , 	107 , 	89 , 	346 , 	67 , 	681 , 	472 , 	476 , 	397 , 	509 , 	101 , 	342 ," 	53,622 ",,,,,,,,,,,,,
