Exit stations,Entry stations->,,SUNDAY,,,Sep 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	13 , 	20 , 	19 , 	11 , 	62 , 	15 , 	21 , 	20 , 	19 , 	12 , 	26 , 	24 , 	8 , 	5 , 	7 , 	3 , 	2 , 	5 , 	9 , 	2 , 	6 , 	4 , 	1 , 	5 , 	4 , 	54 , 	31 , 	91 , 	43 , 	32 , 	27 , 	7 , 	12 , 	4 , 	4 , 	3 , 	1 , 	0 , 	3 , 	1 , 	3 , 	19 , 	2 , 	1 , 	8 , 	3 , 	5 , 	7 , 	3 , 	2 , 	682 ,,,,,,,,,,,
EN, 	23 , 	19 , 	16 , 	15 , 	75 , 	23 , 	29 , 	20 , 	31 , 	16 , 	22 , 	44 , 	10 , 	7 , 	8 , 	4 , 	3 , 	6 , 	5 , 	2 , 	7 , 	2 , 	1 , 	4 , 	8 , 	89 , 	51 , 	136 , 	58 , 	31 , 	24 , 	9 , 	12 , 	10 , 	4 , 	0 , 	3 , 	1 , 	4 , 	2 , 	8 , 	40 , 	5 , 	3 , 	14 , 	5 , 	7 , 	13 , 	1 , 	3 , 	928 ,,,,,,,,,,,
EP, 	22 , 	12 , 	11 , 	14 , 	88 , 	19 , 	16 , 	16 , 	18 , 	10 , 	12 , 	23 , 	4 , 	6 , 	6 , 	2 , 	2 , 	3 , 	3 , 	2 , 	2 , 	2 , 	1 , 	6 , 	2 , 	57 , 	33 , 	57 , 	33 , 	17 , 	10 , 	4 , 	4 , 	5 , 	1 , 	2 , 	4 , 	-   , 	3 , 	2 , 	2 , 	21 , 	2 , 	1 , 	12 , 	2 , 	5 , 	4 , 	-   , 	1 , 	578 ,,,,,,,,,,,
NB, 	15 , 	15 , 	17 , 	10 , 	14 , 	12 , 	15 , 	26 , 	16 , 	9 , 	15 , 	21 , 	7 , 	5 , 	7 , 	3 , 	3 , 	4 , 	2 , 	3 , 	3 , 	2 , 	2 , 	5 , 	3 , 	72 , 	38 , 	53 , 	48 , 	20 , 	19 , 	6 , 	2 , 	6 , 	3 , 	1 , 	2 , 	0 , 	2 , 	-   , 	1 , 	27 , 	5 , 	-   , 	13 , 	3 , 	5 , 	7 , 	1 , 	1 , 	565 ,,,,,,,,,,,
BK, 	61 , 	83 , 	90 , 	19 , 	60 , 	31 , 	47 , 	63 , 	64 , 	35 , 	40 , 	42 , 	22 , 	13 , 	21 , 	7 , 	17 , 	27 , 	8 , 	8 , 	12 , 	8 , 	6 , 	4 , 	14 , 	186 , 	75 , 	204 , 	128 , 	72 , 	41 , 	17 , 	12 , 	16 , 	6 , 	4 , 	19 , 	3 , 	5 , 	5 , 	5 , 	48 , 	20 , 	5 , 	36 , 	17 , 	40 , 	65 , 	3 , 	4 ," 	1,831 ",,,,,,,,,,,
AS, 	19 , 	24 , 	20 , 	10 , 	27 , 	9 , 	18 , 	28 , 	16 , 	17 , 	19 , 	23 , 	7 , 	6 , 	4 , 	3 , 	7 , 	3 , 	3 , 	2 , 	2 , 	1 , 	1 , 	0 , 	7 , 	49 , 	27 , 	52 , 	50 , 	33 , 	17 , 	5 , 	6 , 	4 , 	0 , 	3 , 	6 , 	2 , 	3 , 	2 , 	1 , 	18 , 	5 , 	1 , 	15 , 	3 , 	4 , 	14 , 	1 , 	2 , 	593 ,,,,,,,,,,,
MA, 	24 , 	30 , 	18 , 	17 , 	36 , 	20 , 	24 , 	20 , 	21 , 	16 , 	35 , 	100 , 	14 , 	11 , 	12 , 	3 , 	9 , 	7 , 	16 , 	10 , 	12 , 	8 , 	7 , 	16 , 	15 , 	118 , 	67 , 	139 , 	113 , 	78 , 	46 , 	16 , 	10 , 	7 , 	3 , 	1 , 	5 , 	4 , 	14 , 	2 , 	2 , 	47 , 	6 , 	3 , 	16 , 	3 , 	10 , 	11 , 	4 , 	8 ," 	1,230 ",,,,,,,,,,,
19, 	19 , 	16 , 	14 , 	20 , 	64 , 	22 , 	24 , 	24 , 	7 , 	7 , 	22 , 	28 , 	19 , 	13 , 	12 , 	8 , 	8 , 	10 , 	11 , 	12 , 	19 , 	6 , 	5 , 	17 , 	17 , 	119 , 	89 , 	162 , 	124 , 	94 , 	49 , 	13 , 	14 , 	13 , 	6 , 	1 , 	2 , 	1 , 	6 , 	3 , 	5 , 	57 , 	7 , 	1 , 	17 , 	5 , 	9 , 	11 , 	3 , 	6 ," 	1,238 ",,,,,,,,,,,
12, 	19 , 	21 , 	16 , 	15 , 	50 , 	19 , 	15 , 	4 , 	20 , 	4 , 	17 , 	33 , 	20 , 	19 , 	19 , 	11 , 	9 , 	10 , 	13 , 	12 , 	9 , 	6 , 	7 , 	17 , 	13 , 	123 , 	81 , 	178 , 	101 , 	72 , 	45 , 	17 , 	18 , 	11 , 	9 , 	1 , 	3 , 	3 , 	6 , 	5 , 	7 , 	50 , 	9 , 	1 , 	12 , 	7 , 	7 , 	9 , 	4 , 	6 ," 	1,176 ",,,,,,,,,,,
LM, 	15 , 	15 , 	13 , 	13 , 	35 , 	18 , 	14 , 	8 , 	5 , 	20 , 	54 , 	64 , 	41 , 	36 , 	17 , 	14 , 	10 , 	14 , 	2 , 	4 , 	2 , 	1 , 	1 , 	3 , 	10 , 	82 , 	60 , 	138 , 	79 , 	60 , 	49 , 	15 , 	18 , 	11 , 	2 , 	15 , 	36 , 	1 , 	3 , 	3 , 	1 , 	10 , 	2 , 	14 , 	18 , 	6 , 	9 , 	16 , 	1 , 	2 ," 	1,074 ",,,,,,,,,,,
FV, 	25 , 	23 , 	12 , 	15 , 	42 , 	20 , 	33 , 	20 , 	17 , 	47 , 	22 , 	57 , 	47 , 	61 , 	36 , 	21 , 	14 , 	19 , 	8 , 	3 , 	5 , 	1 , 	5 , 	13 , 	21 , 	88 , 	64 , 	167 , 	92 , 	53 , 	41 , 	12 , 	13 , 	9 , 	2 , 	10 , 	33 , 	1 , 	7 , 	2 , 	3 , 	13 , 	2 , 	17 , 	8 , 	10 , 	10 , 	26 , 	1 , 	3 ," 	1,269 ",,,,,,,,,,,
CL, 	25 , 	37 , 	26 , 	29 , 	81 , 	37 , 	61 , 	49 , 	53 , 	67 , 	63 , 	51 , 	64 , 	57 , 	45 , 	24 , 	28 , 	22 , 	12 , 	18 , 	10 , 	11 , 	11 , 	16 , 	26 , 	99 , 	63 , 	185 , 	107 , 	52 , 	51 , 	14 , 	18 , 	28 , 	6 , 	31 , 	85 , 	7 , 	12 , 	4 , 	7 , 	16 , 	7 , 	29 , 	39 , 	21 , 	22 , 	40 , 	4 , 	13 ," 	1,875 ",,,,,,,,,,,
SL, 	6 , 	8 , 	5 , 	4 , 	19 , 	8 , 	20 , 	22 , 	22 , 	45 , 	42 , 	60 , 	14 , 	43 , 	33 , 	15 , 	11 , 	11 , 	2 , 	2 , 	5 , 	1 , 	-   , 	5 , 	13 , 	70 , 	54 , 	97 , 	46 , 	22 , 	19 , 	6 , 	4 , 	10 , 	1 , 	14 , 	24 , 	0 , 	3 , 	2 , 	3 , 	14 , 	1 , 	17 , 	3 , 	8 , 	9 , 	15 , 	2 , 	4 , 	858 ,,,,,,,,,,,
BF, 	9 , 	10 , 	3 , 	6 , 	14 , 	8 , 	13 , 	16 , 	26 , 	37 , 	60 , 	66 , 	42 , 	15 , 	25 , 	16 , 	13 , 	15 , 	6 , 	2 , 	3 , 	1 , 	3 , 	2 , 	9 , 	73 , 	48 , 	107 , 	45 , 	19 , 	11 , 	7 , 	7 , 	10 , 	3 , 	13 , 	25 , 	1 , 	3 , 	1 , 	3 , 	12 , 	2 , 	13 , 	5 , 	11 , 	8 , 	9 , 	2 , 	2 , 	856 ,,,,,,,,,,,
HY, 	5 , 	12 , 	5 , 	6 , 	22 , 	5 , 	12 , 	13 , 	17 , 	16 , 	32 , 	44 , 	34 , 	27 , 	10 , 	19 , 	17 , 	18 , 	3 , 	3 , 	3 , 	1 , 	2 , 	1 , 	4 , 	26 , 	18 , 	37 , 	19 , 	7 , 	10 , 	5 , 	4 , 	4 , 	2 , 	5 , 	6 , 	1 , 	2 , 	1 , 	2 , 	7 , 	1 , 	7 , 	6 , 	14 , 	14 , 	20 , 	-   , 	4 , 	545 ,,,,,,,,,,,
SH, 	4 , 	4 , 	3 , 	3 , 	12 , 	3 , 	4 , 	7 , 	12 , 	12 , 	20 , 	24 , 	15 , 	17 , 	13 , 	7 , 	5 , 	12 , 	3 , 	1 , 	0 , 	0 , 	1 , 	1 , 	4 , 	29 , 	12 , 	35 , 	12 , 	6 , 	5 , 	3 , 	3 , 	4 , 	3 , 	4 , 	3 , 	1 , 	1 , 	1 , 	1 , 	6 , 	1 , 	3 , 	4 , 	9 , 	9 , 	18 , 	-   , 	2 , 	353 ,,,,,,,,,,,
UC, 	4 , 	5 , 	2 , 	4 , 	20 , 	5 , 	5 , 	7 , 	11 , 	8 , 	13 , 	27 , 	16 , 	14 , 	26 , 	9 , 	11 , 	14 , 	2 , 	2 , 	1 , 	1 , 	0 , 	3 , 	3 , 	38 , 	19 , 	41 , 	22 , 	11 , 	7 , 	3 , 	3 , 	5 , 	-   , 	1 , 	10 , 	1 , 	2 , 	1 , 	1 , 	8 , 	1 , 	4 , 	7 , 	12 , 	15 , 	17 , 	1 , 	1 , 	435 ,,,,,,,,,,,
FM, 	7 , 	7 , 	3 , 	4 , 	23 , 	4 , 	6 , 	10 , 	7 , 	12 , 	23 , 	23 , 	13 , 	16 , 	20 , 	12 , 	19 , 	17 , 	4 , 	2 , 	3 , 	1 , 	1 , 	3 , 	3 , 	49 , 	25 , 	43 , 	28 , 	12 , 	4 , 	1 , 	3 , 	3 , 	1 , 	5 , 	6 , 	1 , 	3 , 	1 , 	1 , 	14 , 	2 , 	3 , 	10 , 	9 , 	23 , 	23 , 	1 , 	1 , 	508 ,,,,,,,,,,,
CN, 	9 , 	6 , 	5 , 	2 , 	11 , 	5 , 	20 , 	11 , 	18 , 	3 , 	11 , 	14 , 	4 , 	5 , 	3 , 	1 , 	2 , 	3 , 	19 , 	19 , 	48 , 	30 , 	3 , 	20 , 	4 , 	77 , 	42 , 	100 , 	40 , 	19 , 	17 , 	6 , 	7 , 	10 , 	4 , 	1 , 	2 , 	6 , 	33 , 	5 , 	4 , 	45 , 	4 , 	1 , 	14 , 	1 , 	3 , 	4 , 	24 , 	26 , 	765 ,,,,,,,,,,,
PH, 	1 , 	2 , 	2 , 	2 , 	8 , 	3 , 	9 , 	9 , 	10 , 	2 , 	2 , 	15 , 	4 , 	4 , 	2 , 	1 , 	1 , 	1 , 	16 , 	11 , 	29 , 	8 , 	4 , 	17 , 	4 , 	96 , 	41 , 	68 , 	38 , 	15 , 	12 , 	5 , 	3 , 	7 , 	3 , 	0 , 	2 , 	3 , 	9 , 	2 , 	5 , 	53 , 	3 , 	-   , 	16 , 	-   , 	1 , 	2 , 	6 , 	6 , 	556 ,,,,,,,,,,,
WC, 	3 , 	4 , 	2 , 	3 , 	14 , 	2 , 	13 , 	19 , 	13 , 	1 , 	6 , 	10 , 	5 , 	3 , 	1 , 	2 , 	0 , 	3 , 	63 , 	30 , 	10 , 	15 , 	9 , 	29 , 	3 , 	128 , 	57 , 	69 , 	44 , 	22 , 	12 , 	6 , 	5 , 	6 , 	2 , 	2 , 	1 , 	8 , 	25 , 	3 , 	2 , 	57 , 	4 , 	-   , 	15 , 	0 , 	1 , 	1 , 	7 , 	14 , 	748 ,,,,,,,,,,,
LF, 	3 , 	1 , 	2 , 	1 , 	7 , 	1 , 	7 , 	6 , 	6 , 	0 , 	3 , 	7 , 	1 , 	0 , 	1 , 	1 , 	1 , 	1 , 	35 , 	11 , 	11 , 	7 , 	4 , 	20 , 	1 , 	71 , 	27 , 	40 , 	23 , 	13 , 	5 , 	6 , 	3 , 	2 , 	1 , 	1 , 	-   , 	2 , 	9 , 	1 , 	1 , 	34 , 	2 , 	0 , 	11 , 	0 , 	1 , 	1 , 	7 , 	5 , 	398 ,,,,,,,,,,,
OR, 	1 , 	3 , 	1 , 	1 , 	5 , 	1 , 	6 , 	7 , 	5 , 	1 , 	8 , 	10 , 	0 , 	3 , 	1 , 	-   , 	-   , 	-   , 	6 , 	5 , 	9 , 	6 , 	3 , 	11 , 	2 , 	58 , 	33 , 	33 , 	27 , 	13 , 	4 , 	4 , 	1 , 	1 , 	0 , 	1 , 	1 , 	-   , 	3 , 	1 , 	2 , 	23 , 	1 , 	-   , 	4 , 	-   , 	1 , 	1 , 	3 , 	1 , 	307 ,,,,,,,,,,,
RR, 	4 , 	8 , 	5 , 	3 , 	5 , 	1 , 	14 , 	26 , 	18 , 	6 , 	15 , 	14 , 	6 , 	3 , 	2 , 	2 , 	3 , 	2 , 	18 , 	14 , 	22 , 	20 , 	12 , 	16 , 	7 , 	141 , 	72 , 	122 , 	86 , 	59 , 	29 , 	13 , 	11 , 	11 , 	3 , 	2 , 	2 , 	1 , 	3 , 	2 , 	3 , 	57 , 	11 , 	1 , 	6 , 	1 , 	4 , 	3 , 	1 , 	6 , 	890 ,,,,,,,,,,,
OW, 	3 , 	7 , 	2 , 	3 , 	10 , 	5 , 	13 , 	10 , 	17 , 	10 , 	18 , 	17 , 	8 , 	10 , 	5 , 	3 , 	2 , 	3 , 	3 , 	2 , 	4 , 	1 , 	-   , 	7 , 	19 , 	180 , 	104 , 	205 , 	143 , 	83 , 	41 , 	12 , 	15 , 	11 , 	6 , 	2 , 	6 , 	0 , 	4 , 	4 , 	4 , 	43 , 	6 , 	2 , 	6 , 	4 , 	1 , 	4 , 	1 , 	4 ," 	1,066 ",,,,,,,,,,,
EM, 	67 , 	98 , 	59 , 	86 , 	205 , 	62 , 	128 , 	135 , 	127 , 	97 , 	96 , 	222 , 	71 , 	86 , 	31 , 	29 , 	37 , 	63 , 	85 , 	105 , 	138 , 	74 , 	68 , 	149 , 	198 , 	105 , 	7 , 	61 , 	32 , 	107 , 	123 , 	71 , 	87 , 	78 , 	30 , 	48 , 	304 , 	31 , 	51 , 	26 , 	35 , 	113 , 	43 , 	60 , 	44 , 	16 , 	41 , 	34 , 	12 , 	56 ," 	4,125 ",,,,,,,,,,,
MT, 	53 , 	61 , 	37 , 	46 , 	130 , 	42 , 	95 , 	100 , 	99 , 	75 , 	77 , 	50 , 	59 , 	53 , 	24 , 	18 , 	23 , 	26 , 	56 , 	50 , 	56 , 	32 , 	30 , 	84 , 	131 , 	10 , 	65 , 	7 , 	22 , 	86 , 	98 , 	70 , 	122 , 	78 , 	26 , 	30 , 	92 , 	14 , 	33 , 	21 , 	25 , 	111 , 	35 , 	32 , 	23 , 	12 , 	22 , 	21 , 	5 , 	22 ," 	2,582 ",,,,,,,,,,,
