Muni Fast Pass Adult/Clipper OD,,,,,,Mar 14,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,41,22,75,97,374,733,610,943,"2,895"
MT,27,45,45,91,504,984,888,"1,679","4,264"
PL,121,71,45,57,370,615,467,"1,269","3,016"
CC,85,81,56,32,201,407,360,816,"2,039"
16,328,398,457,224,14,110,152,374,"2,057"
24,567,697,738,395,111,20,118,358,"3,004"
GP,535,651,594,334,152,124,17,79,"2,486"
BP,794,"1,005","1,689",752,357,374,84,43,"5,099"
Entries,"2,498","2,969","3,699","1,982","2,083","3,367","2,697","5,562","24,859"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,13,6,32,23,123,160,108,256,721
MT,5,12,15,14,133,194,188,686,"1,247"
PL,41,15,43,26,308,452,357,919,"2,160"
CC,19,9,27,22,134,183,113,246,752
16,106,87,336,134,18,94,106,217,"1,098"
24,131,122,502,205,86,25,80,220,"1,371"
GP,93,118,430,105,98,84,12,32,973
BP,231,286,"1,173",228,179,188,31,30,"2,346"
Entries,638,655,"2,557",757,"1,079","1,380",995,"2,607","10,668"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,4,15,11,67,108,76,177,475
MT,2,10,12,10,82,123,119,422,779
PL,21,8,41,15,225,311,228,630,"1,481"
CC,10,4,18,20,101,148,85,198,584
16,76,55,260,109,18,56,72,154,800
24,102,81,406,155,57,28,59,141,"1,028"
GP,71,76,323,86,73,64,21,24,739
BP,180,185,954,189,143,124,22,41,"1,839"
Entries,481,423,"2,029",596,766,962,683,"1,788","7,726"
