Exit stations,Entry stations->,,SATURDAY,,,Mar 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	6 , 	70 , 	81 , 	48 , 	263 , 	77 , 	92 , 	54 , 	83 , 	17 , 	79 , 	69 , 	25 , 	31 , 	19 , 	13 , 	9 , 	23 , 	16 , 	13 , 	14 , 	7 , 	6 , 	18 , 	22 , 	121 , 	94 , 	289 , 	116 , 	78 , 	105 , 	25 , 	33 , 	22 , 	10 , 	6 , 	8 , 	3 , 	27 , 	4 , 	12 , 	32 , 	11 , 	1 ," 	2,156 ",,,Eastbay," 	44,170 ",,SF CBD," 	112,996 ",59.4%,,,
EN, 	77 , 	13 , 	85 , 	70 , 	478 , 	118 , 	122 , 	118 , 	165 , 	29 , 	109 , 	136 , 	35 , 	39 , 	32 , 	13 , 	23 , 	42 , 	27 , 	11 , 	23 , 	6 , 	6 , 	28 , 	35 , 	258 , 	246 , 	702 , 	226 , 	107 , 	121 , 	42 , 	64 , 	49 , 	20 , 	6 , 	14 , 	3 , 	35 , 	12 , 	19 , 	59 , 	17 , 	8 ," 	3,850 ",,,Westbay," 	58,413 ",,non-CBD," 	71,311 ",37.5%,,,
EP, 	85 , 	85 , 	9 , 	45 , 	435 , 	79 , 	68 , 	80 , 	100 , 	36 , 	52 , 	49 , 	19 , 	17 , 	10 , 	5 , 	11 , 	24 , 	10 , 	12 , 	16 , 	7 , 	4 , 	26 , 	17 , 	136 , 	118 , 	331 , 	161 , 	62 , 	53 , 	14 , 	15 , 	13 , 	4 , 	8 , 	8 , 	2 , 	11 , 	4 , 	4 , 	44 , 	16 , 	3 ," 	2,308 ",,,Transbay," 	90,451 ",,,,,,,
NB, 	55 , 	65 , 	54 , 	12 , 	150 , 	54 , 	64 , 	101 , 	101 , 	27 , 	62 , 	62 , 	15 , 	20 , 	18 , 	7 , 	11 , 	30 , 	11 , 	10 , 	22 , 	7 , 	6 , 	21 , 	19 , 	224 , 	181 , 	397 , 	239 , 	126 , 	94 , 	25 , 	22 , 	16 , 	6 , 	6 , 	8 , 	4 , 	11 , 	4 , 	4 , 	74 , 	17 , 	4 ," 	2,466 ",,,,,,,,,,,
BK, 	268 , 	489 , 	452 , 	170 , 	33 , 	286 , 	287 , 	347 , 	309 , 	123 , 	235 , 	309 , 	99 , 	128 , 	72 , 	41 , 	71 , 	210 , 	65 , 	65 , 	84 , 	55 , 	41 , 	56 , 	108 , 	598 , 	423 ," 	1,149 ", 	541 , 	319 , 	224 , 	96 , 	90 , 	84 , 	14 , 	26 , 	62 , 	20 , 	45 , 	16 , 	22 , 	305 , 	105 , 	29 ," 	8,570 ",,,,,,,,,,,
AS, 	82 , 	114 , 	68 , 	49 , 	242 , 	14 , 	98 , 	152 , 	149 , 	54 , 	101 , 	80 , 	34 , 	33 , 	32 , 	14 , 	9 , 	32 , 	16 , 	12 , 	17 , 	8 , 	5 , 	20 , 	42 , 	218 , 	170 , 	373 , 	275 , 	202 , 	128 , 	28 , 	24 , 	18 , 	4 , 	3 , 	14 , 	2 , 	25 , 	6 , 	6 , 	58 , 	16 , 	7 ," 	3,056 ",,,,,,,,,,,
MA, 	101 , 	122 , 	67 , 	66 , 	279 , 	109 , 	16 , 	100 , 	124 , 	34 , 	133 , 	136 , 	48 , 	60 , 	43 , 	22 , 	24 , 	43 , 	53 , 	36 , 	45 , 	23 , 	18 , 	46 , 	65 , 	330 , 	269 , 	625 , 	415 , 	302 , 	201 , 	42 , 	43 , 	36 , 	9 , 	12 , 	14 , 	9 , 	91 , 	3 , 	13 , 	71 , 	25 , 	12 ," 	4,333 ",,,,,,,,,,,
19, 	65 , 	122 , 	76 , 	104 , 	316 , 	166 , 	116 , 	34 , 	32 , 	19 , 	101 , 	113 , 	59 , 	70 , 	57 , 	26 , 	44 , 	60 , 	40 , 	39 , 	67 , 	43 , 	33 , 	107 , 	54 , 	345 , 	285 , 	548 , 	489 , 	296 , 	222 , 	58 , 	49 , 	48 , 	13 , 	12 , 	31 , 	15 , 	53 , 	8 , 	13 , 	41 , 	32 , 	12 ," 	4,532 ",,,,,,,,,,,
12, 	78 , 	155 , 	102 , 	94 , 	279 , 	152 , 	125 , 	23 , 	19 , 	21 , 	115 , 	179 , 	97 , 	117 , 	71 , 	36 , 	45 , 	85 , 	65 , 	55 , 	64 , 	28 , 	24 , 	80 , 	82 , 	363 , 	314 , 	671 , 	371 , 	196 , 	150 , 	55 , 	76 , 	55 , 	19 , 	16 , 	25 , 	18 , 	66 , 	20 , 	22 , 	66 , 	35 , 	13 ," 	4,742 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	18 , 	28 , 	34 , 	26 , 	117 , 	48 , 	37 , 	17 , 	22 , 	12 , 	111 , 	127 , 	144 , 	171 , 	56 , 	36 , 	50 , 	82 , 	13 , 	8 , 	12 , 	6 , 	6 , 	27 , 	36 , 	263 , 	261 , 	558 , 	292 , 	165 , 	104 , 	35 , 	42 , 	36 , 	4 , 	68 , 	77 , 	4 , 	15 , 	4 , 	4 , 	21 , 	8 , 	39 ," 	3,242 ",,,Dtwn SF," 	2,458 "," 	8,934 "," 	17,277 "," 	7,936 "," 	7,316 "," 	9,557 "," 	5,569 "," 	59,047 "
FV, 	80 , 	97 , 	49 , 	66 , 	225 , 	107 , 	120 , 	102 , 	118 , 	93 , 	21 , 	214 , 	167 , 	240 , 	154 , 	73 , 	60 , 	96 , 	38 , 	20 , 	27 , 	24 , 	18 , 	36 , 	102 , 	341 , 	287 , 	742 , 	385 , 	177 , 	180 , 	37 , 	67 , 	52 , 	9 , 	51 , 	85 , 	6 , 	61 , 	10 , 	15 , 	39 , 	19 , 	46 ," 	4,955 ",,,OAK," 	8,622 "," 	1,220 "," 	2,794 "," 	2,951 "," 	1,288 "," 	3,142 ", 	472 ," 	20,490 "
CL, 	62 , 	136 , 	54 , 	56 , 	339 , 	83 , 	125 , 	118 , 	175 , 	108 , 	209 , 	19 , 	136 , 	230 , 	153 , 	77 , 	110 , 	209 , 	73 , 	63 , 	61 , 	32 , 	22 , 	54 , 	88 , 	240 , 	170 , 	498 , 	215 , 	92 , 	98 , 	44 , 	64 , 	75 , 	12 , 	80 , 	284 , 	30 , 	101 , 	15 , 	16 , 	37 , 	24 , 	100 ," 	4,985 ",,,CM line," 	16,578 "," 	2,852 "," 	6,271 "," 	2,434 "," 	1,398 "," 	2,164 "," 	2,321 "," 	34,018 "
SL, 	30 , 	41 , 	22 , 	17 , 	102 , 	32 , 	59 , 	70 , 	107 , 	132 , 	152 , 	129 , 	9 , 	106 , 	106 , 	39 , 	35 , 	63 , 	14 , 	11 , 	9 , 	4 , 	3 , 	19 , 	38 , 	181 , 	149 , 	424 , 	134 , 	54 , 	50 , 	16 , 	27 , 	23 , 	7 , 	32 , 	43 , 	4 , 	24 , 	5 , 	9 , 	26 , 	11 , 	37 ," 	2,604 ",,,RM line," 	7,585 "," 	3,020 "," 	2,356 "," 	4,781 ", 	962 ," 	2,781 ", 	868 ," 	22,353 "
BF, 	31 , 	39 , 	16 , 	18 , 	125 , 	37 , 	64 , 	72 , 	123 , 	147 , 	237 , 	223 , 	100 , 	12 , 	152 , 	70 , 	82 , 	124 , 	15 , 	7 , 	11 , 	4 , 	5 , 	10 , 	40 , 	169 , 	157 , 	430 , 	130 , 	50 , 	62 , 	11 , 	33 , 	32 , 	9 , 	54 , 	113 , 	2 , 	27 , 	5 , 	10 , 	14 , 	10 , 	105 ," 	3,191 ",,,WP line," 	7,050 "," 	1,345 "," 	1,455 "," 	1,007 "," 	3,059 "," 	1,192 ", 	767 ," 	15,876 "
HY, 	24 , 	38 , 	11 , 	19 , 	87 , 	29 , 	51 , 	65 , 	77 , 	56 , 	152 , 	146 , 	101 , 	164 , 	10 , 	80 , 	95 , 	144 , 	10 , 	6 , 	15 , 	4 , 	3 , 	10 , 	27 , 	115 , 	82 , 	245 , 	100 , 	42 , 	33 , 	14 , 	16 , 	24 , 	7 , 	24 , 	42 , 	3 , 	24 , 	4 , 	12 , 	11 , 	9 , 	38 ," 	2,273 ",,,FT/ED line," 	9,361 "," 	3,160 "," 	2,176 "," 	2,947 "," 	1,190 "," 	8,740 ", 	550 ," 	28,123 "
SH, 	7 , 	16 , 	5 , 	8 , 	42 , 	16 , 	21 , 	25 , 	32 , 	33 , 	76 , 	79 , 	42 , 	78 , 	84 , 	6 , 	37 , 	91 , 	4 , 	5 , 	5 , 	2 , 	2 , 	5 , 	8 , 	69 , 	59 , 	166 , 	60 , 	30 , 	31 , 	9 , 	12 , 	21 , 	4 , 	11 , 	22 , 	1 , 	15 , 	6 , 	5 , 	7 , 	5 , 	15 ," 	1,279 ",,,SFIA," 	4,753 ", 	430 ," 	2,237 ", 	805 , 	698 , 	455 , 	950 ," 	10,328 "
UC, 	9 , 	22 , 	13 , 	12 , 	82 , 	16 , 	26 , 	52 , 	49 , 	48 , 	60 , 	102 , 	38 , 	87 , 	95 , 	41 , 	11 , 	109 , 	12 , 	7 , 	9 , 	1 , 	4 , 	5 , 	8 , 	148 , 	97 , 	264 , 	82 , 	36 , 	22 , 	10 , 	20 , 	23 , 	5 , 	21 , 	26 , 	3 , 	10 , 	5 , 	4 , 	18 , 	7 , 	13 ," 	1,733 ",,,Entries," 	56,407 "," 	20,961 "," 	34,567 "," 	22,861 "," 	15,912 "," 	28,032 "," 	11,496 "," 	190,235 "
FM, 	22 , 	45 , 	26 , 	28 , 	272 , 	33 , 	51 , 	61 , 	91 , 	62 , 	107 , 	202 , 	54 , 	125 , 	164 , 	97 , 	112 , 	24 , 	23 , 	16 , 	15 , 	5 , 	6 , 	21 , 	18 , 	271 , 	192 , 	485 , 	183 , 	61 , 	43 , 	17 , 	37 , 	48 , 	8 , 	18 , 	63 , 	5 , 	28 , 	4 , 	7 , 	30 , 	6 , 	26 ," 	3,214 ",,,,,,,,,,,
CN, 	18 , 	26 , 	10 , 	9 , 	68 , 	17 , 	52 , 	39 , 	80 , 	11 , 	39 , 	69 , 	15 , 	15 , 	10 , 	10 , 	10 , 	15 , 	17 , 	55 , 	180 , 	62 , 	30 , 	43 , 	8 , 	175 , 	121 , 	305 , 	140 , 	51 , 	51 , 	19 , 	27 , 	30 , 	11 , 	6 , 	10 , 	22 , 	219 , 	7 , 	11 , 	62 , 	19 , 	5 ," 	2,199 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
