Fast Pass Adjusted OD,,,,,,Mar 05,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,41,40,132,118,503,819,715,"1,045","3,414"
MT,35,40,77,126,732,"1,251","1,045","2,126","5,432"
PL,161,96,57,103,616,922,610,"1,519","4,083"
CC,119,130,115,53,536,737,492,"1,323","3,505"
16,427,592,764,509,23,211,182,539,"3,247"
24,695,951,"1,135",723,220,33,134,474,"4,364"
GP,671,819,831,433,184,144,18,105,"3,206"
BP,924,"1,256","2,377","1,137",543,514,110,30,"6,892"
Entries,"3,072","3,924","5,489","3,202","3,357","4,631","3,306","7,161","34,143"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,22,10,38,33,207,244,125,225,902
MT,6,21,19,25,302,369,335,"1,001","2,077"
PL,41,19,56,46,503,768,427,959,"2,818"
CC,28,22,59,42,405,447,197,482,"1,682"
16,164,187,594,365,28,162,113,295,"1,908"
24,195,230,813,429,158,33,104,253,"2,214"
GP,100,155,586,151,106,103,14,54,"1,267"
BP,206,322,"1,632",405,288,275,62,21,"3,211"
Entries,761,967,"3,796","1,495","1,996","2,399","1,375","3,289","16,077"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,6,23,20,120,131,64,124,504
MT,4,18,16,30,170,213,193,613,"1,255"
PL,24,14,56,35,338,481,271,607,"1,825"
CC,21,12,45,53,300,310,127,346,"1,213"
16,119,111,405,275,25,97,70,176,"1,277"
24,122,140,573,320,101,33,69,171,"1,528"
GP,68,73,432,117,63,59,16,29,857
BP,124,178,"1,166",284,174,163,26,25,"2,139"
Entries,499,550,"2,715","1,131","1,290","1,487",835,"2,092","10,597"
