Exit stations,Entry stations->,,SATURDAY,,,Apr 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
CL, 	79 , 	240 , 	127 , 	97 , 	176 , 	109 , 	179 , 	153 , 	181 , 	186 , 	280 , 	19 , 	309 , 	258 , 	174 , 	104 , 	195 , 	426 , 	116 , 	123 , 	154 , 	107 , 	87 , 	105 , 	95 , 	296 , 	215 , 	464 , 	270 , 	106 , 	131 , 	66 , 	61 , 	117 , 	14 , 	164 , 	654 , 	78 , 	122 , 	23 , 	27 , 	29 , 	42 , 	207 , 	30 , 	-   ," 	7,193 ",,,,,,,,,,
SL, 	23 , 	41 , 	16 , 	20 , 	141 , 	33 , 	49 , 	85 , 	95 , 	151 , 	139 , 	312 , 	11 , 	59 , 	53 , 	19 , 	23 , 	39 , 	17 , 	10 , 	11 , 	3 , 	4 , 	22 , 	31 , 	338 , 	279 , 	595 , 	244 , 	89 , 	74 , 	25 , 	39 , 	46 , 	6 , 	23 , 	26 , 	3 , 	21 , 	8 , 	10 , 	49 , 	8 , 	27 , 	9 , 	-   ," 	3,326 ",,,,,,,,,,
BF, 	9 , 	24 , 	10 , 	12 , 	69 , 	20 , 	33 , 	45 , 	62 , 	95 , 	129 , 	261 , 	57 , 	17 , 	129 , 	52 , 	70 , 	161 , 	11 , 	5 , 	5 , 	2 , 	1 , 	8 , 	19 , 	112 , 	97 , 	265 , 	94 , 	38 , 	33 , 	12 , 	21 , 	18 , 	6 , 	57 , 	104 , 	2 , 	15 , 	6 , 	9 , 	15 , 	7 , 	94 , 	6 , 	-   ," 	2,316 ",,,,,,,,,,
HY, 	15 , 	30 , 	7 , 	14 , 	69 , 	19 , 	30 , 	43 , 	58 , 	42 , 	93 , 	177 , 	50 , 	136 , 	24 , 	64 , 	79 , 	155 , 	12 , 	5 , 	8 , 	1 , 	3 , 	7 , 	16 , 	103 , 	62 , 	187 , 	71 , 	38 , 	29 , 	11 , 	17 , 	18 , 	5 , 	21 , 	39 , 	2 , 	18 , 	3 , 	5 , 	11 , 	7 , 	45 , 	5 , 	-   ," 	1,853 ",,,,,,,,,,
SH, 	13 , 	16 , 	4 , 	5 , 	43 , 	11 , 	10 , 	21 , 	23 , 	23 , 	54 , 	103 , 	18 , 	62 , 	62 , 	13 , 	41 , 	80 , 	8 , 	2 , 	3 , 	1 , 	0 , 	4 , 	5 , 	59 , 	50 , 	115 , 	40 , 	24 , 	23 , 	5 , 	9 , 	16 , 	4 , 	14 , 	16 , 	1 , 	6 , 	3 , 	3 , 	9 , 	2 , 	16 , 	5 , 	-   ," 	1,043 ",,,,,,,,,,
UC, 	8 , 	18 , 	8 , 	5 , 	97 , 	13 , 	14 , 	27 , 	42 , 	30 , 	47 , 	181 , 	20 , 	73 , 	82 , 	36 , 	22 , 	96 , 	11 , 	5 , 	5 , 	1 , 	1 , 	8 , 	7 , 	136 , 	94 , 	192 , 	67 , 	25 , 	17 , 	7 , 	13 , 	24 , 	3 , 	15 , 	25 , 	2 , 	7 , 	3 , 	5 , 	10 , 	5 , 	16 , 	12 , 	-   ," 	1,535 ",,,,,,,,,,
FM, 	21 , 	43 , 	21 , 	22 , 	307 , 	29 , 	45 , 	62 , 	77 , 	65 , 	94 , 	434 , 	37 , 	166 , 	151 , 	82 , 	124 , 	38 , 	17 , 	15 , 	19 , 	7 , 	4 , 	21 , 	12 , 	272 , 	173 , 	426 , 	170 , 	60 , 	40 , 	13 , 	20 , 	39 , 	6 , 	27 , 	68 , 	6 , 	20 , 	4 , 	10 , 	32 , 	5 , 	25 , 	22 , 	-   ," 	3,350 ",,,,,,,,,,
CN, 	24 , 	23 , 	11 , 	13 , 	63 , 	16 , 	55 , 	51 , 	65 , 	12 , 	33 , 	99 , 	18 , 	13 , 	11 , 	5 , 	11 , 	21 , 	25 , 	77 , 	180 , 	71 , 	25 , 	53 , 	15 , 	212 , 	149 , 	326 , 	150 , 	55 , 	49 , 	19 , 	28 , 	36 , 	13 , 	7 , 	8 , 	27 , 	195 , 	8 , 	8 , 	75 , 	21 , 	3 , 	16 , 	-   ," 	2,396 ",,,,,,,,,,
PH, 	4 , 	8 , 	9 , 	11 , 	82 , 	8 , 	32 , 	48 , 	59 , 	12 , 	17 , 	101 , 	11 , 	6 , 	7 , 	3 , 	5 , 	10 , 	64 , 	15 , 	87 , 	25 , 	15 , 	59 , 	10 , 	307 , 	193 , 	350 , 	159 , 	65 , 	40 , 	22 , 	13 , 	22 , 	9 , 	2 , 	5 , 	14 , 	58 , 	6 , 	7 , 	107 , 	16 , 	1 , 	34 , 	-   ," 	2,134 ",,,,,,,,,,
WC, 	14 , 	23 , 	23 , 	17 , 	119 , 	19 , 	47 , 	79 , 	71 , 	13 , 	24 , 	134 , 	14 , 	5 , 	10 , 	4 , 	3 , 	16 , 	216 , 	87 , 	20 , 	46 , 	30 , 	107 , 	13 , 	411 , 	246 , 	421 , 	259 , 	82 , 	52 , 	23 , 	17 , 	33 , 	11 , 	3 , 	4 , 	23 , 	120 , 	11 , 	13 , 	144 , 	19 , 	2 , 	26 , 	-   ," 	3,077 ",,,,,,,,,,
LF, 	8 , 	12 , 	10 , 	5 , 	61 , 	7 , 	21 , 	46 , 	37 , 	3 , 	15 , 	94 , 	4 , 	2 , 	1 , 	1 , 	2 , 	5 , 	69 , 	30 , 	41 , 	11 , 	11 , 	46 , 	6 , 	223 , 	141 , 	221 , 	149 , 	39 , 	25 , 	13 , 	7 , 	13 , 	4 , 	1 , 	1 , 	8 , 	20 , 	2 , 	4 , 	79 , 	7 , 	2 , 	15 , 	-   ," 	1,522 ",,,,,,,,,,
OR, 	4 , 	8 , 	8 , 	7 , 	53 , 	7 , 	20 , 	31 , 	35 , 	6 , 	14 , 	79 , 	4 , 	2 , 	3 , 	0 , 	2 , 	4 , 	25 , 	18 , 	27 , 	11 , 	7 , 	47 , 	4 , 	165 , 	119 , 	187 , 	113 , 	48 , 	32 , 	9 , 	6 , 	12 , 	2 , 	1 , 	2 , 	1 , 	11 , 	4 , 	2 , 	53 , 	10 , 	1 , 	9 , 	-   ," 	1,212 ",,,,,,,,,,
RR, 	14 , 	22 , 	24 , 	13 , 	49 , 	9 , 	51 , 	101 , 	84 , 	21 , 	34 , 	92 , 	21 , 	7 , 	8 , 	5 , 	6 , 	16 , 	64 , 	58 , 	105 , 	57 , 	51 , 	23 , 	15 , 	359 , 	260 , 	480 , 	367 , 	201 , 	128 , 	40 , 	23 , 	28 , 	5 , 	5 , 	5 , 	13 , 	32 , 	5 , 	6 , 	110 , 	28 , 	2 , 	23 , 	-   ," 	3,067 ",,,,,,,,,,
OW, 	14 , 	31 , 	12 , 	12 , 	68 , 	28 , 	39 , 	55 , 	84 , 	19 , 	74 , 	95 , 	26 , 	18 , 	17 , 	7 , 	8 , 	10 , 	14 , 	9 , 	9 , 	6 , 	6 , 	17 , 	16 , 	560 , 	482 , 	937 , 	458 , 	306 , 	219 , 	41 , 	48 , 	41 , 	9 , 	10 , 	16 , 	5 , 	28 , 	7 , 	17 , 	64 , 	12 , 	6 , 	7 , 	-   ," 	3,967 ",,,,,,,,,,
EM, 	151 , 	345 , 	224 , 	340 , 	867 , 	290 , 	452 , 	493 , 	450 , 	365 , 	416 , 	342 , 	391 , 	141 , 	116 , 	73 , 	160 , 	326 , 	246 , 	374 , 	472 , 	254 , 	198 , 	454 , 	699 , 	83 , 	43 , 	302 , 	173 , 	477 , 	610 , 	327 , 	512 , 	392 , 	115 , 	126 , 	615 , 	124 , 	233 , 	102 , 	114 , 	373 , 	269 , 	178 , 	77 , 	-   ," 	13,883 ",,,,,,,,,,
MT, 	129 , 	319 , 	164 , 	233 , 	552 , 	216 , 	360 , 	384 , 	368 , 	315 , 	349 , 	245 , 	306 , 	120 , 	85 , 	53 , 	103 , 	209 , 	191 , 	218 , 	272 , 	148 , 	127 , 	314 , 	579 , 	48 , 	52 , 	71 , 	94 , 	448 , 	538 , 	401 ," 	1,049 ", 	492 , 	140 , 	101 , 	273 , 	86 , 	160 , 	119 , 	111 , 	287 , 	222 , 	90 , 	45 , 	-   ," 	11,185 ",,,,,,,,,,
PL, 	269 , 	605 , 	301 , 	338 ," 	1,046 ", 	347 , 	559 , 	548 , 	568 , 	489 , 	643 , 	422 , 	542 , 	216 , 	174 , 	104 , 	180 , 	381 , 	278 , 	334 , 	397 , 	221 , 	189 , 	442 , 	983 , 	345 , 	75 , 	127 , 	233 ," 	1,386 "," 	1,543 ", 	951 ," 	1,694 "," 	1,231 ", 	334 , 	162 , 	539 , 	134 , 	287 , 	288 , 	308 ," 	1,227 ", 	590 , 	183 , 	95 , 	-   ," 	22,309 ",,,,,,,,,,
CC, 	107 , 	218 , 	141 , 	257 , 	616 , 	266 , 	411 , 	440 , 	329 , 	275 , 	368 , 	227 , 	218 , 	85 , 	70 , 	42 , 	66 , 	154 , 	129 , 	154 , 	233 , 	153 , 	110 , 	342 , 	517 , 	145 , 	88 , 	212 , 	52 , 	511 , 	626 , 	327 , 	563 , 	388 , 	146 , 	77 , 	210 , 	70 , 	106 , 	126 , 	168 , 	369 , 	326 , 	73 , 	35 , 	-   ," 	10,550 ",,,,,,,,,,
16, 	82 , 	116 , 	72 , 	151 , 	376 , 	198 , 	322 , 	354 , 	219 , 	186 , 	205 , 	114 , 	96 , 	34 , 	35 , 	24 , 	30 , 	61 , 	55 , 	70 , 	78 , 	41 , 	49 , 	207 , 	326 , 	471 , 	392 ," 	1,437 ", 	541 , 	40 , 	252 , 	267 , 	470 , 	312 , 	102 , 	26 , 	71 , 	20 , 	47 , 	81 , 	110 , 	167 , 	239 , 	22 , 	17 , 	-   ," 	8,585 ",,,,,,,,,,
24, 	103 , 	120 , 	60 , 	108 , 	259 , 	147 , 	215 , 	262 , 	160 , 	148 , 	183 , 	124 , 	82 , 	34 , 	29 , 	24 , 	19 , 	39 , 	38 , 	41 , 	52 , 	30 , 	29 , 	125 , 	252 , 	534 , 	440 ," 	1,698 ", 	715 , 	220 , 	51 , 	270 , 	451 , 	310 , 	114 , 	14 , 	50 , 	21 , 	59 , 	86 , 	136 , 	138 , 	202 , 	20 , 	17 , 	-   ," 	8,228 ",,,,,,,,,,
GP, 	21 , 	30 , 	24 , 	30 , 	111 , 	36 , 	52 , 	75 , 	62 , 	39 , 	42 , 	54 , 	22 , 	10 , 	9 , 	5 , 	9 , 	13 , 	20 , 	19 , 	24 , 	11 , 	9 , 	37 , 	44 , 	268 , 	285 ," 	1,015 ", 	282 , 	256 , 	242 , 	18 , 	70 , 	50 , 	33 , 	7 , 	25 , 	7 , 	20 , 	25 , 	66 , 	86 , 	73 , 	7 , 	9 , 	-   ," 	3,654 ",,,,,,,,,,
BP, 	38 , 	48 , 	13 , 	23 , 	89 , 	27 , 	36 , 	51 , 	64 , 	38 , 	53 , 	49 , 	35 , 	18 , 	17 , 	7 , 	10 , 	19 , 	19 , 	13 , 	11 , 	6 , 	8 , 	24 , 	46 , 	393 , 	520 ," 	1,983 ", 	456 , 	401 , 	381 , 	57 , 	40 , 	59 , 	51 , 	7 , 	24 , 	11 , 	23 , 	36 , 	119 , 	91 , 	80 , 	7 , 	7 , 	-   ," 	5,506 ",,,,,,,,,,
DC, 	28 , 	54 , 	25 , 	21 , 	147 , 	24 , 	33 , 	57 , 	63 , 	34 , 	48 , 	106 , 	46 , 	20 , 	16 , 	16 , 	17 , 	39 , 	36 , 	22 , 	36 , 	13 , 	12 , 	30 , 	43 , 	326 , 	383 ," 	1,314 ", 	379 , 	311 , 	281 , 	53 , 	71 , 	27 , 	37 , 	13 , 	51 , 	17 , 	43 , 	40 , 	113 , 	166 , 	112 , 	19 , 	10 , 	-   ," 	4,753 ",,,,,,,,,,
CM, 	11 , 	21 , 	6 , 	7 , 	21 , 	4 , 	9 , 	8 , 	26 , 	6 , 	6 , 	11 , 	9 , 	4 , 	5 , 	4 , 	4 , 	3 , 	10 , 	10 , 	8 , 	4 , 	3 , 	4 , 	7 , 	97 , 	111 , 	375 , 	133 , 	92 , 	93 , 	34 , 	59 , 	35 , 	6 , 	2 , 	4 , 	4 , 	17 , 	11 , 	43 , 	107 , 	35 , 	2 , 	1 , 	-   ," 	1,473 ",,,,,,,,,,
CV, 	2 , 	6 , 	3 , 	2 , 	29 , 	7 , 	6 , 	9 , 	14 , 	50 , 	47 , 	155 , 	27 , 	58 , 	18 , 	16 , 	13 , 	26 , 	4 , 	1 , 	4 , 	2 , 	2 , 	5 , 	7 , 	102 , 	71 , 	195 , 	74 , 	26 , 	14 , 	7 , 	7 , 	12 , 	1 , 	12 , 	62 , 	1 , 	4 , 	1 , 	3 , 	12 , 	2 , 	76 , 	9 , 	-   ," 	1,202 ",,,,,,,,,,
ED, 	7 , 	11 , 	8 , 	12 , 	102 , 	11 , 	16 , 	29 , 	25 , 	54 , 	63 , 	608 , 	23 , 	116 , 	40 , 	22 , 	29 , 	82 , 	9 , 	6 , 	5 , 	1 , 	2 , 	4 , 	19 , 	519 , 	246 , 	536 , 	209 , 	65 , 	41 , 	23 , 	26 , 	50 , 	7 , 	62 , 	42 , 	1 , 	10 , 	6 , 	3 , 	92 , 	7 , 	41 , 	52 , 	-   ," 	3,342 ",,,,,,,,,,
NC, 	4 , 	3 , 	3 , 	2 , 	18 , 	5 , 	9 , 	19 , 	14 , 	3 , 	4 , 	66 , 	5 , 	3 , 	2 , 	2 , 	2 , 	4 , 	28 , 	13 , 	23 , 	6 , 	3 , 	14 , 	4 , 	113 , 	74 , 	141 , 	63 , 	19 , 	18 , 	6 , 	11 , 	17 , 	4 , 	1 , 	2 , 	6 , 	27 , 	2 , 	3 , 	46 , 	5 , 	0 , 	8 , 	-   , 	824 ,,,,,,,,,,
WP, 	26 , 	33 , 	11 , 	12 , 	65 , 	15 , 	91 , 	53 , 	73 , 	12 , 	41 , 	120 , 	23 , 	23 , 	22 , 	9 , 	8 , 	19 , 	201 , 	65 , 	120 , 	26 , 	17 , 	40 , 	26 , 	209 , 	129 , 	360 , 	141 , 	51 , 	76 , 	27 , 	35 , 	47 , 	21 , 	4 , 	7 , 	25 , 	20 , 	16 , 	23 , 	96 , 	14 , 	7 , 	22 , 	-   ," 	2,483 ",,,,,,,,,,
SS, 	5 , 	12 , 	3 , 	4 , 	22 , 	6 , 	5 , 	11 , 	20 , 	4 , 	10 , 	17 , 	5 , 	4 , 	3 , 	2 , 	4 , 	4 , 	8 , 	6 , 	10 , 	3 , 	3 , 	5 , 	8 , 	86 , 	99 , 	300 , 	117 , 	77 , 	76 , 	28 , 	39 , 	37 , 	10 , 	2 , 	5 , 	3 , 	12 , 	10 , 	27 , 	38 , 	14 , 	2 , 	2 , 	-   ," 	1,167 ",,,,,,,,,,
SB, 	18 , 	22 , 	8 , 	5 , 	26 , 	5 , 	16 , 	13 , 	23 , 	7 , 	20 , 	31 , 	8 , 	9 , 	4 , 	4 , 	4 , 	10 , 	13 , 	6 , 	12 , 	4 , 	2 , 	6 , 	16 , 	104 , 	85 , 	342 , 	181 , 	97 , 	140 , 	62 , 	124 , 	118 , 	51 , 	3 , 	5 , 	4 , 	18 , 	26 , 	19 , 	42 , 	27 , 	4 , 	3 , 	-   ," 	1,746 ",,,,,,,,,,
SO, 	30 , 	62 , 	40 , 	58 , 	122 , 	36 , 	63 , 	49 , 	61 , 	24 , 	35 , 	25 , 	31 , 	11 , 	7 , 	4 , 	10 , 	22 , 	57 , 	80 , 	108 , 	69 , 	47 , 	83 , 	70 , 	286 , 	224 ," 	1,170 ", 	321 , 	127 , 	113 , 	65 , 	85 , 	148 , 	86 , 	14 , 	66 , 	35 , 	76 , 	26 , 	38 , 	53 , 	227 , 	20 , 	15 , 	-   ," 	4,400 ",,,,,,,,,,
