Exit stations,Entry stations->,,SUNDAY,,,Apr 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
CL, 	60 , 	117 , 	86 , 	63 , 	100 , 	59 , 	106 , 	98 , 	108 , 	113 , 	165 , 	20 , 	195 , 	130 , 	88 , 	44 , 	81 , 	236 , 	60 , 	60 , 	70 , 	57 , 	35 , 	44 , 	63 , 	226 , 	127 , 	333 , 	171 , 	87 , 	81 , 	49 , 	40 , 	73 , 	6 , 	73 , 	278 , 	37 , 	66 , 	14 , 	16 , 	31 , 	25 , 	98 , 	34 , 	-   ," 	4,114 ",,,,,,,,,,,
SL, 	17 , 	23 , 	14 , 	17 , 	74 , 	24 , 	38 , 	44 , 	61 , 	105 , 	98 , 	201 , 	11 , 	40 , 	38 , 	10 , 	14 , 	22 , 	13 , 	6 , 	10 , 	3 , 	3 , 	17 , 	25 , 	246 , 	177 , 	421 , 	175 , 	71 , 	64 , 	21 , 	29 , 	31 , 	6 , 	16 , 	16 , 	4 , 	17 , 	4 , 	9 , 	58 , 	5 , 	16 , 	14 , 	-   ," 	2,324 ",,,,,,,,,,,
BF, 	5 , 	14 , 	5 , 	9 , 	28 , 	12 , 	22 , 	26 , 	42 , 	61 , 	82 , 	132 , 	36 , 	8 , 	89 , 	34 , 	55 , 	122 , 	7 , 	5 , 	4 , 	2 , 	-   , 	7 , 	11 , 	64 , 	59 , 	157 , 	60 , 	23 , 	20 , 	10 , 	15 , 	20 , 	2 , 	45 , 	86 , 	1 , 	11 , 	3 , 	6 , 	13 , 	4 , 	85 , 	6 , 	-   ," 	1,505 ",,,,,,,,,,,
HY, 	9 , 	19 , 	6 , 	7 , 	38 , 	14 , 	24 , 	21 , 	34 , 	32 , 	60 , 	87 , 	30 , 	90 , 	14 , 	32 , 	64 , 	134 , 	4 , 	4 , 	5 , 	1 , 	2 , 	7 , 	14 , 	58 , 	38 , 	110 , 	43 , 	21 , 	18 , 	6 , 	12 , 	13 , 	3 , 	16 , 	25 , 	1 , 	14 , 	4 , 	3 , 	13 , 	4 , 	34 , 	13 , 	-   ," 	1,194 ",,,,,,,,,,,
SH, 	4 , 	9 , 	2 , 	4 , 	14 , 	8 , 	9 , 	17 , 	13 , 	22 , 	31 , 	48 , 	12 , 	39 , 	36 , 	7 , 	24 , 	53 , 	5 , 	2 , 	4 , 	2 , 	0 , 	2 , 	7 , 	40 , 	24 , 	76 , 	20 , 	15 , 	14 , 	4 , 	8 , 	11 , 	3 , 	11 , 	16 , 	2 , 	8 , 	1 , 	2 , 	8 , 	3 , 	15 , 	10 , 	-   , 	661 ,,,,,,,,,,,
UC, 	7 , 	11 , 	4 , 	4 , 	32 , 	9 , 	14 , 	12 , 	19 , 	21 , 	27 , 	79 , 	15 , 	53 , 	65 , 	22 , 	11 , 	69 , 	5 , 	2 , 	2 , 	2 , 	1 , 	5 , 	4 , 	78 , 	43 , 	125 , 	40 , 	18 , 	13 , 	5 , 	6 , 	12 , 	3 , 	11 , 	24 , 	1 , 	10 , 	1 , 	2 , 	17 , 	2 , 	12 , 	18 , 	-   , 	933 ,,,,,,,,,,,
FM, 	12 , 	36 , 	20 , 	20 , 	121 , 	21 , 	28 , 	31 , 	37 , 	36 , 	52 , 	225 , 	23 , 	122 , 	112 , 	51 , 	68 , 	25 , 	15 , 	8 , 	16 , 	4 , 	4 , 	10 , 	9 , 	157 , 	86 , 	260 , 	115 , 	42 , 	31 , 	12 , 	16 , 	24 , 	4 , 	18 , 	59 , 	4 , 	22 , 	2 , 	8 , 	45 , 	3 , 	21 , 	30 , 	-   ," 	2,060 ",,,,,,,,,,,
CN, 	19 , 	21 , 	9 , 	7 , 	30 , 	11 , 	36 , 	30 , 	40 , 	10 , 	24 , 	55 , 	11 , 	5 , 	4 , 	4 , 	6 , 	15 , 	15 , 	46 , 	125 , 	43 , 	16 , 	40 , 	6 , 	158 , 	99 , 	218 , 	83 , 	40 , 	46 , 	16 , 	19 , 	21 , 	7 , 	3 , 	4 , 	17 , 	122 , 	7 , 	9 , 	98 , 	13 , 	2 , 	27 , 	-   ," 	1,632 ",,,,,,,,,,,
PH, 	6 , 	4 , 	8 , 	6 , 	35 , 	11 , 	28 , 	26 , 	37 , 	5 , 	14 , 	56 , 	6 , 	1 , 	3 , 	2 , 	3 , 	12 , 	45 , 	15 , 	64 , 	18 , 	9 , 	45 , 	6 , 	205 , 	114 , 	217 , 	124 , 	50 , 	28 , 	14 , 	14 , 	23 , 	5 , 	1 , 	4 , 	8 , 	42 , 	4 , 	6 , 	159 , 	14 , 	2 , 	39 , 	-   ," 	1,535 ",,,,,,,,,,,
WC, 	9 , 	15 , 	14 , 	15 , 	55 , 	11 , 	40 , 	41 , 	47 , 	6 , 	17 , 	63 , 	9 , 	5 , 	4 , 	2 , 	3 , 	14 , 	141 , 	68 , 	17 , 	33 , 	17 , 	67 , 	8 , 	316 , 	168 , 	286 , 	185 , 	51 , 	42 , 	25 , 	17 , 	19 , 	7 , 	3 , 	1 , 	15 , 	89 , 	5 , 	9 , 	172 , 	14 , 	2 , 	40 , 	-   ," 	2,181 ",,,,,,,,,,,
