Exit stations,Entry stations->,,WEEKDAY,,,Apr 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
RM, 	13 , 	138 , 	105 , 	93 , 	461 , 	108 , 	162 , 	149 , 	205 , 	51 , 	106 , 	83 , 	40 , 	35 , 	40 , 	24 , 	21 , 	40 , 	29 , 	13 , 	24 , 	7 , 	9 , 	21 , 	25 , 	377 , 	397 , 	454 , 	362 , 	206 , 	202 , 	43 , 	79 , 	92 , 	18 , 	4 , 	13 , 	6 , 	34 , 	20 , 	24 , 	48 , 	30 , 	4 , 	10 , 	-   ," 	4,428 ",,,,,,,,,
EN, 	155 , 	22 , 	116 , 	110 ," 	1,000 ", 	172 , 	301 , 	489 , 	656 , 	134 , 	142 , 	165 , 	76 , 	55 , 	88 , 	28 , 	43 , 	87 , 	38 , 	21 , 	37 , 	11 , 	9 , 	36 , 	42 , 	980 ," 	1,167 "," 	1,004 ", 	844 , 	273 , 	224 , 	69 , 	118 , 	165 , 	29 , 	9 , 	27 , 	6 , 	30 , 	45 , 	51 , 	108 , 	71 , 	15 , 	38 , 	-   ," 	9,306 ",,,,,,,,,
EP, 	114 , 	106 , 	13 , 	65 , 	765 , 	87 , 	139 , 	311 , 	361 , 	93 , 	64 , 	74 , 	28 , 	19 , 	30 , 	15 , 	15 , 	49 , 	16 , 	19 , 	27 , 	11 , 	10 , 	37 , 	14 , 	581 , 	671 , 	450 , 	453 , 	138 , 	71 , 	25 , 	40 , 	68 , 	6 , 	4 , 	22 , 	4 , 	14 , 	20 , 	14 , 	65 , 	34 , 	6 , 	30 , 	-   ," 	5,196 ",,,,,,,,,
NB, 	96 , 	100 , 	62 , 	15 , 	224 , 	82 , 	98 , 	265 , 	242 , 	75 , 	71 , 	70 , 	29 , 	20 , 	28 , 	7 , 	18 , 	41 , 	19 , 	21 , 	29 , 	9 , 	9 , 	26 , 	20 , 	708 , 	772 , 	431 , 	562 , 	175 , 	104 , 	27 , 	31 , 	50 , 	10 , 	11 , 	22 , 	5 , 	18 , 	20 , 	10 , 	91 , 	42 , 	8 , 	39 , 	-   ," 	4,810 ",,,,,,,,,
BK, 	501 ," 	1,057 ", 	784 , 	240 , 	43 , 	424 , 	462 , 	614 , 	639 , 	324 , 	347 , 	202 , 	202 , 	154 , 	167 , 	87 , 	155 , 	274 , 	146 , 	174 , 	144 , 	88 , 	58 , 	53 , 	104 ," 	1,089 "," 	1,107 ", 	988 , 	904 , 	403 , 	289 , 	124 , 	140 , 	155 , 	34 , 	63 , 	113 , 	46 , 	115 , 	44 , 	47 , 	156 , 	167 , 	63 , 	97 , 	-   ," 	13,584 ",,,,,,,,,
AS, 	111 , 	151 , 	87 , 	77 , 	385 , 	16 , 	108 , 	267 , 	286 , 	88 , 	109 , 	90 , 	56 , 	41 , 	40 , 	22 , 	37 , 	65 , 	30 , 	25 , 	25 , 	12 , 	8 , 	17 , 	35 , 	722 , 	842 , 	541 , 	575 , 	278 , 	159 , 	35 , 	54 , 	52 , 	12 , 	10 , 	20 , 	8 , 	27 , 	16 , 	17 , 	64 , 	51 , 	10 , 	30 , 	-   ," 	5,711 ",,,,,,,,,
MA, 	178 , 	301 , 	127 , 	99 , 	429 , 	108 , 	27 , 	206 , 	265 , 	91 , 	188 , 	195 , 	129 , 	99 , 	120 , 	64 , 	79 , 	140 , 	161 , 	161 , 	135 , 	60 , 	39 , 	72 , 	63 ," 	1,106 "," 	1,299 ", 	901 , 	975 , 	434 , 	259 , 	74 , 	90 , 	111 , 	26 , 	31 , 	70 , 	60 , 	223 , 	40 , 	35 , 	110 , 	68 , 	25 , 	37 , 	-   ," 	9,513 ",,,,,,,,,
19, 	174 , 	494 , 	315 , 	279 , 	573 , 	257 , 	203 , 	36 , 	60 , 	50 , 	183 , 	218 , 	210 , 	183 , 	206 , 	156 , 	213 , 	377 , 	320 , 	361 , 	308 , 	144 , 	103 , 	179 , 	82 ," 	1,384 "," 	1,550 ", 	996 ," 	1,124 ", 	512 , 	374 , 	175 , 	138 , 	174 , 	79 , 	78 , 	197 , 	161 , 	247 , 	82 , 	66 , 	86 , 	148 , 	88 , 	39 , 	-   ," 	13,383 ",,,,,,,,,
12, 	215 , 	682 , 	351 , 	259 , 	585 , 	282 , 	244 , 	53 , 	39 , 	61 , 	232 , 	346 , 	354 , 	352 , 	317 , 	174 , 	238 , 	406 , 	366 , 	380 , 	295 , 	155 , 	120 , 	171 , 	112 ," 	1,317 "," 	1,329 "," 	1,050 "," 	1,066 ", 	394 , 	329 , 	186 , 	186 , 	221 , 	143 , 	127 , 	242 , 	189 , 	367 , 	102 , 	95 , 	127 , 	165 , 	126 , 	58 , 	-   ," 	14,607 ",,,,,,,,,
LM, 	56 , 	132 , 	92 , 	81 , 	336 , 	85 , 	93 , 	49 , 	61 , 	18 , 	208 , 	317 , 	317 , 	274 , 	178 , 	93 , 	132 , 	181 , 	36 , 	29 , 	35 , 	8 , 	9 , 	36 , 	56 , 	887 ," 	1,027 ", 	779 , 	686 , 	293 , 	161 , 	67 , 	96 , 	143 , 	18 , 	127 , 	192 , 	21 , 	53 , 	16 , 	19 , 	33 , 	27 , 	74 , 	29 , 	-   ," 	7,658 ",,,,,,,,,
FV, 	101 , 	136 , 	64 , 	73 , 	345 , 	112 , 	199 , 	203 , 	247 , 	205 , 	26 , 	334 , 	247 , 	256 , 	236 , 	100 , 	88 , 	173 , 	50 , 	29 , 	41 , 	20 , 	23 , 	54 , 	124 , 	939 ," 	1,049 ", 	953 , 	914 , 	350 , 	253 , 	67 , 	99 , 	157 , 	13 , 	63 , 	123 , 	13 , 	58 , 	23 , 	32 , 	72 , 	31 , 	56 , 	14 , 	-   ," 	8,763 ",,,,,,,,,
CL, 	84 , 	178 , 	69 , 	73 , 	205 , 	101 , 	204 , 	248 , 	392 , 	279 , 	349 , 	22 , 	222 , 	250 , 	228 , 	108 , 	168 , 	337 , 	79 , 	73 , 	83 , 	49 , 	42 , 	78 , 	115 , 	722 , 	680 , 	650 , 	530 , 	185 , 	161 , 	83 , 	93 , 	165 , 	21 , 	107 , 	302 , 	33 , 	100 , 	31 , 	40 , 	43 , 	44 , 	135 , 	32 , 	-   ," 	8,194 ",,,,,,,,,
