Exit stations,Entry stations->,,SATURDAY,,,Feb 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
CL, 	87 , 	157 , 	59 , 	49 , 	110 , 	65 , 	120 , 	118 , 	144 , 	127 , 	222 , 	18 , 	227 , 	236 , 	199 , 	126 , 	141 , 	305 , 	102 , 	95 , 	105 , 	83 , 	52 , 	48 , 	66 , 	249 , 	177 , 	461 , 	200 , 	105 , 	111 , 	76 , 	61 , 	118 , 	17 , 	147 , 	519 , 	55 , 	145 , 	26 , 	27 , 	25 , 	29 , 	165 , 	26 , 	-   ," 	5,795 ",,,,,,,,,,
SL, 	26 , 	34 , 	19 , 	21 , 	102 , 	27 , 	54 , 	72 , 	93 , 	157 , 	127 , 	230 , 	13 , 	90 , 	90 , 	36 , 	41 , 	68 , 	12 , 	8 , 	14 , 	6 , 	7 , 	15 , 	33 , 	214 , 	233 , 	456 , 	177 , 	75 , 	58 , 	18 , 	30 , 	34 , 	7 , 	25 , 	47 , 	5 , 	18 , 	9 , 	6 , 	30 , 	6 , 	37 , 	7 , 	-   ," 	2,884 ",,,,,,,,,,
BF, 	17 , 	29 , 	12 , 	21 , 	76 , 	21 , 	48 , 	67 , 	98 , 	145 , 	187 , 	255 , 	100 , 	9 , 	92 , 	55 , 	63 , 	119 , 	12 , 	3 , 	9 , 	3 , 	2 , 	8 , 	25 , 	199 , 	240 , 	454 , 	148 , 	53 , 	54 , 	16 , 	29 , 	28 , 	7 , 	57 , 	76 , 	1 , 	21 , 	6 , 	10 , 	15 , 	5 , 	87 , 	4 , 	-   ," 	2,981 ",,,,,,,,,,
HY, 	16 , 	34 , 	15 , 	13 , 	85 , 	22 , 	40 , 	52 , 	72 , 	56 , 	117 , 	194 , 	90 , 	102 , 	16 , 	65 , 	86 , 	146 , 	20 , 	10 , 	10 , 	5 , 	2 , 	11 , 	19 , 	136 , 	132 , 	251 , 	89 , 	39 , 	38 , 	16 , 	16 , 	23 , 	3 , 	17 , 	35 , 	5 , 	27 , 	3 , 	7 , 	15 , 	3 , 	40 , 	9 , 	-   ," 	2,196 ",,,,,,,,,,
SH, 	11 , 	13 , 	5 , 	9 , 	48 , 	13 , 	15 , 	29 , 	35 , 	28 , 	50 , 	124 , 	32 , 	49 , 	56 , 	6 , 	29 , 	63 , 	5 , 	2 , 	3 , 	1 , 	1 , 	7 , 	9 , 	76 , 	82 , 	158 , 	57 , 	23 , 	28 , 	6 , 	14 , 	14 , 	1 , 	7 , 	15 , 	1 , 	10 , 	6 , 	6 , 	9 , 	2 , 	16 , 	3 , 	-   ," 	1,171 ",,,,,,,,,,
UC, 	7 , 	20 , 	9 , 	10 , 	69 , 	12 , 	21 , 	36 , 	41 , 	40 , 	41 , 	134 , 	36 , 	64 , 	80 , 	32 , 	16 , 	75 , 	6 , 	5 , 	8 , 	3 , 	1 , 	7 , 	10 , 	151 , 	165 , 	268 , 	101 , 	30 , 	29 , 	10 , 	15 , 	22 , 	5 , 	13 , 	28 , 	2 , 	8 , 	3 , 	5 , 	16 , 	4 , 	15 , 	7 , 	-   ," 	1,673 ",,,,,,,,,,
FM, 	24 , 	42 , 	27 , 	36 , 	265 , 	32 , 	42 , 	76 , 	93 , 	67 , 	100 , 	302 , 	70 , 	110 , 	145 , 	69 , 	77 , 	29 , 	22 , 	21 , 	19 , 	7 , 	6 , 	28 , 	16 , 	332 , 	321 , 	530 , 	223 , 	77 , 	40 , 	17 , 	25 , 	42 , 	5 , 	23 , 	59 , 	6 , 	18 , 	5 , 	3 , 	38 , 	6 , 	25 , 	14 , 	-   ," 	3,529 ",,,,,,,,,,
CN, 	19 , 	25 , 	15 , 	11 , 	55 , 	12 , 	50 , 	37 , 	55 , 	13 , 	26 , 	90 , 	10 , 	13 , 	21 , 	6 , 	4 , 	27 , 	17 , 	60 , 	159 , 	46 , 	17 , 	45 , 	11 , 	204 , 	187 , 	369 , 	152 , 	52 , 	51 , 	20 , 	18 , 	30 , 	9 , 	4 , 	6 , 	23 , 	175 , 	7 , 	9 , 	63 , 	14 , 	4 , 	17 , 	-   ," 	2,251 ",,,,,,,,,,
PH, 	5 , 	9 , 	7 , 	9 , 	51 , 	7 , 	39 , 	41 , 	46 , 	8 , 	18 , 	88 , 	8 , 	4 , 	8 , 	2 , 	8 , 	17 , 	67 , 	12 , 	85 , 	26 , 	12 , 	49 , 	8 , 	276 , 	232 , 	396 , 	160 , 	54 , 	32 , 	16 , 	10 , 	20 , 	6 , 	3 , 	5 , 	11 , 	65 , 	6 , 	9 , 	80 , 	12 , 	1 , 	22 , 	-   ," 	2,052 ",,,,,,,,,,
WC, 	9 , 	20 , 	15 , 	25 , 	92 , 	13 , 	48 , 	70 , 	69 , 	12 , 	29 , 	97 , 	16 , 	8 , 	13 , 	5 , 	8 , 	18 , 	186 , 	84 , 	24 , 	41 , 	24 , 	95 , 	10 , 	392 , 	325 , 	499 , 	252 , 	74 , 	52 , 	30 , 	20 , 	30 , 	8 , 	1 , 	8 , 	27 , 	124 , 	6 , 	8 , 	115 , 	20 , 	2 , 	24 , 	-   ," 	3,044 ",,,,,,,,,,
