Exit stations,Entry stations->,,WEEKDAY,,,Feb 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
RM, 	14 , 	121 , 	91 , 	74 , 	475 , 	100 , 	146 , 	148 , 	187 , 	50 , 	94 , 	68 , 	34 , 	28 , 	34 , 	21 , 	20 , 	36 , 	24 , 	12 , 	21 , 	6 , 	9 , 	19 , 	28 , 	369 , 	398 , 	430 , 	322 , 	178 , 	200 , 	52 , 	78 , 	90 , 	18 , 	4 , 	14 , 	5 , 	31 , 	10 , 	19 , 	47 , 	26 , 	4 , 	11 , 	-   ," 	4,164 ",,,,,,,,,
EN, 	143 , 	20 , 	106 , 	103 ," 	1,040 ", 	153 , 	281 , 	484 , 	622 , 	125 , 	132 , 	124 , 	56 , 	50 , 	77 , 	26 , 	38 , 	86 , 	39 , 	20 , 	33 , 	10 , 	13 , 	36 , 	39 , 	925 ," 	1,076 ", 	925 , 	819 , 	264 , 	230 , 	85 , 	119 , 	181 , 	28 , 	7 , 	26 , 	8 , 	34 , 	38 , 	45 , 	96 , 	69 , 	16 , 	35 , 	-   ," 	8,883 ",,,,,,,,,
EP, 	101 , 	99 , 	14 , 	60 , 	817 , 	88 , 	144 , 	317 , 	333 , 	92 , 	58 , 	45 , 	30 , 	20 , 	28 , 	9 , 	17 , 	49 , 	21 , 	16 , 	23 , 	8 , 	7 , 	32 , 	15 , 	579 , 	683 , 	454 , 	455 , 	140 , 	75 , 	40 , 	48 , 	74 , 	6 , 	3 , 	18 , 	3 , 	16 , 	9 , 	14 , 	58 , 	36 , 	9 , 	28 , 	-   ," 	5,192 ",,,,,,,,,
NB, 	76 , 	93 , 	60 , 	15 , 	239 , 	79 , 	98 , 	270 , 	259 , 	68 , 	61 , 	45 , 	37 , 	21 , 	28 , 	9 , 	18 , 	45 , 	19 , 	19 , 	25 , 	6 , 	8 , 	25 , 	17 , 	706 , 	811 , 	450 , 	561 , 	179 , 	101 , 	41 , 	37 , 	59 , 	6 , 	7 , 	15 , 	5 , 	15 , 	9 , 	11 , 	76 , 	41 , 	9 , 	38 , 	-   ," 	4,816 ",,,,,,,,,
BK, 	512 ," 	1,103 ", 	821 , 	242 , 	45 , 	446 , 	451 , 	613 , 	604 , 	331 , 	324 , 	174 , 	199 , 	156 , 	176 , 	89 , 	164 , 	292 , 	154 , 	185 , 	162 , 	88 , 	55 , 	62 , 	85 ," 	1,068 "," 	1,091 ", 	864 , 	849 , 	356 , 	287 , 	147 , 	138 , 	158 , 	41 , 	58 , 	114 , 	53 , 	138 , 	39 , 	45 , 	136 , 	177 , 	57 , 	71 , 	-   ," 	13,421 ",,,,,,,,,
AS, 	109 , 	131 , 	79 , 	75 , 	421 , 	16 , 	99 , 	273 , 	259 , 	74 , 	101 , 	63 , 	53 , 	33 , 	37 , 	20 , 	40 , 	63 , 	25 , 	25 , 	25 , 	10 , 	7 , 	20 , 	33 , 	717 , 	834 , 	516 , 	564 , 	234 , 	141 , 	33 , 	53 , 	55 , 	12 , 	10 , 	18 , 	9 , 	39 , 	10 , 	15 , 	50 , 	45 , 	10 , 	22 , 	-   ," 	5,476 ",,,,,,,,,
MA, 	162 , 	283 , 	127 , 	102 , 	443 , 	102 , 	28 , 	215 , 	255 , 	100 , 	175 , 	155 , 	128 , 	97 , 	118 , 	59 , 	85 , 	137 , 	158 , 	194 , 	150 , 	58 , 	36 , 	74 , 	55 ," 	1,108 "," 	1,297 ", 	888 , 	960 , 	422 , 	244 , 	86 , 	91 , 	101 , 	29 , 	25 , 	71 , 	65 , 	263 , 	34 , 	36 , 	97 , 	67 , 	24 , 	31 , 	-   ," 	9,435 ",,,,,,,,,
19, 	167 , 	496 , 	326 , 	273 , 	577 , 	284 , 	202 , 	33 , 	62 , 	54 , 	195 , 	172 , 	239 , 	211 , 	226 , 	170 , 	232 , 	392 , 	344 , 	405 , 	313 , 	156 , 	109 , 	184 , 	67 ," 	1,404 "," 	1,570 ", 	972 ," 	1,110 ", 	483 , 	359 , 	191 , 	142 , 	170 , 	85 , 	78 , 	240 , 	176 , 	271 , 	74 , 	70 , 	79 , 	143 , 	95 , 	33 , 	-   ," 	13,639 ",,,,,,,,,
12, 	213 , 	639 , 	309 , 	255 , 	520 , 	256 , 	234 , 	54 , 	39 , 	59 , 	243 , 	309 , 	346 , 	337 , 	315 , 	172 , 	213 , 	352 , 	346 , 	388 , 	287 , 	150 , 	118 , 	169 , 	101 ," 	1,345 "," 	1,366 ", 	987 ," 	1,019 ", 	349 , 	323 , 	181 , 	183 , 	211 , 	137 , 	114 , 	232 , 	185 , 	359 , 	88 , 	92 , 	113 , 	163 , 	124 , 	54 , 	-   ," 	14,049 ",,,,,,,,,
LM, 	49 , 	131 , 	94 , 	76 , 	304 , 	74 , 	93 , 	59 , 	57 , 	19 , 	195 , 	281 , 	327 , 	286 , 	176 , 	102 , 	129 , 	182 , 	35 , 	29 , 	28 , 	12 , 	12 , 	38 , 	41 , 	860 ," 	1,047 ", 	735 , 	681 , 	254 , 	155 , 	69 , 	97 , 	123 , 	13 , 	131 , 	201 , 	14 , 	58 , 	12 , 	21 , 	36 , 	25 , 	79 , 	21 , 	-   ," 	7,458 ",,,,,,,,,
FV, 	95 , 	133 , 	61 , 	68 , 	336 , 	97 , 	191 , 	207 , 	258 , 	195 , 	28 , 	251 , 	238 , 	249 , 	218 , 	87 , 	88 , 	170 , 	46 , 	29 , 	43 , 	15 , 	24 , 	53 , 	112 , 	942 ," 	1,072 ", 	941 , 	915 , 	333 , 	245 , 	70 , 	114 , 	157 , 	9 , 	62 , 	124 , 	10 , 	56 , 	16 , 	23 , 	61 , 	27 , 	59 , 	13 , 	-   ," 	8,538 ",,,,,,,,,
CL, 	70 , 	126 , 	43 , 	47 , 	170 , 	67 , 	162 , 	190 , 	327 , 	247 , 	240 , 	23 , 	133 , 	198 , 	152 , 	82 , 	94 , 	195 , 	49 , 	40 , 	42 , 	25 , 	20 , 	37 , 	101 , 	617 , 	598 , 	570 , 	472 , 	162 , 	126 , 	74 , 	82 , 	164 , 	16 , 	44 , 	133 , 	17 , 	96 , 	26 , 	28 , 	39 , 	32 , 	60 , 	31 , 	-   ," 	6,271 ",,,,,,,,,
SL, 	38 , 	64 , 	31 , 	35 , 	200 , 	53 , 	129 , 	259 , 	366 , 	327 , 	229 , 	143 , 	15 , 	130 , 	178 , 	70 , 	83 , 	160 , 	32 , 	28 , 	27 , 	10 , 	7 , 	26 , 	38 , 	735 , 	803 , 	621 , 	537 , 	162 , 	106 , 	41 , 	75 , 	126 , 	10 , 	43 , 	96 , 	9 , 	47 , 	20 , 	15 , 	37 , 	11 , 	45 , 	7 , 	-   ," 	6,225 ",,,,,,,,,
BF, 	29 , 	49 , 	17 , 	24 , 	169 , 	34 , 	111 , 	234 , 	353 , 	271 , 	233 , 	203 , 	129 , 	21 , 	141 , 	79 , 	106 , 	247 , 	29 , 	11 , 	11 , 	7 , 	3 , 	12 , 	37 , 	829 , 	850 , 	607 , 	502 , 	148 , 	93 , 	37 , 	56 , 	104 , 	9 , 	64 , 	150 , 	6 , 	19 , 	13 , 	20 , 	31 , 	9 , 	85 , 	6 , 	-   ," 	6,196 ",,,,,,,,,
HY, 	37 , 	92 , 	27 , 	32 , 	163 , 	40 , 	118 , 	227 , 	292 , 	164 , 	219 , 	172 , 	199 , 	154 , 	24 , 	109 , 	217 , 	362 , 	31 , 	21 , 	19 , 	5 , 	4 , 	17 , 	30 , 	503 , 	528 , 	371 , 	321 , 	88 , 	61 , 	29 , 	46 , 	66 , 	7 , 	23 , 	61 , 	14 , 	49 , 	10 , 	13 , 	22 , 	8 , 	34 , 	12 , 	-   ," 	5,041 ",,,,,,,,,
SH, 	20 , 	30 , 	9 , 	12 , 	81 , 	21 , 	59 , 	155 , 	161 , 	93 , 	84 , 	74 , 	64 , 	75 , 	91 , 	11 , 	85 , 	183 , 	10 , 	6 , 	11 , 	1 , 	2 , 	6 , 	17 , 	389 , 	375 , 	224 , 	227 , 	79 , 	44 , 	10 , 	24 , 	55 , 	3 , 	11 , 	33 , 	2 , 	13 , 	6 , 	9 , 	13 , 	5 , 	20 , 	5 , 	-   ," 	2,911 ",,,,,,,,,
UC, 	22 , 	40 , 	20 , 	17 , 	162 , 	43 , 	79 , 	225 , 	203 , 	124 , 	94 , 	100 , 	89 , 	110 , 	227 , 	88 , 	24 , 	208 , 	16 , 	14 , 	15 , 	3 , 	5 , 	10 , 	12 , 	968 , 	837 , 	392 , 	323 , 	73 , 	38 , 	11 , 	25 , 	77 , 	5 , 	22 , 	59 , 	5 , 	28 , 	6 , 	6 , 	22 , 	7 , 	19 , 	18 , 	-   ," 	4,890 ",,,,,,,,,
FM, 	38 , 	100 , 	50 , 	41 , 	311 , 	65 , 	138 , 	387 , 	341 , 	185 , 	179 , 	199 , 	168 , 	261 , 	368 , 	189 , 	208 , 	67 , 	33 , 	37 , 	28 , 	13 , 	17 , 	31 , 	22 ," 	1,912 "," 	1,594 ", 	667 , 	528 , 	139 , 	52 , 	34 , 	35 , 	88 , 	9 , 	44 , 	101 , 	11 , 	56 , 	6 , 	7 , 	45 , 	8 , 	42 , 	30 , 	-   ," 	8,883 ",,,,,,,,,
CN, 	28 , 	41 , 	20 , 	23 , 	153 , 	25 , 	171 , 	336 , 	350 , 	34 , 	38 , 	53 , 	32 , 	29 , 	31 , 	10 , 	16 , 	35 , 	29 , 	107 , 	272 , 	90 , 	45 , 	95 , 	21 , 	930 , 	989 , 	601 , 	542 , 	142 , 	89 , 	49 , 	58 , 	117 , 	26 , 	9 , 	11 , 	56 , 	309 , 	28 , 	25 , 	100 , 	32 , 	5 , 	26 , 	-   ," 	6,228 ",,,,,,,,,
PH, 	14 , 	19 , 	16 , 	22 , 	183 , 	24 , 	188 , 	386 , 	374 , 	27 , 	29 , 	39 , 	25 , 	9 , 	27 , 	7 , 	14 , 	36 , 	104 , 	25 , 	112 , 	46 , 	34 , 	120 , 	11 ," 	1,669 "," 	1,772 ", 	695 , 	624 , 	165 , 	79 , 	107 , 	51 , 	91 , 	13 , 	2 , 	5 , 	36 , 	141 , 	28 , 	31 , 	138 , 	25 , 	2 , 	48 , 	-   ," 	7,612 ",,,,,,,,,
WC, 	23 , 	35 , 	24 , 	28 , 	165 , 	25 , 	154 , 	326 , 	316 , 	27 , 	37 , 	45 , 	29 , 	14 , 	19 , 	14 , 	14 , 	30 , 	319 , 	122 , 	24 , 	55 , 	40 , 	150 , 	18 ," 	1,430 "," 	1,515 ", 	566 , 	512 , 	135 , 	74 , 	55 , 	52 , 	86 , 	23 , 	5 , 	5 , 	50 , 	237 , 	18 , 	27 , 	159 , 	36 , 	2 , 	45 , 	-   ," 	7,082 ",,,,,,,,,
