Fast Pass OD,,,,,,Oct 09,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,72,46,181,190,606,"1,045",793,"1,255","4,186"
MT,48,57,106,181,768,"1,360","1,100","2,437","6,056"
PL,257,150,88,152,782,"1,134",735,"2,206","5,504"
CC,167,174,167,60,540,758,521,"1,428","3,814"
16,556,638,983,568,34,259,260,802,"4,100"
24,826,"1,045","1,378",777,262,44,201,792,"5,325"
GP,693,830,948,479,246,206,24,166,"3,592"
BP,"1,085","1,310","3,108","1,332",757,820,169,49,"8,629"
Entries,"3,703","4,250","6,958","3,739","3,995","5,625","3,802","9,134","41,207"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,47,13,70,62,248,306,171,368,"1,284"
MT,10,26,33,42,279,362,334,"1,096","2,181"
PL,86,30,104,72,659,953,562,"1,512","3,977"
CC,46,34,88,59,381,471,225,544,"1,849"
16,233,178,803,390,35,195,174,412,"2,420"
24,236,227,"1,120",485,174,45,157,439,"2,882"
GP,142,144,725,193,140,133,29,74,"1,579"
BP,314,357,"2,156",472,368,394,80,44,"4,184"
Entries,"1,113","1,009","5,099","1,774","2,284","2,859","1,733","4,488","20,358"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,55,8,39,33,160,175,96,257,822
MT,6,22,21,31,186,220,196,690,"1,370"
PL,49,15,146,45,458,658,371,"1,029","2,770"
CC,26,17,54,76,287,347,171,414,"1,391"
16,169,95,591,285,42,131,108,302,"1,722"
24,175,156,796,381,117,52,96,285,"2,057"
GP,87,102,552,163,113,107,28,50,"1,201"
BP,234,235,"1,546",387,293,262,47,47,"3,052"
Entries,800,650,"3,743","1,400","1,656","1,951","1,112","3,072","14,384"
