Exit stations,Entry stations->,,SATURDAY,,,Oct 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
FV, 	78 , 	90 , 	48 , 	57 , 	290 , 	107 , 	131 , 	103 , 	115 , 	84 , 	17 , 	200 , 	171 , 	234 , 	157 , 	83 , 	56 , 	103 , 	44 , 	14 , 	25 , 	14 , 	18 , 	41 , 	94 , 	504 , 	342 , 	806 , 	441 , 	216 , 	177 , 	47 , 	73 , 	52 , 	15 , 	47 , 	89 , 	8 , 	53 , 	12 , 	15 , 	38 , 	24 , 	46 , 	-   , 	-   ," 	5,370 ",,,OAK," 	10,399 "," 	1,155 "," 	2,992 "," 	3,094 "," 	1,308 "," 	3,089 ", 	525 ," 	22,560 "
CL, 	69 , 	134 , 	41 , 	41 , 	204 , 	74 , 	124 , 	92 , 	165 , 	93 , 	197 , 	13 , 	107 , 	194 , 	146 , 	72 , 	82 , 	110 , 	46 , 	42 , 	34 , 	12 , 	13 , 	27 , 	88 , 	352 , 	160 , 	459 , 	219 , 	87 , 	79 , 	39 , 	55 , 	64 , 	11 , 	52 , 	104 , 	22 , 	86 , 	13 , 	23 , 	35 , 	23 , 	61 , 	-   , 	-   ," 	4,159 ",,,CM line," 	18,129 "," 	3,126 "," 	6,470 "," 	3,025 "," 	1,581 "," 	2,185 "," 	2,578 "," 	37,094 "
SL, 	24 , 	42 , 	19 , 	20 , 	175 , 	34 , 	53 , 	65 , 	95 , 	147 , 	171 , 	114 , 	12 , 	116 , 	108 , 	44 , 	42 , 	57 , 	22 , 	10 , 	14 , 	8 , 	4 , 	21 , 	29 , 	346 , 	177 , 	471 , 	167 , 	57 , 	57 , 	21 , 	36 , 	29 , 	5 , 	41 , 	39 , 	3 , 	27 , 	6 , 	10 , 	26 , 	13 , 	38 , 	-   , 	-   ," 	3,011 ",,,RM line," 	10,273 "," 	3,147 "," 	2,987 "," 	6,158 "," 	1,462 "," 	3,351 ", 	851 ," 	28,228 "
BF, 	30 , 	44 , 	17 , 	17 , 	159 , 	31 , 	66 , 	83 , 	139 , 	144 , 	238 , 	201 , 	97 , 	14 , 	147 , 	80 , 	79 , 	138 , 	18 , 	8 , 	12 , 	6 , 	5 , 	11 , 	38 , 	331 , 	193 , 	465 , 	177 , 	64 , 	60 , 	19 , 	38 , 	32 , 	11 , 	56 , 	110 , 	3 , 	26 , 	7 , 	10 , 	18 , 	7 , 	100 , 	-   , 	-   ," 	3,542 ",,,WP line," 	9,350 "," 	1,359 "," 	1,641 "," 	1,518 "," 	3,528 "," 	1,122 ", 	914 ," 	19,433 "
HY, 	28 , 	36 , 	14 , 	17 , 	135 , 	32 , 	50 , 	55 , 	81 , 	60 , 	154 , 	153 , 	103 , 	151 , 	15 , 	79 , 	110 , 	154 , 	17 , 	6 , 	13 , 	3 , 	3 , 	14 , 	24 , 	218 , 	111 , 	287 , 	109 , 	59 , 	29 , 	12 , 	19 , 	19 , 	6 , 	27 , 	40 , 	3 , 	29 , 	5 , 	8 , 	17 , 	7 , 	45 , 	-   , 	-   ," 	2,550 ",,,FT/ED line," 	12,356 "," 	3,104 "," 	2,257 "," 	3,436 "," 	1,072 "," 	8,144 ", 	602 ," 	30,970 "
SH, 	17 , 	23 , 	6 , 	9 , 	70 , 	17 , 	20 , 	22 , 	39 , 	35 , 	73 , 	67 , 	46 , 	77 , 	80 , 	12 , 	45 , 	90 , 	7 , 	4 , 	5 , 	3 , 	1 , 	4 , 	8 , 	157 , 	71 , 	189 , 	64 , 	25 , 	25 , 	8 , 	17 , 	20 , 	6 , 	14 , 	21 , 	3 , 	12 , 	4 , 	6 , 	11 , 	5 , 	22 , 	-   , 	-   ," 	1,455 ",,,SFIA," 	5,895 ", 	517 ," 	2,464 ", 	806 , 	783 , 	513 ," 	1,000 "," 	11,977 "
UC, 	14 , 	23 , 	16 , 	16 , 	119 , 	17 , 	25 , 	34 , 	61 , 	49 , 	60 , 	90 , 	48 , 	93 , 	97 , 	48 , 	10 , 	89 , 	8 , 	4 , 	8 , 	4 , 	3 , 	7 , 	9 , 	302 , 	134 , 	318 , 	99 , 	38 , 	27 , 	9 , 	17 , 	28 , 	4 , 	20 , 	28 , 	2 , 	10 , 	3 , 	4 , 	24 , 	6 , 	15 , 	-   , 	-   ," 	2,037 ",,,Entries," 	69,145 "," 	23,697 "," 	37,721 "," 	29,054 "," 	19,701 "," 	31,378 "," 	13,476 "," 	224,170 "
FM, 	19 , 	52 , 	35 , 	31 , 	483 , 	38 , 	54 , 	55 , 	96 , 	59 , 	117 , 	110 , 	65 , 	141 , 	156 , 	102 , 	104 , 	28 , 	23 , 	19 , 	13 , 	9 , 	6 , 	28 , 	15 , 	623 , 	255 , 	582 , 	222 , 	65 , 	40 , 	18 , 	34 , 	42 , 	9 , 	21 , 	74 , 	5 , 	32 , 	4 , 	6 , 	41 , 	6 , 	28 , 	-   , 	-   ," 	3,960 ",,,,,,,,,,,
CN, 	20 , 	23 , 	11 , 	8 , 	118 , 	18 , 	45 , 	35 , 	72 , 	12 , 	42 , 	48 , 	16 , 	20 , 	18 , 	6 , 	6 , 	24 , 	18 , 	67 , 	178 , 	65 , 	32 , 	44 , 	14 , 	350 , 	161 , 	340 , 	156 , 	51 , 	49 , 	25 , 	29 , 	29 , 	12 , 	4 , 	10 , 	23 , 	226 , 	10 , 	13 , 	60 , 	15 , 	5 , 	-   , 	-   ," 	2,524 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	8 , 	13 , 	11 , 	12 , 	146 , 	12 , 	27 , 	35 , 	61 , 	12 , 	15 , 	46 , 	10 , 	8 , 	6 , 	4 , 	7 , 	11 , 	64 , 	13 , 	101 , 	27 , 	19 , 	74 , 	7 , 	431 , 	211 , 	386 , 	197 , 	64 , 	40 , 	19 , 	16 , 	28 , 	11 , 	2 , 	5 , 	10 , 	70 , 	11 , 	8 , 	102 , 	16 , 	3 , 	-   , 	-   ," 	2,373 ",,,Dtwn SF," 	2,744 ",,,,,,,
WC, 	11 , 	23 , 	15 , 	19 , 	207 , 	21 , 	58 , 	53 , 	70 , 	20 , 	28 , 	46 , 	14 , 	12 , 	9 , 	5 , 	9 , 	17 , 	234 , 	106 , 	24 , 	63 , 	26 , 	111 , 	12 , 	605 , 	320 , 	498 , 	260 , 	84 , 	47 , 	31 , 	16 , 	29 , 	11 , 	6 , 	7 , 	22 , 	142 , 	8 , 	11 , 	120 , 	21 , 	4 , 	-   , 	-   ," 	3,453 ",,,OAK," 	21,689 "," 	1,155 ",,,,,,
LF, 	4 , 	7 , 	12 , 	10 , 	146 , 	7 , 	27 , 	39 , 	39 , 	6 , 	17 , 	17 , 	9 , 	6 , 	5 , 	2 , 	5 , 	11 , 	80 , 	29 , 	63 , 	12 , 	15 , 	102 , 	5 , 	396 , 	204 , 	306 , 	162 , 	49 , 	29 , 	16 , 	9 , 	17 , 	5 , 	1 , 	1 , 	4 , 	27 , 	4 , 	4 , 	86 , 	12 , 	3 , 	-   , 	-   ," 	2,005 ",,,CM line," 	37,039 "," 	6,118 "," 	6,470 ",,,,,
OR, 	6 , 	7 , 	11 , 	7 , 	114 , 	6 , 	24 , 	23 , 	29 , 	6 , 	17 , 	12 , 	4 , 	4 , 	5 , 	1 , 	1 , 	4 , 	32 , 	20 , 	27 , 	13 , 	8 , 	85 , 	5 , 	312 , 	148 , 	254 , 	124 , 	45 , 	26 , 	12 , 	8 , 	11 , 	2 , 	1 , 	1 , 	5 , 	18 , 	2 , 	4 , 	59 , 	9 , 	0 , 	-   , 	-   ," 	1,508 ",,,RM line," 	21,290 "," 	6,241 "," 	6,012 "," 	6,158 ",,,,
RR, 	19 , 	20 , 	32 , 	21 , 	83 , 	16 , 	56 , 	100 , 	88 , 	24 , 	39 , 	37 , 	14 , 	14 , 	15 , 	3 , 	7 , 	19 , 	51 , 	68 , 	121 , 	101 , 	84 , 	34 , 	25 , 	519 , 	333 , 	615 , 	450 , 	229 , 	147 , 	37 , 	23 , 	28 , 	4 , 	5 , 	6 , 	15 , 	34 , 	7 , 	7 , 	105 , 	28 , 	5 , 	-   , 	-   ," 	3,682 ",,,WP line," 	19,318 "," 	2,666 "," 	3,222 "," 	2,980 "," 	3,528 ",,,
