Muni Fast Pass Adult/Clipper OD,,,,,,Oct 14,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,45,21,76,100,386,718,619,947,"2,913"
MT,28,45,52,103,488,983,892,"1,802","4,393"
PL,131,77,50,63,374,612,486,"1,314","3,107"
CC,90,99,71,23,190,402,370,831,"2,077"
16,332,404,454,209,13,98,142,380,"2,033"
24,559,713,745,388,110,20,102,378,"3,016"
GP,534,668,613,335,148,125,17,86,"2,525"
BP,827,"1,110","1,779",744,363,390,89,45,"5,347"
Entries,"2,546","3,136","3,840","1,965","2,074","3,348","2,717","5,784","25,409"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,17,5,28,24,142,183,124,307,829
MT,5,13,15,14,137,223,196,758,"1,359"
PL,47,15,35,33,322,478,370,995,"2,295"
CC,17,15,34,22,130,202,121,271,812
16,123,89,348,130,17,91,103,219,"1,121"
24,161,135,522,214,91,21,72,223,"1,437"
GP,99,123,443,115,83,83,15,41,"1,001"
BP,268,314,"1,262",241,180,195,38,31,"2,528"
Entries,735,710,"2,684",792,"1,100","1,476","1,037","2,846","11,380"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,3,20,15,86,111,81,200,535
MT,3,8,10,12,94,133,127,445,832
PL,22,9,38,16,234,338,240,676,"1,573"
CC,15,5,23,21,104,161,102,254,684
16,92,51,264,112,17,53,77,168,834
24,125,85,394,160,65,24,64,174,"1,089"
GP,80,77,340,101,72,62,12,22,765
BP,205,210,"1,003",209,157,155,25,35,"1,999"
Entries,562,447,"2,090",647,828,"1,036",726,"1,974","8,309"
