Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Jun 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	7 , 	71 , 	55 , 	36 , 	141 , 	73 , 	61 , 	28 , 	48 , 	22 , 	75 , 	84 , 	13 , 	19 , 	17 , 	11 , 	6 , 	20 , 	16 , 	3 , 	8 , 	4 , 	3 , 	8 , 	16 , 	51 , 	51 , 	166 , 	81 , 	57 , 	86 , 	17 , 	21 , 	18 , 	25 , 	2 , 	6 , 	3 , 	19 ," 	1,448 ",,,Eastbay," 	27,441 ",,SF CBD," 	67,120 ",62.8%,,
EN, 	67 , 	9 , 	43 , 	37 , 	218 , 	90 , 	74 , 	45 , 	97 , 	31 , 	60 , 	149 , 	20 , 	19 , 	17 , 	12 , 	17 , 	39 , 	12 , 	8 , 	10 , 	4 , 	4 , 	10 , 	10 , 	159 , 	102 , 	331 , 	202 , 	39 , 	64 , 	19 , 	33 , 	24 , 	28 , 	5 , 	12 , 	2 , 	14 ," 	2,135 ",,,Westbay," 	29,190 ",,non-CBD," 	39,826 ",37.2%,,
EP, 	57 , 	38 , 	5 , 	24 , 	187 , 	42 , 	33 , 	21 , 	45 , 	17 , 	29 , 	104 , 	11 , 	9 , 	6 , 	4 , 	10 , 	19 , 	4 , 	4 , 	8 , 	3 , 	3 , 	13 , 	6 , 	88 , 	79 , 	184 , 	147 , 	17 , 	20 , 	9 , 	8 , 	10 , 	12 , 	3 , 	7 , 	0 , 	7 ," 	1,292 ",,,Transbay," 	50,316 ",,,,,,
NB, 	38 , 	39 , 	23 , 	8 , 	56 , 	39 , 	21 , 	26 , 	48 , 	19 , 	31 , 	97 , 	12 , 	6 , 	11 , 	3 , 	6 , 	16 , 	5 , 	7 , 	7 , 	2 , 	4 , 	5 , 	6 , 	115 , 	97 , 	222 , 	226 , 	42 , 	36 , 	16 , 	10 , 	8 , 	10 , 	2 , 	4 , 	-   , 	4 ," 	1,328 ",,,,,,,,,,
BK, 	155 , 	218 , 	179 , 	54 , 	15 , 	158 , 	95 , 	131 , 	182 , 	62 , 	93 , 	203 , 	42 , 	39 , 	37 , 	18 , 	40 , 	107 , 	23 , 	18 , 	34 , 	15 , 	12 , 	21 , 	25 , 	242 , 	195 , 	588 , 	385 , 	100 , 	73 , 	32 , 	23 , 	36 , 	50 , 	11 , 	31 , 	4 , 	17 ," 	3,765 ",,,Extensions," 	14,262 ",,,,,,
AS, 	71 , 	82 , 	48 , 	40 , 	135 , 	6 , 	70 , 	60 , 	82 , 	39 , 	64 , 	119 , 	20 , 	24 , 	17 , 	7 , 	14 , 	23 , 	7 , 	7 , 	9 , 	5 , 	4 , 	6 , 	23 , 	95 , 	83 , 	210 , 	215 , 	54 , 	56 , 	15 , 	10 , 	14 , 	16 , 	3 , 	12 , 	1 , 	9 ," 	1,775 ",,,,,,,,,,
MA, 	54 , 	64 , 	29 , 	19 , 	95 , 	61 , 	9 , 	27 , 	49 , 	18 , 	52 , 	112 , 	22 , 	27 , 	21 , 	8 , 	13 , 	27 , 	26 , 	14 , 	15 , 	6 , 	9 , 	15 , 	27 , 	153 , 	141 , 	334 , 	353 , 	80 , 	66 , 	19 , 	22 , 	16 , 	18 , 	3 , 	17 , 	7 , 	35 ," 	2,083 ",,,,,,,,,,
19, 	31 , 	47 , 	23 , 	24 , 	114 , 	59 , 	24 , 	4 , 	14 , 	11 , 	39 , 	67 , 	21 , 	26 , 	26 , 	12 , 	12 , 	23 , 	21 , 	10 , 	16 , 	10 , 	8 , 	17 , 	11 , 	92 , 	87 , 	206 , 	185 , 	51 , 	40 , 	13 , 	11 , 	14 , 	20 , 	3 , 	7 , 	4 , 	18 ," 	1,422 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	54 , 	84 , 	42 , 	41 , 	158 , 	77 , 	46 , 	17 , 	13 , 	18 , 	74 , 	115 , 	72 , 	67 , 	53 , 	17 , 	39 , 	53 , 	41 , 	29 , 	33 , 	16 , 	16 , 	33 , 	25 , 	197 , 	187 , 	518 , 	247 , 	65 , 	67 , 	28 , 	42 , 	45 , 	43 , 	4 , 	17 , 	9 , 	43 ," 	2,745 ",,,Dtwn SF," 	1,598 "," 	4,878 "," 	12,213 "," 	4,714 "," 	4,753 "," 	6,764 "," 	34,921 "
LM, 	22 , 	31 , 	13 , 	17 , 	61 , 	38 , 	18 , 	11 , 	20 , 	8 , 	77 , 	110 , 	73 , 	52 , 	29 , 	17 , 	32 , 	40 , 	4 , 	5 , 	4 , 	4 , 	2 , 	12 , 	20 , 	116 , 	114 , 	320 , 	203 , 	50 , 	50 , 	18 , 	21 , 	13 , 	6 , 	22 , 	37 , 	1 , 	7 ," 	1,698 ",,,OAK," 	4,441 ", 	469 , 	961 ," 	1,359 ", 	522 ," 	1,702 "," 	9,455 "
