Fast Pass Adjusted OD,,,,,,Jun 02,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,73,44,161,168,531,983,820,"1,175","3,954"
MT,44,65,92,151,789,"1,314","1,174","2,183","5,811"
PL,219,125,97,127,760,"1,133",729,"1,722","4,912"
CC,132,141,128,69,446,731,549,"1,304","3,500"
16,420,578,810,464,29,186,183,480,"3,151"
24,798,"1,004","1,218",725,190,53,178,411,"4,577"
GP,744,903,896,477,185,175,25,93,"3,498"
BP,"1,011","1,335","2,451","1,188",461,442,95,34,"7,017"
Entries,"3,441","4,196","5,852","3,367","3,390","5,017","3,755","7,402","36,421"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,23,8,35,27,178,235,103,204,813
MT,7,21,22,30,299,346,302,901,"1,928"
PL,40,20,66,43,534,805,458,"1,032","2,998"
CC,22,23,52,47,283,388,184,449,"1,448"
16,129,167,587,289,24,132,93,212,"1,632"
24,172,226,830,393,121,50,99,224,"2,115"
GP,104,145,592,168,79,82,19,38,"1,226"
BP,172,296,"1,607",415,235,232,47,33,"3,035"
Entries,668,905,"3,790","1,412","1,753","2,270","1,304","3,093","15,194"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,32,6,29,25,101,169,67,144,574
MT,5,21,21,29,172,217,209,590,"1,263"
PL,30,15,73,47,384,585,325,726,"2,184"
CC,22,23,56,52,262,384,153,348,"1,300"
16,95,122,428,268,27,93,57,145,"1,237"
24,126,140,622,367,81,48,72,158,"1,615"
GP,75,91,453,151,48,50,15,17,900
BP,139,182,"1,231",281,153,181,21,26,"2,215"
Entries,524,601,"2,913","1,222","1,228","1,728",919,"2,153","11,289"
