Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Jun 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	6 , 	148 , 	120 , 	98 , 	437 , 	115 , 	166 , 	164 , 	234 , 	40 , 	129 , 	106 , 	47 , 	35 , 	45 , 	25 , 	18 , 	31 , 	35 , 	19 , 	28 , 	11 , 	13 , 	23 , 	36 , 	228 , 	242 , 	342 , 	231 , 	111 , 	168 , 	28 , 	43 , 	34 , 	38 , 	6 , 	24 , 	5 , 	31 ," 	3,663 ",,,Eastbay," 	74,962 ",,SF CBD," 	199,491 ",65.9%,,,
EN, 	158 , 	13 , 	95 , 	82 , 	859 , 	155 , 	199 , 	404 , 	602 , 	96 , 	116 , 	164 , 	55 , 	37 , 	61 , 	23 , 	40 , 	67 , 	49 , 	29 , 	38 , 	12 , 	14 , 	23 , 	36 , 	843 , 	889 , 	742 , 	610 , 	113 , 	172 , 	59 , 	65 , 	74 , 	65 , 	6 , 	34 , 	9 , 	24 ," 	7,135 ",,,Westbay," 	79,836 ",,non-CBD," 	103,239 ",34.1%,,,
EP, 	119 , 	89 , 	5 , 	36 , 	593 , 	63 , 	87 , 	197 , 	289 , 	73 , 	52 , 	111 , 	26 , 	14 , 	23 , 	7 , 	15 , 	40 , 	25 , 	19 , 	29 , 	8 , 	10 , 	21 , 	11 , 	439 , 	472 , 	324 , 	255 , 	43 , 	39 , 	28 , 	17 , 	33 , 	16 , 	4 , 	17 , 	2 , 	9 ," 	3,660 ",,,Transbay," 	147,932 ",,,,,,,
NB, 	96 , 	80 , 	41 , 	5 , 	203 , 	41 , 	62 , 	163 , 	236 , 	55 , 	53 , 	82 , 	20 , 	12 , 	27 , 	6 , 	13 , 	32 , 	14 , 	15 , 	19 , 	6 , 	10 , 	17 , 	12 , 	514 , 	540 , 	374 , 	344 , 	84 , 	62 , 	24 , 	16 , 	30 , 	18 , 	4 , 	13 , 	2 , 	8 ," 	3,357 ",,,,,,,,,,,
BK, 	417 , 	940 , 	605 , 	209 , 	16 , 	390 , 	333 , 	448 , 	614 , 	215 , 	298 , 	280 , 	149 , 	119 , 	140 , 	80 , 	139 , 	261 , 	104 , 	141 , 	120 , 	69 , 	57 , 	48 , 	60 , 	680 , 	663 , 	797 , 	663 , 	186 , 	202 , 	120 , 	88 , 	122 , 	92 , 	43 , 	130 , 	30 , 	99 ," 	10,167 ",,,Extensions," 	41,802 ",,,,,,,
AS, 	104 , 	158 , 	63 , 	42 , 	345 , 	5 , 	76 , 	184 , 	237 , 	75 , 	103 , 	125 , 	46 , 	37 , 	58 , 	24 , 	29 , 	47 , 	26 , 	21 , 	24 , 	11 , 	8 , 	13 , 	33 , 	464 , 	494 , 	347 , 	336 , 	94 , 	85 , 	34 , 	26 , 	31 , 	23 , 	7 , 	33 , 	6 , 	20 ," 	3,893 ",,,,,,,,,,,
MA, 	153 , 	196 , 	87 , 	60 , 	323 , 	73 , 	9 , 	128 , 	216 , 	61 , 	125 , 	180 , 	90 , 	75 , 	77 , 	44 , 	53 , 	80 , 	101 , 	77 , 	84 , 	30 , 	35 , 	39 , 	64 , 	659 , 	698 , 	588 , 	543 , 	154 , 	134 , 	56 , 	51 , 	51 , 	40 , 	14 , 	54 , 	27 , 	98 ," 	5,628 ",,,,,,,,,,,
19, 	160 , 	446 , 	194 , 	178 , 	402 , 	181 , 	124 , 	11 , 	72 , 	39 , 	123 , 	170 , 	175 , 	168 , 	177 , 	145 , 	173 , 	286 , 	224 , 	294 , 	215 , 	116 , 	80 , 	106 , 	36 , 	654 , 	647 , 	528 , 	516 , 	135 , 	162 , 	105 , 	94 , 	131 , 	143 , 	44 , 	166 , 	103 , 	194 ," 	7,921 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	230 , 	687 , 	288 , 	238 , 	542 , 	231 , 	206 , 	73 , 	35 , 	69 , 	250 , 	378 , 	353 , 	321 , 	319 , 	200 , 	255 , 	373 , 	304 , 	400 , 	284 , 	179 , 	148 , 	181 , 	62 , 	905 , 	939 , 	979 , 	792 , 	200 , 	240 , 	156 , 	154 , 	203 , 	245 , 	79 , 	265 , 	114 , 	269 ," 	12,143 ",,,Dtwn SF," 	4,477 "," 	14,238 "," 	34,738 "," 	11,910 "," 	18,560 "," 	19,914 "," 	103,837 ",
LM, 	34 , 	93 , 	69 , 	58 , 	193 , 	67 , 	54 , 	31 , 	61 , 	9 , 	146 , 	193 , 	229 , 	173 , 	125 , 	87 , 	124 , 	142 , 	26 , 	23 , 	18 , 	10 , 	13 , 	28 , 	27 , 	477 , 	481 , 	460 , 	337 , 	85 , 	77 , 	39 , 	54 , 	52 , 	16 , 	61 , 	162 , 	11 , 	28 ," 	4,370 ",,,OAK," 	13,533 "," 	1,569 "," 	3,071 "," 	5,381 "," 	3,945 "," 	7,043 "," 	34,542 ",
