Fast Pass Adjusted OD,,,,,,Feb 07,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,56,49,180,181,640,987,798,"1,196","4,086"
MT,56,54,127,186,906,"1,452","1,208","2,457","6,448"
PL,248,161,78,149,792,"1,144",748,"2,093","5,414"
CC,156,172,168,54,575,738,536,"1,429","3,829"
16,538,742,"1,009",580,23,239,229,692,"4,051"
24,822,"1,122","1,393",734,267,40,167,643,"5,187"
GP,736,962,"1,015",480,233,184,19,142,"3,771"
BP,"1,102","1,436","3,064","1,336",677,677,166,39,"8,498"
Entries,"3,714","4,697","7,034","3,701","4,114","5,461","3,870","8,692","41,283"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,24,9,56,47,227,250,123,291,"1,025"
MT,10,17,32,39,339,390,359,"1,129","2,314"
PL,70,24,75,74,659,927,587,"1,296","3,712"
CC,38,27,74,41,377,438,195,506,"1,694"
16,197,209,794,392,27,188,126,358,"2,290"
24,226,218,"1,005",427,171,36,114,309,"2,506"
GP,113,160,762,164,122,109,19,63,"1,511"
BP,256,354,"2,061",453,323,318,70,33,"3,867"
Entries,933,"1,016","4,859","1,636","2,246","2,655","1,592","3,982","18,918"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,26,6,35,28,144,160,76,170,645
MT,5,17,20,20,206,232,213,755,"1,467"
PL,41,17,65,49,497,673,386,866,"2,594"
CC,27,14,62,46,312,315,143,320,"1,239"
16,138,139,584,314,30,114,94,242,"1,654"
24,152,167,779,322,108,35,77,227,"1,866"
GP,72,97,540,126,95,67,18,40,"1,053"
BP,200,246,"1,499",288,219,213,38,29,"2,731"
Entries,659,704,"3,583","1,192","1,610","1,809","1,044","2,647","13,248"
