Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Feb 07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,
SL, 	17 , 	33 , 	14 , 	14 , 	101 , 	28 , 	49 , 	48 , 	117 , 	99 , 	149 , 	88 , 	6 , 	97 , 	75 , 	42 , 	37 , 	44 , 	14 , 	8 , 	17 , 	5 , 	4 , 	14 , 	23 , 	104 , 	110 , 	403 , 	117 , 	35 , 	46 , 	17 , 	21 , 	21 , 	8 , 	19 , 	52 , 	1 , 	22 , 	4 , 	6 , 	15 , 	7 ," 	2,141 ",,,,,,,,,,
BF, 	22 , 	38 , 	11 , 	13 , 	112 , 	37 , 	65 , 	63 , 	120 , 	92 , 	251 , 	159 , 	97 , 	9 , 	115 , 	99 , 	87 , 	113 , 	16 , 	6 , 	7 , 	4 , 	1 , 	10 , 	42 , 	113 , 	109 , 	358 , 	119 , 	35 , 	43 , 	14 , 	21 , 	20 , 	7 , 	59 , 	149 , 	3 , 	24 , 	4 , 	8 , 	10 , 	8 ," 	2,692 ",,,,,,,,,,
HY, 	18 , 	33 , 	14 , 	12 , 	77 , 	28 , 	43 , 	42 , 	68 , 	42 , 	131 , 	108 , 	81 , 	127 , 	10 , 	100 , 	92 , 	155 , 	12 , 	9 , 	8 , 	4 , 	3 , 	8 , 	21 , 	72 , 	61 , 	204 , 	83 , 	27 , 	37 , 	9 , 	16 , 	19 , 	6 , 	14 , 	46 , 	5 , 	17 , 	3 , 	6 , 	4 , 	7 ," 	1,877 ",,,,,,,,,,
SH, 	9 , 	19 , 	4 , 	7 , 	54 , 	16 , 	22 , 	21 , 	30 , 	20 , 	52 , 	56 , 	39 , 	98 , 	85 , 	4 , 	45 , 	95 , 	6 , 	5 , 	6 , 	3 , 	2 , 	3 , 	11 , 	43 , 	44 , 	154 , 	51 , 	22 , 	31 , 	5 , 	10 , 	10 , 	6 , 	12 , 	26 , 	1 , 	11 , 	3 , 	2 , 	8 , 	2 ," 	1,151 ",,,,,,,,,,
UC, 	10 , 	20 , 	8 , 	13 , 	73 , 	15 , 	24 , 	24 , 	61 , 	45 , 	54 , 	75 , 	48 , 	98 , 	109 , 	48 , 	11 , 	106 , 	12 , 	6 , 	7 , 	3 , 	3 , 	4 , 	13 , 	105 , 	75 , 	280 , 	69 , 	24 , 	18 , 	12 , 	15 , 	21 , 	8 , 	9 , 	26 , 	1 , 	16 , 	4 , 	3 , 	17 , 	4 ," 	1,590 ",,,,,,,,,,
FM, 	13 , 	37 , 	25 , 	20 , 	298 , 	34 , 	36 , 	38 , 	106 , 	50 , 	82 , 	138 , 	46 , 	128 , 	160 , 	94 , 	105 , 	15 , 	21 , 	21 , 	11 , 	6 , 	6 , 	15 , 	20 , 	183 , 	173 , 	556 , 	151 , 	33 , 	33 , 	13 , 	19 , 	37 , 	8 , 	24 , 	50 , 	3 , 	20 , 	5 , 	8 , 	24 , 	6 ," 	2,865 ",,,,,,,,,,
CN, 	19 , 	25 , 	10 , 	9 , 	59 , 	18 , 	45 , 	35 , 	62 , 	9 , 	27 , 	50 , 	14 , 	20 , 	14 , 	6 , 	7 , 	17 , 	12 , 	74 , 	209 , 	49 , 	37 , 	35 , 	10 , 	111 , 	80 , 	301 , 	97 , 	29 , 	45 , 	18 , 	28 , 	32 , 	8 , 	5 , 	9 , 	24 , 	229 , 	7 , 	8 , 	30 , 	14 ," 	1,941 ",,,,,,,,,,
PH, 	5 , 	11 , 	10 , 	9 , 	64 , 	7 , 	31 , 	23 , 	56 , 	2 , 	12 , 	57 , 	7 , 	4 , 	9 , 	3 , 	6 , 	20 , 	60 , 	9 , 	80 , 	23 , 	20 , 	50 , 	5 , 	193 , 	129 , 	432 , 	131 , 	29 , 	27 , 	15 , 	14 , 	30 , 	3 , 	2 , 	5 , 	10 , 	48 , 	3 , 	5 , 	43 , 	7 ," 	1,705 ",,,,,,,,,,
WC, 	10 , 	19 , 	9 , 	14 , 	87 , 	16 , 	36 , 	33 , 	63 , 	7 , 	25 , 	44 , 	16 , 	7 , 	7 , 	6 , 	9 , 	13 , 	285 , 	82 , 	7 , 	52 , 	26 , 	88 , 	9 , 	216 , 	157 , 	586 , 	192 , 	36 , 	27 , 	18 , 	15 , 	31 , 	4 , 	4 , 	6 , 	22 , 	94 , 	5 , 	5 , 	45 , 	14 ," 	2,442 ",,,,,,,,,,
LF, 	8 , 	7 , 	3 , 	7 , 	59 , 	9 , 	12 , 	18 , 	32 , 	10 , 	16 , 	32 , 	6 , 	2 , 	2 , 	3 , 	2 , 	6 , 	68 , 	26 , 	47 , 	6 , 	12 , 	37 , 	4 , 	135 , 	102 , 	318 , 	131 , 	22 , 	18 , 	8 , 	3 , 	12 , 	1 , 	1 , 	2 , 	7 , 	20 , 	0 , 	2 , 	25 , 	7 ," 	1,244 ",,,,,,,,,,
OR, 	6 , 	8 , 	5 , 	6 , 	40 , 	3 , 	12 , 	9 , 	34 , 	4 , 	16 , 	22 , 	5 , 	2 , 	3 , 	2 , 	1 , 	5 , 	31 , 	20 , 	24 , 	8 , 	5 , 	39 , 	2 , 	101 , 	90 , 	303 , 	86 , 	20 , 	12 , 	8 , 	3 , 	11 , 	1 , 	1 , 	1 , 	2 , 	9 , 	1 , 	2 , 	20 , 	4 , 	979 ,,,,,,,,,,
