Exit stations,Entry stations->,,SATURDAY,,,Apr 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	7 , 	78 , 	77 , 	53 , 	288 , 	77 , 	79 , 	59 , 	70 , 	22 , 	70 , 	76 , 	24 , 	24 , 	24 , 	11 , 	11 , 	25 , 	12 , 	6 , 	12 , 	4 , 	9 , 	13 , 	20 , 	135 , 	115 , 	312 , 	122 , 	98 , 	121 , 	28 , 	41 , 	39 , 	13 , 	4 , 	8 , 	4 , 	28 , 	6 , 	17 , 	29 , 	16 , 	3 , 	6 , 	-   ," 	2,288 ",,,Eastbay," 	51,041 ",,SF CBD," 	115,771 ",57.7%,,,
EN, 	80 , 	11 , 	74 , 	59 , 	491 , 	115 , 	139 , 	111 , 	167 , 	39 , 	107 , 	207 , 	30 , 	39 , 	37 , 	14 , 	18 , 	46 , 	27 , 	13 , 	20 , 	9 , 	8 , 	21 , 	30 , 	324 , 	260 , 	702 , 	248 , 	117 , 	118 , 	35 , 	63 , 	56 , 	26 , 	10 , 	10 , 	5 , 	44 , 	12 , 	22 , 	73 , 	20 , 	8 , 	18 , 	-   ," 	4,077 ",,,Westbay," 	55,793 ",,non-CBD," 	78,724 ",39.2%,,,
EP, 	83 , 	72 , 	10 , 	51 , 	488 , 	70 , 	73 , 	74 , 	126 , 	30 , 	45 , 	105 , 	13 , 	15 , 	13 , 	6 , 	9 , 	28 , 	7 , 	8 , 	17 , 	8 , 	9 , 	25 , 	15 , 	175 , 	144 , 	340 , 	173 , 	76 , 	58 , 	20 , 	18 , 	16 , 	4 , 	7 , 	12 , 	2 , 	9 , 	3 , 	6 , 	52 , 	15 , 	7 , 	19 , 	-   ," 	2,548 ",,,Transbay," 	98,766 ",,,,,,,
NB, 	58 , 	55 , 	55 , 	13 , 	163 , 	57 , 	68 , 	94 , 	96 , 	26 , 	52 , 	102 , 	17 , 	19 , 	14 , 	6 , 	11 , 	33 , 	11 , 	14 , 	18 , 	7 , 	7 , 	18 , 	23 , 	280 , 	201 , 	368 , 	278 , 	142 , 	97 , 	32 , 	27 , 	26 , 	4 , 	6 , 	9 , 	5 , 	10 , 	3 , 	4 , 	70 , 	18 , 	4 , 	28 , 	-   ," 	2,645 ",,,,,,,,,,,
BK, 	305 , 	543 , 	491 , 	189 , 	57 , 	301 , 	305 , 	322 , 	362 , 	143 , 	250 , 	194 , 	110 , 	119 , 	95 , 	48 , 	103 , 	297 , 	76 , 	90 , 	108 , 	62 , 	67 , 	50 , 	98 , 	802 , 	478 ," 	1,198 ", 	698 , 	361 , 	264 , 	99 , 	93 , 	146 , 	25 , 	31 , 	111 , 	21 , 	69 , 	17 , 	26 , 	142 , 	132 , 	41 , 	87 , 	-   ," 	9,623 ",,,,,,,,,,,
AS, 	83 , 	96 , 	76 , 	50 , 	254 , 	13 , 	91 , 	148 , 	129 , 	48 , 	101 , 	119 , 	34 , 	30 , 	26 , 	10 , 	11 , 	28 , 	15 , 	14 , 	16 , 	8 , 	5 , 	15 , 	48 , 	253 , 	160 , 	389 , 	268 , 	219 , 	136 , 	32 , 	32 , 	23 , 	6 , 	8 , 	13 , 	4 , 	17 , 	4 , 	8 , 	42 , 	19 , 	5 , 	22 , 	-   ," 	3,124 ",,,,,,,,,,,
MA, 	92 , 	131 , 	70 , 	68 , 	292 , 	104 , 	20 , 	100 , 	146 , 	48 , 	128 , 	201 , 	42 , 	58 , 	48 , 	23 , 	22 , 	50 , 	49 , 	36 , 	50 , 	25 , 	23 , 	54 , 	64 , 	414 , 	306 , 	660 , 	469 , 	326 , 	211 , 	45 , 	38 , 	35 , 	11 , 	9 , 	21 , 	12 , 	86 , 	7 , 	11 , 	83 , 	23 , 	10 , 	23 , 	-   ," 	4,740 ",,,,,,,,,,,
19, 	61 , 	111 , 	72 , 	91 , 	309 , 	164 , 	98 , 	22 , 	22 , 	15 , 	97 , 	165 , 	62 , 	48 , 	47 , 	19 , 	25 , 	54 , 	43 , 	41 , 	57 , 	31 , 	30 , 	98 , 	57 , 	354 , 	278 , 	551 , 	454 , 	293 , 	196 , 	59 , 	45 , 	46 , 	12 , 	11 , 	25 , 	13 , 	45 , 	7 , 	20 , 	51 , 	38 , 	8 , 	16 , 	-   ," 	4,352 ",,,,,,,,,,,
12, 	77 , 	145 , 	117 , 	98 , 	331 , 	131 , 	121 , 	20 , 	27 , 	19 , 	112 , 	181 , 	76 , 	106 , 	65 , 	30 , 	50 , 	72 , 	75 , 	62 , 	78 , 	40 , 	28 , 	85 , 	77 , 	403 , 	307 , 	704 , 	397 , 	231 , 	153 , 	72 , 	75 , 	59 , 	19 , 	10 , 	27 , 	19 , 	72 , 	18 , 	26 , 	80 , 	44 , 	10 , 	21 , 	-   ," 	4,963 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	21 , 	46 , 	32 , 	31 , 	130 , 	57 , 	55 , 	18 , 	19 , 	14 , 	116 , 	290 , 	168 , 	148 , 	60 , 	30 , 	44 , 	77 , 	12 , 	9 , 	20 , 	6 , 	7 , 	21 , 	33 , 	343 , 	296 , 	617 , 	338 , 	226 , 	166 , 	33 , 	37 , 	50 , 	6 , 	60 , 	73 , 	2 , 	19 , 	3 , 	10 , 	24 , 	13 , 	38 , 	16 , 	-   ," 	3,830 ",,,Dtwn SF," 	2,239 "," 	9,772 "," 	16,358 "," 	8,875 "," 	7,457 "," 	10,231 "," 	5,101 "," 	60,032 "
