Muni Fast Pass Adult/Clipper OD,,,,,,Apr 15,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,36,21,69,86,357,697,584,922,"2,773"
MT,23,41,44,85,467,880,795,"1,690","4,025"
PL,111,67,44,53,336,570,423,"1,188","2,792"
CC,74,76,58,20,176,373,349,737,"1,864"
16,308,373,418,194,16,91,123,352,"1,876"
24,546,652,671,359,97,32,89,323,"2,770"
GP,511,594,512,317,128,96,15,80,"2,252"
BP,802,"1,065","1,597",671,327,327,78,39,"4,906"
Entries,"2,411","2,890","3,414","1,785","1,904","3,067","2,457","5,330","23,259"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,11,6,23,17,134,178,104,279,752
MT,6,15,13,16,117,173,163,644,"1,147"
PL,38,15,39,23,307,442,305,928,"2,096"
CC,21,11,23,15,115,172,94,244,694
16,124,79,309,122,13,85,89,195,"1,015"
24,154,115,469,183,83,19,74,215,"1,311"
GP,88,109,352,88,73,70,9,30,819
BP,238,283,"1,171",211,182,200,29,30,"2,342"
Entries,679,633,"2,397",674,"1,024","1,338",867,"2,563","10,175"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,22,3,17,9,72,99,65,168,453
MT,4,15,6,11,82,112,98,382,709
PL,19,6,41,18,195,275,202,569,"1,325"
CC,14,5,22,22,88,118,84,216,567
16,84,53,235,87,19,56,55,144,731
24,107,70,329,138,52,17,52,131,896
GP,59,65,261,80,55,49,12,23,603
BP,172,188,847,195,125,126,18,24,"1,693"
Entries,479,404,"1,757",558,686,852,585,"1,655","6,976"
