Exit stations,Entry stations->,,TOTAL,,,Mar 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	383 ," 	1,625 "," 	1,366 ", 	754 ," 	5,258 "," 	1,300 "," 	1,903 "," 	1,379 "," 	1,585 ", 	513 ," 	1,320 ", 	929 , 	536 , 	297 , 	523 , 	286 , 	221 , 	198 , 	294 , 	174 , 	316 , 	148 , 	105 , 	289 , 	452 ," 	3,998 "," 	3,152 "," 	5,681 "," 	3,487 "," 	2,742 "," 	2,699 ", 	672 , 	810 , 	883 , 	284 , 	90 , 	181 , 	62 , 	149 , 	172 , 	327 , 	661 , 	209 , 	73 , 	165 , 	305 , 	146 , 	215 , 	150 , 	199 ," 	49,666 ",,,,,,,,,,,,,
GP, 	574 , 	663 , 	312 , 	339 ," 	1,332 ", 	349 , 	892 ," 	1,065 "," 	1,058 ", 	751 , 	653 , 	362 , 	395 , 	398 , 	295 , 	205 , 	188 , 	157 , 	553 , 	380 , 	359 , 	151 , 	200 , 	612 , 	874 ," 	7,105 "," 	7,923 "," 	10,513 "," 	5,898 "," 	4,014 "," 	3,523 ", 	425 ," 	1,264 "," 	1,168 ", 	589 , 	171 , 	336 , 	104 , 	420 , 	591 , 	808 ," 	1,568 ", 	958 , 	143 , 	172 , 	120 , 	83 , 	123 , 	143 , 	447 ," 	61,726 ",,,,,,,,,,,,,
BP, 	777 , 	946 , 	258 , 	333 , 	884 , 	437 , 	880 ," 	1,022 "," 	1,271 ", 	853 , 	969 , 	623 , 	649 , 	561 , 	351 , 	240 , 	217 , 	219 , 	489 , 	298 , 	241 , 	86 , 	117 , 	731 ," 	1,235 "," 	8,778 "," 	9,268 "," 	19,178 "," 	9,226 "," 	5,358 "," 	5,169 "," 	1,078 ", 	479 ," 	1,073 "," 	1,256 ", 	171 , 	402 , 	73 , 	575 , 	928 ," 	1,524 "," 	1,852 "," 	1,374 ", 	145 , 	107 , 	95 , 	124 , 	140 , 	129 , 	476 ," 	83,665 ",,,,,,,,,,,,,
DC, 	947 ," 	1,441 ", 	615 , 	385 ," 	1,142 ", 	437 , 	700 , 	969 ," 	1,586 ", 	889 ," 	1,567 ", 	889 , 	985 , 	863 , 	588 , 	441 , 	476 , 	424 , 	805 , 	562 , 	583 , 	192 , 	170 , 	390 , 	766 ," 	9,484 "," 	9,855 "," 	14,869 "," 	8,495 "," 	5,435 "," 	5,056 "," 	1,260 "," 	1,308 ", 	582 , 	542 , 	336 , 	865 , 	181 , 	794 ," 	1,135 "," 	1,863 "," 	3,511 "," 	2,079 ", 	310 , 	144 , 	249 , 	265 , 	318 , 	337 , 	965 ," 	89,050 ",,,,,,,,,,,,,
CM, 	240 , 	306 , 	63 , 	88 , 	427 , 	76 , 	276 , 	279 , 	589 , 	76 , 	228 , 	118 , 	83 , 	168 , 	101 , 	74 , 	112 , 	65 , 	225 , 	100 , 	235 , 	79 , 	51 , 	68 , 	223 ," 	3,545 "," 	3,831 "," 	5,859 "," 	3,794 "," 	2,217 "," 	2,153 ", 	673 ," 	1,309 ", 	556 , 	271 , 	50 , 	91 , 	55 , 	262 , 	250 , 	629 ," 	2,694 ", 	825 , 	10 , 	15 , 	38 , 	41 , 	19 , 	108 , 	311 ," 	33,956 ",,,,,,,,,,,,,
CV, 	75 , 	63 , 	92 , 	79 , 	402 , 	76 , 	179 , 	271 , 	369 ," 	1,350 ", 	753 , 	556 ," 	1,073 ", 	713 , 	339 , 	273 , 	231 , 	205 , 	44 , 	15 , 	30 , 	20 , 	54 , 	128 , 	158 ," 	3,195 "," 	3,149 "," 	2,514 "," 	2,068 ", 	776 , 	314 , 	188 , 	197 , 	342 , 	48 , 	149 ," 	1,386 ", 	10 , 	31 , 	82 , 	89 , 	214 , 	40 , 	851 , 	77 , 	166 , 	50 , 	139 , 	7 , 	28 ," 	23,658 ",,,,,,,,,,,,,
ED, 	172 , 	269 , 	85 , 	108 ," 	1,079 ", 	223 , 	577 , 	618 , 	818 ," 	1,926 "," 	1,840 "," 	1,217 "," 	1,430 "," 	1,341 ", 	749 , 	384 , 	584 , 	435 , 	144 , 	79 , 	45 , 	44 , 	24 , 	101 , 	439 ," 	9,255 "," 	6,347 "," 	5,485 "," 	3,863 "," 	1,449 ", 	831 , 	353 , 	431 , 	886 , 	84 ," 	1,319 ", 	516 , 	16 , 	53 , 	94 , 	68 ," 	1,371 ", 	104 , 	389 , 	801 , 	259 , 	375 , 	396 , 	18 , 	58 ," 	49,552 ",,,,,,,,,,,,,
NC, 	83 , 	71 , 	37 , 	57 , 	221 , 	28 , 	276 , 	273 , 	420 , 	99 , 	68 , 	67 , 	94 , 	25 , 	46 , 	24 , 	15 , 	8 , 	424 , 	307 , 	487 , 	54 , 	37 , 	254 , 	42 ," 	1,728 "," 	1,322 "," 	1,486 "," 	1,280 ", 	433 , 	433 , 	118 , 	121 , 	191 , 	48 , 	6 , 	15 , 	96 , 	332 , 	139 , 	50 , 	587 , 	53 , 	11 , 	138 , 	13 , 	12 , 	21 , 	294 , 	391 ," 	12,835 ",,,,,,,,,,,,,
WP, 	163 , 	233 , 	98 , 	75 , 	594 , 	105 ," 	1,248 "," 	1,016 "," 	1,307 ", 	210 , 	338 , 	304 , 	169 , 	166 , 	232 , 	131 , 	90 , 	146 ," 	2,413 ", 	940 ," 	1,425 ", 	437 , 	178 , 	551 , 	191 ," 	4,003 "," 	3,646 "," 	5,448 "," 	4,216 "," 	1,626 "," 	1,410 ", 	469 , 	610 , 	683 , 	227 , 	34 , 	42 , 	307 , 	370 , 	267 , 	422 ," 	1,445 ", 	136 , 	8 , 	259 , 	193 , 	41 , 	95 , 	364 , 	383 ," 	39,464 ",,,,,,,,,,,,,
SS, 	187 , 	293 , 	107 , 	58 , 	358 , 	102 , 	285 , 	284 , 	534 , 	167 , 	145 , 	132 , 	157 , 	122 , 	96 , 	44 , 	32 , 	22 , 	161 , 	191 , 	184 , 	38 , 	52 , 	158 , 	253 ," 	3,067 "," 	3,172 "," 	4,188 "," 	3,182 "," 	1,725 "," 	1,647 ", 	584 ," 	1,084 "," 	1,208 ", 	328 , 	85 , 	88 , 	150 , 	305 , 	200 , 	436 ," 	1,137 ", 	591 , 	16 , 	21 , 	27 , 	20 , 	26 , 	93 , 	280 ," 	27,822 ",,,,,,,,,,,,,
SB, 	345 , 	420 , 	72 , 	78 , 	431 , 	161 , 	182 , 	377 , 	605 , 	192 , 	291 , 	209 , 	200 , 	184 , 	179 , 	83 , 	50 , 	64 , 	295 , 	183 , 	243 , 	86 , 	44 , 	191 , 	320 ," 	2,727 "," 	3,027 "," 	4,138 "," 	3,342 "," 	2,217 "," 	2,001 ", 	995 ," 	1,848 "," 	1,940 ", 	699 , 	87 , 	64 , 	78 , 	348 , 	489 , 	303 ," 	1,135 ", 	356 , 	66 , 	40 , 	6 , 	23 , 	12 , 	104 , 	347 ," 	31,877 ",,,,,,,,,,,,,
SO, 	646 ," 	1,157 ", 	790 ," 	1,062 "," 	3,129 ", 	750 ," 	1,440 "," 	1,082 "," 	1,242 ", 	425 , 	635 , 	326 , 	446 , 	339 , 	180 , 	188 , 	164 , 	220 ," 	1,628 "," 	1,660 "," 	1,778 "," 	1,068 ", 	837 ," 	2,075 "," 	1,486 "," 	3,695 "," 	3,184 "," 	10,083 "," 	4,313 "," 	2,905 "," 	1,931 "," 	1,254 "," 	1,696 "," 	2,723 "," 	2,231 ", 	167 ," 	1,130 ", 	524 ," 	1,565 ", 	852 , 	666 ," 	1,052 "," 	3,726 ", 	304 , 	279 , 	88 , 	95 , 	72 , 	212 ," 	1,494 "," 	70,994 ",,,,,,,,,,,,,
MB, 	185 , 	430 , 	158 , 	148 ," 	1,083 ", 	198 , 	365 , 	377 , 	546 , 	105 , 	181 , 	197 , 	72 , 	80 , 	94 , 	41 , 	32 , 	34 , 	163 , 	123 , 	143 , 	51 , 	73 , 	113 , 	262 ," 	2,790 "," 	2,974 "," 	3,166 "," 	2,776 "," 	1,503 "," 	1,423 ", 	768 ," 	1,255 "," 	1,762 ", 	624 , 	42 , 	93 , 	38 , 	109 , 	458 , 	263 ," 	4,508 ", 	947 , 	43 , 	56 , 	7 , 	3 , 	7 , 	66 , 	176 ," 	31,111 ",,,,,,,,,,,,,
WD, 	50 , 	108 , 	99 , 	34 , 	304 , 	65 , 	189 , 	238 , 	302 , 	816 ," 	1,003 ", 	444 , 	786 , 	865 , 	447 , 	301 , 	254 , 	154 , 	51 , 	78 , 	16 , 	10 , 	4 , 	28 , 	146 ," 	3,911 "," 	2,326 "," 	1,931 "," 	1,664 ", 	678 , 	391 , 	200 , 	184 , 	328 , 	11 ," 	1,001 ", 	451 , 	12 , 	3 , 	15 , 	56 , 	384 , 	50 , 	223 , 	303 , 	104 , 	92 , 	222 , 	1 , 	25 ," 	21,358 ",,,,,,,,,,,,,
OA, 	135 , 	362 , 	300 , 	366 ," 	1,716 ", 	286 , 	303 , 	285 , 	482 , 	277 , 	146 , 	337 , 	139 , 	70 , 	93 , 	60 , 	194 , 	205 , 	330 , 	379 , 	389 , 	222 , 	122 , 	204 , 	87 ," 	1,225 ", 	757 ," 	1,095 ", 	649 , 	304 , 	260 , 	182 , 	109 , 	147 , 	15 , 	61 , 	616 , 	117 , 	263 , 	25 , 	54 , 	374 , 	32 , 	232 , 	164 , 	81 , 	156 , 	149 , 	45 , 	288 ," 	14,889 ",,,,,,,,,,,,,
WS, 	295 , 	388 , 	207 , 	144 , 	811 , 	147 , 	283 , 	547 , 	484 , 	639 , 	915 , 	781 , 	740 , 	805 ," 	1,031 "," 	1,030 ", 	994 ," 	1,053 ", 	55 , 	121 , 	60 , 	15 , 	14 , 	42 , 	173 ," 	1,369 "," 	1,075 ", 	990 , 	735 , 	341 , 	141 , 	111 , 	97 , 	204 , 	62 , 	164 , 	251 , 	10 , 	218 , 	40 , 	7 , 	119 , 	7 , 	86 , 	74 , 	320 ," 	1,129 "," 	1,469 ", 	26 , 	80 ," 	20,899 ",,,,,,,,,,,,,
ML, 	146 , 	281 , 	152 , 	163 ," 	1,238 ", 	291 , 	272 , 	488 , 	529 , 	450 , 	517 , 	312 , 	390 , 	418 , 	873 , 	502 ," 	1,045 "," 	1,290 ", 	98 , 	64 , 	75 , 	40 , 	54 , 	97 , 	54 ," 	1,602 "," 	1,283 "," 	1,297 ", 	945 , 	291 , 	240 , 	89 , 	114 , 	272 , 	36 , 	50 , 	379 , 	16 , 	38 , 	25 , 	17 , 	118 , 	8 , 	81 , 	162 ," 	1,203 ", 	313 , 	369 , 	41 , 	77 ," 	18,905 ",,,,,,,,,,,,,
BE, 	209 , 	416 , 	228 , 	217 ," 	2,007 ", 	323 , 	575 , 	641 , 	689 , 	578 , 	719 , 	501 , 	679 , 	591 ," 	1,260 ", 	852 ," 	1,398 "," 	1,654 ", 	178 , 	109 , 	143 , 	70 , 	60 , 	101 , 	188 ," 	2,022 "," 	1,570 "," 	1,710 "," 	1,261 ", 	537 , 	290 , 	109 , 	200 , 	382 , 	35 , 	119 , 	403 , 	32 , 	98 , 	24 , 	22 , 	117 , 	3 , 	210 , 	169 ," 	1,773 ", 	403 , 	350 , 	35 , 	120 ," 	26,380 ",,,,,,,,,,,,,
PC, 	171 , 	101 , 	39 , 	13 , 	235 , 	31 , 	531 , 	318 , 	394 , 	84 , 	174 , 	186 , 	76 , 	63 , 	73 , 	15 , 	40 , 	31 ," 	1,293 ", 	416 , 	609 , 	170 , 	92 , 	238 , 	170 , 	957 , 	811 ," 	1,307 "," 	1,041 ", 	505 , 	329 , 	220 , 	145 , 	340 , 	115 , 	9 , 	28 , 	363 , 	334 , 	101 , 	74 , 	249 , 	28 , 	12 , 	84 , 	19 , 	38 , 	54 , 	65 , 	530 ," 	13,321 ",,,,,,,,,,,,,
AN, 	273 , 	241 , 	74 , 	83 , 	602 , 	165 ," 	1,511 "," 	1,042 "," 	1,506 ", 	344 , 	570 , 	541 , 	289 , 	165 , 	373 , 	105 , 	149 , 	168 ," 	1,628 ", 	674 ," 	1,315 ", 	308 , 	183 , 	654 , 	310 ," 	4,560 "," 	4,162 "," 	4,295 "," 	3,882 "," 	1,583 "," 	1,168 ", 	581 , 	680 ," 	1,013 ", 	303 , 	37 , 	57 , 	430 , 	536 , 	302 , 	334 ," 	1,554 ", 	185 , 	39 , 	377 , 	176 , 	101 , 	137 , 	612 , 	432 ," 	40,809 ",,,,,,,,,,,,,
Entries," 	50,104 "," 	74,422 "," 	41,991 "," 	34,889 "," 	113,745 "," 	41,029 "," 	81,123 "," 	87,932 "," 	95,252 "," 	62,969 "," 	90,465 "," 	51,814 "," 	65,070 "," 	55,011 "," 	46,235 "," 	30,364 "," 	35,102 "," 	36,214 "," 	51,467 "," 	45,574 "," 	49,206 "," 	27,038 "," 	21,874 "," 	47,686 "," 	74,822 "," 	264,283 "," 	216,054 "," 	272,821 "," 	199,961 "," 	124,279 "," 	121,741 "," 	63,987 "," 	91,595 "," 	86,131 "," 	33,865 "," 	23,185 "," 	50,014 "," 	13,675 "," 	38,971 "," 	26,819 "," 	29,372 "," 	83,652 "," 	34,285 "," 	20,642 "," 	16,915 "," 	22,934 "," 	18,901 "," 	25,166 "," 	13,906 "," 	39,452 "," 	3,344,004 ",,,,,,,,,,,,,
