Exit stations,Entry stations->,,TOTAL,,,Mar 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	383 ," 	1,625 "," 	1,366 ", 	754 ," 	5,258 "," 	1,300 "," 	1,903 "," 	1,379 "," 	1,585 ", 	513 ," 	1,320 ", 	929 , 	536 , 	297 , 	523 , 	286 , 	221 , 	198 , 	294 , 	174 , 	316 , 	148 , 	105 , 	289 , 	452 ," 	3,998 "," 	3,152 "," 	5,681 "," 	3,487 "," 	2,742 "," 	2,699 ", 	672 , 	810 , 	883 , 	284 , 	90 , 	181 , 	62 , 	149 , 	172 , 	327 , 	661 , 	209 , 	73 , 	165 , 	305 , 	146 , 	215 , 	150 , 	199 ," 	49,666 ",,,,,,,,,,,,,
CL, 	939 ," 	1,030 ", 	317 , 	347 ," 	1,568 ", 	706 ," 	1,709 "," 	1,480 "," 	1,887 "," 	1,872 "," 	3,243 ", 	392 ," 	1,509 "," 	2,008 "," 	1,824 ", 	931 , 	708 , 	667 , 	421 , 	344 , 	206 , 	116 , 	86 , 	355 ," 	1,111 "," 	3,871 "," 	2,788 "," 	4,348 "," 	3,386 "," 	1,603 "," 	1,515 ", 	459 , 	717 , 	786 , 	116 , 	505 ," 	1,117 ", 	81 , 	338 , 	142 , 	175 , 	393 , 	196 , 	413 , 	433 , 	794 , 	335 , 	454 , 	179 , 	496 ," 	51,416 ",,,,,,,,,,,,,
SL, 	524 , 	730 , 	401 , 	554 ," 	1,956 ", 	609 ," 	1,628 "," 	1,571 "," 	2,629 "," 	3,570 "," 	3,656 "," 	1,805 ", 	358 ," 	1,974 "," 	2,207 "," 	1,288 "," 	1,178 "," 	1,044 ", 	293 , 	194 , 	288 , 	76 , 	106 , 	285 , 	754 ," 	6,739 "," 	6,147 "," 	6,823 "," 	5,029 "," 	1,950 "," 	1,571 ", 	502 , 	734 ," 	1,034 ", 	101 , 	730 ," 	1,404 ", 	82 , 	231 , 	132 , 	150 , 	511 , 	76 , 	707 , 	179 , 	825 , 	419 , 	665 , 	82 , 	289 ," 	66,790 ",,,,,,,,,,,,,
BF, 	339 , 	542 , 	162 , 	194 ," 	1,285 ", 	373 ," 	1,110 "," 	1,362 "," 	2,181 "," 	2,740 "," 	3,558 "," 	2,124 "," 	2,056 ", 	363 ," 	1,471 "," 	1,116 "," 	1,071 "," 	1,263 ", 	268 , 	145 , 	164 , 	57 , 	92 , 	189 , 	471 ," 	5,341 "," 	4,667 "," 	6,441 "," 	4,155 "," 	1,694 ", 	965 , 	399 , 	569 , 	877 , 	191 , 	628 ," 	1,484 ", 	24 , 	180 , 	149 , 	175 , 	379 , 	87 , 	824 , 	81 ," 	1,034 ", 	468 , 	529 , 	72 , 	115 ," 	56,224 ",,,,,,,,,,,,,
HY, 	495 , 	715 , 	322 , 	228 ," 	1,346 ", 	394 ," 	1,056 "," 	1,116 "," 	1,868 "," 	1,489 "," 	2,940 "," 	1,917 "," 	2,286 "," 	1,444 ", 	331 ," 	1,256 "," 	2,325 "," 	2,345 ", 	377 , 	164 , 	199 , 	57 , 	56 , 	199 , 	450 ," 	3,610 "," 	2,486 "," 	3,191 "," 	2,291 ", 	968 , 	742 , 	371 , 	374 , 	592 , 	98 , 	294 , 	839 , 	57 , 	272 , 	84 , 	197 , 	207 , 	95 , 	420 , 	119 ," 	1,524 ", 	875 ," 	1,153 ", 	84 , 	325 ," 	46,643 ",,,,,,,,,,,,,
SH, 	256 , 	304 , 	143 , 	126 , 	801 , 	237 , 	550 , 	735 , 	937 , 	983 ," 	1,519 ", 	814 ," 	1,194 "," 	1,059 "," 	1,105 ", 	215 , 	942 ," 	1,269 ", 	173 , 	78 , 	152 , 	19 , 	16 , 	53 , 	302 ," 	2,693 "," 	2,087 "," 	2,261 "," 	1,961 ", 	569 , 	683 , 	194 , 	195 , 	345 , 	78 , 	240 , 	381 , 	23 , 	163 , 	89 , 	53 , 	213 , 	79 , 	290 , 	101 ," 	1,052 ", 	466 , 	792 , 	25 , 	130 ," 	29,145 ",,,,,,,,,,,,,
UC, 	225 , 	471 , 	190 , 	144 ," 	1,461 ", 	333 , 	653 , 	839 ," 	1,412 "," 	1,086 "," 	1,405 ", 	850 ," 	1,168 "," 	1,068 "," 	2,465 ", 	789 , 	381 ," 	1,243 ", 	207 , 	90 , 	212 , 	24 , 	28 , 	134 , 	270 ," 	3,466 "," 	2,622 "," 	2,346 "," 	2,038 ", 	800 , 	410 , 	200 , 	230 , 	443 , 	104 , 	265 , 	578 , 	18 , 	63 , 	46 , 	51 , 	243 , 	31 , 	238 , 	199 ," 	1,231 "," 	1,006 "," 	1,287 ", 	62 , 	142 ," 	35,267 ",,,,,,,,,,,,,
FM, 	180 , 	477 , 	173 , 	255 ," 	1,453 ", 	350 , 	775 , 	868 ," 	1,142 ", 	926 ," 	1,473 ", 	724 ," 	1,153 "," 	1,316 "," 	2,303 "," 	1,387 "," 	1,232 ", 	442 , 	223 , 	102 , 	72 , 	29 , 	54 , 	128 , 	147 ," 	3,895 "," 	2,700 "," 	2,138 "," 	2,043 ", 	690 , 	489 , 	209 , 	254 , 	427 , 	69 , 	257 , 	466 , 	14 , 	161 , 	31 , 	46 , 	323 , 	25 , 	155 , 	230 ," 	1,103 "," 	1,272 "," 	1,715 ", 	38 , 	172 ," 	36,306 ",,,,,,,,,,,,,
CN, 	287 , 	329 , 	289 , 	170 , 	923 , 	169 ," 	1,275 "," 	1,323 "," 	1,643 ", 	285 , 	450 , 	417 , 	299 , 	258 , 	439 , 	160 , 	207 , 	196 , 	464 ," 	1,191 "," 	3,343 "," 	1,211 ", 	474 ," 	1,074 ", 	280 ," 	5,993 "," 	4,774 "," 	5,165 "," 	4,138 "," 	1,654 "," 	1,133 ", 	622 , 	497 , 	829 , 	234 , 	40 , 	118 , 	526 ," 	2,271 ", 	160 , 	268 ," 	1,624 ", 	181 , 	42 , 	403 , 	72 , 	96 , 	176 ," 	1,340 "," 	1,553 "," 	51,065 ",,,,,,,,,,,,,
PH, 	193 , 	179 , 	103 , 	170 ," 	1,014 ", 	236 ," 	1,100 "," 	1,571 "," 	1,716 ", 	175 , 	286 , 	344 , 	158 , 	163 , 	137 , 	82 , 	83 , 	108 ," 	1,149 ", 	272 ," 	1,363 ", 	575 , 	333 ," 	1,076 ", 	184 ," 	7,733 "," 	6,892 "," 	4,412 "," 	3,684 "," 	1,248 ", 	805 , 	496 , 	376 , 	561 , 	76 , 	8 , 	107 , 	359 , 	942 , 	184 , 	227 ," 	1,646 ", 	149 , 	31 , 	461 , 	128 , 	52 , 	121 , 	450 , 	738 ," 	44,656 ",,,,,,,,,,,,,
WC, 	267 , 	382 , 	289 , 	236 ," 	1,051 ", 	235 ," 	1,310 "," 	1,894 "," 	1,893 ", 	242 , 	483 , 	171 , 	277 , 	181 , 	185 , 	156 , 	208 , 	76 ," 	3,578 "," 	1,479 ", 	293 , 	791 , 	564 ," 	1,434 ", 	280 ," 	7,709 "," 	5,603 "," 	3,857 "," 	3,743 "," 	1,331 ", 	852 , 	376 , 	287 , 	593 , 	220 , 	44 , 	60 , 	597 ," 	1,372 ", 	166 , 	243 ," 	1,955 ", 	136 , 	16 , 	497 , 	61 , 	78 , 	156 , 	706 ," 	1,327 "," 	49,940 ",,,,,,,,,,,,,
