Exit stations,Entry stations->,,SATURDAY,,,Mar 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	12 , 	29 , 	26 , 	15 , 	112 , 	20 , 	29 , 	27 , 	34 , 	14 , 	26 , 	21 , 	8 , 	9 , 	8 , 	6 , 	3 , 	5 , 	6 , 	7 , 	7 , 	4 , 	3 , 	6 , 	10 , 	71 , 	40 , 	146 , 	47 , 	57 , 	67 , 	11 , 	18 , 	17 , 	5 , 	2 , 	4 , 	0 , 	3 , 	5 , 	6 , 	21 , 	9 , 	1 , 	3 , 	7 , 	4 , 	8 , 	2 , 	4 , 	998 ,,,,,,,,,,
EN, 	33 , 	21 , 	22 , 	21 , 	150 , 	31 , 	40 , 	42 , 	53 , 	14 , 	41 , 	19 , 	15 , 	18 , 	11 , 	11 , 	9 , 	10 , 	9 , 	5 , 	8 , 	4 , 	4 , 	12 , 	8 , 	123 , 	89 , 	232 , 	81 , 	61 , 	61 , 	17 , 	18 , 	24 , 	11 , 	3 , 	3 , 	2 , 	6 , 	3 , 	12 , 	30 , 	6 , 	2 , 	10 , 	11 , 	9 , 	13 , 	3 , 	4 ," 	1,439 ",,,,,,,,,,
EP, 	29 , 	21 , 	13 , 	22 , 	139 , 	20 , 	27 , 	35 , 	40 , 	17 , 	18 , 	8 , 	7 , 	3 , 	5 , 	4 , 	3 , 	4 , 	4 , 	3 , 	9 , 	4 , 	2 , 	11 , 	4 , 	81 , 	46 , 	108 , 	54 , 	31 , 	22 , 	4 , 	5 , 	5 , 	1 , 	3 , 	2 , 	0 , 	3 , 	1 , 	4 , 	21 , 	4 , 	2 , 	7 , 	4 , 	10 , 	6 , 	1 , 	3 , 	875 ,,,,,,,,,,
NB, 	15 , 	21 , 	20 , 	20 , 	27 , 	13 , 	19 , 	43 , 	32 , 	12 , 	24 , 	7 , 	10 , 	6 , 	6 , 	4 , 	4 , 	7 , 	4 , 	4 , 	5 , 	2 , 	2 , 	5 , 	6 , 	95 , 	51 , 	89 , 	71 , 	47 , 	32 , 	7 , 	9 , 	6 , 	2 , 	2 , 	2 , 	1 , 	2 , 	0 , 	3 , 	29 , 	7 , 	2 , 	9 , 	5 , 	4 , 	8 , 	-   , 	2 , 	797 ,,,,,,,,,,
BK, 	118 , 	151 , 	143 , 	36 , 	81 , 	58 , 	72 , 	110 , 	117 , 	44 , 	65 , 	34 , 	37 , 	26 , 	30 , 	16 , 	27 , 	32 , 	11 , 	13 , 	21 , 	13 , 	7 , 	10 , 	22 , 	254 , 	139 , 	340 , 	165 , 	111 , 	78 , 	35 , 	17 , 	28 , 	5 , 	5 , 	26 , 	5 , 	9 , 	4 , 	9 , 	129 , 	37 , 	5 , 	93 , 	24 , 	32 , 	58 , 	4 , 	5 ," 	2,905 ",,,,,,,,,,
AS, 	27 , 	32 , 	24 , 	13 , 	46 , 	22 , 	21 , 	46 , 	30 , 	16 , 	25 , 	13 , 	10 , 	9 , 	9 , 	8 , 	8 , 	7 , 	2 , 	4 , 	2 , 	1 , 	2 , 	4 , 	12 , 	77 , 	48 , 	98 , 	69 , 	56 , 	38 , 	11 , 	10 , 	7 , 	1 , 	2 , 	6 , 	1 , 	1 , 	1 , 	2 , 	20 , 	3 , 	1 , 	10 , 	2 , 	5 , 	12 , 	-   , 	2 , 	869 ,,,,,,,,,,
MA, 	34 , 	41 , 	27 , 	20 , 	65 , 	23 , 	23 , 	48 , 	39 , 	22 , 	45 , 	24 , 	26 , 	20 , 	20 , 	9 , 	8 , 	11 , 	25 , 	18 , 	20 , 	10 , 	14 , 	21 , 	22 , 	166 , 	105 , 	217 , 	148 , 	134 , 	85 , 	21 , 	16 , 	15 , 	6 , 	2 , 	9 , 	6 , 	19 , 	3 , 	6 , 	38 , 	6 , 	3 , 	8 , 	5 , 	8 , 	18 , 	8 , 	16 ," 	1,698 ",,,,,,,,,,
19, 	24 , 	52 , 	38 , 	37 , 	126 , 	51 , 	51 , 	38 , 	9 , 	6 , 	33 , 	21 , 	27 , 	25 , 	20 , 	12 , 	14 , 	20 , 	24 , 	31 , 	31 , 	22 , 	22 , 	48 , 	21 , 	194 , 	126 , 	263 , 	193 , 	153 , 	123 , 	33 , 	27 , 	27 , 	9 , 	4 , 	14 , 	6 , 	10 , 	4 , 	9 , 	36 , 	17 , 	4 , 	7 , 	11 , 	15 , 	32 , 	6 , 	13 ," 	2,133 ",,,,,,,,,,
12, 	35 , 	47 , 	41 , 	27 , 	120 , 	32 , 	40 , 	11 , 	24 , 	4 , 	29 , 	16 , 	27 , 	30 , 	19 , 	8 , 	14 , 	10 , 	17 , 	24 , 	24 , 	12 , 	10 , 	26 , 	30 , 	167 , 	119 , 	271 , 	150 , 	114 , 	69 , 	27 , 	23 , 	26 , 	10 , 	1 , 	4 , 	5 , 	11 , 	7 , 	13 , 	52 , 	12 , 	3 , 	8 , 	7 , 	10 , 	14 , 	3 , 	12 ," 	1,808 ",,,,,,,,,,
LM, 	12 , 	15 , 	13 , 	10 , 	42 , 	15 , 	16 , 	9 , 	5 , 	16 , 	55 , 	43 , 	66 , 	58 , 	33 , 	11 , 	16 , 	18 , 	6 , 	4 , 	5 , 	3 , 	2 , 	12 , 	14 , 	128 , 	77 , 	187 , 	115 , 	86 , 	60 , 	20 , 	21 , 	20 , 	2 , 	28 , 	40 , 	1 , 	3 , 	2 , 	4 , 	7 , 	1 , 	17 , 	15 , 	11 , 	12 , 	21 , 	1 , 	2 ," 	1,373 ",,,,,,,,,,
FV, 	32 , 	40 , 	21 , 	26 , 	65 , 	25 , 	43 , 	31 , 	31 , 	43 , 	18 , 	64 , 	67 , 	86 , 	58 , 	27 , 	25 , 	33 , 	16 , 	7 , 	10 , 	9 , 	7 , 	19 , 	36 , 	143 , 	89 , 	250 , 	156 , 	92 , 	76 , 	21 , 	22 , 	22 , 	4 , 	15 , 	46 , 	1 , 	12 , 	3 , 	10 , 	17 , 	5 , 	36 , 	5 , 	24 , 	14 , 	22 , 	4 , 	8 ," 	1,932 ",,,,,,,,,,
