Exit stations,Entry stations->,,SATURDAY,,,Nov 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	13 , 	41 , 	41 , 	25 , 	146 , 	20 , 	36 , 	16 , 	30 , 	9 , 	27 , 	22 , 	9 , 	7 , 	7 , 	5 , 	4 , 	3 , 	6 , 	12 , 	7 , 	4 , 	4 , 	10 , 	13 , 	74 , 	45 , 	165 , 	59 , 	53 , 	59 , 	12 , 	17 , 	16 , 	4 , 	3 , 	2 , 	0 , 	3 , 	4 , 	6 , 	28 , 	8 , 	2 , 	8 , 	10 , 	4 , 	8 , 	4 , 	3 ," 	1,110 ",,,,,,,,,,
EN, 	45 , 	15 , 	27 , 	19 , 	207 , 	37 , 	47 , 	45 , 	58 , 	13 , 	37 , 	21 , 	14 , 	10 , 	18 , 	5 , 	9 , 	7 , 	9 , 	5 , 	13 , 	4 , 	2 , 	5 , 	9 , 	142 , 	98 , 	304 , 	104 , 	57 , 	62 , 	16 , 	20 , 	20 , 	10 , 	3 , 	5 , 	2 , 	7 , 	5 , 	12 , 	42 , 	13 , 	4 , 	15 , 	11 , 	8 , 	10 , 	3 , 	4 ," 	1,653 ",,,,,,,,,,
EP, 	45 , 	29 , 	12 , 	24 , 	179 , 	28 , 	34 , 	35 , 	41 , 	14 , 	16 , 	11 , 	6 , 	5 , 	6 , 	4 , 	4 , 	7 , 	4 , 	5 , 	5 , 	4 , 	1 , 	6 , 	4 , 	84 , 	59 , 	148 , 	72 , 	30 , 	23 , 	11 , 	4 , 	8 , 	3 , 	1 , 	4 , 	1 , 	1 , 	2 , 	3 , 	25 , 	4 , 	1 , 	18 , 	3 , 	3 , 	8 , 	1 , 	2 ," 	1,043 ",,,,,,,,,,
NB, 	28 , 	21 , 	22 , 	12 , 	63 , 	17 , 	23 , 	31 , 	32 , 	8 , 	20 , 	9 , 	9 , 	4 , 	3 , 	6 , 	2 , 	6 , 	2 , 	4 , 	7 , 	4 , 	3 , 	6 , 	5 , 	109 , 	79 , 	127 , 	104 , 	48 , 	32 , 	9 , 	7 , 	7 , 	2 , 	1 , 	2 , 	2 , 	1 , 	1 , 	2 , 	48 , 	9 , 	1 , 	17 , 	5 , 	5 , 	10 , 	1 , 	1 , 	970 ,,,,,,,,,,
BK, 	162 , 	229 , 	190 , 	69 , 	67 , 	93 , 	106 , 	109 , 	127 , 	42 , 	75 , 	55 , 	46 , 	42 , 	36 , 	21 , 	43 , 	49 , 	17 , 	37 , 	44 , 	34 , 	33 , 	15 , 	24 , 	379 , 	256 , 	445 , 	230 , 	147 , 	115 , 	62 , 	31 , 	56 , 	9 , 	11 , 	44 , 	2 , 	5 , 	11 , 	16 , 	86 , 	134 , 	11 , 	56 , 	36 , 	59 , 	87 , 	2 , 	11 ," 	4,056 ",,,,,,,,,,
AS, 	28 , 	34 , 	29 , 	12 , 	83 , 	14 , 	26 , 	38 , 	37 , 	12 , 	31 , 	13 , 	9 , 	8 , 	12 , 	2 , 	6 , 	4 , 	4 , 	4 , 	5 , 	2 , 	2 , 	5 , 	7 , 	88 , 	60 , 	116 , 	97 , 	45 , 	43 , 	11 , 	8 , 	8 , 	2 , 	3 , 	4 , 	1 , 	1 , 	1 , 	3 , 	33 , 	9 , 	2 , 	15 , 	6 , 	5 , 	11 , 	0 , 	2 , 	995 ,,,,,,,,,,
MA, 	47 , 	51 , 	31 , 	24 , 	101 , 	29 , 	20 , 	43 , 	48 , 	13 , 	51 , 	27 , 	26 , 	16 , 	18 , 	5 , 	7 , 	7 , 	17 , 	22 , 	25 , 	10 , 	15 , 	23 , 	19 , 	164 , 	119 , 	238 , 	159 , 	134 , 	84 , 	18 , 	18 , 	14 , 	6 , 	3 , 	8 , 	3 , 	12 , 	4 , 	6 , 	56 , 	14 , 	3 , 	14 , 	9 , 	8 , 	19 , 	7 , 	15 ," 	1,824 ",,,,,,,,,,
19, 	27 , 	50 , 	35 , 	36 , 	121 , 	43 , 	43 , 	25 , 	7 , 	8 , 	33 , 	26 , 	26 , 	26 , 	23 , 	13 , 	12 , 	18 , 	14 , 	24 , 	31 , 	13 , 	12 , 	44 , 	18 , 	190 , 	131 , 	261 , 	179 , 	130 , 	94 , 	27 , 	17 , 	23 , 	3 , 	3 , 	11 , 	2 , 	8 , 	4 , 	6 , 	51 , 	16 , 	4 , 	15 , 	10 , 	12 , 	23 , 	5 , 	10 ," 	1,955 ",,,,,,,,,,
12, 	33 , 	54 , 	35 , 	26 , 	122 , 	34 , 	42 , 	8 , 	22 , 	2 , 	33 , 	19 , 	36 , 	29 , 	24 , 	13 , 	12 , 	12 , 	16 , 	31 , 	36 , 	13 , 	12 , 	31 , 	25 , 	192 , 	135 , 	294 , 	152 , 	106 , 	72 , 	24 , 	26 , 	22 , 	9 , 	2 , 	7 , 	4 , 	10 , 	6 , 	9 , 	50 , 	17 , 	2 , 	13 , 	7 , 	11 , 	15 , 	5 , 	10 ," 	1,914 ",,,,,,,,,,
LM, 	8 , 	13 , 	10 , 	7 , 	36 , 	13 , 	12 , 	7 , 	6 , 	15 , 	48 , 	42 , 	66 , 	69 , 	32 , 	13 , 	17 , 	16 , 	2 , 	5 , 	3 , 	1 , 	1 , 	7 , 	12 , 	125 , 	93 , 	216 , 	113 , 	69 , 	49 , 	16 , 	15 , 	14 , 	2 , 	24 , 	40 , 	2 , 	3 , 	2 , 	3 , 	8 , 	1 , 	13 , 	13 , 	17 , 	15 , 	16 , 	1 , 	2 ," 	1,326 ",,,,,,,,,,
FV, 	26 , 	31 , 	14 , 	19 , 	77 , 	27 , 	43 , 	42 , 	32 , 	36 , 	30 , 	63 , 	65 , 	87 , 	53 , 	32 , 	18 , 	23 , 	6 , 	9 , 	8 , 	7 , 	8 , 	15 , 	43 , 	131 , 	107 , 	287 , 	150 , 	82 , 	67 , 	17 , 	22 , 	21 , 	4 , 	20 , 	45 , 	1 , 	6 , 	5 , 	4 , 	25 , 	5 , 	25 , 	9 , 	34 , 	19 , 	23 , 	2 , 	6 ," 	1,924 ",,,,,,,,,,
CL, 	21 , 	24 , 	10 , 	9 , 	58 , 	13 , 	27 , 	30 , 	29 , 	31 , 	59 , 	8 , 	40 , 	51 , 	35 , 	21 , 	27 , 	38 , 	5 , 	9 , 	7 , 	3 , 	2 , 	5 , 	23 , 	73 , 	46 , 	145 , 	74 , 	28 , 	41 , 	11 , 	15 , 	31 , 	4 , 	10 , 	42 , 	-   , 	8 , 	5 , 	6 , 	10 , 	6 , 	14 , 	20 , 	35 , 	23 , 	33 , 	3 , 	5 ," 	1,269 ",,,,,,,,,,
SL, 	9 , 	17 , 	5 , 	9 , 	43 , 	12 , 	28 , 	27 , 	34 , 	60 , 	82 , 	46 , 	16 , 	55 , 	43 , 	20 , 	23 , 	21 , 	5 , 	5 , 	5 , 	3 , 	1 , 	7 , 	15 , 	103 , 	78 , 	228 , 	88 , 	45 , 	30 , 	10 , 	15 , 	14 , 	3 , 	15 , 	27 , 	1 , 	6 , 	3 , 	3 , 	14 , 	2 , 	21 , 	4 , 	21 , 	13 , 	21 , 	2 , 	4 ," 	1,355 ",,,,,,,,,,
