Exit stations,Entry stations->,,SUNDAY,,,Nov 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	13 , 	34 , 	40 , 	16 , 	106 , 	18 , 	23 , 	17 , 	20 , 	18 , 	25 , 	20 , 	10 , 	8 , 	5 , 	3 , 	1 , 	1 , 	4 , 	5 , 	4 , 	2 , 	3 , 	7 , 	8 , 	64 , 	34 , 	125 , 	47 , 	41 , 	42 , 	10 , 	12 , 	14 , 	5 , 	2 , 	3 , 	1 , 	3 , 	4 , 	9 , 	26 , 	7 , 	1 , 	4 , 	7 , 	4 , 	8 , 	3 , 	4 , 	886 ,,,,,,,,,,,
EN, 	43 , 	13 , 	21 , 	15 , 	121 , 	32 , 	30 , 	31 , 	39 , 	15 , 	30 , 	23 , 	10 , 	10 , 	10 , 	6 , 	6 , 	8 , 	6 , 	6 , 	7 , 	4 , 	2 , 	4 , 	9 , 	85 , 	68 , 	207 , 	72 , 	36 , 	30 , 	14 , 	12 , 	11 , 	6 , 	1 , 	4 , 	1 , 	5 , 	4 , 	7 , 	47 , 	9 , 	4 , 	22 , 	6 , 	13 , 	15 , 	2 , 	3 ," 	1,179 ",,,,,,,,,,,
EP, 	39 , 	26 , 	7 , 	17 , 	115 , 	19 , 	22 , 	29 , 	29 , 	12 , 	16 , 	7 , 	5 , 	5 , 	3 , 	3 , 	3 , 	2 , 	2 , 	4 , 	7 , 	3 , 	1 , 	3 , 	4 , 	54 , 	33 , 	92 , 	54 , 	21 , 	19 , 	6 , 	4 , 	5 , 	2 , 	1 , 	3 , 	0 , 	2 , 	1 , 	2 , 	34 , 	4 , 	1 , 	16 , 	3 , 	3 , 	4 , 	1 , 	1 , 	743 ,,,,,,,,,,,
NB, 	20 , 	18 , 	18 , 	10 , 	36 , 	14 , 	26 , 	23 , 	25 , 	8 , 	17 , 	7 , 	8 , 	5 , 	2 , 	4 , 	3 , 	6 , 	3 , 	3 , 	8 , 	4 , 	2 , 	2 , 	7 , 	68 , 	44 , 	98 , 	88 , 	32 , 	28 , 	11 , 	6 , 	5 , 	1 , 	2 , 	3 , 	1 , 	2 , 	1 , 	1 , 	48 , 	8 , 	0 , 	26 , 	2 , 	9 , 	7 , 	0 , 	0 , 	765 ,,,,,,,,,,,
BK, 	122 , 	128 , 	124 , 	49 , 	34 , 	65 , 	62 , 	74 , 	81 , 	31 , 	46 , 	27 , 	26 , 	18 , 	21 , 	14 , 	26 , 	28 , 	8 , 	14 , 	17 , 	12 , 	9 , 	6 , 	20 , 	209 , 	145 , 	281 , 	150 , 	76 , 	51 , 	29 , 	18 , 	24 , 	6 , 	7 , 	34 , 	2 , 	4 , 	7 , 	7 , 	168 , 	50 , 	5 , 	137 , 	23 , 	57 , 	82 , 	2 , 	5 ," 	2,635 ",,,,,,,,,,,
AS, 	24 , 	29 , 	24 , 	13 , 	50 , 	9 , 	20 , 	28 , 	21 , 	18 , 	24 , 	11 , 	7 , 	9 , 	5 , 	2 , 	4 , 	6 , 	2 , 	3 , 	3 , 	2 , 	1 , 	3 , 	8 , 	62 , 	44 , 	88 , 	68 , 	40 , 	26 , 	8 , 	8 , 	5 , 	2 , 	3 , 	4 , 	1 , 	2 , 	1 , 	2 , 	39 , 	7 , 	1 , 	23 , 	1 , 	9 , 	13 , 	0 , 	2 , 	778 ,,,,,,,,,,,
MA, 	34 , 	37 , 	23 , 	27 , 	63 , 	26 , 	18 , 	24 , 	35 , 	16 , 	35 , 	26 , 	16 , 	14 , 	15 , 	6 , 	7 , 	8 , 	11 , 	14 , 	19 , 	7 , 	7 , 	18 , 	13 , 	121 , 	75 , 	169 , 	116 , 	76 , 	66 , 	13 , 	11 , 	11 , 	3 , 	3 , 	5 , 	3 , 	7 , 	3 , 	3 , 	59 , 	9 , 	4 , 	21 , 	5 , 	13 , 	14 , 	4 , 	10 ," 	1,340 ",,,,,,,,,,,
19, 	19 , 	30 , 	25 , 	25 , 	77 , 	24 , 	25 , 	15 , 	8 , 	5 , 	27 , 	25 , 	17 , 	25 , 	12 , 	8 , 	7 , 	6 , 	14 , 	12 , 	19 , 	6 , 	13 , 	29 , 	16 , 	115 , 	90 , 	188 , 	139 , 	85 , 	54 , 	19 , 	14 , 	17 , 	4 , 	1 , 	5 , 	2 , 	6 , 	3 , 	6 , 	59 , 	7 , 	2 , 	19 , 	5 , 	13 , 	14 , 	3 , 	7 ," 	1,358 ",,,,,,,,,,,
12, 	24 , 	30 , 	28 , 	20 , 	72 , 	23 , 	26 , 	9 , 	19 , 	6 , 	16 , 	18 , 	19 , 	18 , 	12 , 	7 , 	6 , 	9 , 	10 , 	22 , 	22 , 	8 , 	6 , 	24 , 	14 , 	123 , 	88 , 	210 , 	111 , 	71 , 	50 , 	15 , 	18 , 	14 , 	8 , 	1 , 	3 , 	3 , 	10 , 	4 , 	9 , 	68 , 	11 , 	1 , 	19 , 	6 , 	15 , 	16 , 	4 , 	7 ," 	1,347 ",,,,,,,,,,,
LM, 	18 , 	13 , 	13 , 	9 , 	30 , 	16 , 	14 , 	9 , 	6 , 	11 , 	62 , 	44 , 	56 , 	51 , 	20 , 	11 , 	20 , 	12 , 	3 , 	4 , 	4 , 	1 , 	2 , 	2 , 	14 , 	99 , 	75 , 	169 , 	88 , 	60 , 	45 , 	18 , 	15 , 	12 , 	1 , 	19 , 	32 , 	0 , 	1 , 	2 , 	3 , 	10 , 	2 , 	11 , 	26 , 	9 , 	16 , 	19 , 	1 , 	2 ," 	1,172 ",,,,,,,,,,,
FV, 	27 , 	28 , 	16 , 	15 , 	50 , 	23 , 	33 , 	22 , 	20 , 	57 , 	22 , 	53 , 	50 , 	76 , 	49 , 	22 , 	17 , 	14 , 	7 , 	6 , 	8 , 	5 , 	4 , 	9 , 	33 , 	91 , 	68 , 	206 , 	115 , 	56 , 	47 , 	12 , 	10 , 	16 , 	2 , 	14 , 	34 , 	1 , 	4 , 	2 , 	6 , 	27 , 	4 , 	20 , 	12 , 	12 , 	16 , 	25 , 	3 , 	4 ," 	1,466 ",,,,,,,,,,,
CL, 	19 , 	24 , 	7 , 	6 , 	22 , 	13 , 	29 , 	31 , 	23 , 	36 , 	52 , 	12 , 	33 , 	54 , 	37 , 	27 , 	10 , 	14 , 	11 , 	13 , 	10 , 	5 , 	4 , 	6 , 	22 , 	56 , 	41 , 	101 , 	55 , 	36 , 	36 , 	11 , 	14 , 	16 , 	3 , 	9 , 	42 , 	3 , 	11 , 	2 , 	3 , 	12 , 	4 , 	21 , 	37 , 	14 , 	12 , 	23 , 	4 , 	11 ," 	1,093 ",,,,,,,,,,,
SL, 	12 , 	13 , 	4 , 	7 , 	20 , 	8 , 	19 , 	23 , 	26 , 	51 , 	53 , 	41 , 	16 , 	48 , 	32 , 	15 , 	15 , 	12 , 	2 , 	4 , 	5 , 	1 , 	1 , 	3 , 	9 , 	67 , 	44 , 	152 , 	55 , 	20 , 	24 , 	6 , 	11 , 	14 , 	3 , 	12 , 	22 , 	2 , 	2 , 	1 , 	3 , 	15 , 	2 , 	12 , 	9 , 	14 , 	18 , 	18 , 	2 , 	2 , 	963 ,,,,,,,,,,,
BF, 	8 , 	11 , 	4 , 	6 , 	22 , 	7 , 	17 , 	24 , 	24 , 	50 , 	79 , 	51 , 	51 , 	14 , 	37 , 	15 , 	18 , 	24 , 	7 , 	2 , 	5 , 	1 , 	1 , 	4 , 	10 , 	62 , 	53 , 	166 , 	56 , 	18 , 	12 , 	9 , 	9 , 	6 , 	3 , 	18 , 	39 , 	1 , 	4 , 	2 , 	3 , 	10 , 	2 , 	25 , 	9 , 	15 , 	14 , 	20 , 	1 , 	2 ," 	1,041 ",,,,,,,,,,,
HY, 	8 , 	14 , 	3 , 	5 , 	18 , 	7 , 	14 , 	12 , 	17 , 	18 , 	46 , 	38 , 	36 , 	37 , 	12 , 	20 , 	27 , 	34 , 	3 , 	3 , 	1 , 	5 , 	-   , 	4 , 	7 , 	26 , 	17 , 	59 , 	30 , 	10 , 	10 , 	5 , 	3 , 	6 , 	2 , 	5 , 	10 , 	-   , 	3 , 	1 , 	2 , 	6 , 	2 , 	10 , 	7 , 	22 , 	28 , 	22 , 	1 , 	4 , 	676 ,,,,,,,,,,,
SH, 	2 , 	5 , 	4 , 	4 , 	10 , 	1 , 	2 , 	8 , 	8 , 	8 , 	24 , 	23 , 	14 , 	12 , 	20 , 	7 , 	9 , 	21 , 	1 , 	3 , 	4 , 	-   , 	1 , 	1 , 	4 , 	22 , 	19 , 	40 , 	14 , 	5 , 	10 , 	1 , 	5 , 	5 , 	1 , 	3 , 	4 , 	-   , 	2 , 	1 , 	1 , 	4 , 	3 , 	6 , 	6 , 	18 , 	20 , 	22 , 	-   , 	2 , 	403 ,,,,,,,,,,,
UC, 	2 , 	7 , 	2 , 	3 , 	22 , 	4 , 	7 , 	11 , 	7 , 	14 , 	12 , 	13 , 	15 , 	21 , 	29 , 	12 , 	11 , 	20 , 	2 , 	3 , 	2 , 	-   , 	1 , 	1 , 	4 , 	39 , 	19 , 	56 , 	35 , 	12 , 	5 , 	5 , 	2 , 	6 , 	1 , 	3 , 	8 , 	1 , 	1 , 	1 , 	2 , 	9 , 	1 , 	3 , 	9 , 	21 , 	32 , 	22 , 	-   , 	3 , 	516 ,,,,,,,,,,,
FM, 	4 , 	10 , 	4 , 	3 , 	23 , 	7 , 	8 , 	8 , 	10 , 	13 , 	16 , 	14 , 	18 , 	20 , 	36 , 	21 , 	20 , 	15 , 	2 , 	2 , 	2 , 	1 , 	-   , 	3 , 	1 , 	53 , 	31 , 	61 , 	26 , 	9 , 	7 , 	4 , 	5 , 	8 , 	2 , 	5 , 	8 , 	-   , 	2 , 	0 , 	1 , 	16 , 	1 , 	3 , 	9 , 	16 , 	39 , 	37 , 	1 , 	2 , 	600 ,,,,,,,,,,,
CN, 	6 , 	7 , 	3 , 	2 , 	9 , 	2 , 	12 , 	15 , 	12 , 	4 , 	7 , 	8 , 	3 , 	6 , 	2 , 	1 , 	1 , 	1 , 	13 , 	14 , 	63 , 	32 , 	10 , 	12 , 	3 , 	43 , 	25 , 	70 , 	35 , 	13 , 	15 , 	3 , 	6 , 	9 , 	2 , 	1 , 	2 , 	10 , 	46 , 	2 , 	1 , 	34 , 	2 , 	1 , 	13 , 	2 , 	3 , 	2 , 	28 , 	24 , 	634 ,,,,,,,,,,,
PH, 	5 , 	4 , 	3 , 	2 , 	17 , 	4 , 	15 , 	15 , 	12 , 	3 , 	6 , 	13 , 	4 , 	3 , 	3 , 	2 , 	3 , 	1 , 	13 , 	9 , 	34 , 	16 , 	7 , 	23 , 	4 , 	85 , 	47 , 	118 , 	43 , 	14 , 	16 , 	6 , 	10 , 	9 , 	3 , 	1 , 	2 , 	4 , 	8 , 	2 , 	4 , 	70 , 	3 , 	0 , 	22 , 	0 , 	5 , 	5 , 	5 , 	9 , 	706 ,,,,,,,,,,,
