Exit stations,Entry stations->,,TOTAL,,,Nov 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	350 ," 	1,902 "," 	1,580 ", 	897 ," 	5,973 "," 	1,050 "," 	1,693 "," 	1,263 "," 	1,466 ", 	524 ," 	1,267 ", 	891 , 	494 , 	231 , 	447 , 	238 , 	137 , 	178 , 	278 , 	324 , 	294 , 	169 , 	140 , 	298 , 	468 ," 	4,463 "," 	3,466 "," 	6,162 "," 	3,271 "," 	2,556 "," 	2,509 ", 	710 , 	810 ," 	1,071 ", 	254 , 	113 , 	116 , 	58 , 	161 , 	179 , 	321 , 	899 , 	295 , 	89 , 	220 , 	427 , 	126 , 	232 , 	162 , 	170 ," 	51,392 ",,,,,,,,,,,,,
CL, 	911 ," 	1,180 ", 	300 , 	380 ," 	1,672 ", 	559 ," 	1,643 "," 	1,580 "," 	1,726 "," 	1,648 "," 	2,661 ", 	427 ," 	1,667 "," 	2,075 "," 	1,875 ", 	928 , 	731 , 	786 , 	403 , 	275 , 	225 , 	113 , 	75 , 	239 ," 	1,064 "," 	4,121 "," 	2,936 "," 	4,715 "," 	3,438 "," 	1,390 "," 	1,658 ", 	486 , 	736 , 	932 , 	100 , 	468 ," 	1,145 ", 	69 , 	331 , 	124 , 	279 , 	402 , 	171 , 	554 , 	642 , 	894 , 	441 , 	674 , 	213 , 	474 ," 	52,536 ",,,,,,,,,,,,,
SL, 	549 , 	635 , 	358 , 	443 ," 	1,662 ", 	657 ," 	1,509 "," 	1,874 "," 	2,534 "," 	3,493 "," 	3,538 "," 	1,730 ", 	427 ," 	2,007 "," 	2,443 "," 	1,233 "," 	1,120 "," 	1,161 ", 	318 , 	253 , 	234 , 	60 , 	90 , 	237 , 	651 ," 	6,956 "," 	6,102 "," 	7,417 "," 	5,086 "," 	1,872 "," 	1,432 ", 	438 , 	817 ," 	1,032 ", 	124 , 	667 ," 	1,355 ", 	55 , 	188 , 	157 , 	142 , 	512 , 	112 , 	598 , 	224 , 	947 , 	520 , 	675 , 	82 , 	245 ," 	66,971 ",,,,,,,,,,,,,
BF, 	226 , 	399 , 	190 , 	193 ," 	1,425 ", 	322 , 	885 ," 	1,430 "," 	2,267 "," 	2,743 "," 	3,293 "," 	1,948 "," 	2,090 ", 	423 ," 	1,736 "," 	1,080 "," 	1,074 "," 	1,252 ", 	304 , 	121 , 	159 , 	55 , 	70 , 	221 , 	528 ," 	5,672 "," 	5,136 "," 	7,509 "," 	4,630 "," 	1,444 ", 	848 , 	428 , 	679 , 	703 , 	161 , 	618 ," 	1,555 ", 	11 , 	145 , 	129 , 	156 , 	289 , 	118 ," 	1,071 ", 	220 ," 	1,151 ", 	519 , 	717 , 	90 , 	69 ," 	58,502 ",,,,,,,,,,,,,
HY, 	517 , 	785 , 	265 , 	274 ," 	1,264 ", 	395 ," 	1,069 "," 	1,302 "," 	1,977 "," 	1,502 "," 	2,965 "," 	1,838 "," 	2,370 "," 	1,716 ", 	407 ," 	1,293 "," 	2,484 "," 	2,713 ", 	292 , 	170 , 	165 , 	137 , 	58 , 	184 , 	522 ," 	3,453 "," 	2,672 "," 	3,193 "," 	2,471 ", 	919 , 	613 , 	269 , 	399 , 	475 , 	93 , 	225 , 	876 , 	85 , 	363 , 	94 , 	155 , 	197 , 	112 , 	586 , 	188 ," 	1,659 "," 	1,075 "," 	1,213 ", 	140 , 	367 ," 	48,556 ",,,,,,,,,,,,,
SH, 	247 , 	200 , 	121 , 	154 , 	934 , 	163 , 	506 , 	837 , 	975 , 	995 ," 	1,355 ", 	887 ," 	1,122 ", 	982 ," 	1,184 ", 	294 , 	826 ," 	1,307 ", 	127 , 	69 , 	114 , 	17 , 	14 , 	48 , 	263 ," 	2,711 "," 	2,152 "," 	2,467 "," 	1,920 ", 	565 , 	609 , 	156 , 	192 , 	452 , 	103 , 	122 , 	436 , 	30 , 	86 , 	78 , 	56 , 	115 , 	66 , 	332 , 	143 ," 	1,273 ", 	641 , 	822 , 	22 , 	80 ," 	29,370 ",,,,,,,,,,,,,
UC, 	170 , 	390 , 	193 , 	167 ," 	1,455 ", 	225 , 	650 , 	989 ," 	1,460 ", 	883 ," 	1,232 ", 	836 ," 	1,064 "," 	1,130 "," 	2,402 ", 	858 , 	331 ," 	1,389 ", 	130 , 	107 , 	172 , 	28 , 	30 , 	123 , 	285 ," 	4,175 "," 	2,900 "," 	2,844 "," 	2,109 ", 	716 , 	380 , 	178 , 	205 , 	408 , 	90 , 	224 , 	596 , 	12 , 	82 , 	165 , 	44 , 	250 , 	50 , 	408 , 	286 ," 	1,511 "," 	1,273 "," 	1,251 ", 	60 , 	108 ," 	37,024 ",,,,,,,,,,,,,
FM, 	193 , 	542 , 	212 , 	281 ," 	1,257 ", 	282 , 	655 , 	999 ," 	1,243 ", 	910 ," 	1,376 ", 	748 ," 	1,234 "," 	1,134 "," 	2,765 "," 	1,486 "," 	1,366 ", 	465 , 	159 , 	100 , 	115 , 	25 , 	48 , 	133 , 	175 ," 	5,068 "," 	3,215 "," 	2,883 "," 	2,211 ", 	682 , 	372 , 	152 , 	233 , 	495 , 	81 , 	251 , 	561 , 	40 , 	118 , 	17 , 	68 , 	413 , 	35 , 	235 , 	269 ," 	1,567 "," 	1,840 "," 	1,781 ", 	29 , 	155 ," 	40,674 ",,,,,,,,,,,,,
CN, 	353 , 	324 , 	315 , 	157 , 	891 , 	161 ," 	1,329 "," 	1,477 "," 	1,683 ", 	211 , 	374 , 	437 , 	346 , 	289 , 	345 , 	147 , 	139 , 	172 , 	545 ," 	1,023 "," 	3,403 "," 	1,701 ", 	513 , 	909 , 	275 ," 	5,749 "," 	4,807 "," 	5,032 "," 	4,081 "," 	1,271 "," 	1,020 ", 	494 , 	570 , 	701 , 	137 , 	35 , 	115 , 	594 ," 	2,455 ", 	149 , 	209 ," 	1,595 ", 	207 , 	44 , 	470 , 	91 , 	156 , 	181 ," 	1,525 "," 	1,740 "," 	50,947 ",,,,,,,,,,,,,
PH, 	379 , 	274 , 	209 , 	172 ," 	1,003 ", 	172 ," 	1,155 "," 	1,684 "," 	1,865 ", 	200 , 	326 , 	280 , 	209 , 	161 , 	154 , 	78 , 	101 , 	94 ," 	1,094 ", 	380 ," 	1,380 ", 	697 , 	419 ," 	1,279 ", 	164 ," 	8,535 "," 	7,273 "," 	5,560 "," 	4,133 "," 	1,208 ", 	772 , 	593 , 	457 , 	637 , 	96 , 	18 , 	85 , 	311 , 	747 , 	160 , 	229 ," 	2,274 ", 	123 , 	24 , 	654 , 	92 , 	117 , 	172 , 	500 , 	771 ," 	49,470 ",,,,,,,,,,,,,
WC, 	285 , 	419 , 	338 , 	223 ," 	1,145 ", 	148 ," 	1,402 "," 	1,950 "," 	2,264 ", 	280 , 	406 , 	196 , 	242 , 	150 , 	150 , 	105 , 	153 , 	134 ," 	3,693 "," 	1,368 ", 	431 , 	778 , 	557 ," 	1,599 ", 	265 ," 	9,095 "," 	6,596 "," 	5,139 "," 	4,083 "," 	1,165 ", 	798 , 	418 , 	340 , 	530 , 	169 , 	74 , 	75 , 	516 ," 	1,609 ", 	208 , 	180 ," 	2,516 ", 	207 , 	21 , 	648 , 	70 , 	111 , 	140 , 	797 ," 	1,244 "," 	55,430 ",,,,,,,,,,,,,
