Exit stations,Entry stations->,,TOTAL,,,Nov 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	350 ," 	1,902 "," 	1,580 ", 	897 ," 	5,973 "," 	1,050 "," 	1,693 "," 	1,263 "," 	1,466 ", 	524 ," 	1,267 ", 	891 , 	494 , 	231 , 	447 , 	238 , 	137 , 	178 , 	278 , 	324 , 	294 , 	169 , 	140 , 	298 , 	468 ," 	4,463 "," 	3,466 "," 	6,162 "," 	3,271 "," 	2,556 "," 	2,509 ", 	710 , 	810 ," 	1,071 ", 	254 , 	113 , 	116 , 	58 , 	161 , 	179 , 	321 , 	899 , 	295 , 	89 , 	220 , 	427 , 	126 , 	232 , 	162 , 	170 ," 	51,392 ",,,,,,,,,,,,,
CV, 	109 , 	103 , 	70 , 	73 , 	429 , 	130 , 	171 , 	345 , 	342 ," 	1,204 ", 	760 , 	471 , 	802 , 	885 , 	255 , 	217 , 	236 , 	212 , 	60 , 	18 , 	70 , 	16 , 	50 , 	87 , 	187 ," 	3,994 "," 	3,361 "," 	3,138 "," 	2,390 ", 	694 , 	382 , 	181 , 	267 , 	333 , 	34 , 	166 ," 	1,442 ", 	15 , 	23 , 	72 , 	66 , 	223 , 	47 , 	963 , 	125 , 	123 , 	124 , 	132 , 	11 , 	32 ," 	25,640 ",,,,,,,,,,,,,
ED, 	150 , 	210 , 	118 , 	133 ," 	1,352 ", 	240 , 	621 , 	996 ," 	1,099 "," 	1,774 "," 	1,983 "," 	1,203 "," 	1,306 "," 	1,529 ", 	746 , 	497 , 	627 , 	548 , 	104 , 	84 , 	76 , 	25 , 	9 , 	54 , 	384 ," 	11,894 "," 	7,490 "," 	7,334 "," 	4,824 "," 	1,466 ", 	811 , 	420 , 	580 ," 	1,019 ", 	83 ," 	1,296 ", 	695 , 	21 , 	50 , 	126 , 	108 ," 	1,620 ", 	166 , 	576 ," 	1,077 ", 	355 , 	451 , 	481 , 	27 , 	67 ," 	58,905 ",,,,,,,,,,,,,
NC, 	59 , 	107 , 	54 , 	85 , 	172 , 	47 , 	265 , 	347 , 	452 , 	110 , 	58 , 	73 , 	68 , 	17 , 	83 , 	31 , 	22 , 	27 , 	542 , 	313 , 	372 , 	59 , 	44 , 	216 , 	24 ," 	1,723 "," 	1,382 "," 	1,545 "," 	1,240 ", 	357 , 	382 , 	97 , 	192 , 	208 , 	35 , 	6 , 	13 , 	108 , 	430 , 	84 , 	48 , 	652 , 	31 , 	7 , 	159 , 	19 , 	15 , 	28 , 	372 , 	352 ," 	13,132 ",,,,,,,,,,,,,
WP, 	144 , 	220 , 	71 , 	70 , 	499 , 	151 , 	936 ," 	1,066 "," 	1,262 ", 	200 , 	251 , 	288 , 	176 , 	152 , 	318 , 	84 , 	93 , 	130 ," 	2,462 ", 	863 ," 	1,538 ", 	461 , 	185 , 	542 , 	222 ," 	4,390 "," 	3,663 "," 	5,929 "," 	4,009 "," 	1,528 "," 	1,210 ", 	482 , 	548 , 	666 , 	227 , 	25 , 	50 , 	386 , 	388 , 	207 , 	261 ," 	1,496 ", 	134 , 	27 , 	325 , 	115 , 	62 , 	86 , 	294 , 	444 ," 	39,336 ",,,,,,,,,,,,,
SS, 	155 , 	330 , 	148 , 	59 , 	359 , 	46 , 	226 , 	428 , 	563 , 	149 , 	161 , 	105 , 	131 , 	144 , 	88 , 	76 , 	151 , 	20 , 	156 , 	171 , 	190 , 	31 , 	37 , 	115 , 	200 ," 	3,614 "," 	3,561 "," 	4,836 "," 	3,585 "," 	1,765 "," 	1,523 ", 	611 ," 	1,111 "," 	1,234 ", 	313 , 	66 , 	151 , 	115 , 	183 , 	221 , 	438 ," 	1,023 ", 	562 , 	32 , 	49 , 	24 , 	21 , 	9 , 	51 , 	284 ," 	29,621 ",,,,,,,,,,,,,
SB, 	319 , 	436 , 	133 , 	89 , 	391 , 	112 , 	252 , 	416 , 	519 , 	203 , 	232 , 	282 , 	140 , 	114 , 	161 , 	61 , 	38 , 	71 , 	226 , 	236 , 	180 , 	89 , 	43 , 	170 , 	368 ," 	3,042 "," 	3,191 "," 	4,697 "," 	3,812 "," 	1,983 "," 	2,066 ", 	786 ," 	1,589 "," 	1,870 ", 	667 , 	70 , 	103 , 	66 , 	296 , 	475 , 	342 ," 	1,689 ", 	420 , 	53 , 	48 , 	22 , 	22 , 	17 , 	109 , 	264 ," 	32,980 ",,,,,,,,,,,,,
SO, 	968 ," 	1,447 ", 	908 ," 	1,349 "," 	2,982 ", 	932 ," 	1,557 "," 	1,545 "," 	1,499 ", 	472 , 	708 , 	313 , 	396 , 	234 , 	145 , 	119 , 	169 , 	321 ," 	1,488 "," 	2,003 "," 	2,235 "," 	1,290 "," 	1,020 "," 	1,898 "," 	1,842 "," 	4,526 "," 	4,322 "," 	14,009 "," 	5,343 "," 	3,471 "," 	2,231 "," 	1,550 "," 	1,531 "," 	2,952 "," 	1,854 ", 	171 ," 	1,304 ", 	548 ," 	1,471 ", 	699 ," 	1,057 "," 	1,965 "," 	5,932 ", 	328 , 	270 , 	169 , 	130 , 	111 , 	189 ," 	1,344 "," 	85,317 ",,,,,,,,,,,,,
MB, 	307 , 	622 , 	211 , 	277 ," 	1,783 ", 	244 , 	441 , 	640 , 	729 , 	101 , 	160 , 	167 , 	96 , 	136 , 	100 , 	82 , 	59 , 	34 , 	197 , 	103 , 	192 , 	81 , 	81 , 	120 , 	335 ," 	4,074 "," 	4,435 "," 	4,999 "," 	3,897 "," 	2,135 "," 	1,819 "," 	1,030 "," 	1,828 "," 	2,688 ", 	899 , 	36 , 	162 , 	30 , 	139 , 	490 , 	313 ," 	7,179 ", 	955 , 	75 , 	86 , 	7 , 	8 , 	16 , 	65 , 	136 ," 	44,799 ",,,,,,,,,,,,,
WD, 	91 , 	245 , 	89 , 	39 , 	393 , 	68 , 	200 , 	462 , 	352 , 	908 , 	847 , 	544 , 	750 ," 	1,089 ", 	614 , 	354 , 	405 , 	242 , 	60 , 	46 , 	30 , 	14 , 	3 , 	36 , 	162 ," 	5,053 "," 	2,918 "," 	2,480 "," 	1,895 ", 	632 , 	344 , 	220 , 	266 , 	358 , 	19 ," 	1,065 ", 	588 , 	3 , 	17 , 	36 , 	68 , 	523 , 	53 , 	196 , 	431 , 	151 , 	192 , 	269 , 	25 , 	22 ," 	25,867 ",,,,,,,,,,,,,
OA, 	175 , 	520 , 	404 , 	457 ," 	1,934 ", 	365 , 	424 , 	495 , 	438 , 	329 , 	184 , 	398 , 	137 , 	105 , 	135 , 	107 , 	199 , 	214 , 	373 , 	500 , 	496 , 	283 , 	132 , 	230 , 	123 ," 	1,616 "," 	1,052 "," 	1,345 ", 	849 , 	395 , 	319 , 	203 , 	104 , 	168 , 	14 , 	77 , 	813 , 	108 , 	279 , 	33 , 	26 , 	248 , 	54 , 	356 , 	227 , 	119 , 	180 , 	177 , 	31 , 	283 ," 	18,233 ",,,,,,,,,,,,,
WS, 	428 , 	507 , 	162 , 	159 , 	832 , 	254 , 	442 , 	579 , 	604 , 	858 ," 	1,138 ", 	839 , 	885 , 	920 ," 	1,266 "," 	1,114 "," 	1,312 "," 	1,346 ", 	77 , 	99 , 	46 , 	11 , 	14 , 	124 , 	204 ," 	1,851 "," 	1,277 "," 	1,181 "," 	1,016 ", 	350 , 	205 , 	140 , 	156 , 	169 , 	10 , 	119 , 	354 , 	38 , 	138 , 	38 , 	33 , 	201 , 	5 , 	137 , 	117 , 	343 ," 	1,520 "," 	1,626 ", 	79 , 	138 ," 	25,461 ",,,,,,,,,,,,,
ML, 	151 , 	332 , 	123 , 	174 ," 	1,413 ", 	246 , 	402 , 	576 , 	680 , 	498 , 	566 , 	396 , 	529 , 	531 , 	993 , 	614 ," 	1,204 "," 	1,936 ", 	172 , 	140 , 	89 , 	19 , 	71 , 	115 , 	126 ," 	2,416 "," 	2,041 "," 	1,912 "," 	1,216 ", 	329 , 	201 , 	142 , 	181 , 	236 , 	21 , 	133 , 	407 , 	19 , 	61 , 	19 , 	15 , 	178 , 	9 , 	135 , 	229 ," 	1,492 ", 	444 , 	563 , 	24 , 	118 ," 	24,637 ",,,,,,,,,,,,,
BE, 	253 , 	487 , 	197 , 	237 ," 	2,196 ", 	368 , 	685 ," 	1,016 ", 	947 , 	683 , 	769 , 	702 , 	735 , 	761 ," 	1,243 ", 	852 ," 	1,380 "," 	1,794 ", 	158 , 	209 , 	134 , 	57 , 	56 , 	114 , 	160 ," 	2,718 "," 	2,021 "," 	2,070 "," 	1,400 ", 	480 , 	295 , 	122 , 	189 , 	402 , 	24 , 	129 , 	455 , 	27 , 	88 , 	13 , 	22 , 	186 , 	14 , 	282 , 	251 ," 	1,884 ", 	550 , 	445 , 	35 , 	117 ," 	30,412 ",,,,,,,,,,,,,
PC, 	176 , 	92 , 	75 , 	30 , 	246 , 	33 , 	461 , 	228 , 	493 , 	67 , 	154 , 	200 , 	69 , 	54 , 	114 , 	22 , 	59 , 	35 ," 	1,445 ", 	392 , 	759 , 	165 , 	100 , 	236 , 	147 , 	715 , 	706 ," 	1,184 ", 	881 , 	432 , 	234 , 	129 , 	150 , 	238 , 	65 , 	8 , 	37 , 	313 , 	298 , 	77 , 	118 , 	172 , 	61 , 	31 , 	50 , 	51 , 	23 , 	43 , 	57 , 	631 ," 	12,556 ",,,,,,,,,,,,,
AN, 	189 , 	198 , 	78 , 	63 , 	523 , 	129 ," 	1,153 "," 	1,025 "," 	1,435 ", 	257 , 	312 , 	474 , 	240 , 	94 , 	383 , 	71 , 	144 , 	141 ," 	1,757 ", 	698 ," 	1,315 ", 	230 , 	147 , 	490 , 	320 ," 	4,478 "," 	3,784 "," 	4,678 "," 	3,552 "," 	1,240 ", 	926 , 	603 , 	579 , 	809 , 	266 , 	47 , 	66 , 	329 , 	569 , 	283 , 	275 ," 	1,491 ", 	148 , 	20 , 	417 , 	138 , 	142 , 	116 , 	592 , 	445 ," 	37,859 ",,,,,,,,,,,,,
Entries," 	54,429 "," 	79,276 "," 	45,533 "," 	40,205 "," 	120,115 "," 	44,005 "," 	81,781 "," 	96,597 "," 	100,030 "," 	62,759 "," 	88,248 "," 	52,315 "," 	65,960 "," 	57,483 "," 	48,718 "," 	31,116 "," 	36,888 "," 	40,441 "," 	51,108 "," 	49,870 "," 	55,127 "," 	31,550 "," 	25,457 "," 	49,240 "," 	80,189 "," 	299,469 "," 	242,187 "," 	314,526 "," 	213,063 "," 	126,914 "," 	124,104 "," 	69,151 "," 	97,904 "," 	93,442 "," 	33,861 "," 	25,004 "," 	58,785 "," 	13,244 "," 	39,296 "," 	28,956 "," 	31,161 "," 	99,406 "," 	45,892 "," 	24,672 "," 	22,331 "," 	27,257 "," 	24,752 "," 	29,068 "," 	12,964 "," 	37,486 "," 	3,623,335 ",,,,,,,,,,,,,
