Exit stations,Entry stations->,,WEEKDAY,,,Jun 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
RM, 	12 , 	131 , 	105 , 	71 , 	447 , 	110 , 	143 , 	170 , 	203 , 	42 , 	104 , 	98 , 	43 , 	34 , 	33 , 	24 , 	20 , 	40 , 	26 , 	13 , 	26 , 	7 , 	8 , 	20 , 	29 , 	388 , 	394 , 	471 , 	360 , 	196 , 	196 , 	40 , 	68 , 	56 , 	16 , 	6 , 	15 , 	5 , 	35 , 	21 , 	24 , 	52 , 	27 , 	5 , 	13 , 	-   ," 	4,346 ",,,,,,,,,
EN, 	142 , 	23 , 	111 , 	99 , 	906 , 	172 , 	273 , 	494 , 	653 , 	105 , 	145 , 	165 , 	70 , 	51 , 	65 , 	27 , 	41 , 	92 , 	37 , 	22 , 	38 , 	12 , 	13 , 	38 , 	44 ," 	1,028 "," 	1,134 "," 	1,022 ", 	830 , 	273 , 	233 , 	63 , 	98 , 	78 , 	31 , 	10 , 	31 , 	7 , 	33 , 	49 , 	45 , 	125 , 	70 , 	15 , 	41 , 	-   ," 	9,053 ",,,,,,,,,
EP, 	114 , 	100 , 	14 , 	63 , 	670 , 	88 , 	144 , 	308 , 	335 , 	62 , 	64 , 	71 , 	29 , 	19 , 	26 , 	9 , 	15 , 	48 , 	14 , 	22 , 	24 , 	14 , 	7 , 	35 , 	17 , 	607 , 	691 , 	464 , 	445 , 	135 , 	70 , 	24 , 	26 , 	27 , 	5 , 	6 , 	21 , 	5 , 	13 , 	23 , 	12 , 	79 , 	35 , 	7 , 	29 , 	-   ," 	5,036 ",,,,,,,,,
NB, 	73 , 	95 , 	63 , 	16 , 	194 , 	80 , 	92 , 	272 , 	239 , 	53 , 	74 , 	67 , 	27 , 	21 , 	24 , 	8 , 	16 , 	43 , 	19 , 	18 , 	29 , 	10 , 	10 , 	21 , 	20 , 	758 , 	801 , 	453 , 	554 , 	183 , 	108 , 	28 , 	22 , 	28 , 	9 , 	9 , 	22 , 	5 , 	18 , 	22 , 	9 , 	111 , 	40 , 	7 , 	41 , 	-   ," 	4,810 ",,,,,,,,,
BK, 	476 , 	967 , 	676 , 	204 , 	51 , 	381 , 	400 , 	609 , 	626 , 	217 , 	315 , 	203 , 	197 , 	146 , 	150 , 	93 , 	165 , 	355 , 	150 , 	172 , 	158 , 	105 , 	73 , 	61 , 	95 ," 	1,411 "," 	1,331 "," 	1,080 ", 	934 , 	421 , 	281 , 	149 , 	123 , 	115 , 	38 , 	77 , 	160 , 	50 , 	143 , 	56 , 	50 , 	211 , 	219 , 	79 , 	91 , 	-   ," 	14,062 ",,,,,,,,,
AS, 	114 , 	149 , 	93 , 	78 , 	345 , 	21 , 	105 , 	273 , 	291 , 	63 , 	114 , 	83 , 	57 , 	42 , 	34 , 	18 , 	40 , 	66 , 	24 , 	29 , 	27 , 	12 , 	9 , 	18 , 	35 , 	782 , 	871 , 	545 , 	584 , 	279 , 	144 , 	37 , 	38 , 	27 , 	12 , 	11 , 	27 , 	8 , 	30 , 	17 , 	21 , 	76 , 	51 , 	9 , 	32 , 	-   ," 	5,735 ",,,,,,,,,
MA, 	166 , 	284 , 	125 , 	96 , 	384 , 	105 , 	29 , 	209 , 	260 , 	72 , 	179 , 	183 , 	122 , 	99 , 	102 , 	68 , 	89 , 	149 , 	153 , 	169 , 	136 , 	65 , 	43 , 	68 , 	62 ," 	1,176 "," 	1,334 ", 	936 , 	958 , 	427 , 	259 , 	68 , 	79 , 	71 , 	25 , 	32 , 	70 , 	57 , 	236 , 	43 , 	36 , 	131 , 	70 , 	29 , 	38 , 	-   ," 	9,489 ",,,,,,,,,
19, 	194 , 	504 , 	313 , 	289 , 	567 , 	277 , 	204 , 	31 , 	61 , 	35 , 	184 , 	204 , 	208 , 	178 , 	204 , 	164 , 	206 , 	383 , 	338 , 	376 , 	305 , 	149 , 	114 , 	183 , 	76 ," 	1,412 "," 	1,562 ", 	964 ," 	1,083 ", 	474 , 	360 , 	179 , 	141 , 	140 , 	77 , 	73 , 	221 , 	166 , 	251 , 	86 , 	67 , 	99 , 	146 , 	93 , 	38 , 	-   ," 	13,374 ",,,,,,,,,
12, 	221 , 	677 , 	322 , 	251 , 	555 , 	274 , 	238 , 	55 , 	37 , 	42 , 	233 , 	321 , 	344 , 	359 , 	308 , 	175 , 	236 , 	401 , 	349 , 	395 , 	289 , 	159 , 	124 , 	180 , 	109 ," 	1,382 "," 	1,343 "," 	1,010 "," 	1,035 ", 	362 , 	329 , 	191 , 	180 , 	188 , 	139 , 	124 , 	239 , 	184 , 	363 , 	96 , 	103 , 	136 , 	164 , 	129 , 	59 , 	-   ," 	14,409 ",,,,,,,,,
LM, 	44 , 	98 , 	62 , 	55 , 	209 , 	61 , 	73 , 	33 , 	45 , 	19 , 	171 , 	290 , 	294 , 	241 , 	146 , 	88 , 	123 , 	183 , 	31 , 	26 , 	30 , 	11 , 	12 , 	30 , 	42 , 	927 ," 	1,026 ", 	785 , 	656 , 	281 , 	155 , 	62 , 	72 , 	67 , 	11 , 	131 , 	194 , 	13 , 	52 , 	14 , 	18 , 	46 , 	23 , 	76 , 	27 , 	-   ," 	7,052 ",,,,,,,,,
FV, 	107 , 	138 , 	68 , 	73 , 	311 , 	112 , 	178 , 	207 , 	253 , 	155 , 	28 , 	292 , 	246 , 	257 , 	218 , 	96 , 	86 , 	173 , 	50 , 	27 , 	48 , 	19 , 	27 , 	54 , 	123 , 	974 ," 	1,043 ", 	966 , 	911 , 	345 , 	232 , 	62 , 	82 , 	76 , 	13 , 	70 , 	136 , 	12 , 	62 , 	23 , 	30 , 	85 , 	32 , 	62 , 	16 , 	-   ," 	8,575 ",,,,,,,,,
CL, 	98 , 	174 , 	72 , 	67 , 	201 , 	98 , 	174 , 	227 , 	356 , 	246 , 	286 , 	24 , 	211 , 	246 , 	199 , 	118 , 	172 , 	331 , 	89 , 	90 , 	92 , 	49 , 	42 , 	60 , 	121 , 	714 , 	643 , 	586 , 	518 , 	169 , 	136 , 	72 , 	85 , 	129 , 	26 , 	108 , 	333 , 	35 , 	124 , 	30 , 	39 , 	50 , 	42 , 	143 , 	38 , 	-   ," 	7,861 ",,,,,,,,,
SL, 	49 , 	81 , 	34 , 	34 , 	197 , 	58 , 	136 , 	224 , 	361 , 	288 , 	241 , 	221 , 	17 , 	121 , 	174 , 	83 , 	89 , 	157 , 	32 , 	24 , 	26 , 	7 , 	9 , 	28 , 	43 , 	748 , 	780 , 	610 , 	511 , 	161 , 	99 , 	36 , 	65 , 	56 , 	13 , 	52 , 	96 , 	8 , 	48 , 	20 , 	20 , 	49 , 	13 , 	53 , 	9 , 	-   ," 	6,183 ",,,,,,,,,
BF, 	34 , 	50 , 	18 , 	24 , 	139 , 	43 , 	105 , 	192 , 	357 , 	231 , 	245 , 	249 , 	128 , 	21 , 	154 , 	83 , 	125 , 	277 , 	25 , 	12 , 	16 , 	4 , 	4 , 	14 , 	42 , 	721 , 	729 , 	572 , 	474 , 	142 , 	91 , 	31 , 	54 , 	42 , 	12 , 	67 , 	201 , 	7 , 	24 , 	18 , 	20 , 	30 , 	11 , 	111 , 	9 , 	-   ," 	5,956 ",,,,,,,,,
HY, 	38 , 	68 , 	27 , 	25 , 	144 , 	38 , 	106 , 	214 , 	297 , 	142 , 	219 , 	211 , 	171 , 	160 , 	23 , 	106 , 	194 , 	375 , 	23 , 	26 , 	17 , 	7 , 	6 , 	16 , 	34 , 	528 , 	566 , 	384 , 	325 , 	99 , 	63 , 	22 , 	36 , 	32 , 	6 , 	27 , 	78 , 	7 , 	38 , 	12 , 	15 , 	28 , 	9 , 	45 , 	14 , 	-   ," 	5,018 ",,,,,,,,,
SH, 	23 , 	32 , 	8 , 	9 , 	91 , 	20 , 	60 , 	160 , 	163 , 	83 , 	91 , 	122 , 	78 , 	75 , 	94 , 	10 , 	81 , 	173 , 	10 , 	6 , 	12 , 	3 , 	3 , 	8 , 	18 , 	413 , 	401 , 	259 , 	236 , 	70 , 	50 , 	13 , 	23 , 	24 , 	6 , 	14 , 	38 , 	3 , 	19 , 	7 , 	5 , 	19 , 	7 , 	19 , 	7 , 	-   ," 	3,066 ",,,,,,,,,
UC, 	22 , 	40 , 	16 , 	17 , 	155 , 	40 , 	74 , 	190 , 	211 , 	118 , 	79 , 	161 , 	80 , 	118 , 	178 , 	72 , 	18 , 	172 , 	13 , 	13 , 	13 , 	3 , 	6 , 	12 , 	12 , 	960 , 	834 , 	363 , 	315 , 	78 , 	33 , 	9 , 	18 , 	28 , 	5 , 	18 , 	68 , 	6 , 	25 , 	7 , 	7 , 	25 , 	7 , 	25 , 	19 , 	-   ," 	4,682 ",,,,,,,,,
FM, 	42 , 	98 , 	50 , 	44 , 	358 , 	72 , 	147 , 	388 , 	392 , 	178 , 	176 , 	323 , 	162 , 	272 , 	371 , 	198 , 	196 , 	65 , 	39 , 	38 , 	28 , 	15 , 	15 , 	30 , 	28 ," 	2,051 "," 	1,768 ", 	721 , 	536 , 	145 , 	63 , 	30 , 	38 , 	53 , 	9 , 	41 , 	136 , 	11 , 	47 , 	12 , 	13 , 	58 , 	6 , 	42 , 	45 , 	-   ," 	9,545 ",,,,,,,,,
CN, 	26 , 	37 , 	16 , 	19 , 	143 , 	29 , 	157 , 	332 , 	354 , 	29 , 	50 , 	86 , 	33 , 	24 , 	26 , 	11 , 	15 , 	37 , 	33 , 	109 , 	288 , 	85 , 	45 , 	97 , 	20 , 	982 , 	995 , 	615 , 	516 , 	134 , 	87 , 	42 , 	48 , 	60 , 	21 , 	6 , 	13 , 	54 , 	329 , 	28 , 	28 , 	132 , 	32 , 	5 , 	32 , 	-   ," 	6,260 ",,,,,,,,,
PH, 	14 , 	24 , 	21 , 	18 , 	162 , 	29 , 	165 , 	359 , 	384 , 	22 , 	22 , 	81 , 	22 , 	12 , 	28 , 	7 , 	15 , 	34 , 	110 , 	28 , 	129 , 	45 , 	36 , 	132 , 	14 ," 	1,719 "," 	1,733 ", 	713 , 	597 , 	164 , 	75 , 	44 , 	47 , 	58 , 	13 , 	3 , 	7 , 	41 , 	142 , 	71 , 	31 , 	184 , 	27 , 	3 , 	52 , 	-   ," 	7,634 ",,,,,,,,,
WC, 	28 , 	39 , 	28 , 	32 , 	160 , 	34 , 	146 , 	320 , 	321 , 	26 , 	44 , 	91 , 	27 , 	16 , 	17 , 	13 , 	11 , 	31 , 	322 , 	131 , 	27 , 	68 , 	47 , 	153 , 	20 ," 	1,504 "," 	1,530 ", 	607 , 	518 , 	144 , 	76 , 	46 , 	42 , 	55 , 	22 , 	7 , 	11 , 	59 , 	234 , 	28 , 	31 , 	202 , 	35 , 	2 , 	51 , 	-   ," 	7,357 ",,,,,,,,,
