Exit stations,Entry stations->,,SATURDAY,,,Jun 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
CL, 	53 , 	95 , 	40 , 	35 , 	92 , 	54 , 	90 , 	77 , 	112 , 	89 , 	139 , 	12 , 	95 , 	151 , 	88 , 	51 , 	46 , 	107 , 	42 , 	28 , 	34 , 	22 , 	19 , 	30 , 	74 , 	235 , 	160 , 	381 , 	218 , 	105 , 	76 , 	36 , 	45 , 	41 , 	6 , 	56 , 	204 , 	19 , 	60 , 	9 , 	10 , 	28 , 	22 , 	79 , 	24 , 	-   ," 	3,483 ",,,,,,,,,,
SL, 	25 , 	42 , 	15 , 	21 , 	92 , 	32 , 	53 , 	71 , 	89 , 	128 , 	153 , 	103 , 	11 , 	115 , 	107 , 	39 , 	26 , 	66 , 	19 , 	11 , 	13 , 	4 , 	4 , 	18 , 	29 , 	262 , 	194 , 	441 , 	202 , 	91 , 	69 , 	17 , 	31 , 	23 , 	7 , 	44 , 	44 , 	4 , 	19 , 	5 , 	9 , 	26 , 	13 , 	43 , 	9 , 	-   ," 	2,833 ",,,,,,,,,,
BF, 	19 , 	37 , 	14 , 	19 , 	74 , 	25 , 	53 , 	71 , 	99 , 	110 , 	191 , 	142 , 	112 , 	10 , 	118 , 	60 , 	62 , 	140 , 	14 , 	8 , 	7 , 	2 , 	3 , 	8 , 	25 , 	218 , 	158 , 	379 , 	159 , 	67 , 	57 , 	20 , 	32 , 	21 , 	8 , 	53 , 	103 , 	2 , 	19 , 	10 , 	10 , 	29 , 	9 , 	91 , 	6 , 	-   ," 	2,866 ",,,,,,,,,,
HY, 	26 , 	34 , 	13 , 	17 , 	68 , 	20 , 	35 , 	43 , 	66 , 	52 , 	110 , 	94 , 	89 , 	130 , 	12 , 	71 , 	77 , 	141 , 	13 , 	6 , 	12 , 	3 , 	4 , 	9 , 	17 , 	148 , 	83 , 	220 , 	111 , 	55 , 	38 , 	12 , 	20 , 	20 , 	7 , 	17 , 	43 , 	2 , 	23 , 	4 , 	8 , 	20 , 	6 , 	30 , 	10 , 	-   ," 	2,032 ",,,,,,,,,,
SH, 	14 , 	21 , 	6 , 	10 , 	48 , 	9 , 	18 , 	23 , 	25 , 	33 , 	60 , 	56 , 	38 , 	64 , 	59 , 	7 , 	35 , 	82 , 	9 , 	3 , 	7 , 	1 , 	2 , 	6 , 	9 , 	111 , 	65 , 	158 , 	75 , 	37 , 	25 , 	6 , 	15 , 	16 , 	5 , 	9 , 	26 , 	2 , 	12 , 	3 , 	5 , 	13 , 	4 , 	16 , 	9 , 	-   ," 	1,251 ",,,,,,,,,,
UC, 	11 , 	16 , 	9 , 	8 , 	61 , 	13 , 	18 , 	26 , 	37 , 	40 , 	34 , 	46 , 	30 , 	66 , 	63 , 	36 , 	19 , 	89 , 	5 , 	6 , 	6 , 	2 , 	1 , 	7 , 	9 , 	156 , 	89 , 	200 , 	81 , 	39 , 	18 , 	11 , 	13 , 	18 , 	3 , 	9 , 	29 , 	1 , 	12 , 	2 , 	4 , 	16 , 	3 , 	13 , 	14 , 	-   ," 	1,384 ",,,,,,,,,,
FM, 	18 , 	47 , 	27 , 	35 , 	221 , 	36 , 	53 , 	56 , 	68 , 	74 , 	106 , 	104 , 	63 , 	128 , 	145 , 	83 , 	97 , 	52 , 	20 , 	15 , 	19 , 	8 , 	3 , 	17 , 	14 , 	362 , 	228 , 	473 , 	240 , 	84 , 	43 , 	15 , 	25 , 	37 , 	4 , 	23 , 	77 , 	4 , 	22 , 	5 , 	10 , 	46 , 	5 , 	35 , 	27 , 	-   ," 	3,270 ",,,,,,,,,,
CN, 	25 , 	23 , 	11 , 	13 , 	59 , 	14 , 	43 , 	48 , 	56 , 	13 , 	31 , 	39 , 	13 , 	14 , 	12 , 	8 , 	6 , 	20 , 	14 , 	67 , 	158 , 	57 , 	20 , 	47 , 	8 , 	269 , 	160 , 	331 , 	168 , 	68 , 	41 , 	18 , 	28 , 	35 , 	11 , 	4 , 	9 , 	25 , 	213 , 	10 , 	14 , 	90 , 	14 , 	3 , 	20 , 	-   ," 	2,343 ",,,,,,,,,,
PH, 	6 , 	8 , 	9 , 	11 , 	69 , 	14 , 	30 , 	46 , 	60 , 	6 , 	16 , 	21 , 	11 , 	5 , 	5 , 	3 , 	4 , 	13 , 	61 , 	16 , 	91 , 	22 , 	16 , 	60 , 	10 , 	380 , 	209 , 	333 , 	176 , 	76 , 	37 , 	19 , 	14 , 	16 , 	8 , 	6 , 	5 , 	16 , 	62 , 	4 , 	8 , 	122 , 	15 , 	3 , 	26 , 	-   ," 	2,147 ",,,,,,,,,,
WC, 	15 , 	21 , 	17 , 	19 , 	102 , 	19 , 	56 , 	62 , 	65 , 	14 , 	29 , 	34 , 	14 , 	11 , 	11 , 	8 , 	5 , 	19 , 	184 , 	105 , 	21 , 	44 , 	25 , 	87 , 	12 , 	486 , 	275 , 	417 , 	260 , 	107 , 	61 , 	26 , 	15 , 	30 , 	7 , 	3 , 	6 , 	26 , 	130 , 	7 , 	11 , 	140 , 	23 , 	2 , 	40 , 	-   ," 	3,065 ",,,,,,,,,,
LF, 	6 , 	9 , 	10 , 	10 , 	74 , 	10 , 	26 , 	37 , 	30 , 	5 , 	11 , 	21 , 	3 , 	4 , 	3 , 	1 , 	1 , 	8 , 	72 , 	30 , 	44 , 	11 , 	10 , 	56 , 	6 , 	267 , 	157 , 	213 , 	157 , 	59 , 	25 , 	16 , 	8 , 	11 , 	3 , 	1 , 	2 , 	4 , 	20 , 	2 , 	4 , 	73 , 	8 , 	1 , 	13 , 	-   ," 	1,537 ",,,,,,,,,,
OR, 	6 , 	9 , 	6 , 	7 , 	39 , 	5 , 	16 , 	26 , 	27 , 	4 , 	16 , 	18 , 	6 , 	1 , 	3 , 	2 , 	1 , 	7 , 	21 , 	19 , 	26 , 	10 , 	10 , 	43 , 	5 , 	248 , 	130 , 	180 , 	125 , 	51 , 	29 , 	9 , 	5 , 	11 , 	2 , 	2 , 	4 , 	3 , 	12 , 	3 , 	2 , 	66 , 	6 , 	-   , 	11 , 	-   ," 	1,228 ",,,,,,,,,,
RR, 	16 , 	25 , 	28 , 	15 , 	61 , 	13 , 	45 , 	88 , 	76 , 	14 , 	34 , 	31 , 	16 , 	11 , 	10 , 	5 , 	8 , 	14 , 	47 , 	62 , 	82 , 	62 , 	46 , 	24 , 	13 , 	425 , 	298 , 	481 , 	378 , 	242 , 	136 , 	41 , 	18 , 	15 , 	2 , 	4 , 	7 , 	10 , 	27 , 	4 , 	7 , 	106 , 	28 , 	3 , 	18 , 	-   ," 	3,095 ",,,,,,,,,,
OW, 	17 , 	30 , 	10 , 	11 , 	65 , 	31 , 	39 , 	43 , 	74 , 	15 , 	72 , 	72 , 	25 , 	27 , 	17 , 	8 , 	6 , 	10 , 	8 , 	6 , 	12 , 	3 , 	3 , 	13 , 	20 , 	676 , 	506 , 	974 , 	576 , 	423 , 	231 , 	44 , 	47 , 	34 , 	8 , 	11 , 	16 , 	5 , 	24 , 	9 , 	13 , 	76 , 	20 , 	5 , 	6 , 	-   ," 	4,334 ",,,,,,,,,,
