Exit stations,Entry stations->,,SATURDAY,,,May 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	4 , 	22 , 	18 , 	12 , 	36 , 	15 , 	20 , 	10 , 	11 , 	5 , 	19 , 	12 , 	5 , 	3 , 	3 , 	4 , 	1 , 	2 , 	3 , 	1 , 	1 , 	1 , 	-   , 	2 , 	4 , 	24 , 	21 , 	36 , 	35 , 	23 , 	30 , 	6 , 	8 , 	6 , 	3 , 	1 , 	3 , 	1 , 	2 , 	0 , 	4 , 	2 , 	2 , 	1 , 	-   , 	3 , 	-   , 	-   , 	2 , 	3 , 	431 ,,,,,,,,,,
EN, 	18 , 	3 , 	11 , 	11 , 	43 , 	17 , 	19 , 	13 , 	18 , 	4 , 	24 , 	12 , 	6 , 	6 , 	8 , 	3 , 	5 , 	2 , 	1 , 	2 , 	4 , 	1 , 	1 , 	2 , 	9 , 	33 , 	25 , 	45 , 	34 , 	18 , 	16 , 	6 , 	10 , 	5 , 	4 , 	1 , 	3 , 	0 , 	3 , 	1 , 	4 , 	3 , 	2 , 	1 , 	1 , 	3 , 	-   , 	-   , 	1 , 	3 , 	463 ,,,,,,,,,,
EP, 	15 , 	12 , 	1 , 	7 , 	30 , 	9 , 	9 , 	7 , 	12 , 	1 , 	8 , 	2 , 	4 , 	2 , 	2 , 	2 , 	2 , 	1 , 	1 , 	1 , 	1 , 	0 , 	0 , 	2 , 	1 , 	9 , 	7 , 	11 , 	9 , 	4 , 	3 , 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	-   , 	1 , 	1 , 	0 , 	2 , 	0 , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	186 ,,,,,,,,,,
NB, 	12 , 	6 , 	9 , 	1 , 	5 , 	3 , 	6 , 	4 , 	5 , 	4 , 	9 , 	2 , 	4 , 	1 , 	0 , 	2 , 	0 , 	3 , 	0 , 	0 , 	0 , 	0 , 	0 , 	1 , 	1 , 	7 , 	2 , 	6 , 	9 , 	3 , 	3 , 	2 , 	2 , 	1 , 	1 , 	1 , 	1 , 	-   , 	2 , 	0 , 	1 , 	0 , 	0 , 	1 , 	1 , 	1 , 	-   , 	-   , 	0 , 	-   , 	124 ,,,,,,,,,,
BK, 	43 , 	43 , 	32 , 	8 , 	4 , 	23 , 	22 , 	20 , 	29 , 	11 , 	25 , 	13 , 	9 , 	8 , 	3 , 	2 , 	6 , 	2 , 	2 , 	1 , 	2 , 	1 , 	-   , 	2 , 	9 , 	23 , 	13 , 	17 , 	18 , 	12 , 	6 , 	2 , 	3 , 	4 , 	1 , 	0 , 	1 , 	-   , 	2 , 	1 , 	0 , 	2 , 	1 , 	0 , 	2 , 	2 , 	-   , 	-   , 	1 , 	1 , 	432 ,,,,,,,,,,
AS, 	13 , 	20 , 	10 , 	2 , 	17 , 	2 , 	9 , 	12 , 	14 , 	4 , 	11 , 	10 , 	6 , 	2 , 	3 , 	2 , 	5 , 	1 , 	1 , 	0 , 	0 , 	0 , 	1 , 	1 , 	4 , 	14 , 	6 , 	16 , 	9 , 	7 , 	7 , 	2 , 	3 , 	1 , 	0 , 	0 , 	1 , 	-   , 	1 , 	0 , 	1 , 	1 , 	0 , 	-   , 	0 , 	1 , 	-   , 	-   , 	0 , 	0 , 	222 ,,,,,,,,,,
MA, 	20 , 	20 , 	8 , 	6 , 	20 , 	6 , 	4 , 	11 , 	16 , 	6 , 	25 , 	15 , 	10 , 	13 , 	9 , 	4 , 	3 , 	2 , 	9 , 	4 , 	4 , 	2 , 	0 , 	7 , 	10 , 	30 , 	15 , 	25 , 	24 , 	17 , 	14 , 	6 , 	5 , 	3 , 	2 , 	1 , 	2 , 	2 , 	5 , 	2 , 	1 , 	4 , 	1 , 	1 , 	1 , 	3 , 	-   , 	-   , 	5 , 	6 , 	409 ,,,,,,,,,,
19, 	11 , 	16 , 	6 , 	5 , 	16 , 	9 , 	8 , 	2 , 	3 , 	2 , 	10 , 	13 , 	12 , 	13 , 	7 , 	1 , 	3 , 	2 , 	5 , 	5 , 	3 , 	1 , 	2 , 	7 , 	5 , 	18 , 	10 , 	24 , 	27 , 	18 , 	11 , 	1 , 	4 , 	4 , 	0 , 	1 , 	1 , 	0 , 	2 , 	1 , 	1 , 	2 , 	0 , 	-   , 	1 , 	2 , 	-   , 	-   , 	2 , 	3 , 	303 ,,,,,,,,,,
12, 	13 , 	16 , 	9 , 	6 , 	21 , 	9 , 	12 , 	2 , 	5 , 	3 , 	18 , 	17 , 	12 , 	15 , 	9 , 	2 , 	3 , 	2 , 	5 , 	4 , 	4 , 	0 , 	1 , 	6 , 	14 , 	31 , 	18 , 	39 , 	31 , 	17 , 	14 , 	3 , 	4 , 	5 , 	2 , 	1 , 	2 , 	0 , 	4 , 	2 , 	3 , 	3 , 	4 , 	0 , 	0 , 	2 , 	-   , 	-   , 	2 , 	4 , 	397 ,,,,,,,,,,
LM, 	4 , 	4 , 	3 , 	3 , 	8 , 	5 , 	5 , 	3 , 	6 , 	3 , 	28 , 	25 , 	24 , 	19 , 	12 , 	7 , 	4 , 	5 , 	1 , 	1 , 	2 , 	0 , 	-   , 	2 , 	6 , 	27 , 	18 , 	33 , 	31 , 	18 , 	12 , 	4 , 	6 , 	1 , 	1 , 	5 , 	8 , 	-   , 	0 , 	0 , 	1 , 	2 , 	-   , 	6 , 	2 , 	5 , 	-   , 	-   , 	0 , 	1 , 	359 ,,,,,,,,,,
FV, 	15 , 	19 , 	10 , 	12 , 	24 , 	13 , 	26 , 	13 , 	18 , 	19 , 	7 , 	50 , 	43 , 	45 , 	37 , 	20 , 	12 , 	12 , 	6 , 	2 , 	3 , 	2 , 	1 , 	9 , 	21 , 	34 , 	27 , 	74 , 	91 , 	34 , 	29 , 	4 , 	10 , 	10 , 	1 , 	14 , 	22 , 	1 , 	4 , 	2 , 	4 , 	3 , 	1 , 	5 , 	3 , 	10 , 	-   , 	-   , 	3 , 	3 , 	834 ,,,,,,,,,,
CL, 	14 , 	14 , 	4 , 	4 , 	14 , 	11 , 	16 , 	10 , 	18 , 	21 , 	42 , 	6 , 	29 , 	34 , 	17 , 	8 , 	9 , 	8 , 	2 , 	1 , 	1 , 	0 , 	0 , 	4 , 	20 , 	17 , 	16 , 	37 , 	38 , 	17 , 	13 , 	5 , 	4 , 	5 , 	2 , 	5 , 	6 , 	-   , 	5 , 	1 , 	3 , 	4 , 	0 , 	3 , 	3 , 	5 , 	-   , 	-   , 	4 , 	5 , 	503 ,,,,,,,,,,
