Exit stations,Entry stations->,,SUNDAY,,,May 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	5 , 	14 , 	11 , 	10 , 	24 , 	11 , 	12 , 	8 , 	10 , 	5 , 	14 , 	9 , 	5 , 	2 , 	2 , 	2 , 	1 , 	3 , 	2 , 	1 , 	1 , 	0 , 	0 , 	2 , 	3 , 	17 , 	12 , 	23 , 	26 , 	16 , 	21 , 	3 , 	9 , 	4 , 	3 , 	0 , 	2 , 	1 , 	2 , 	2 , 	4 , 	2 , 	1 , 	0 , 	1 , 	1 , 	-   , 	-   , 	2 , 	3 , 	313 ,,,,,,,,,,,
EN, 	17 , 	4 , 	11 , 	7 , 	25 , 	13 , 	14 , 	12 , 	15 , 	5 , 	17 , 	9 , 	5 , 	2 , 	3 , 	2 , 	2 , 	3 , 	2 , 	2 , 	3 , 	0 , 	1 , 	2 , 	4 , 	23 , 	16 , 	23 , 	21 , 	13 , 	7 , 	3 , 	7 , 	4 , 	3 , 	0 , 	2 , 	1 , 	2 , 	1 , 	2 , 	6 , 	1 , 	-   , 	3 , 	3 , 	-   , 	-   , 	2 , 	1 , 	324 ,,,,,,,,,,,
EP, 	9 , 	9 , 	2 , 	5 , 	18 , 	7 , 	4 , 	7 , 	7 , 	2 , 	6 , 	1 , 	1 , 	2 , 	1 , 	2 , 	1 , 	1 , 	1 , 	0 , 	0 , 	-   , 	-   , 	1 , 	1 , 	6 , 	5 , 	7 , 	6 , 	3 , 	3 , 	1 , 	1 , 	1 , 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	1 , 	2 , 	0 , 	0 , 	1 , 	1 , 	-   , 	-   , 	0 , 	0 , 	129 ,,,,,,,,,,,
NB, 	8 , 	7 , 	7 , 	1 , 	3 , 	2 , 	5 , 	3 , 	4 , 	2 , 	7 , 	3 , 	2 , 	1 , 	1 , 	0 , 	0 , 	-   , 	0 , 	1 , 	0 , 	0 , 	-   , 	0 , 	1 , 	7 , 	2 , 	5 , 	4 , 	2 , 	3 , 	1 , 	1 , 	1 , 	-   , 	1 , 	-   , 	0 , 	-   , 	0 , 	1 , 	1 , 	0 , 	-   , 	-   , 	1 , 	-   , 	-   , 	0 , 	0 , 	90 ,,,,,,,,,,,
BK, 	27 , 	31 , 	22 , 	6 , 	4 , 	10 , 	14 , 	16 , 	21 , 	8 , 	21 , 	10 , 	5 , 	5 , 	3 , 	1 , 	3 , 	1 , 	2 , 	2 , 	1 , 	-   , 	1 , 	0 , 	3 , 	14 , 	8 , 	14 , 	15 , 	5 , 	5 , 	3 , 	3 , 	3 , 	0 , 	0 , 	1 , 	1 , 	2 , 	1 , 	1 , 	5 , 	2 , 	0 , 	3 , 	2 , 	-   , 	-   , 	0 , 	1 , 	305 ,,,,,,,,,,,
AS, 	12 , 	13 , 	10 , 	2 , 	11 , 	2 , 	5 , 	8 , 	7 , 	4 , 	11 , 	7 , 	7 , 	4 , 	3 , 	2 , 	2 , 	1 , 	1 , 	0 , 	0 , 	0 , 	0 , 	0 , 	2 , 	7 , 	3 , 	8 , 	9 , 	5 , 	4 , 	-   , 	3 , 	1 , 	-   , 	0 , 	0 , 	-   , 	1 , 	0 , 	1 , 	0 , 	0 , 	0 , 	1 , 	3 , 	-   , 	-   , 	-   , 	1 , 	163 ,,,,,,,,,,,
MA, 	10 , 	12 , 	6 , 	7 , 	14 , 	7 , 	4 , 	7 , 	13 , 	7 , 	24 , 	10 , 	8 , 	9 , 	4 , 	3 , 	4 , 	2 , 	6 , 	2 , 	3 , 	1 , 	1 , 	7 , 	6 , 	20 , 	11 , 	19 , 	24 , 	13 , 	13 , 	4 , 	4 , 	3 , 	2 , 	2 , 	1 , 	1 , 	3 , 	1 , 	1 , 	5 , 	1 , 	1 , 	1 , 	2 , 	-   , 	-   , 	4 , 	4 , 	314 ,,,,,,,,,,,
19, 	7 , 	11 , 	6 , 	3 , 	13 , 	7 , 	8 , 	3 , 	1 , 	2 , 	9 , 	10 , 	10 , 	9 , 	5 , 	1 , 	3 , 	4 , 	3 , 	4 , 	3 , 	1 , 	1 , 	7 , 	8 , 	18 , 	14 , 	18 , 	19 , 	17 , 	7 , 	3 , 	5 , 	6 , 	1 , 	1 , 	1 , 	0 , 	3 , 	1 , 	0 , 	3 , 	1 , 	1 , 	1 , 	2 , 	-   , 	-   , 	1 , 	4 , 	265 ,,,,,,,,,,,
12, 	10 , 	12 , 	6 , 	6 , 	17 , 	5 , 	10 , 	1 , 	6 , 	2 , 	9 , 	12 , 	13 , 	9 , 	9 , 	2 , 	4 , 	3 , 	5 , 	2 , 	4 , 	0 , 	2 , 	4 , 	6 , 	21 , 	12 , 	35 , 	28 , 	18 , 	9 , 	4 , 	6 , 	4 , 	1 , 	0 , 	2 , 	1 , 	3 , 	1 , 	1 , 	3 , 	2 , 	0 , 	1 , 	2 , 	-   , 	-   , 	1 , 	2 , 	314 ,,,,,,,,,,,
LM, 	5 , 	5 , 	5 , 	3 , 	9 , 	7 , 	8 , 	1 , 	4 , 	2 , 	25 , 	24 , 	17 , 	18 , 	8 , 	7 , 	6 , 	4 , 	2 , 	1 , 	0 , 	-   , 	0 , 	2 , 	4 , 	17 , 	19 , 	19 , 	16 , 	9 , 	4 , 	1 , 	3 , 	3 , 	-   , 	3 , 	6 , 	-   , 	1 , 	-   , 	-   , 	1 , 	-   , 	4 , 	2 , 	5 , 	-   , 	-   , 	1 , 	1 , 	282 ,,,,,,,,,,,
