Exit stations,Entry stations->,,TOTAL,,,May 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
BF, 	110 , 	201 , 	74 , 	93 , 	237 , 	172 , 	553 , 	511 , 	800 , 	934 ," 	1,602 "," 	1,156 ", 	895 , 	149 , 	653 , 	570 , 	568 , 	562 , 	138 , 	45 , 	47 , 	13 , 	33 , 	77 , 	295 ," 	1,069 "," 	1,178 "," 	1,265 "," 	1,764 ", 	597 , 	390 , 	175 , 	272 , 	155 , 	65 , 	276 , 	749 , 	21 , 	65 , 	47 , 	47 , 	120 , 	15 , 	192 , 	27 , 	286 , 	-   , 	-   , 	45 , 	51 ," 	19,359 ",,,,,,,,,,,,,
HY, 	162 , 	222 , 	51 , 	97 , 	224 , 	139 , 	429 , 	444 , 	603 , 	511 ," 	1,353 ", 	829 , 	968 , 	644 , 	99 , 	588 , 	877 , 	967 , 	87 , 	21 , 	85 , 	21 , 	17 , 	61 , 	204 , 	695 , 	492 , 	757 , 	822 , 	289 , 	271 , 	157 , 	157 , 	113 , 	37 , 	91 , 	345 , 	16 , 	39 , 	18 , 	48 , 	67 , 	63 , 	94 , 	16 , 	504 , 	-   , 	-   , 	52 , 	91 ," 	14,937 ",,,,,,,,,,,,,
SH, 	179 , 	202 , 	78 , 	28 , 	118 , 	41 , 	261 , 	157 , 	217 , 	441 , 	728 , 	499 , 	600 , 	597 , 	494 , 	88 , 	334 , 	462 , 	84 , 	16 , 	54 , 	9 , 	5 , 	15 , 	163 , 	453 , 	532 , 	527 , 	695 , 	190 , 	262 , 	69 , 	85 , 	91 , 	77 , 	120 , 	170 , 	5 , 	30 , 	32 , 	31 , 	40 , 	27 , 	131 , 	35 , 	440 , 	-   , 	-   , 	19 , 	28 ," 	9,959 ",,,,,,,,,,,,,
UC, 	76 , 	178 , 	82 , 	27 , 	133 , 	135 , 	250 , 	199 , 	338 , 	282 , 	587 , 	420 , 	471 , 	528 , 	644 , 	357 , 	80 , 	533 , 	63 , 	45 , 	17 , 	4 , 	7 , 	18 , 	48 , 	323 , 	375 , 	345 , 	610 , 	191 , 	211 , 	21 , 	66 , 	75 , 	32 , 	86 , 	182 , 	3 , 	41 , 	23 , 	23 , 	43 , 	7 , 	92 , 	27 , 	457 , 	-   , 	-   , 	30 , 	32 ," 	8,817 ",,,,,,,,,,,,,
FM, 	164 , 	201 , 	50 , 	92 , 	84 , 	48 , 	184 , 	198 , 	236 , 	274 , 	561 , 	376 , 	419 , 	475 , 	913 , 	513 , 	842 , 	69 , 	43 , 	44 , 	19 , 	4 , 	25 , 	18 , 	50 , 	287 , 	332 , 	342 , 	455 , 	177 , 	89 , 	69 , 	73 , 	82 , 	35 , 	106 , 	214 , 	8 , 	38 , 	7 , 	7 , 	28 , 	26 , 	20 , 	35 , 	420 , 	-   , 	-   , 	23 , 	28 ," 	8,803 ",,,,,,,,,,,,,
CN, 	144 , 	142 , 	69 , 	52 , 	141 , 	46 , 	477 , 	309 , 	447 , 	87 , 	265 , 	125 , 	88 , 	119 , 	108 , 	53 , 	66 , 	51 , 	157 , 	485 , 	974 , 	690 , 	168 , 	194 , 	177 , 	996 , 	951 ," 	1,078 "," 	1,132 ", 	346 , 	440 , 	160 , 	150 , 	127 , 	52 , 	6 , 	32 , 	239 , 	950 , 	73 , 	129 , 	267 , 	61 , 	16 , 	44 , 	58 , 	-   , 	-   , 	622 , 	531 ," 	14,094 ",,,,,,,,,,,,,
PH, 	42 , 	104 , 	55 , 	48 , 	77 , 	50 , 	341 , 	392 , 	398 , 	81 , 	152 , 	85 , 	38 , 	37 , 	34 , 	6 , 	47 , 	40 , 	469 , 	97 , 	291 , 	201 , 	158 , 	212 , 	81 , 	656 , 	662 , 	605 , 	983 , 	274 , 	147 , 	96 , 	69 , 	106 , 	21 , 	1 , 	23 , 	149 , 	342 , 	32 , 	95 , 	88 , 	16 , 	1 , 	54 , 	49 , 	-   , 	-   , 	196 , 	128 ," 	8,329 ",,,,,,,,,,,,,
WC, 	79 , 	145 , 	31 , 	32 , 	46 , 	40 , 	328 , 	236 , 	362 , 	71 , 	144 , 	55 , 	51 , 	54 , 	77 , 	35 , 	10 , 	10 ," 	1,105 ", 	423 , 	76 , 	234 , 	120 , 	192 , 	96 , 	401 , 	476 , 	412 , 	500 , 	131 , 	148 , 	41 , 	50 , 	57 , 	31 , 	12 , 	38 , 	163 , 	494 , 	24 , 	38 , 	128 , 	16 , 	4 , 	36 , 	21 , 	-   , 	-   , 	311 , 	322 ," 	7,906 ",,,,,,,,,,,,,
LF, 	37 , 	33 , 	33 , 	14 , 	47 , 	13 , 	163 , 	75 , 	58 , 	23 , 	115 , 	16 , 	26 , 	27 , 	13 , 	3 , 	3 , 	5 , 	836 , 	241 , 	263 , 	21 , 	40 , 	95 , 	30 , 	111 , 	192 , 	94 , 	206 , 	44 , 	39 , 	11 , 	37 , 	14 , 	4 , 	5 , 	5 , 	63 , 	272 , 	3 , 	17 , 	22 , 	5 , 	2 , 	11 , 	1 , 	-   , 	-   , 	57 , 	85 ," 	3,530 ",,,,,,,,,,,,,
OR, 	63 , 	54 , 	36 , 	18 , 	14 , 	14 , 	96 , 	63 , 	108 , 	12 , 	114 , 	39 , 	21 , 	37 , 	14 , 	6 , 	8 , 	22 , 	144 , 	143 , 	115 , 	30 , 	17 , 	87 , 	8 , 	169 , 	210 , 	116 , 	214 , 	68 , 	29 , 	12 , 	16 , 	25 , 	-   , 	1 , 	5 , 	5 , 	50 , 	-   , 	29 , 	36 , 	9 , 	4 , 	5 , 	6 , 	-   , 	-   , 	47 , 	28 ," 	2,367 ",,,,,,,,,,,,,
