Fast Pass Adjusted OD,,,,,,Jun 03,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,59,36,124,119,480,925,740,"1,066","3,548"
MT,33,43,78,124,754,"1,232","1,105","2,066","5,435"
PL,171,103,79,104,689,"1,033",692,"1,517","4,389"
CC,112,117,122,70,529,746,560,"1,233","3,490"
16,400,562,817,511,31,197,194,496,"3,208"
24,756,953,"1,181",723,230,56,144,401,"4,443"
GP,659,849,925,507,205,170,25,103,"3,443"
BP,942,"1,277","2,317","1,092",476,426,99,63,"6,692"
Entries,"3,133","3,941","5,643","3,250","3,395","4,785","3,558","6,944","34,648"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,7,45,34,192,264,117,206,883
MT,6,26,26,32,332,348,308,895,"1,969"
PL,39,19,98,47,544,804,428,944,"2,922"
CC,29,25,53,64,353,444,201,472,"1,638"
16,141,180,616,364,41,146,101,282,"1,868"
24,190,228,885,432,169,60,90,229,"2,283"
GP,104,134,597,198,96,95,59,57,"1,338"
BP,167,288,"1,569",420,267,233,54,153,"3,151"
Entries,692,905,"3,888","1,589","1,993","2,393","1,356","3,237","16,052"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,23,3,25,23,125,151,68,125,544
MT,5,17,23,37,180,207,195,581,"1,246"
PL,22,17,69,42,359,551,272,602,"1,933"
CC,28,21,55,62,303,371,163,354,"1,357"
16,93,118,418,286,27,93,49,141,"1,225"
24,134,143,619,372,98,38,58,145,"1,607"
GP,62,93,446,149,61,68,25,31,935
BP,125,185,"1,239",296,138,158,31,43,"2,215"
Entries,491,598,"2,894","1,266","1,292","1,637",861,"2,023","11,062"
