Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Jun 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	82 , 	204 , 	92 , 	101 , 	139 , 	85 , 	117 , 	71 , 	112 , 	123 , 	168 , 	9 , 	193 , 	246 , 	153 , 	82 , 	175 , 	406 , 	83 , 	100 , 	110 , 	83 , 	78 , 	71 , 	47 , 	303 , 	179 , 	541 , 	301 , 	96 , 	109 , 	74 , 	39 , 	80 , 	46 , 	125 , 	628 , 	41 , 	71 , 	12 , 	12 , 	16 , 	23 ," 	5,828 ",,,CM line," 	11,631 ", 	858 ," 	3,614 ", 	986 , 	777 ," 	1,416 ", 	468 ,19282.2
SL, 	18 , 	30 , 	13 , 	10 , 	40 , 	16 , 	22 , 	23 , 	59 , 	60 , 	100 , 	192 , 	9 , 	90 , 	63 , 	29 , 	28 , 	39 , 	11 , 	6 , 	10 , 	3 , 	2 , 	6 , 	13 , 	124 , 	73 , 	246 , 	161 , 	23 , 	28 , 	14 , 	15 , 	17 , 	10 , 	16 , 	36 , 	2 , 	12 , 	0 , 	1 , 	13 , 	2 ," 	1,686 ",,,RM line," 	4,253 "," 	1,376 "," 	1,097 "," 	2,379 ", 	420 ," 	1,889 ", 	149 ,11413.6
BF, 	10 , 	22 , 	9 , 	8 , 	41 , 	22 , 	28 , 	27 , 	62 , 	69 , 	195 , 	243 , 	87 , 	6 , 	88 , 	65 , 	61 , 	88 , 	13 , 	6 , 	6 , 	1 , 	3 , 	6 , 	21 , 	106 , 	72 , 	197 , 	136 , 	20 , 	25 , 	11 , 	13 , 	13 , 	10 , 	37 , 	88 , 	2 , 	12 , 	0 , 	1 , 	9 , 	1 ," 	1,937 ",,,WP line," 	4,516 ", 	516 , 	862 , 	460 ," 	2,009 "," 	1,141 ", 	183 ,9505
HY, 	14 , 	19 , 	8 , 	8 , 	42 , 	24 , 	22 , 	24 , 	53 , 	32 , 	91 , 	162 , 	66 , 	91 , 	9 , 	65 , 	66 , 	98 , 	7 , 	5 , 	7 , 	1 , 	1 , 	7 , 	8 , 	52 , 	36 , 	135 , 	83 , 	22 , 	16 , 	5 , 	12 , 	12 , 	11 , 	8 , 	34 , 	2 , 	13 , 	2 , 	1 , 	4 , 	2 ," 	1,380 ",,,FT/ED line," 	6,913 "," 	1,719 "," 	1,444 "," 	1,805 "," 	1,085 "," 	8,254 ", 	209 ,21220
SH, 	11 , 	10 , 	5 , 	1 , 	18 , 	9 , 	10 , 	9 , 	22 , 	16 , 	39 , 	91 , 	30 , 	70 , 	63 , 	4 , 	28 , 	70 , 	8 , 	3 , 	4 , 	1 , 	1 , 	6 , 	2 , 	41 , 	29 , 	87 , 	54 , 	13 , 	20 , 	5 , 	9 , 	8 , 	5 , 	5 , 	17 , 	2 , 	10 , 	0 , 	0 , 	4 , 	1 , 	842 ,,,SFIA," 	1,186 ",80.4,410.8,111.4,144.4,205.6,447.4,2138.8
UC, 	6 , 	14 , 	9 , 	7 , 	30 , 	15 , 	12 , 	16 , 	33 , 	33 , 	31 , 	184 , 	39 , 	60 , 	76 , 	28 , 	8 , 	78 , 	6 , 	5 , 	6 , 	2 , 	1 , 	4 , 	6 , 	78 , 	61 , 	164 , 	80 , 	11 , 	12 , 	11 , 	9 , 	12 , 	9 , 	7 , 	19 , 	1 , 	14 , 	0 , 	0 , 	10 , 	1 ," 	1,205 ",,,Entries," 	34,365 ",9443,20199.4,11513,9616.4,21716.8,2874,106853.4
FM, 	16 , 	30 , 	18 , 	11 , 	94 , 	22 , 	26 , 	21 , 	63 , 	40 , 	55 , 	403 , 	36 , 	78 , 	89 , 	62 , 	54 , 	23 , 	14 , 	8 , 	10 , 	3 , 	3 , 	9 , 	4 , 	191 , 	106 , 	369 , 	249 , 	26 , 	27 , 	12 , 	15 , 	24 , 	14 , 	10 , 	28 , 	5 , 	19 , 	1 , 	0 , 	15 , 	1 ," 	2,304 ",,,,,,,,,,,
CN, 	20 , 	16 , 	10 , 	8 , 	23 , 	7 , 	24 , 	14 , 	42 , 	4 , 	23 , 	91 , 	11 , 	12 , 	7 , 	8 , 	7 , 	15 , 	12 , 	50 , 	210 , 	51 , 	18 , 	24 , 	5 , 	132 , 	65 , 	166 , 	128 , 	20 , 	40 , 	23 , 	17 , 	20 , 	29 , 	3 , 	6 , 	16 , 	149 , 	2 , 	3 , 	15 , 	4 ," 	1,548 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	7 , 	7 , 	4 , 	4 , 	22 , 	8 , 	11 , 	10 , 	30 , 	4 , 	9 , 	115 , 	4 , 	4 , 	3 , 	1 , 	7 , 	14 , 	45 , 	9 , 	50 , 	18 , 	8 , 	36 , 	1 , 	197 , 	91 , 	206 , 	141 , 	16 , 	18 , 	12 , 	9 , 	16 , 	23 , 	1 , 	3 , 	8 , 	31 , 	1 , 	1 , 	25 , 	4 ," 	1,236 ",,,Dtwn SF," 	1,468 ",,,,,,,
WC, 	7 , 	15 , 	9 , 	9 , 	34 , 	10 , 	18 , 	14 , 	32 , 	7 , 	16 , 	114 , 	8 , 	8 , 	7 , 	3 , 	4 , 	9 , 	243 , 	49 , 	9 , 	28 , 	14 , 	45 , 	4 , 	237 , 	106 , 	252 , 	168 , 	13 , 	24 , 	17 , 	8 , 	14 , 	19 , 	2 , 	3 , 	20 , 	55 , 	1 , 	1 , 	21 , 	6 ," 	1,682 ",,,OAK," 	8,792 ", 	500 ,,,,,,
LF, 	3 , 	4 , 	3 , 	5 , 	23 , 	3 , 	9 , 	6 , 	25 , 	2 , 	8 , 	74 , 	3 , 	2 , 	2 , 	0 , 	1 , 	4 , 	55 , 	18 , 	27 , 	5 , 	8 , 	27 , 	2 , 	169 , 	61 , 	134 , 	91 , 	15 , 	14 , 	6 , 	5 , 	6 , 	9 , 	1 , 	1 , 	2 , 	7 , 	1 , 	1 , 	10 , 	4 , 	856 ,,,CM line," 	23,458 "," 	1,802 "," 	3,614 ",,,,,
OR, 	3 , 	2 , 	5 , 	3 , 	16 , 	5 , 	8 , 	3 , 	21 , 	2 , 	10 , 	70 , 	1 , 	3 , 	2 , 	1 , 	2 , 	2 , 	15 , 	9 , 	16 , 	10 , 	4 , 	24 , 	1 , 	135 , 	63 , 	97 , 	104 , 	9 , 	13 , 	5 , 	6 , 	5 , 	7 , 	1 , 	2 , 	3 , 	7 , 	0 , 	0 , 	16 , 	3 , 	717 ,,,RM line," 	8,708 "," 	2,692 "," 	2,083 "," 	2,379 ",,,,
RR, 	11 , 	9 , 	12 , 	10 , 	22 , 	9 , 	15 , 	18 , 	41 , 	11 , 	8 , 	87 , 	9 , 	5 , 	6 , 	3 , 	5 , 	15 , 	22 , 	28 , 	57 , 	25 , 	19 , 	7 , 	8 , 	220 , 	178 , 	355 , 	342 , 	65 , 	47 , 	22 , 	8 , 	13 , 	19 , 	2 , 	7 , 	5 , 	12 , 	2 , 	1 , 	29 , 	5 ," 	1,792 ",,,WP line," 	9,199 ",1013.6,1639.8,880.2,2009.2,,,
OW, 	17 , 	16 , 	5 , 	6 , 	26 , 	21 , 	17 , 	16 , 	36 , 	18 , 	47 , 	47 , 	17 , 	16 , 	7 , 	1 , 	4 , 	6 , 	4 , 	2 , 	6 , 	1 , 	2 , 	10 , 	6 , 	214 , 	132 , 	361 , 	280 , 	48 , 	49 , 	10 , 	14 , 	8 , 	6 , 	3 , 	10 , 	0 , 	9 , 	0 , 	1 , 	14 , 	2 ," 	1,514 ",,,FT/ED line," 	14,003 ",3439.8,2860,3694.8,2226,8253.8,,
EM, 	65 , 	216 , 	125 , 	176 , 	320 , 	121 , 	178 , 	133 , 	236 , 	142 , 	186 , 	382 , 	146 , 	127 , 	67 , 	54 , 	92 , 	215 , 	160 , 	245 , 	281 , 	194 , 	158 , 	289 , 	259 , 	45 , 	26 , 	134 , 	123 , 	240 , 	332 , 	177 , 	216 , 	175 , 	138 , 	121 , 	623 , 	73 , 	154 , 	13 , 	17 , 	88 , 	82 ," 	7,343 ",,,SFIA," 	2,519 ",548.2,559.8,294.2,353.8,205.6,447.4,109195.6
