Exit stations,Entry stations->,,SATURDAY,,,May 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	5 , 	75 , 	82 , 	58 , 	254 , 	92 , 	81 , 	57 , 	73 , 	19 , 	91 , 	58 , 	29 , 	32 , 	28 , 	13 , 	12 , 	25 , 	19 , 	8 , 	14 , 	11 , 	5 , 	13 , 	26 , 	146 , 	112 , 	314 , 	127 , 	92 , 	125 , 	26 , 	40 , 	30 , 	9 , 	3 , 	8 , 	2 , 	33 , 	8 , 	12 , 	20 , 	16 , 	1 ," 	2,301 ",,,Eastbay," 	45,059 ",,SF CBD," 	121,053 ",60.1%,,,
EN, 	85 , 	11 , 	89 , 	66 , 	455 , 	136 , 	133 , 	99 , 	166 , 	37 , 	123 , 	122 , 	38 , 	46 , 	46 , 	19 , 	25 , 	50 , 	38 , 	16 , 	28 , 	8 , 	6 , 	28 , 	34 , 	359 , 	245 , 	717 , 	271 , 	121 , 	120 , 	35 , 	68 , 	61 , 	20 , 	11 , 	15 , 	3 , 	37 , 	11 , 	17 , 	63 , 	25 , 	9 ," 	4,106 ",,,Westbay," 	62,134 ",,non-CBD," 	73,983 ",36.8%,,,
EP, 	86 , 	76 , 	7 , 	47 , 	390 , 	83 , 	80 , 	77 , 	107 , 	32 , 	57 , 	59 , 	15 , 	18 , 	14 , 	6 , 	12 , 	29 , 	16 , 	12 , 	14 , 	9 , 	5 , 	30 , 	10 , 	215 , 	156 , 	380 , 	152 , 	75 , 	54 , 	14 , 	19 , 	19 , 	7 , 	6 , 	11 , 	2 , 	13 , 	5 , 	6 , 	47 , 	18 , 	6 ," 	2,491 ",,,Transbay," 	97,042 ",,,,,,,
NB, 	54 , 	74 , 	55 , 	8 , 	139 , 	61 , 	66 , 	104 , 	100 , 	27 , 	62 , 	65 , 	20 , 	25 , 	23 , 	5 , 	11 , 	26 , 	16 , 	10 , 	21 , 	9 , 	5 , 	22 , 	20 , 	326 , 	242 , 	434 , 	269 , 	161 , 	105 , 	36 , 	26 , 	21 , 	8 , 	7 , 	13 , 	3 , 	14 , 	6 , 	5 , 	76 , 	24 , 	8 ," 	2,809 ",,,,,,,,,,,
BK, 	255 , 	463 , 	422 , 	173 , 	27 , 	316 , 	316 , 	304 , 	344 , 	116 , 	198 , 	190 , 	94 , 	107 , 	77 , 	43 , 	77 , 	250 , 	65 , 	93 , 	101 , 	57 , 	52 , 	51 , 	90 , 	618 , 	380 ," 	1,115 ", 	513 , 	308 , 	197 , 	83 , 	72 , 	94 , 	14 , 	33 , 	83 , 	18 , 	62 , 	17 , 	15 , 	201 , 	120 , 	35 ," 	8,255 ",,,,,,,,,,,
AS, 	82 , 	125 , 	70 , 	55 , 	256 , 	15 , 	100 , 	175 , 	142 , 	43 , 	95 , 	104 , 	35 , 	40 , 	29 , 	16 , 	17 , 	30 , 	20 , 	9 , 	23 , 	9 , 	5 , 	16 , 	45 , 	251 , 	176 , 	371 , 	266 , 	187 , 	112 , 	27 , 	23 , 	28 , 	5 , 	8 , 	14 , 	2 , 	26 , 	2 , 	6 , 	39 , 	25 , 	6 ," 	3,125 ",,,,,,,,,,,
MA, 	97 , 	134 , 	85 , 	67 , 	300 , 	101 , 	15 , 	111 , 	123 , 	25 , 	134 , 	150 , 	47 , 	59 , 	57 , 	24 , 	20 , 	46 , 	53 , 	32 , 	54 , 	20 , 	22 , 	54 , 	61 , 	463 , 	312 , 	723 , 	462 , 	343 , 	197 , 	44 , 	46 , 	34 , 	9 , 	8 , 	21 , 	11 , 	92 , 	8 , 	14 , 	77 , 	29 , 	10 ," 	4,791 ",,,,,,,,,,,
19, 	68 , 	110 , 	80 , 	99 , 	280 , 	172 , 	125 , 	16 , 	23 , 	14 , 	117 , 	107 , 	63 , 	78 , 	51 , 	26 , 	31 , 	47 , 	46 , 	36 , 	49 , 	25 , 	30 , 	118 , 	48 , 	276 , 	248 , 	527 , 	388 , 	262 , 	193 , 	48 , 	54 , 	36 , 	8 , 	13 , 	27 , 	13 , 	47 , 	8 , 	13 , 	45 , 	36 , 	10 ," 	4,103 ",,,,,,,,,,,
12, 	77 , 	141 , 	108 , 	98 , 	302 , 	142 , 	110 , 	19 , 	15 , 	13 , 	109 , 	135 , 	85 , 	107 , 	79 , 	37 , 	52 , 	76 , 	66 , 	61 , 	67 , 	30 , 	30 , 	78 , 	80 , 	382 , 	299 , 	741 , 	362 , 	182 , 	136 , 	52 , 	72 , 	59 , 	22 , 	13 , 	33 , 	21 , 	62 , 	12 , 	16 , 	77 , 	48 , 	9 ," 	4,711 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	17 , 	38 , 	32 , 	26 , 	104 , 	40 , 	34 , 	14 , 	16 , 	10 , 	98 , 	140 , 	140 , 	153 , 	65 , 	41 , 	44 , 	70 , 	10 , 	7 , 	12 , 	5 , 	6 , 	15 , 	26 , 	282 , 	247 , 	606 , 	264 , 	160 , 	107 , 	35 , 	47 , 	33 , 	5 , 	74 , 	68 , 	2 , 	18 , 	5 , 	5 , 	21 , 	9 , 	37 ," 	3,180 ",,,Dtwn SF," 	2,508 "," 	9,179 "," 	18,067 "," 	8,434 "," 	8,212 "," 	10,546 "," 	6,055 "," 	63,000 "
