Muni Fast Pass Adult/Clipper OD,,,,,,May 13,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,49,25,83,122,389,768,666,947,"3,049"
MT,30,45,48,99,495,949,880,"1,685","4,232"
PL,135,79,51,69,407,665,508,"1,338","3,252"
CC,97,83,68,30,211,415,355,811,"2,069"
16,360,390,501,230,20,120,145,381,"2,148"
24,594,703,786,410,121,27,118,372,"3,131"
GP,575,636,629,324,151,126,14,83,"2,537"
BP,827,"1,015","1,779",736,352,374,79,47,"5,209"
Entries,"2,666","2,976","3,945","2,020","2,145","3,443","2,766","5,664","25,626"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,8,34,31,142,199,121,297,849
MT,8,12,16,18,159,229,192,724,"1,357"
PL,41,13,42,28,356,530,397,"1,060","2,465"
CC,24,12,32,23,158,198,123,286,855
16,127,90,403,153,16,112,110,258,"1,269"
24,173,144,557,212,103,20,95,239,"1,542"
GP,108,105,447,112,98,79,17,36,"1,002"
BP,252,279,"1,358",245,215,212,36,36,"2,632"
Entries,750,663,"2,889",821,"1,246","1,578","1,091","2,935","11,971"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,23,5,21,21,86,138,89,209,591
MT,3,16,9,12,97,152,125,476,890
PL,22,7,41,15,243,383,256,722,"1,688"
CC,15,8,22,30,119,174,92,229,687
16,85,49,283,132,21,83,75,175,902
24,127,98,433,170,74,35,84,191,"1,210"
GP,82,78,350,100,85,79,16,33,822
BP,206,192,"1,064",195,162,166,22,38,"2,044"
Entries,562,452,"2,222",675,887,"1,209",758,"2,071","8,835"
