Exit stations,Entry stations->,,SUNDAY,,,Nov 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
CL, 	98 , 	317 , 	116 , 	76 , 	165 , 	124 , 	177 , 	122 , 	243 , 	175 , 	348 , 	15 , 	438 , 	449 , 	238 , 	142 , 	192 , 	577 , 	113 , 	141 , 	137 , 	87 , 	60 , 	73 , 	99 , 	346 , 	230 , 	698 , 	269 , 	85 , 	99 , 	54 , 	63 , 	84 , 	20 , 	202 , 	893 , 	70 , 	197 , 	19 , 	24 , 	73 , 	45 , 	230 ," 	8,417 ",,,CM line," 	11,633 "," 	1,997 "," 	4,216 "," 	1,604 "," 	1,078 "," 	1,718 "," 	2,132 "," 	24,377 "
SL, 	18 , 	28 , 	12 , 	17 , 	74 , 	31 , 	42 , 	47 , 	59 , 	87 , 	89 , 	442 , 	8 , 	82 , 	73 , 	31 , 	22 , 	42 , 	7 , 	6 , 	7 , 	5 , 	2 , 	12 , 	25 , 	127 , 	88 , 	310 , 	103 , 	36 , 	42 , 	11 , 	27 , 	19 , 	5 , 	23 , 	31 , 	2 , 	19 , 	3 , 	6 , 	23 , 	10 , 	26 ," 	2,176 ",,,RM line," 	5,338 "," 	2,036 "," 	1,669 "," 	3,023 ", 	719 ," 	2,469 ", 	770 ," 	16,024 "
BF, 	18 , 	29 , 	13 , 	19 , 	62 , 	28 , 	49 , 	53 , 	83 , 	99 , 	189 , 	451 , 	76 , 	11 , 	112 , 	60 , 	68 , 	91 , 	14 , 	7 , 	7 , 	4 , 	3 , 	10 , 	28 , 	126 , 	94 , 	324 , 	81 , 	31 , 	39 , 	17 , 	30 , 	25 , 	7 , 	36 , 	83 , 	4 , 	19 , 	4 , 	5 , 	18 , 	5 , 	77 ," 	2,605 ",,,WP line," 	4,979 ", 	941 ," 	1,109 ", 	723 ," 	2,382 "," 	1,442 ", 	909 ," 	12,483 "
HY, 	21 , 	27 , 	10 , 	13 , 	62 , 	23 , 	34 , 	34 , 	49 , 	46 , 	99 , 	244 , 	73 , 	124 , 	13 , 	53 , 	65 , 	95 , 	10 , 	6 , 	8 , 	3 , 	2 , 	9 , 	22 , 	88 , 	38 , 	173 , 	63 , 	20 , 	18 , 	13 , 	16 , 	14 , 	6 , 	13 , 	27 , 	2 , 	24 , 	1 , 	5 , 	13 , 	9 , 	26 ," 	1,711 ",,,FT/ED line," 	7,254 "," 	2,591 "," 	1,727 "," 	2,469 "," 	1,443 "," 	10,990 ", 	572 ," 	27,045 "
SH, 	10 , 	6 , 	5 , 	8 , 	25 , 	12 , 	13 , 	22 , 	23 , 	24 , 	45 , 	137 , 	29 , 	56 , 	56 , 	8 , 	24 , 	67 , 	6 , 	1 , 	2 , 	1 , 	0 , 	6 , 	4 , 	52 , 	38 , 	116 , 	36 , 	21 , 	21 , 	6 , 	12 , 	13 , 	3 , 	11 , 	16 , 	1 , 	14 , 	2 , 	2 , 	14 , 	3 , 	10 , 	977 ,,,SFIA," 	4,222 ", 	430 ," 	1,798 ", 	540 , 	687 , 	482 , 	983 ," 	9,141 "
UC, 	9 , 	12 , 	9 , 	9 , 	50 , 	13 , 	19 , 	25 , 	29 , 	34 , 	37 , 	194 , 	26 , 	67 , 	69 , 	27 , 	11 , 	79 , 	7 , 	4 , 	4 , 	2 , 	1 , 	5 , 	4 , 	93 , 	62 , 	177 , 	57 , 	20 , 	13 , 	9 , 	18 , 	12 , 	5 , 	12 , 	20 , 	2 , 	12 , 	4 , 	5 , 	20 , 	4 , 	12 ," 	1,298 ",,,Entries," 	41,272 "," 	15,157 "," 	23,938 "," 	15,395 "," 	11,883 "," 	26,472 "," 	10,358 "," 	144,475 "
FM, 	19 , 	44 , 	27 , 	23 , 	190 , 	32 , 	33 , 	41 , 	57 , 	61 , 	83 , 	550 , 	41 , 	86 , 	100 , 	63 , 	82 , 	18 , 	19 , 	14 , 	15 , 	5 , 	5 , 	17 , 	12 , 	172 , 	130 , 	354 , 	105 , 	39 , 	25 , 	15 , 	33 , 	29 , 	6 , 	18 , 	44 , 	4 , 	28 , 	3 , 	6 , 	39 , 	4 , 	25 ," 	2,709 ",,,,,,,,,,,
CN, 	14 , 	11 , 	13 , 	9 , 	44 , 	12 , 	36 , 	26 , 	44 , 	9 , 	23 , 	112 , 	8 , 	13 , 	9 , 	7 , 	6 , 	19 , 	12 , 	49 , 	144 , 	51 , 	30 , 	37 , 	5 , 	125 , 	74 , 	225 , 	90 , 	34 , 	31 , 	23 , 	27 , 	21 , 	9 , 	3 , 	9 , 	16 , 	148 , 	9 , 	11 , 	78 , 	11 , 	2 ," 	1,684 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	6 , 	10 , 	5 , 	10 , 	44 , 	9 , 	31 , 	23 , 	32 , 	9 , 	11 , 	148 , 	4 , 	5 , 	9 , 	1 , 	4 , 	12 , 	45 , 	9 , 	68 , 	23 , 	13 , 	51 , 	5 , 	180 , 	92 , 	289 , 	105 , 	32 , 	22 , 	17 , 	20 , 	20 , 	8 , 	5 , 	4 , 	9 , 	47 , 	5 , 	6 , 	118 , 	17 , 	4 ," 	1,583 ",,,Dtwn SF," 	1,584 ",,,,,,,
WC, 	11 , 	23 , 	13 , 	21 , 	75 , 	16 , 	43 , 	40 , 	45 , 	12 , 	26 , 	142 , 	6 , 	9 , 	6 , 	4 , 	5 , 	13 , 	157 , 	75 , 	7 , 	42 , 	22 , 	80 , 	11 , 	263 , 	138 , 	348 , 	167 , 	48 , 	31 , 	20 , 	32 , 	26 , 	6 , 	2 , 	3 , 	18 , 	95 , 	8 , 	5 , 	136 , 	18 , 	4 ," 	2,267 ",,,OAK," 	12,533 ", 	892 ,,,,,,
LF, 	6 , 	6 , 	7 , 	7 , 	36 , 	7 , 	14 , 	21 , 	19 , 	7 , 	9 , 	77 , 	5 , 	3 , 	4 , 	1 , 	3 , 	7 , 	55 , 	25 , 	39 , 	5 , 	8 , 	47 , 	4 , 	128 , 	78 , 	175 , 	98 , 	21 , 	19 , 	7 , 	14 , 	10 , 	2 , 	1 , 	2 , 	2 , 	24 , 	3 , 	2 , 	74 , 	13 , 	1 ," 	1,090 ",,,CM line," 	22,997 "," 	4,053 "," 	4,216 ",,,,,
OR, 	2 , 	2 , 	5 , 	4 , 	30 , 	7 , 	16 , 	9 , 	17 , 	2 , 	10 , 	59 , 	5 , 	6 , 	1 , 	1 , 	3 , 	7 , 	29 , 	13 , 	19 , 	9 , 	5 , 	38 , 	2 , 	107 , 	60 , 	152 , 	78 , 	19 , 	17 , 	7 , 	7 , 	11 , 	2 , 	0 , 	1 , 	3 , 	12 , 	2 , 	1 , 	57 , 	6 , 	1 , 	844 ,,,RM line," 	10,457 "," 	3,953 "," 	3,273 "," 	3,023 ",,,,
RR, 	11 , 	12 , 	21 , 	12 , 	39 , 	13 , 	50 , 	80 , 	58 , 	12 , 	22 , 	78 , 	9 , 	9 , 	7 , 	4 , 	5 , 	22 , 	34 , 	49 , 	75 , 	43 , 	40 , 	11 , 	22 , 	285 , 	179 , 	446 , 	273 , 	141 , 	85 , 	37 , 	24 , 	24 , 	7 , 	3 , 	6 , 	9 , 	23 , 	9 , 	2 , 	130 , 	26 , 	1 ," 	2,444 ",,,WP line," 	9,744 "," 	1,750 "," 	2,187 "," 	1,442 "," 	2,382 ",,,
OW, 	20 , 	25 , 	6 , 	7 , 	63 , 	34 , 	41 , 	40 , 	58 , 	30 , 	70 , 	110 , 	23 , 	23 , 	14 , 	6 , 	6 , 	11 , 	4 , 	5 , 	8 , 	3 , 	1 , 	21 , 	9 , 	349 , 	258 , 	659 , 	281 , 	166 , 	119 , 	21 , 	37 , 	22 , 	6 , 	8 , 	14 , 	1 , 	20 , 	5 , 	11 , 	56 , 	10 , 	6 ," 	2,682 ",,,FT/ED line," 	14,111 "," 	5,106 "," 	3,445 "," 	4,938 "," 	2,884 "," 	10,990 ",,
EM, 	93 , 	191 , 	131 , 	216 , 	506 , 	188 , 	278 , 	299 , 	298 , 	215 , 	252 , 	363 , 	148 , 	132 , 	99 , 	53 , 	95 , 	187 , 	138 , 	215 , 	269 , 	142 , 	115 , 	307 , 	427 , 	63 , 	24 , 	225 , 	113 , 	328 , 	428 , 	223 , 	363 , 	213 , 	70 , 	99 , 	364 , 	83 , 	131 , 	62 , 	69 , 	388 , 	152 , 	107 ," 	8,854 ",,,SFIA," 	8,686 ", 	959 ," 	3,930 "," 	1,310 "," 	1,596 "," 	1,054 ", 	983 ," 	144,475 "
MT, 	70 , 	143 , 	87 , 	130 , 	286 , 	127 , 	203 , 	221 , 	224 , 	199 , 	192 , 	235 , 	105 , 	117 , 	47 , 	41 , 	74 , 	121 , 	86 , 	105 , 	143 , 	71 , 	62 , 	183 , 	289 , 	22 , 	40 , 	51 , 	66 , 	308 , 	341 , 	264 , 	709 , 	196 , 	90 , 	65 , 	137 , 	42 , 	97 , 	55 , 	52 , 	379 , 	107 , 	54 ," 	6,632 ",,,,,,,,,,,
PL, 	183 , 	389 , 	204 , 	253 , 	736 , 	240 , 	467 , 	412 , 	424 , 	397 , 	465 , 	584 , 	266 , 	281 , 	147 , 	107 , 	154 , 	304 , 	189 , 	241 , 	325 , 	186 , 	141 , 	385 , 	659 , 	237 , 	40 , 	152 , 	151 ," 	1,243 "," 	1,326 ", 	765 ," 	1,372 ", 	874 , 	262 , 	141 , 	425 , 	104 , 	232 , 	210 , 	196 ," 	1,382 ", 	442 , 	158 ," 	17,845 ",,,,,,,,,,,
CC, 	72 , 	113 , 	133 , 	157 , 	303 , 	171 , 	295 , 	304 , 	207 , 	175 , 	257 , 	214 , 	86 , 	74 , 	47 , 	33 , 	47 , 	98 , 	73 , 	94 , 	138 , 	92 , 	75 , 	202 , 	281 , 	92 , 	101 , 	136 , 	73 , 	406 , 	489 , 	273 , 	486 , 	234 , 	105 , 	62 , 	143 , 	30 , 	75 , 	70 , 	122 , 	584 , 	196 , 	53 ," 	7,465 ",,,,,,,,,,,
16, 	59 , 	69 , 	43 , 	84 , 	182 , 	141 , 	227 , 	198 , 	119 , 	129 , 	113 , 	106 , 	34 , 	28 , 	23 , 	23 , 	18 , 	36 , 	33 , 	27 , 	38 , 	21 , 	22 , 	124 , 	167 , 	338 , 	233 ," 	1,265 ", 	454 , 	46 , 	186 , 	237 , 	348 , 	179 , 	64 , 	21 , 	49 , 	11 , 	37 , 	42 , 	90 , 	260 , 	112 , 	15 ," 	6,047 ",,,,,,,,,,,
24, 	57 , 	71 , 	30 , 	67 , 	140 , 	95 , 	145 , 	169 , 	101 , 	97 , 	133 , 	97 , 	34 , 	42 , 	25 , 	14 , 	12 , 	24 , 	31 , 	24 , 	39 , 	13 , 	10 , 	85 , 	120 , 	421 , 	279 ," 	1,517 ", 	550 , 	178 , 	53 , 	164 , 	306 , 	156 , 	78 , 	17 , 	39 , 	9 , 	37 , 	43 , 	93 , 	242 , 	99 , 	11 ," 	5,961 ",,,,,,,,,,,
GP, 	20 , 	27 , 	15 , 	25 , 	75 , 	22 , 	36 , 	47 , 	31 , 	23 , 	24 , 	56 , 	13 , 	14 , 	13 , 	6 , 	8 , 	14 , 	20 , 	16 , 	22 , 	12 , 	9 , 	33 , 	24 , 	235 , 	170 , 	889 , 	253 , 	203 , 	165 , 	23 , 	63 , 	53 , 	31 , 	5 , 	22 , 	7 , 	22 , 	20 , 	51 , 	113 , 	47 , 	6 ," 	2,978 ",,,,,,,,,,,
BP, 	31 , 	50 , 	12 , 	19 , 	52 , 	16 , 	33 , 	26 , 	42 , 	45 , 	54 , 	54 , 	23 , 	28 , 	10 , 	12 , 	13 , 	27 , 	32 , 	18 , 	35 , 	12 , 	8 , 	23 , 	37 , 	345 , 	336 ," 	1,754 ", 	426 , 	313 , 	304 , 	62 , 	42 , 	72 , 	62 , 	12 , 	62 , 	9 , 	33 , 	26 , 	108 , 	127 , 	92 , 	13 ," 	4,906 ",,,,,,,,,,,
DC, 	16 , 	35 , 	8 , 	15 , 	64 , 	19 , 	29 , 	31 , 	29 , 	28 , 	35 , 	93 , 	22 , 	27 , 	16 , 	14 , 	15 , 	32 , 	22 , 	26 , 	25 , 	13 , 	10 , 	21 , 	28 , 	192 , 	175 , 	973 , 	269 , 	189 , 	173 , 	51 , 	82 , 	21 , 	24 , 	10 , 	46 , 	9 , 	34 , 	19 , 	103 , 	171 , 	89 , 	14 ," 	3,310 ",,,,,,,,,,,
CM, 	9 , 	21 , 	4 , 	4 , 	11 , 	2 , 	8 , 	7 , 	14 , 	6 , 	5 , 	18 , 	3 , 	5 , 	5 , 	3 , 	2 , 	8 , 	7 , 	7 , 	6 , 	2 , 	2 , 	5 , 	6 , 	67 , 	73 , 	317 , 	105 , 	70 , 	75 , 	32 , 	69 , 	33 , 	9 , 	3 , 	5 , 	3 , 	18 , 	9 , 	52 , 	93 , 	32 , 	2 ," 	1,236 ",,,,,,,,,,,
CV, 	3 , 	5 , 	3 , 	6 , 	20 , 	4 , 	15 , 	10 , 	12 , 	37 , 	35 , 	202 , 	23 , 	43 , 	18 , 	12 , 	14 , 	15 , 	2 , 	3 , 	3 , 	2 , 	0 , 	4 , 	9 , 	88 , 	62 , 	168 , 	73 , 	18 , 	17 , 	8 , 	13 , 	11 , 	3 , 	4 , 	44 , 	1 , 	7 , 	1 , 	1 , 	22 , 	4 , 	74 ," 	1,115 ",,,,,,,,,,,
ED, 	6 , 	11 , 	14 , 	12 , 	56 , 	10 , 	16 , 	17 , 	16 , 	63 , 	54 , 	836 , 	30 , 	77 , 	30 , 	13 , 	18 , 	46 , 	7 , 	4 , 	4 , 	3 , 	2 , 	4 , 	12 , 	328 , 	150 , 	477 , 	159 , 	55 , 	34 , 	19 , 	55 , 	39 , 	4 , 	48 , 	35 , 	1 , 	10 , 	4 , 	6 , 	86 , 	11 , 	26 ," 	2,907 ",,,,,,,,,,,
NC, 	2 , 	3 , 	1 , 	3 , 	7 , 	3 , 	7 , 	8 , 	10 , 	1 , 	5 , 	67 , 	3 , 	2 , 	4 , 	1 , 	2 , 	5 , 	22 , 	8 , 	18 , 	4 , 	2 , 	9 , 	3 , 	70 , 	37 , 	102 , 	37 , 	15 , 	8 , 	7 , 	9 , 	9 , 	2 , 	1 , 	1 , 	4 , 	23 , 	2 , 	3 , 	32 , 	4 , 	2 , 	561 ,,,,,,,,,,,
WP, 	32 , 	34 , 	12 , 	10 , 	34 , 	17 , 	80 , 	39 , 	49 , 	19 , 	44 , 	184 , 	18 , 	22 , 	21 , 	10 , 	13 , 	29 , 	161 , 	50 , 	102 , 	23 , 	16 , 	28 , 	22 , 	121 , 	82 , 	282 , 	95 , 	39 , 	39 , 	25 , 	35 , 	27 , 	19 , 	10 , 	9 , 	26 , 	26 , 	11 , 	12 , 	81 , 	22 , 	5 ," 	2,029 ",,,,,,,,,,,
SS, 	6 , 	10 , 	3 , 	5 , 	9 , 	3 , 	6 , 	6 , 	8 , 	5 , 	5 , 	18 , 	3 , 	4 , 	1 , 	3 , 	4 , 	3 , 	9 , 	6 , 	7 , 	2 , 	2 , 	7 , 	4 , 	59 , 	54 , 	223 , 	68 , 	42 , 	43 , 	22 , 	34 , 	24 , 	12 , 	2 , 	7 , 	2 , 	9 , 	15 , 	29 , 	47 , 	13 , 	2 , 	840 ,,,,,,,,,,,
SB, 	7 , 	11 , 	4 , 	3 , 	11 , 	4 , 	10 , 	10 , 	12 , 	6 , 	8 , 	27 , 	8 , 	9 , 	7 , 	3 , 	4 , 	5 , 	15 , 	8 , 	10 , 	3 , 	2 , 	3 , 	10 , 	66 , 	47 , 	242 , 	126 , 	82 , 	109 , 	52 , 	109 , 	96 , 	45 , 	2 , 	5 , 	2 , 	12 , 	30 , 	7 , 	51 , 	29 , 	3 ," 	1,309 ",,,,,,,,,,,
SO, 	19 , 	37 , 	27 , 	52 , 	134 , 	31 , 	65 , 	37 , 	71 , 	23 , 	27 , 	61 , 	9 , 	12 , 	9 , 	7 , 	12 , 	27 , 	44 , 	79 , 	98 , 	61 , 	46 , 	85 , 	48 , 	345 , 	320 ," 	1,357 ", 	396 , 	191 , 	150 , 	55 , 	89 , 	110 , 	60 , 	11 , 	74 , 	20 , 	57 , 	23 , 	24 , 	34 , 	222 , 	26 ," 	4,678 ",,,,,,,,,,,
MB, 	10 , 	19 , 	14 , 	19 , 	85 , 	16 , 	31 , 	29 , 	28 , 	12 , 	20 , 	41 , 	8 , 	9 , 	6 , 	2 , 	4 , 	3 , 	9 , 	15 , 	16 , 	13 , 	7 , 	19 , 	11 , 	152 , 	112 , 	462 , 	196 , 	112 , 	104 , 	51 , 	87 , 	91 , 	33 , 	3 , 	12 , 	4 , 	20 , 	19 , 	30 , 	392 , 	20 , 	2 ," 	2,347 ",,,,,,,,,,,
