Muni Fast Pass Adult/Clipper OD,,,,,,Nov 13,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,37,22,76,94,356,674,595,896,"2,750"
MT,25,37,49,86,472,901,852,"1,635","4,058"
PL,132,77,44,65,374,617,466,"1,231","3,005"
CC,77,73,58,26,193,389,343,805,"1,965"
16,322,368,448,219,14,105,137,356,"1,970"
24,521,657,751,377,108,23,105,347,"2,889"
GP,519,635,594,319,143,112,16,74,"2,412"
BP,780,996,"1,710",727,349,369,73,45,"5,050"
Entries,"2,414","2,866","3,730","1,914","2,009","3,191","2,587","5,389","24,100"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,13,5,29,27,132,163,111,263,742
MT,4,15,13,14,131,207,174,656,"1,214"
PL,38,15,45,21,339,497,385,991,"2,330"
CC,15,10,22,22,127,202,114,260,773
16,121,75,349,139,16,93,96,216,"1,105"
24,137,117,530,197,88,20,82,203,"1,375"
GP,92,106,445,103,84,81,16,30,957
BP,212,252,"1,239",232,185,181,31,32,"2,364"
Entries,632,594,"2,671",755,"1,102","1,446","1,010","2,651","10,861"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,3,19,13,75,112,68,185,491
MT,6,11,9,14,83,124,120,425,791
PL,23,8,42,20,257,352,251,633,"1,585"
CC,14,6,18,30,103,134,83,229,616
16,86,54,279,100,21,62,79,161,841
24,114,78,420,135,63,24,58,128,"1,020"
GP,79,67,340,78,72,55,15,25,731
BP,183,194,946,193,139,137,19,28,"1,838"
Entries,522,420,"2,073",583,812,998,691,"1,814","7,913"
