Exit stations,Entry stations->,,SATURDAY,,,Nov 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	6 , 	64 , 	77 , 	46 , 	283 , 	89 , 	89 , 	51 , 	65 , 	17 , 	90 , 	65 , 	21 , 	31 , 	28 , 	10 , 	8 , 	25 , 	18 , 	6 , 	15 , 	9 , 	7 , 	15 , 	25 , 	137 , 	85 , 	317 , 	114 , 	85 , 	102 , 	23 , 	37 , 	26 , 	12 , 	3 , 	12 , 	3 , 	27 , 	6 , 	11 , 	25 , 	14 , 	2 ," 	2,200 ",,,Eastbay," 	47,517 ",,SF CBD," 	120,740 ",59.4%,,,
EN, 	74 , 	15 , 	83 , 	66 , 	588 , 	133 , 	129 , 	112 , 	159 , 	32 , 	118 , 	165 , 	36 , 	45 , 	30 , 	16 , 	20 , 	47 , 	24 , 	12 , 	23 , 	4 , 	7 , 	24 , 	33 , 	287 , 	259 , 	813 , 	215 , 	95 , 	125 , 	37 , 	55 , 	42 , 	18 , 	6 , 	16 , 	5 , 	40 , 	12 , 	19 , 	60 , 	21 , 	11 ," 	4,135 ",,,Westbay," 	59,532 ",,non-CBD," 	76,067 ",37.4%,,,
EP, 	83 , 	81 , 	8 , 	48 , 	555 , 	72 , 	73 , 	63 , 	102 , 	30 , 	54 , 	68 , 	15 , 	17 , 	12 , 	6 , 	8 , 	27 , 	13 , 	10 , 	13 , 	11 , 	5 , 	28 , 	14 , 	174 , 	129 , 	398 , 	150 , 	62 , 	68 , 	16 , 	14 , 	12 , 	8 , 	6 , 	10 , 	2 , 	12 , 	6 , 	3 , 	49 , 	14 , 	7 ," 	2,553 ",,,Transbay," 	99,406 ",,,,,,,
NB, 	53 , 	69 , 	47 , 	9 , 	212 , 	50 , 	62 , 	85 , 	91 , 	26 , 	64 , 	62 , 	18 , 	18 , 	20 , 	7 , 	12 , 	26 , 	14 , 	10 , 	17 , 	7 , 	9 , 	14 , 	14 , 	258 , 	185 , 	469 , 	247 , 	128 , 	126 , 	28 , 	22 , 	20 , 	5 , 	9 , 	10 , 	4 , 	12 , 	5 , 	6 , 	74 , 	23 , 	6 ," 	2,654 ",,,,,,,,,,,
BK, 	289 , 	610 , 	559 , 	226 , 	38 , 	299 , 	320 , 	306 , 	329 , 	120 , 	263 , 	324 , 	135 , 	140 , 	98 , 	43 , 	117 , 	390 , 	97 , 	115 , 	158 , 	117 , 	103 , 	66 , 	108 , 	875 , 	553 ," 	1,676 ", 	696 , 	368 , 	295 , 	122 , 	90 , 	161 , 	22 , 	43 , 	134 , 	31 , 	78 , 	23 , 	32 , 	185 , 	194 , 	47 ," 	10,993 ",,,,,,,,,,,
AS, 	90 , 	121 , 	65 , 	41 , 	242 , 	17 , 	100 , 	134 , 	144 , 	39 , 	111 , 	108 , 	32 , 	35 , 	32 , 	12 , 	15 , 	30 , 	13 , 	9 , 	16 , 	11 , 	4 , 	14 , 	50 , 	225 , 	155 , 	405 , 	255 , 	190 , 	156 , 	28 , 	23 , 	17 , 	5 , 	7 , 	17 , 	2 , 	25 , 	5 , 	3 , 	54 , 	20 , 	7 ," 	3,083 ",,,,,,,,,,,
MA, 	96 , 	141 , 	72 , 	59 , 	303 , 	104 , 	14 , 	81 , 	125 , 	27 , 	149 , 	155 , 	54 , 	65 , 	45 , 	25 , 	25 , 	48 , 	49 , 	32 , 	49 , 	19 , 	19 , 	57 , 	53 , 	343 , 	286 , 	688 , 	434 , 	289 , 	243 , 	40 , 	46 , 	35 , 	9 , 	12 , 	21 , 	9 , 	81 , 	3 , 	13 , 	95 , 	25 , 	13 ," 	4,550 ",,,,,,,,,,,
19, 	58 , 	112 , 	66 , 	83 , 	300 , 	147 , 	96 , 	22 , 	26 , 	15 , 	115 , 	115 , 	63 , 	75 , 	55 , 	22 , 	19 , 	55 , 	42 , 	38 , 	61 , 	28 , 	23 , 	89 , 	49 , 	291 , 	271 , 	566 , 	415 , 	270 , 	214 , 	46 , 	46 , 	33 , 	14 , 	14 , 	26 , 	15 , 	56 , 	7 , 	13 , 	61 , 	33 , 	10 ," 	4,176 ",,,,,,,,,,,
12, 	70 , 	136 , 	100 , 	89 , 	273 , 	141 , 	120 , 	23 , 	16 , 	15 , 	109 , 	177 , 	92 , 	109 , 	73 , 	42 , 	40 , 	75 , 	66 , 	48 , 	63 , 	27 , 	26 , 	75 , 	81 , 	335 , 	300 , 	715 , 	323 , 	171 , 	147 , 	47 , 	70 , 	43 , 	12 , 	11 , 	28 , 	18 , 	64 , 	14 , 	19 , 	83 , 	37 , 	10 ," 	4,531 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	15 , 	35 , 	29 , 	21 , 	121 , 	44 , 	35 , 	14 , 	16 , 	7 , 	127 , 	177 , 	123 , 	150 , 	60 , 	29 , 	44 , 	66 , 	13 , 	8 , 	10 , 	7 , 	6 , 	15 , 	25 , 	248 , 	226 , 	567 , 	253 , 	154 , 	127 , 	26 , 	42 , 	37 , 	4 , 	51 , 	69 , 	3 , 	12 , 	3 , 	5 , 	23 , 	8 , 	35 ," 	3,092 ",,,Dtwn SF," 	2,351 "," 	8,933 "," 	17,534 "," 	9,501 "," 	8,161 "," 	10,934 "," 	5,579 "," 	62,992 "
