Exit stations,Entry stations->,,SUNDAY,,,May 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
FV, 	60 , 	71 , 	33 , 	52 , 	133 , 	81 , 	105 , 	82 , 	93 , 	126 , 	15 , 	136 , 	69 , 	97 , 	73 , 	33 , 	30 , 	55 , 	32 , 	14 , 	22 , 	10 , 	9 , 	31 , 	75 , 	353 , 	222 , 	640 , 	370 , 	250 , 	201 , 	39 , 	51 , 	54 , 	10 , 	22 , 	34 , 	6 , 	38 , 	10 , 	15 , 	78 , 	17 , 	26 , 	12 , 	-   ," 	3,985 ",,,OAK," 	7,248 ", 	838 ," 	2,627 "," 	1,805 ", 	891 ," 	1,790 ", 	661 ," 	15,860 "
CL, 	54 , 	113 , 	62 , 	54 , 	74 , 	54 , 	94 , 	67 , 	86 , 	102 , 	126 , 	11 , 	135 , 	161 , 	129 , 	63 , 	131 , 	300 , 	49 , 	54 , 	64 , 	37 , 	28 , 	45 , 	42 , 	187 , 	110 , 	248 , 	184 , 	64 , 	64 , 	45 , 	34 , 	73 , 	8 , 	89 , 	391 , 	23 , 	62 , 	8 , 	18 , 	18 , 	22 , 	158 , 	48 , 	-   ," 	3,989 ",,,CM line," 	11,629 "," 	2,701 "," 	5,002 "," 	1,924 "," 	1,502 "," 	1,889 "," 	2,460 "," 	27,107 "
SL, 	14 , 	18 , 	11 , 	17 , 	48 , 	16 , 	27 , 	32 , 	46 , 	73 , 	71 , 	140 , 	17 , 	78 , 	72 , 	26 , 	25 , 	38 , 	10 , 	5 , 	10 , 	2 , 	4 , 	11 , 	16 , 	123 , 	86 , 	230 , 	93 , 	50 , 	35 , 	13 , 	17 , 	20 , 	4 , 	29 , 	34 , 	1 , 	13 , 	2 , 	3 , 	23 , 	5 , 	30 , 	13 , 	-   ," 	1,648 ",,,RM line," 	5,823 "," 	1,937 "," 	1,922 "," 	2,917 ", 	650 ," 	1,646 ", 	854 ," 	15,747 "
BF, 	15 , 	23 , 	9 , 	11 , 	45 , 	19 , 	39 , 	34 , 	52 , 	71 , 	84 , 	173 , 	78 , 	20 , 	96 , 	58 , 	59 , 	137 , 	10 , 	8 , 	12 , 	3 , 	3 , 	9 , 	22 , 	135 , 	102 , 	258 , 	94 , 	48 , 	33 , 	15 , 	21 , 	22 , 	8 , 	43 , 	86 , 	2 , 	20 , 	6 , 	9 , 	20 , 	7 , 	79 , 	11 , 	-   ," 	2,112 ",,,WP line," 	6,588 "," 	1,008 "," 	1,505 ", 	673 ," 	2,445 ", 	840 ," 	1,082 "," 	14,141 "
HY, 	15 , 	20 , 	8 , 	9 , 	38 , 	13 , 	28 , 	25 , 	37 , 	35 , 	74 , 	124 , 	64 , 	99 , 	14 , 	42 , 	64 , 	118 , 	6 , 	2 , 	6 , 	3 , 	0 , 	6 , 	13 , 	82 , 	40 , 	124 , 	42 , 	29 , 	28 , 	6 , 	11 , 	13 , 	4 , 	18 , 	34 , 	1 , 	12 , 	4 , 	7 , 	19 , 	5 , 	38 , 	14 , 	-   ," 	1,397 ",,,FT/ED line," 	7,028 "," 	1,905 "," 	1,873 "," 	1,696 ", 	877 ," 	6,893 ", 	572 ," 	20,843 "
SH, 	6 , 	14 , 	3 , 	4 , 	15 , 	6 , 	10 , 	9 , 	15 , 	20 , 	31 , 	60 , 	26 , 	64 , 	43 , 	10 , 	26 , 	58 , 	4 , 	2 , 	4 , 	2 , 	1 , 	2 , 	5 , 	52 , 	32 , 	85 , 	31 , 	25 , 	21 , 	6 , 	9 , 	11 , 	3 , 	9 , 	12 , 	1 , 	8 , 	2 , 	3 , 	9 , 	5 , 	15 , 	10 , 	-   , 	788 ,,,SFIA," 	4,615 ", 	529 ," 	2,070 ", 	700 , 	857 , 	381 ," 	1,038 "," 	10,191 "
UC, 	5 , 	12 , 	6 , 	4 , 	42 , 	12 , 	21 , 	16 , 	20 , 	22 , 	26 , 	128 , 	28 , 	66 , 	72 , 	26 , 	16 , 	76 , 	7 , 	4 , 	4 , 	2 , 	2 , 	3 , 	5 , 	123 , 	66 , 	139 , 	62 , 	29 , 	25 , 	6 , 	13 , 	16 , 	5 , 	13 , 	28 , 	1 , 	10 , 	4 , 	2 , 	25 , 	4 , 	13 , 	17 , 	-   ," 	1,225 ",,,Entries," 	44,627 "," 	16,334 "," 	26,960 "," 	15,610 "," 	13,708 "," 	20,340 "," 	11,339 "," 	148,917 "
FM, 	13 , 	32 , 	21 , 	24 , 	139 , 	25 , 	43 , 	37 , 	47 , 	44 , 	50 , 	283 , 	47 , 	126 , 	120 , 	54 , 	77 , 	30 , 	18 , 	8 , 	17 , 	6 , 	4 , 	13 , 	9 , 	239 , 	139 , 	297 , 	136 , 	70 , 	36 , 	15 , 	20 , 	24 , 	3 , 	23 , 	56 , 	4 , 	24 , 	4 , 	5 , 	52 , 	3 , 	24 , 	40 , 	-   ," 	2,501 ",,,,,,,,,,,
CN, 	14 , 	19 , 	10 , 	12 , 	36 , 	10 , 	45 , 	38 , 	51 , 	9 , 	33 , 	47 , 	9 , 	10 , 	9 , 	6 , 	8 , 	17 , 	12 , 	56 , 	156 , 	43 , 	18 , 	37 , 	11 , 	177 , 	102 , 	247 , 	106 , 	60 , 	41 , 	20 , 	25 , 	26 , 	10 , 	2 , 	3 , 	17 , 	150 , 	9 , 	9 , 	84 , 	18 , 	1 , 	23 , 	-   ," 	1,844 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	6 , 	9 , 	7 , 	9 , 	37 , 	8 , 	33 , 	24 , 	38 , 	7 , 	9 , 	47 , 	5 , 	6 , 	3 , 	2 , 	3 , 	13 , 	54 , 	19 , 	75 , 	24 , 	15 , 	56 , 	7 , 	289 , 	139 , 	248 , 	166 , 	59 , 	38 , 	20 , 	15 , 	28 , 	5 , 	2 , 	4 , 	9 , 	47 , 	6 , 	5 , 	138 , 	21 , 	3 , 	48 , 	-   ," 	1,808 ",,,Dtwn SF," 	1,696 ",,,,,,,
