Muni Fast Pass Adult/Clipper OD,,,,,,May 15,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,38,21,61,80,340,666,541,886,"2,634"
MT,23,43,43,85,433,864,765,"1,550","3,806"
PL,109,73,49,52,324,580,422,"1,130","2,738"
CC,75,81,55,29,183,375,345,718,"1,859"
16,299,356,402,191,28,90,116,341,"1,821"
24,518,645,672,353,96,37,96,286,"2,703"
GP,486,577,508,311,120,97,19,77,"2,195"
BP,765,978,"1,503",641,317,293,74,49,"4,620"
Entries,"2,313","2,775","3,293","1,742","1,839","3,001","2,379","5,036","22,378"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,16,4,27,14,126,173,95,267,721
MT,3,11,11,14,102,156,142,598,"1,037"
PL,36,16,40,27,280,433,296,857,"1,985"
CC,15,9,22,13,106,161,95,222,644
16,110,68,299,112,17,77,74,197,955
24,139,103,465,175,80,25,64,186,"1,237"
GP,83,83,348,90,62,65,10,24,765
BP,234,256,"1,103",194,170,170,27,32,"2,186"
Entries,636,551,"2,316",639,943,"1,260",803,"2,383","9,531"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,2,17,11,72,108,66,169,465
MT,3,13,8,12,64,98,87,368,652
PL,21,9,45,18,213,302,204,578,"1,390"
CC,10,6,14,22,82,133,83,207,557
16,73,42,238,82,16,53,59,141,702
24,97,70,337,137,51,28,65,143,928
GP,67,55,267,81,61,61,10,21,623
BP,176,174,867,167,131,126,21,22,"1,684"
Entries,466,370,"1,793",531,690,908,595,"1,649","7,002"
