Muni Fast Pass Adult/Clipper OD,,,,,,Jul 14,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,42,22,73,110,383,692,610,926,"2,858"
MT,25,40,53,100,492,962,917,"1,689","4,277"
PL,133,85,42,58,353,566,465,"1,179","2,881"
CC,93,91,60,23,175,367,353,761,"1,924"
16,332,399,444,204,10,92,130,311,"1,922"
24,544,692,688,363,97,18,96,265,"2,763"
GP,526,678,602,313,136,104,15,64,"2,437"
BP,805,"1,050","1,628",658,301,275,62,36,"4,816"
Entries,"2,501","3,059","3,591","1,827","1,947","3,075","2,648","5,231","23,879"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,13,6,27,24,130,175,117,289,781
MT,5,14,16,12,133,206,198,681,"1,263"
PL,40,20,42,29,292,465,347,997,"2,231"
CC,18,11,28,16,128,181,113,256,750
16,121,92,317,130,18,75,92,206,"1,049"
24,138,128,504,187,83,19,74,188,"1,320"
GP,90,112,422,115,73,73,10,29,923
BP,231,275,"1,261",224,168,168,28,24,"2,377"
Entries,654,657,"2,616",735,"1,024","1,362",979,"2,669","10,695"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,24,3,19,18,80,107,77,189,516
MT,2,14,10,10,90,119,114,430,788
PL,23,8,50,21,225,316,254,692,"1,588"
CC,15,8,21,24,102,137,99,254,659
16,87,55,259,100,16,55,66,151,788
24,113,83,385,150,62,26,56,139,"1,014"
GP,71,67,344,95,67,54,16,22,735
BP,192,198,"1,020",209,139,133,24,29,"1,943"
Entries,527,435,"2,107",626,780,946,705,"1,903","8,030"
