Exit stations,Entry stations->,,SATURDAY,,,Dec 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
RM, 	6 , 	64 , 	60 , 	30 , 	206 , 	52 , 	58 , 	45 , 	64 , 	14 , 	56 , 	50 , 	17 , 	17 , 	12 , 	8 , 	8 , 	19 , 	13 , 	5 , 	12 , 	2 , 	6 , 	12 , 	14 , 	117 , 	99 , 	317 , 	109 , 	82 , 	118 , 	23 , 	32 , 	28 , 	9 , 	3 , 	11 , 	2 , 	24 , 	5 , 	13 , 	28 , 	11 , 	5 , 	8 , 	-   ," 	1,894 ",,,,,,,,,,
EN, 	59 , 	18 , 	72 , 	51 , 	407 , 	85 , 	124 , 	116 , 	131 , 	32 , 	85 , 	131 , 	37 , 	33 , 	24 , 	13 , 	13 , 	40 , 	22 , 	11 , 	19 , 	4 , 	8 , 	27 , 	29 , 	292 , 	235 , 	856 , 	274 , 	113 , 	110 , 	46 , 	47 , 	39 , 	18 , 	10 , 	11 , 	3 , 	28 , 	15 , 	22 , 	78 , 	18 , 	7 , 	32 , 	-   ," 	3,845 ",,,,,,,,,,
EP, 	62 , 	70 , 	8 , 	41 , 	403 , 	55 , 	61 , 	89 , 	91 , 	27 , 	38 , 	69 , 	20 , 	14 , 	11 , 	6 , 	8 , 	26 , 	14 , 	12 , 	14 , 	10 , 	3 , 	22 , 	12 , 	180 , 	139 , 	446 , 	185 , 	80 , 	53 , 	29 , 	14 , 	22 , 	5 , 	5 , 	6 , 	1 , 	7 , 	6 , 	9 , 	44 , 	13 , 	6 , 	19 , 	-   ," 	2,455 ",,,,,,,,,,
NB, 	34 , 	49 , 	47 , 	13 , 	130 , 	37 , 	43 , 	102 , 	64 , 	24 , 	47 , 	81 , 	19 , 	17 , 	11 , 	8 , 	8 , 	34 , 	8 , 	10 , 	19 , 	4 , 	6 , 	13 , 	10 , 	226 , 	206 , 	429 , 	258 , 	116 , 	101 , 	40 , 	20 , 	17 , 	5 , 	5 , 	8 , 	3 , 	7 , 	2 , 	5 , 	62 , 	20 , 	4 , 	27 , 	-   ," 	2,398 ",,,,,,,,,,
BK, 	216 , 	437 , 	405 , 	142 , 	49 , 	209 , 	194 , 	238 , 	232 , 	77 , 	149 , 	143 , 	89 , 	72 , 	57 , 	32 , 	62 , 	191 , 	41 , 	50 , 	86 , 	43 , 	37 , 	34 , 	59 , 	495 , 	357 ," 	1,079 ", 	447 , 	223 , 	194 , 	91 , 	57 , 	80 , 	16 , 	16 , 	51 , 	12 , 	40 , 	16 , 	14 , 	115 , 	72 , 	25 , 	44 , 	-   ," 	6,791 ",,,,,,,,,,
AS, 	56 , 	65 , 	54 , 	37 , 	176 , 	16 , 	58 , 	99 , 	89 , 	34 , 	56 , 	66 , 	21 , 	22 , 	14 , 	9 , 	12 , 	21 , 	11 , 	9 , 	12 , 	9 , 	5 , 	8 , 	26 , 	202 , 	158 , 	358 , 	252 , 	139 , 	113 , 	27 , 	21 , 	16 , 	4 , 	5 , 	10 , 	3 , 	9 , 	4 , 	3 , 	44 , 	12 , 	4 , 	13 , 	-   ," 	2,382 ",,,,,,,,,,
MA, 	83 , 	109 , 	54 , 	51 , 	201 , 	63 , 	16 , 	83 , 	92 , 	31 , 	85 , 	134 , 	46 , 	41 , 	39 , 	14 , 	19 , 	43 , 	40 , 	33 , 	49 , 	24 , 	14 , 	41 , 	42 , 	333 , 	284 , 	682 , 	455 , 	239 , 	171 , 	49 , 	49 , 	35 , 	8 , 	9 , 	14 , 	11 , 	66 , 	7 , 	12 , 	65 , 	27 , 	12 , 	16 , 	-   ," 	3,992 ",,,,,,,,,,
19, 	48 , 	120 , 	93 , 	110 , 	225 , 	115 , 	88 , 	35 , 	28 , 	18 , 	81 , 	107 , 	64 , 	63 , 	48 , 	31 , 	34 , 	71 , 	46 , 	57 , 	93 , 	54 , 	33 , 	80 , 	44 , 	389 , 	300 , 	644 , 	496 , 	278 , 	228 , 	89 , 	52 , 	61 , 	16 , 	14 , 	30 , 	18 , 	46 , 	11 , 	10 , 	59 , 	42 , 	16 , 	10 , 	-   ," 	4,593 ",,,,,,,,,,
12, 	63 , 	131 , 	92 , 	73 , 	196 , 	92 , 	84 , 	19 , 	23 , 	9 , 	89 , 	144 , 	81 , 	93 , 	56 , 	31 , 	36 , 	77 , 	50 , 	49 , 	61 , 	26 , 	29 , 	59 , 	72 , 	335 , 	296 , 	712 , 	380 , 	162 , 	139 , 	58 , 	65 , 	63 , 	17 , 	10 , 	25 , 	15 , 	57 , 	16 , 	22 , 	58 , 	38 , 	11 , 	44 , 	-   ," 	4,259 ",,,,,,,,,,
LM, 	17 , 	39 , 	27 , 	30 , 	78 , 	35 , 	40 , 	15 , 	15 , 	14 , 	88 , 	159 , 	133 , 	131 , 	45 , 	23 , 	40 , 	67 , 	8 , 	7 , 	11 , 	6 , 	4 , 	14 , 	19 , 	282 , 	272 , 	645 , 	304 , 	167 , 	146 , 	42 , 	40 , 	40 , 	7 , 	54 , 	76 , 	2 , 	14 , 	4 , 	7 , 	17 , 	15 , 	40 , 	18 , 	-   ," 	3,258 ",,,,,,,,,,
FV, 	55 , 	78 , 	47 , 	49 , 	157 , 	64 , 	84 , 	123 , 	109 , 	58 , 	18 , 	201 , 	119 , 	189 , 	100 , 	47 , 	35 , 	108 , 	35 , 	19 , 	31 , 	8 , 	11 , 	40 , 	76 , 	324 , 	311 , 	865 , 	387 , 	190 , 	176 , 	56 , 	53 , 	41 , 	7 , 	41 , 	77 , 	5 , 	44 , 	8 , 	15 , 	42 , 	17 , 	53 , 	5 , 	-   ," 	4,579 ",,,,,,,,,,
CL, 	53 , 	114 , 	73 , 	78 , 	149 , 	60 , 	139 , 	149 , 	173 , 	132 , 	202 , 	35 , 	186 , 	209 , 	136 , 	67 , 	143 , 	443 , 	47 , 	81 , 	78 , 	53 , 	30 , 	68 , 	70 , 	419 , 	264 , 	700 , 	288 , 	141 , 	138 , 	89 , 	67 , 	174 , 	26 , 	104 , 	282 , 	22 , 	67 , 	22 , 	31 , 	24 , 	49 , 	138 , 	20 , 	-   ," 	6,032 ",,,,,,,,,,
SL, 	17 , 	38 , 	21 , 	16 , 	93 , 	22 , 	47 , 	122 , 	95 , 	131 , 	111 , 	192 , 	14 , 	101 , 	87 , 	37 , 	38 , 	60 , 	14 , 	10 , 	12 , 	3 , 	5 , 	14 , 	31 , 	220 , 	181 , 	554 , 	191 , 	58 , 	62 , 	26 , 	31 , 	31 , 	8 , 	24 , 	41 , 	6 , 	16 , 	7 , 	5 , 	25 , 	7 , 	46 , 	6 , 	-   ," 	2,872 ",,,,,,,,,,
BF, 	16 , 	28 , 	12 , 	16 , 	76 , 	17 , 	48 , 	78 , 	108 , 	121 , 	176 , 	203 , 	109 , 	12 , 	97 , 	47 , 	64 , 	130 , 	10 , 	6 , 	12 , 	3 , 	3 , 	7 , 	25 , 	195 , 	172 , 	513 , 	134 , 	44 , 	51 , 	16 , 	24 , 	34 , 	8 , 	47 , 	79 , 	1 , 	21 , 	6 , 	11 , 	20 , 	6 , 	100 , 	5 , 	-   ," 	2,912 ",,,,,,,,,,
HY, 	17 , 	35 , 	8 , 	11 , 	59 , 	14 , 	35 , 	58 , 	61 , 	46 , 	92 , 	145 , 	86 , 	88 , 	10 , 	52 , 	68 , 	145 , 	10 , 	4 , 	7 , 	4 , 	2 , 	11 , 	19 , 	122 , 	94 , 	297 , 	84 , 	37 , 	35 , 	12 , 	18 , 	19 , 	4 , 	14 , 	30 , 	1 , 	20 , 	5 , 	5 , 	14 , 	3 , 	35 , 	5 , 	-   ," 	1,937 ",,,,,,,,,,
SH, 	8 , 	15 , 	7 , 	8 , 	32 , 	8 , 	18 , 	37 , 	29 , 	21 , 	45 , 	67 , 	30 , 	56 , 	53 , 	5 , 	29 , 	64 , 	6 , 	5 , 	7 , 	0 , 	1 , 	2 , 	7 , 	64 , 	62 , 	200 , 	50 , 	22 , 	26 , 	7 , 	12 , 	13 , 	4 , 	7 , 	21 , 	2 , 	12 , 	4 , 	6 , 	8 , 	2 , 	18 , 	7 , 	-   ," 	1,108 ",,,,,,,,,,
UC, 	7 , 	19 , 	9 , 	8 , 	75 , 	15 , 	23 , 	38 , 	39 , 	31 , 	40 , 	138 , 	37 , 	57 , 	78 , 	26 , 	6 , 	72 , 	4 , 	7 , 	8 , 	2 , 	1 , 	5 , 	6 , 	148 , 	112 , 	363 , 	95 , 	32 , 	20 , 	11 , 	17 , 	25 , 	4 , 	10 , 	26 , 	-   , 	11 , 	4 , 	3 , 	12 , 	3 , 	15 , 	5 , 	-   ," 	1,668 ",,,,,,,,,,
FM, 	18 , 	50 , 	30 , 	31 , 	281 , 	30 , 	45 , 	85 , 	74 , 	65 , 	100 , 	437 , 	58 , 	99 , 	124 , 	67 , 	80 , 	33 , 	20 , 	17 , 	22 , 	7 , 	5 , 	20 , 	22 , 	306 , 	197 , 	624 , 	214 , 	54 , 	50 , 	26 , 	25 , 	29 , 	6 , 	25 , 	59 , 	4 , 	23 , 	4 , 	6 , 	37 , 	5 , 	29 , 	20 , 	-   ," 	3,563 ",,,,,,,,,,
CN, 	17 , 	20 , 	16 , 	9 , 	47 , 	13 , 	46 , 	41 , 	53 , 	9 , 	22 , 	46 , 	14 , 	11 , 	13 , 	4 , 	5 , 	26 , 	15 , 	61 , 	146 , 	46 , 	17 , 	39 , 	14 , 	177 , 	150 , 	435 , 	149 , 	52 , 	49 , 	31 , 	22 , 	27 , 	11 , 	1 , 	8 , 	25 , 	174 , 	6 , 	9 , 	76 , 	12 , 	4 , 	16 , 	-   ," 	2,187 ",,,,,,,,,,
PH, 	7 , 	8 , 	9 , 	10 , 	56 , 	7 , 	34 , 	55 , 	37 , 	6 , 	13 , 	75 , 	9 , 	6 , 	5 , 	5 , 	6 , 	11 , 	59 , 	17 , 	83 , 	21 , 	11 , 	51 , 	3 , 	249 , 	217 , 	512 , 	202 , 	49 , 	44 , 	35 , 	12 , 	17 , 	7 , 	2 , 	4 , 	10 , 	62 , 	7 , 	4 , 	96 , 	14 , 	1 , 	26 , 	-   ," 	2,173 ",,,,,,,,,,
