Exit stations,Entry stations->,,WEEKDAY,,,Dec 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
RM, 	11 , 	125 , 	91 , 	67 , 	378 , 	98 , 	141 , 	145 , 	180 , 	36 , 	89 , 	68 , 	34 , 	33 , 	27 , 	22 , 	15 , 	37 , 	23 , 	13 , 	23 , 	5 , 	8 , 	17 , 	25 , 	356 , 	379 , 	479 , 	324 , 	167 , 	181 , 	48 , 	63 , 	75 , 	16 , 	6 , 	15 , 	6 , 	35 , 	13 , 	19 , 	58 , 	25 , 	5 , 	9 , 	-   ," 	3,987 ",,,,,,,,,
EN, 	138 , 	22 , 	99 , 	96 , 	804 , 	148 , 	276 , 	465 , 	577 , 	99 , 	114 , 	123 , 	58 , 	50 , 	58 , 	27 , 	35 , 	87 , 	39 , 	21 , 	35 , 	9 , 	11 , 	34 , 	47 , 	952 ," 	1,038 "," 	1,085 ", 	810 , 	244 , 	234 , 	84 , 	100 , 	142 , 	28 , 	9 , 	29 , 	8 , 	32 , 	39 , 	52 , 	120 , 	70 , 	12 , 	36 , 	-   ," 	8,594 ",,,,,,,,,
EP, 	99 , 	93 , 	14 , 	60 , 	627 , 	85 , 	136 , 	281 , 	297 , 	63 , 	55 , 	47 , 	31 , 	17 , 	20 , 	9 , 	16 , 	50 , 	18 , 	14 , 	24 , 	12 , 	7 , 	34 , 	18 , 	563 , 	630 , 	522 , 	409 , 	128 , 	72 , 	32 , 	33 , 	53 , 	7 , 	4 , 	18 , 	4 , 	17 , 	10 , 	12 , 	72 , 	33 , 	8 , 	29 , 	-   ," 	4,782 ",,,,,,,,,
NB, 	70 , 	87 , 	58 , 	15 , 	181 , 	71 , 	92 , 	250 , 	217 , 	53 , 	55 , 	51 , 	31 , 	19 , 	21 , 	10 , 	19 , 	41 , 	16 , 	18 , 	23 , 	6 , 	8 , 	24 , 	15 , 	655 , 	729 , 	513 , 	487 , 	156 , 	100 , 	39 , 	25 , 	44 , 	6 , 	6 , 	16 , 	4 , 	14 , 	8 , 	10 , 	97 , 	36 , 	10 , 	36 , 	-   ," 	4,443 ",,,,,,,,,
BK, 	420 , 	862 , 	640 , 	194 , 	34 , 	350 , 	372 , 	500 , 	513 , 	192 , 	264 , 	155 , 	157 , 	135 , 	131 , 	74 , 	125 , 	250 , 	131 , 	153 , 	134 , 	85 , 	46 , 	50 , 	67 , 	944 , 	885 , 	951 , 	672 , 	284 , 	222 , 	120 , 	97 , 	107 , 	32 , 	42 , 	103 , 	43 , 	115 , 	31 , 	36 , 	148 , 	140 , 	51 , 	61 , 	-   ," 	11,117 ",,,,,,,,,
AS, 	110 , 	128 , 	79 , 	62 , 	323 , 	13 , 	90 , 	248 , 	241 , 	52 , 	91 , 	61 , 	47 , 	35 , 	35 , 	19 , 	34 , 	59 , 	29 , 	24 , 	29 , 	10 , 	5 , 	16 , 	35 , 	654 , 	717 , 	547 , 	502 , 	219 , 	127 , 	33 , 	40 , 	39 , 	10 , 	10 , 	17 , 	9 , 	34 , 	8 , 	17 , 	65 , 	44 , 	11 , 	27 , 	-   ," 	5,002 ",,,,,,,,,
MA, 	163 , 	277 , 	129 , 	96 , 	359 , 	92 , 	26 , 	193 , 	219 , 	74 , 	162 , 	148 , 	124 , 	97 , 	106 , 	57 , 	78 , 	136 , 	153 , 	178 , 	150 , 	51 , 	34 , 	62 , 	55 ," 	1,025 "," 	1,171 ", 	927 , 	854 , 	378 , 	241 , 	81 , 	72 , 	93 , 	30 , 	24 , 	66 , 	62 , 	253 , 	32 , 	33 , 	119 , 	62 , 	25 , 	30 , 	-   ," 	8,798 ",,,,,,,,,
19, 	160 , 	478 , 	298 , 	263 , 	483 , 	255 , 	179 , 	32 , 	56 , 	46 , 	179 , 	172 , 	212 , 	192 , 	202 , 	161 , 	204 , 	370 , 	320 , 	358 , 	292 , 	153 , 	98 , 	178 , 	67 ," 	1,323 "," 	1,417 ", 	989 , 	985 , 	424 , 	328 , 	183 , 	116 , 	164 , 	76 , 	78 , 	212 , 	159 , 	256 , 	66 , 	66 , 	94 , 	139 , 	97 , 	35 , 	-   ," 	12,615 ",,,,,,,,,
12, 	198 , 	598 , 	292 , 	228 , 	420 , 	239 , 	216 , 	58 , 	39 , 	40 , 	228 , 	288 , 	316 , 	324 , 	278 , 	159 , 	194 , 	336 , 	325 , 	348 , 	273 , 	135 , 	108 , 	152 , 	100 ," 	1,207 "," 	1,199 "," 	1,021 ", 	932 , 	323 , 	301 , 	169 , 	162 , 	194 , 	127 , 	110 , 	214 , 	164 , 	344 , 	78 , 	86 , 	119 , 	145 , 	113 , 	44 , 	-   ," 	12,948 ",,,,,,,,,
LM, 	33 , 	97 , 	64 , 	57 , 	189 , 	57 , 	73 , 	47 , 	44 , 	16 , 	144 , 	222 , 	282 , 	233 , 	137 , 	85 , 	101 , 	159 , 	33 , 	24 , 	27 , 	9 , 	11 , 	29 , 	34 , 	788 , 	907 , 	791 , 	586 , 	227 , 	143 , 	58 , 	70 , 	106 , 	11 , 	114 , 	166 , 	12 , 	53 , 	10 , 	19 , 	34 , 	22 , 	71 , 	21 , 	-   ," 	6,415 ",,,,,,,,,
FV, 	91 , 	120 , 	57 , 	57 , 	263 , 	89 , 	157 , 	189 , 	239 , 	135 , 	25 , 	241 , 	225 , 	249 , 	191 , 	91 , 	75 , 	170 , 	42 , 	28 , 	38 , 	15 , 	21 , 	51 , 	109 , 	841 , 	954 ," 	1,012 ", 	797 , 	287 , 	212 , 	63 , 	82 , 	118 , 	11 , 	53 , 	115 , 	11 , 	58 , 	16 , 	23 , 	68 , 	26 , 	57 , 	12 , 	-   ," 	7,783 ",,,,,,,,,
CL, 	68 , 	136 , 	49 , 	51 , 	151 , 	69 , 	175 , 	197 , 	310 , 	196 , 	245 , 	18 , 	151 , 	198 , 	153 , 	89 , 	113 , 	250 , 	52 , 	49 , 	52 , 	29 , 	23 , 	45 , 	103 , 	624 , 	605 , 	647 , 	465 , 	157 , 	134 , 	86 , 	70 , 	146 , 	20 , 	55 , 	166 , 	19 , 	100 , 	27 , 	32 , 	42 , 	38 , 	80 , 	34 , 	-   ," 	6,520 ",,,,,,,,,
SL, 	41 , 	61 , 	29 , 	32 , 	156 , 	48 , 	129 , 	225 , 	336 , 	278 , 	224 , 	167 , 	16 , 	126 , 	156 , 	72 , 	84 , 	156 , 	32 , 	27 , 	27 , 	8 , 	10 , 	21 , 	41 , 	707 , 	746 , 	686 , 	511 , 	140 , 	99 , 	41 , 	70 , 	96 , 	13 , 	38 , 	92 , 	11 , 	48 , 	21 , 	14 , 	45 , 	10 , 	54 , 	8 , 	-   ," 	5,954 ",,,,,,,,,
BF, 	31 , 	47 , 	17 , 	19 , 	130 , 	33 , 	97 , 	196 , 	316 , 	220 , 	238 , 	202 , 	136 , 	15 , 	127 , 	77 , 	111 , 	245 , 	22 , 	12 , 	13 , 	5 , 	4 , 	13 , 	39 , 	672 , 	673 , 	640 , 	446 , 	131 , 	87 , 	34 , 	47 , 	75 , 	7 , 	62 , 	161 , 	6 , 	18 , 	13 , 	18 , 	35 , 	11 , 	98 , 	8 , 	-   ," 	5,607 ",,,,,,,,,
HY, 	30 , 	69 , 	23 , 	24 , 	126 , 	34 , 	110 , 	210 , 	265 , 	137 , 	192 , 	165 , 	170 , 	134 , 	21 , 	97 , 	172 , 	325 , 	22 , 	20 , 	19 , 	5 , 	5 , 	17 , 	28 , 	489 , 	493 , 	420 , 	310 , 	80 , 	56 , 	27 , 	37 , 	53 , 	7 , 	20 , 	66 , 	7 , 	39 , 	7 , 	14 , 	23 , 	6 , 	38 , 	14 , 	-   ," 	4,627 ",,,,,,,,,
SH, 	19 , 	28 , 	9 , 	12 , 	67 , 	20 , 	52 , 	146 , 	153 , 	77 , 	88 , 	82 , 	66 , 	74 , 	92 , 	14 , 	60 , 	157 , 	9 , 	7 , 	14 , 	1 , 	3 , 	7 , 	14 , 	393 , 	354 , 	273 , 	210 , 	68 , 	47 , 	12 , 	21 , 	44 , 	6 , 	11 , 	37 , 	2 , 	14 , 	7 , 	8 , 	16 , 	7 , 	22 , 	5 , 	-   ," 	2,825 ",,,,,,,,,
UC, 	16 , 	39 , 	19 , 	18 , 	123 , 	38 , 	76 , 	208 , 	191 , 	102 , 	80 , 	117 , 	80 , 	109 , 	181 , 	91 , 	21 , 	194 , 	16 , 	15 , 	15 , 	3 , 	6 , 	11 , 	13 , 	907 , 	785 , 	443 , 	312 , 	74 , 	36 , 	13 , 	23 , 	57 , 	5 , 	16 , 	54 , 	4 , 	30 , 	7 , 	5 , 	25 , 	6 , 	20 , 	16 , 	-   ," 	4,620 ",,,,,,,,,
FM, 	40 , 	93 , 	47 , 	41 , 	258 , 	59 , 	141 , 	366 , 	337 , 	161 , 	182 , 	257 , 	153 , 	246 , 	330 , 	176 , 	202 , 	53 , 	32 , 	40 , 	29 , 	12 , 	16 , 	35 , 	28 ," 	1,792 "," 	1,491 ", 	758 , 	485 , 	131 , 	57 , 	35 , 	38 , 	81 , 	9 , 	41 , 	108 , 	11 , 	54 , 	9 , 	10 , 	58 , 	8 , 	41 , 	35 , 	-   ," 	8,587 ",,,,,,,,,
CN, 	27 , 	35 , 	17 , 	17 , 	126 , 	27 , 	160 , 	314 , 	332 , 	32 , 	41 , 	49 , 	31 , 	20 , 	24 , 	10 , 	17 , 	34 , 	26 , 	101 , 	272 , 	87 , 	41 , 	85 , 	18 , 	882 , 	896 , 	643 , 	501 , 	137 , 	88 , 	47 , 	47 , 	91 , 	21 , 	7 , 	11 , 	55 , 	310 , 	23 , 	26 , 	125 , 	33 , 	4 , 	31 , 	-   ," 	5,919 ",,,,,,,,,
