Exit stations,Entry stations->,,SATURDAY,,,Jun 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
FV, 	56 , 	71 , 	31 , 	41 , 	130 , 	59 , 	84 , 	73 , 	84 , 	68 , 	23 , 	193 , 	135 , 	164 , 	86 , 	54 , 	32 , 	78 , 	24 , 	12 , 	21 , 	10 , 	11 , 	30 , 	59 , 	365 , 	252 , 	646 , 	412 , 	226 , 	160 , 	42 , 	37 , 	41 , 	6 , 	35 , 	99 , 	3 , 	24 , 	6 , 	14 , 	47 , 	13 , 	62 , 	13 , 	32 , 	-   , 	-   , 	5 , 	12 ," 	4,177 ",,,,,,,,,,
CL, 	51 , 	106 , 	62 , 	48 , 	82 , 	65 , 	89 , 	90 , 	97 , 	108 , 	172 , 	15 , 	142 , 	168 , 	87 , 	50 , 	65 , 	115 , 	49 , 	50 , 	50 , 	37 , 	24 , 	36 , 	60 , 	241 , 	135 , 	351 , 	211 , 	90 , 	80 , 	25 , 	34 , 	41 , 	9 , 	70 , 	259 , 	24 , 	44 , 	10 , 	15 , 	35 , 	21 , 	82 , 	32 , 	84 , 	-   , 	-   , 	10 , 	31 ," 	3,856 ",,,,,,,,,,
SL, 	19 , 	35 , 	15 , 	23 , 	79 , 	27 , 	46 , 	68 , 	96 , 	134 , 	134 , 	151 , 	10 , 	115 , 	71 , 	39 , 	39 , 	48 , 	11 , 	8 , 	12 , 	3 , 	5 , 	13 , 	27 , 	241 , 	192 , 	408 , 	213 , 	86 , 	59 , 	29 , 	28 , 	31 , 	6 , 	28 , 	42 , 	3 , 	11 , 	5 , 	10 , 	38 , 	6 , 	30 , 	6 , 	23 , 	-   , 	-   , 	2 , 	7 ," 	2,731 ",,,,,,,,,,
BF, 	12 , 	30 , 	14 , 	11 , 	61 , 	21 , 	48 , 	59 , 	100 , 	125 , 	162 , 	163 , 	119 , 	12 , 	66 , 	43 , 	47 , 	73 , 	13 , 	8 , 	8 , 	1 , 	2 , 	7 , 	28 , 	188 , 	167 , 	370 , 	176 , 	74 , 	48 , 	20 , 	29 , 	28 , 	8 , 	36 , 	78 , 	2 , 	11 , 	5 , 	7 , 	19 , 	6 , 	67 , 	5 , 	30 , 	-   , 	-   , 	3 , 	5 ," 	2,611 ",,,,,,,,,,
HY, 	14 , 	31 , 	10 , 	17 , 	51 , 	20 , 	37 , 	45 , 	65 , 	49 , 	96 , 	96 , 	71 , 	73 , 	15 , 	46 , 	59 , 	99 , 	9 , 	4 , 	11 , 	4 , 	2 , 	6 , 	17 , 	120 , 	83 , 	173 , 	107 , 	45 , 	27 , 	14 , 	15 , 	15 , 	3 , 	11 , 	30 , 	2 , 	13 , 	3 , 	9 , 	17 , 	7 , 	23 , 	8 , 	35 , 	-   , 	-   , 	3 , 	5 ," 	1,715 ",,,,,,,,,,
SH, 	8 , 	19 , 	5 , 	3 , 	25 , 	10 , 	21 , 	16 , 	26 , 	21 , 	49 , 	50 , 	30 , 	46 , 	45 , 	5 , 	26 , 	46 , 	6 , 	3 , 	3 , 	2 , 	1 , 	7 , 	7 , 	88 , 	52 , 	137 , 	67 , 	28 , 	23 , 	8 , 	14 , 	18 , 	3 , 	10 , 	20 , 	2 , 	8 , 	3 , 	3 , 	11 , 	4 , 	12 , 	4 , 	16 , 	-   , 	-   , 	1 , 	3 ," 	1,017 ",,,,,,,,,,
UC, 	9 , 	19 , 	9 , 	11 , 	65 , 	11 , 	16 , 	29 , 	51 , 	46 , 	33 , 	63 , 	41 , 	52 , 	57 , 	23 , 	17 , 	59 , 	8 , 	3 , 	5 , 	1 , 	1 , 	7 , 	11 , 	169 , 	100 , 	223 , 	123 , 	43 , 	24 , 	13 , 	15 , 	19 , 	5 , 	8 , 	29 , 	1 , 	5 , 	3 , 	4 , 	19 , 	5 , 	13 , 	15 , 	20 , 	-   , 	-   , 	1 , 	5 ," 	1,507 ",,,,,,,,,,
FM, 	14 , 	27 , 	22 , 	19 , 	110 , 	20 , 	35 , 	46 , 	54 , 	54 , 	81 , 	110 , 	56 , 	76 , 	111 , 	49 , 	58 , 	31 , 	10 , 	10 , 	9 , 	4 , 	3 , 	8 , 	14 , 	276 , 	154 , 	339 , 	186 , 	74 , 	37 , 	15 , 	25 , 	31 , 	5 , 	15 , 	44 , 	1 , 	6 , 	4 , 	5 , 	34 , 	3 , 	15 , 	25 , 	20 , 	-   , 	-   , 	2 , 	5 ," 	2,351 ",,,,,,,,,,
CN, 	17 , 	15 , 	11 , 	10 , 	41 , 	11 , 	45 , 	42 , 	61 , 	12 , 	30 , 	49 , 	8 , 	12 , 	12 , 	6 , 	8 , 	10 , 	14 , 	53 , 	134 , 	46 , 	22 , 	50 , 	14 , 	210 , 	128 , 	267 , 	179 , 	73 , 	49 , 	27 , 	25 , 	29 , 	13 , 	4 , 	7 , 	18 , 	105 , 	8 , 	10 , 	91 , 	16 , 	1 , 	24 , 	7 , 	-   , 	-   , 	32 , 	42 ," 	2,099 ",,,,,,,,,,
PH, 	6 , 	11 , 	7 , 	9 , 	50 , 	8 , 	36 , 	46 , 	55 , 	8 , 	12 , 	41 , 	3 , 	8 , 	5 , 	2 , 	4 , 	8 , 	53 , 	13 , 	64 , 	18 , 	11 , 	56 , 	11 , 	305 , 	204 , 	307 , 	168 , 	68 , 	38 , 	20 , 	15 , 	19 , 	6 , 	3 , 	6 , 	10 , 	42 , 	5 , 	11 , 	122 , 	11 , 	0 , 	28 , 	6 , 	-   , 	-   , 	13 , 	17 ," 	1,971 ",,,,,,,,,,
WC, 	9 , 	22 , 	13 , 	16 , 	68 , 	14 , 	50 , 	56 , 	71 , 	15 , 	18 , 	48 , 	12 , 	9 , 	10 , 	3 , 	6 , 	8 , 	160 , 	72 , 	21 , 	33 , 	21 , 	87 , 	12 , 	416 , 	216 , 	342 , 	265 , 	105 , 	44 , 	25 , 	20 , 	24 , 	10 , 	4 , 	6 , 	19 , 	71 , 	7 , 	9 , 	143 , 	15 , 	1 , 	28 , 	5 , 	-   , 	-   , 	22 , 	37 ," 	2,689 ",,,,,,,,,,
