Exit stations,Entry stations->,,SUNDAY,,,Jun 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	8 , 	42 , 	44 , 	26 , 	117 , 	38 , 	46 , 	25 , 	33 , 	18 , 	41 , 	37 , 	17 , 	8 , 	9 , 	4 , 	6 , 	11 , 	10 , 	5 , 	5 , 	3 , 	3 , 	7 , 	7 , 	119 , 	64 , 	218 , 	141 , 	60 , 	54 , 	18 , 	19 , 	16 , 	3 , 	2 , 	6 , 	2 , 	11 , 	4 , 	7 , 	54 , 	7 , 	4 , 	10 , 	7 , 	-   , 	-   , 	3 , 	5 ," 	1,401 ",,,,,,,,,,,
EN, 	43 , 	16 , 	32 , 	36 , 	236 , 	61 , 	73 , 	63 , 	79 , 	37 , 	47 , 	80 , 	17 , 	20 , 	21 , 	10 , 	11 , 	22 , 	14 , 	6 , 	10 , 	4 , 	4 , 	13 , 	18 , 	239 , 	145 , 	456 , 	325 , 	79 , 	67 , 	29 , 	29 , 	31 , 	14 , 	4 , 	10 , 	2 , 	11 , 	7 , 	15 , 	91 , 	19 , 	4 , 	33 , 	12 , 	-   , 	-   , 	3 , 	5 ," 	2,597 ",,,,,,,,,,,
EP, 	45 , 	38 , 	13 , 	31 , 	240 , 	54 , 	46 , 	48 , 	57 , 	22 , 	22 , 	52 , 	13 , 	9 , 	9 , 	5 , 	8 , 	17 , 	8 , 	6 , 	7 , 	4 , 	5 , 	13 , 	7 , 	154 , 	103 , 	240 , 	202 , 	64 , 	35 , 	15 , 	6 , 	10 , 	3 , 	2 , 	7 , 	1 , 	5 , 	3 , 	3 , 	66 , 	12 , 	2 , 	28 , 	11 , 	-   , 	-   , 	1 , 	2 ," 	1,747 ",,,,,,,,,,,
NB, 	26 , 	34 , 	28 , 	14 , 	81 , 	38 , 	44 , 	52 , 	50 , 	21 , 	25 , 	45 , 	14 , 	9 , 	6 , 	6 , 	10 , 	13 , 	9 , 	10 , 	13 , 	6 , 	6 , 	5 , 	8 , 	206 , 	126 , 	249 , 	267 , 	88 , 	70 , 	18 , 	19 , 	14 , 	4 , 	2 , 	7 , 	2 , 	6 , 	1 , 	6 , 	102 , 	13 , 	3 , 	36 , 	13 , 	-   , 	-   , 	2 , 	5 ," 	1,822 ",,,,,,,,,,,
BK, 	125 , 	246 , 	233 , 	84 , 	50 , 	147 , 	137 , 	154 , 	142 , 	74 , 	111 , 	76 , 	53 , 	52 , 	45 , 	18 , 	55 , 	114 , 	23 , 	38 , 	50 , 	31 , 	26 , 	23 , 	35 , 	519 , 	269 , 	638 , 	519 , 	268 , 	141 , 	60 , 	43 , 	50 , 	11 , 	14 , 	62 , 	10 , 	16 , 	14 , 	13 , 	242 , 	74 , 	27 , 	89 , 	114 , 	-   , 	-   , 	3 , 	9 ," 	5,339 ",,,,,,,,,,,
AS, 	40 , 	55 , 	45 , 	39 , 	139 , 	20 , 	51 , 	76 , 	61 , 	37 , 	54 , 	58 , 	18 , 	20 , 	16 , 	10 , 	10 , 	16 , 	9 , 	8 , 	14 , 	4 , 	2 , 	7 , 	16 , 	169 , 	99 , 	212 , 	228 , 	111 , 	79 , 	18 , 	14 , 	18 , 	2 , 	4 , 	10 , 	1 , 	5 , 	5 , 	2 , 	77 , 	13 , 	3 , 	32 , 	17 , 	-   , 	-   , 	2 , 	3 ," 	1,946 ",,,,,,,,,,,
MA, 	58 , 	88 , 	50 , 	49 , 	140 , 	56 , 	23 , 	47 , 	48 , 	27 , 	73 , 	82 , 	31 , 	34 , 	28 , 	16 , 	15 , 	25 , 	32 , 	24 , 	36 , 	16 , 	16 , 	31 , 	25 , 	313 , 	189 , 	437 , 	428 , 	204 , 	127 , 	37 , 	27 , 	23 , 	5 , 	4 , 	11 , 	6 , 	33 , 	4 , 	9 , 	127 , 	17 , 	6 , 	39 , 	16 , 	-   , 	-   , 	9 , 	20 ," 	3,155 ",,,,,,,,,,,
19, 	29 , 	55 , 	49 , 	55 , 	139 , 	80 , 	55 , 	29 , 	12 , 	17 , 	52 , 	78 , 	41 , 	32 , 	20 , 	13 , 	18 , 	31 , 	27 , 	28 , 	37 , 	18 , 	19 , 	39 , 	30 , 	291 , 	187 , 	406 , 	367 , 	216 , 	138 , 	50 , 	34 , 	26 , 	6 , 	5 , 	17 , 	5 , 	17 , 	6 , 	8 , 	114 , 	22 , 	6 , 	27 , 	16 , 	-   , 	-   , 	4 , 	13 ," 	2,976 ",,,,,,,,,,,
12, 	29 , 	73 , 	52 , 	43 , 	127 , 	58 , 	48 , 	11 , 	24 , 	12 , 	50 , 	97 , 	52 , 	57 , 	43 , 	19 , 	29 , 	48 , 	43 , 	37 , 	32 , 	24 , 	20 , 	37 , 	35 , 	275 , 	213 , 	458 , 	321 , 	122 , 	89 , 	43 , 	48 , 	45 , 	15 , 	10 , 	20 , 	12 , 	33 , 	11 , 	19 , 	136 , 	31 , 	9 , 	33 , 	23 , 	-   , 	-   , 	4 , 	18 ," 	3,082 ",,,,,,,,,,,
LM, 	19 , 	30 , 	25 , 	27 , 	68 , 	44 , 	29 , 	16 , 	15 , 	16 , 	103 , 	152 , 	96 , 	102 , 	40 , 	26 , 	33 , 	44 , 	16 , 	6 , 	10 , 	5 , 	5 , 	11 , 	24 , 	274 , 	200 , 	446 , 	350 , 	159 , 	102 , 	37 , 	37 , 	32 , 	4 , 	48 , 	66 , 	3 , 	5 , 	2 , 	5 , 	38 , 	8 , 	32 , 	28 , 	23 , 	-   , 	-   , 	1 , 	4 ," 	2,860 ",,,,,,,,,,,
FV, 	45 , 	57 , 	26 , 	28 , 	115 , 	55 , 	67 , 	50 , 	51 , 	89 , 	26 , 	148 , 	85 , 	124 , 	65 , 	26 , 	30 , 	47 , 	18 , 	9 , 	17 , 	9 , 	7 , 	23 , 	44 , 	290 , 	190 , 	559 , 	462 , 	138 , 	97 , 	32 , 	35 , 	30 , 	5 , 	24 , 	66 , 	4 , 	20 , 	8 , 	9 , 	68 , 	13 , 	37 , 	18 , 	19 , 	-   , 	-   , 	2 , 	7 ," 	3,388 ",,,,,,,,,,,
CL, 	39 , 	95 , 	52 , 	50 , 	68 , 	59 , 	73 , 	80 , 	93 , 	119 , 	134 , 	17 , 	128 , 	140 , 	89 , 	46 , 	76 , 	123 , 	42 , 	41 , 	55 , 	33 , 	30 , 	47 , 	46 , 	277 , 	157 , 	391 , 	289 , 	87 , 	85 , 	60 , 	34 , 	70 , 	9 , 	64 , 	232 , 	24 , 	38 , 	9 , 	17 , 	34 , 	21 , 	90 , 	56 , 	114 , 	-   , 	-   , 	7 , 	36 ," 	3,972 ",,,,,,,,,,,
SL, 	14 , 	23 , 	13 , 	16 , 	47 , 	25 , 	33 , 	44 , 	54 , 	108 , 	92 , 	136 , 	14 , 	78 , 	42 , 	21 , 	26 , 	28 , 	9 , 	6 , 	9 , 	4 , 	1 , 	11 , 	14 , 	195 , 	131 , 	358 , 	248 , 	52 , 	40 , 	19 , 	18 , 	24 , 	7 , 	17 , 	36 , 	4 , 	7 , 	4 , 	7 , 	36 , 	8 , 	25 , 	13 , 	13 , 	-   , 	-   , 	1 , 	3 ," 	2,125 ",,,,,,,,,,,
