Exit stations,Entry stations->,,TOTAL,,,Mar 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,,,
FV," 	2,467 "," 	3,000 "," 	1,379 "," 	1,804 "," 	7,893 "," 	2,678 "," 	4,719 "," 	5,034 "," 	5,928 "," 	5,057 ", 	863 ," 	6,955 "," 	5,603 "," 	6,167 "," 	4,721 "," 	2,402 "," 	1,899 "," 	3,350 "," 	1,214 ", 	689 ," 	1,028 ", 	451 , 	606 ," 	1,307 "," 	2,633 "," 	23,293 "," 	24,120 "," 	24,999 "," 	20,793 "," 	8,005 "," 	6,166 "," 	1,845 "," 	2,501 "," 	3,134 ", 	229 ," 	1,548 "," 	3,410 ", 	264 ," 	1,455 ", 	443 , 	703 ," 	1,868 ", 	810 ," 	1,851 ", 	398 ," 	1,551 ", 	-   ,,,,,,,,,,,,,
CL," 	1,945 "," 	3,620 "," 	1,494 "," 	1,662 "," 	4,696 "," 	2,231 "," 	4,248 "," 	5,279 "," 	7,578 "," 	6,089 "," 	6,673 ", 	767 ," 	4,387 "," 	5,298 "," 	4,404 "," 	2,439 "," 	3,133 "," 	4,206 "," 	1,837 "," 	1,591 "," 	1,667 ", 	953 , 	733 ," 	1,339 "," 	2,433 "," 	16,676 "," 	15,226 "," 	16,970 "," 	11,583 "," 	4,431 "," 	3,761 "," 	1,973 "," 	2,001 "," 	3,804 ", 	458 ," 	2,081 "," 	5,904 ", 	658 ," 	2,927 ", 	688 , 	795 ," 	1,021 ", 	929 ," 	3,039 ", 	997 ," 	3,274 ", 	-   ,,,,,,,,,,,,,
SL, 	973 ," 	1,674 ", 	789 , 	853 ," 	4,643 "," 	1,327 "," 	3,277 "," 	5,908 "," 	8,332 "," 	7,878 "," 	5,624 "," 	4,809 ", 	567 ," 	3,413 "," 	3,652 "," 	1,785 "," 	2,124 "," 	3,387 ", 	573 , 	561 , 	612 , 	136 , 	212 , 	609 ," 	1,196 "," 	17,613 "," 	19,397 "," 	16,157 "," 	13,021 "," 	4,089 "," 	2,573 "," 	1,168 "," 	1,809 "," 	2,543 ", 	304 , 	895 ," 	2,350 ", 	229 , 	869 , 	354 , 	451 ," 	1,163 ", 	222 ," 	1,243 ", 	288 ," 	1,241 ", 	-   ,,,,,,,,,,,,,
BF, 	545 ," 	1,054 ", 	471 , 	533 ," 	3,842 ", 	935 ," 	2,536 "," 	5,278 "," 	7,347 "," 	6,495 "," 	5,908 "," 	5,231 "," 	3,278 ", 	484 ," 	2,811 "," 	1,742 "," 	2,390 "," 	4,440 ", 	503 , 	323 , 	333 , 	78 , 	74 , 	325 , 	961 ," 	16,129 "," 	16,558 "," 	15,226 "," 	11,233 "," 	3,700 "," 	2,264 ", 	928 ," 	1,343 "," 	1,959 ", 	281 ," 	1,325 "," 	3,701 ", 	128 , 	575 , 	250 , 	422 , 	772 , 	263 ," 	2,000 ", 	184 ," 	1,315 ", 	-   ,,,,,,,,,,,,,
HY, 	951 ," 	1,736 ", 	605 , 	690 ," 	3,291 ", 	922 ," 	2,522 "," 	4,908 "," 	6,505 "," 	3,621 "," 	4,937 "," 	4,782 "," 	3,980 "," 	2,923 ", 	432 ," 	2,360 "," 	4,625 "," 	6,485 ", 	622 , 	440 , 	490 , 	126 , 	128 , 	502 , 	777 ," 	11,669 "," 	12,636 "," 	9,075 "," 	7,346 "," 	2,427 "," 	1,451 ", 	770 , 	875 ," 	1,307 ", 	158 , 	528 ," 	1,749 ", 	222 ," 	1,270 ", 	145 , 	321 , 	635 , 	188 , 	824 , 	280 ," 	1,894 ", 	-   ,,,,,,,,,,,,,
SH, 	484 , 	755 , 	215 , 	247 ," 	1,745 ", 	494 ," 	1,430 "," 	3,357 "," 	3,677 "," 	1,917 "," 	2,206 "," 	2,603 "," 	1,650 "," 	1,847 "," 	1,986 ", 	331 ," 	2,193 "," 	3,494 ", 	200 , 	218 , 	309 , 	64 , 	39 , 	163 , 	424 ," 	9,982 "," 	9,115 "," 	6,557 "," 	5,964 "," 	1,947 "," 	1,126 ", 	442 , 	621 ," 	1,148 ", 	165 , 	334 , 	947 , 	117 , 	451 , 	87 , 	186 , 	378 , 	183 , 	464 , 	149 ," 	1,257 ", 	-   ,,,,,,,,,,,,,
UC, 	469 , 	864 , 	465 , 	450 ," 	3,884 ", 	969 ," 	1,864 "," 	5,205 "," 	5,028 "," 	2,817 "," 	2,054 "," 	3,175 "," 	2,182 "," 	2,438 "," 	4,763 "," 	2,209 ", 	647 ," 	3,867 ", 	448 , 	461 , 	395 , 	116 , 	76 , 	322 , 	291 ," 	21,035 "," 	18,751 "," 	9,552 "," 	8,024 "," 	2,169 "," 	1,016 ", 	355 , 	543 ," 	1,331 ", 	165 , 	427 ," 	1,465 ", 	106 , 	533 , 	171 , 	164 , 	707 , 	119 , 	561 , 	429 , 	961 , 	-   ,,,,,,,,,,,,,
FM, 	814 ," 	1,731 ", 	955 , 	930 ," 	6,074 "," 	1,039 "," 	2,681 "," 	7,527 "," 	6,395 "," 	2,952 "," 	3,604 "," 	4,260 "," 	3,406 "," 	4,877 "," 	6,573 "," 	3,759 "," 	4,076 "," 	1,151 ", 	648 , 	603 , 	681 , 	219 , 	284 , 	580 , 	401 ," 	32,971 "," 	27,252 "," 	11,947 "," 	9,310 "," 	2,788 "," 	1,061 ", 	772 , 	860 ," 	1,499 ", 	224 , 	972 ," 	2,040 ", 	163 , 	953 , 	113 , 	220 ," 	1,040 ", 	126 , 	738 , 	660 ," 	1,019 ", 	-   ,,,,,,,,,,,,,
CN, 	586 , 	797 , 	532 , 	548 ," 	3,170 ", 	697 ," 	3,915 "," 	7,281 "," 	7,996 ", 	844 ," 	1,195 "," 	1,888 ", 	609 , 	459 , 	674 , 	202 , 	404 , 	667 , 	826 ," 	2,870 "," 	6,566 "," 	2,082 "," 	1,004 "," 	2,391 ", 	526 ," 	20,954 "," 	21,178 "," 	14,436 "," 	11,628 "," 	3,654 "," 	2,289 "," 	1,358 "," 	1,405 "," 	2,376 ", 	685 , 	182 , 	225 ," 	1,510 "," 	7,620 ", 	632 , 	655 ," 	3,521 ", 	830 , 	75 , 	853 , 	297 , 	-   ,,,,,,,,,,,,,
PH, 	406 , 	491 , 	466 , 	603 ," 	3,919 ", 	689 ," 	4,150 "," 	8,905 "," 	9,319 ", 	549 , 	644 ," 	1,576 ", 	532 , 	355 , 	488 , 	186 , 	425 , 	599 ," 	2,488 ", 	705 ," 	2,837 "," 	1,270 ", 	697 ," 	3,142 ", 	312 ," 	38,305 "," 	40,762 "," 	16,630 "," 	14,794 "," 	4,210 "," 	2,036 "," 	2,345 "," 	1,101 "," 	1,734 ", 	370 , 	137 , 	136 , 	838 ," 	3,386 ", 	623 , 	729 ," 	4,590 ", 	668 , 	83 ," 	1,266 ", 	262 , 	-   ,,,,,,,,,,,,,
