Exit stations,Entry stations->,,SUNDAY,,,Nov 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	9 , 	29 , 	23 , 	12 , 	57 , 	14 , 	18 , 	14 , 	17 , 	12 , 	26 , 	12 , 	11 , 	3 , 	7 , 	4 , 	2 , 	3 , 	4 , 	2 , 	3 , 	4 , 	-   , 	5 , 	8 , 	37 , 	27 , 	104 , 	34 , 	27 , 	29 , 	7 , 	10 , 	7 , 	3 , 	1 , 	4 , 	1 , 	2 , 	3 , 	5 , 	18 , 	5 , 	0 , 	5 , 	3 , 	3 , 	9 , 	3 , 	3 , 	646 ,,,,,,,,,,,
CL, 	14 , 	13 , 	4 , 	3 , 	24 , 	8 , 	16 , 	14 , 	19 , 	26 , 	33 , 	11 , 	21 , 	28 , 	21 , 	15 , 	8 , 	6 , 	6 , 	6 , 	3 , 	3 , 	1 , 	1 , 	17 , 	39 , 	21 , 	82 , 	30 , 	21 , 	27 , 	6 , 	7 , 	7 , 	1 , 	5 , 	17 , 	1 , 	5 , 	1 , 	1 , 	8 , 	3 , 	10 , 	30 , 	11 , 	6 , 	8 , 	3 , 	7 , 	668 ,,,,,,,,,,,
SL, 	11 , 	10 , 	6 , 	6 , 	25 , 	7 , 	21 , 	20 , 	22 , 	44 , 	53 , 	23 , 	11 , 	34 , 	28 , 	18 , 	13 , 	13 , 	2 , 	1 , 	5 , 	1 , 	1 , 	5 , 	8 , 	61 , 	43 , 	99 , 	49 , 	26 , 	19 , 	4 , 	6 , 	9 , 	1 , 	14 , 	25 , 	1 , 	3 , 	3 , 	4 , 	16 , 	2 , 	16 , 	7 , 	10 , 	14 , 	14 , 	1 , 	5 , 	831 ,,,,,,,,,,,
BF, 	6 , 	8 , 	2 , 	6 , 	12 , 	10 , 	16 , 	16 , 	23 , 	41 , 	64 , 	33 , 	32 , 	12 , 	23 , 	16 , 	14 , 	16 , 	6 , 	1 , 	3 , 	1 , 	2 , 	2 , 	11 , 	72 , 	46 , 	124 , 	33 , 	21 , 	16 , 	7 , 	7 , 	8 , 	2 , 	14 , 	27 , 	0 , 	2 , 	-   , 	3 , 	10 , 	2 , 	23 , 	5 , 	12 , 	13 , 	9 , 	2 , 	4 , 	831 ,,,,,,,,,,,
HY, 	7 , 	10 , 	5 , 	3 , 	14 , 	3 , 	15 , 	13 , 	18 , 	17 , 	44 , 	22 , 	31 , 	25 , 	11 , 	20 , 	22 , 	20 , 	4 , 	3 , 	1 , 	2 , 	1 , 	2 , 	6 , 	23 , 	11 , 	43 , 	15 , 	12 , 	8 , 	2 , 	3 , 	4 , 	2 , 	6 , 	9 , 	0 , 	4 , 	2 , 	1 , 	5 , 	1 , 	9 , 	4 , 	14 , 	18 , 	20 , 	2 , 	4 , 	534 ,,,,,,,,,,,
SH, 	2 , 	5 , 	2 , 	3 , 	10 , 	2 , 	3 , 	6 , 	9 , 	11 , 	24 , 	15 , 	17 , 	13 , 	20 , 	7 , 	5 , 	13 , 	3 , 	1 , 	1 , 	-   , 	-   , 	2 , 	2 , 	20 , 	10 , 	27 , 	11 , 	6 , 	4 , 	1 , 	2 , 	4 , 	2 , 	3 , 	4 , 	1 , 	1 , 	1 , 	1 , 	5 , 	1 , 	3 , 	2 , 	10 , 	13 , 	21 , 	0 , 	3 , 	328 ,,,,,,,,,,,
UC, 	2 , 	4 , 	3 , 	2 , 	12 , 	5 , 	7 , 	8 , 	6 , 	12 , 	13 , 	9 , 	16 , 	13 , 	24 , 	5 , 	12 , 	14 , 	2 , 	1 , 	3 , 	-   , 	0 , 	1 , 	2 , 	37 , 	14 , 	38 , 	18 , 	9 , 	8 , 	2 , 	1 , 	5 , 	1 , 	3 , 	10 , 	0 , 	1 , 	1 , 	1 , 	10 , 	2 , 	4 , 	9 , 	16 , 	25 , 	20 , 	0 , 	2 , 	410 ,,,,,,,,,,,
FM, 	5 , 	5 , 	4 , 	4 , 	20 , 	3 , 	7 , 	5 , 	8 , 	12 , 	20 , 	11 , 	14 , 	17 , 	20 , 	13 , 	12 , 	15 , 	4 , 	3 , 	1 , 	0 , 	0 , 	4 , 	3 , 	36 , 	17 , 	43 , 	16 , 	9 , 	6 , 	4 , 	3 , 	3 , 	2 , 	4 , 	8 , 	1 , 	4 , 	1 , 	2 , 	12 , 	1 , 	3 , 	7 , 	16 , 	34 , 	19 , 	1 , 	1 , 	456 ,,,,,,,,,,,
CN, 	2 , 	5 , 	4 , 	2 , 	9 , 	2 , 	13 , 	12 , 	11 , 	3 , 	10 , 	6 , 	2 , 	6 , 	5 , 	2 , 	1 , 	5 , 	13 , 	22 , 	50 , 	27 , 	7 , 	16 , 	3 , 	57 , 	30 , 	70 , 	34 , 	14 , 	15 , 	3 , 	4 , 	9 , 	2 , 	0 , 	1 , 	6 , 	28 , 	2 , 	2 , 	35 , 	7 , 	0 , 	14 , 	2 , 	6 , 	5 , 	24 , 	22 , 	623 ,,,,,,,,,,,
PH, 	1 , 	5 , 	2 , 	2 , 	7 , 	3 , 	8 , 	9 , 	11 , 	3 , 	6 , 	4 , 	4 , 	1 , 	3 , 	2 , 	2 , 	1 , 	20 , 	6 , 	30 , 	14 , 	6 , 	18 , 	3 , 	54 , 	31 , 	63 , 	42 , 	14 , 	8 , 	4 , 	2 , 	4 , 	1 , 	0 , 	6 , 	3 , 	18 , 	2 , 	4 , 	53 , 	2 , 	1 , 	15 , 	1 , 	6 , 	2 , 	6 , 	9 , 	519 ,,,,,,,,,,,
WC, 	3 , 	7 , 	3 , 	5 , 	13 , 	3 , 	17 , 	21 , 	12 , 	4 , 	7 , 	1 , 	4 , 	3 , 	2 , 	2 , 	2 , 	1 , 	70 , 	27 , 	10 , 	15 , 	8 , 	29 , 	5 , 	79 , 	34 , 	78 , 	61 , 	29 , 	9 , 	6 , 	4 , 	6 , 	4 , 	-   , 	2 , 	8 , 	24 , 	3 , 	2 , 	61 , 	4 , 	0 , 	15 , 	2 , 	6 , 	2 , 	7 , 	17 , 	732 ,,,,,,,,,,,
LF, 	4 , 	3 , 	4 , 	4 , 	8 , 	2 , 	8 , 	5 , 	5 , 	1 , 	3 , 	2 , 	-   , 	1 , 	1 , 	2 , 	0 , 	1 , 	35 , 	13 , 	15 , 	7 , 	6 , 	18 , 	1 , 	50 , 	19 , 	46 , 	48 , 	16 , 	4 , 	4 , 	2 , 	2 , 	1 , 	1 , 	1 , 	4 , 	5 , 	0 , 	1 , 	37 , 	1 , 	-   , 	6 , 	-   , 	2 , 	1 , 	6 , 	2 , 	400 ,,,,,,,,,,,
