Fast Pass Adjusted OD,,,,,,Aug 05,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,43,37,114,130,509,816,713,"1,054","3,414"
MT,34,42,73,123,704,"1,176",987,"1,996","5,136"
PL,159,88,59,95,579,850,571,"1,318","3,719"
CC,136,130,115,51,484,648,466,"1,172","3,200"
16,430,549,741,456,19,180,158,459,"2,994"
24,692,922,"1,035",615,181,25,112,355,"3,938"
GP,656,775,801,387,167,128,16,82,"3,012"
BP,925,"1,242","2,145","1,041",489,368,82,27,"6,319"
Entries,"3,077","3,785","5,082","2,900","3,132","4,190","3,105","6,463","31,734"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,17,7,36,32,226,250,129,235,932
MT,6,21,22,25,304,356,299,949,"1,981"
PL,45,18,55,44,507,695,445,975,"2,783"
CC,35,22,51,39,343,384,188,464,"1,526"
16,163,192,596,330,19,127,104,279,"1,810"
24,202,207,766,370,119,26,97,207,"1,993"
GP,104,150,579,148,106,96,14,49,"1,246"
BP,224,332,"1,612",407,284,213,58,33,"3,161"
Entries,795,950,"3,717","1,394","1,907","2,146","1,332","3,191","15,431"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,17,6,26,23,137,157,78,139,582
MT,3,18,18,18,175,207,197,632,"1,267"
PL,30,12,57,35,348,492,278,702,"1,953"
CC,19,14,40,42,276,288,125,319,"1,124"
16,124,123,414,283,23,94,71,174,"1,305"
24,151,155,556,281,78,28,73,159,"1,480"
GP,74,89,431,108,67,62,16,27,872
BP,159,220,"1,264",275,164,154,24,28,"2,288"
Entries,576,636,"2,805","1,065","1,268","1,482",860,"2,178","10,870"
